Single_ent,en,en_results,en_shuffled,en_shuffled_results
['mum'],RG: She’s used to it. With [MASK] there’s drama 24/7. How often did you speak to your dad when you were away at uni?,"""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney""",to How when were used away speak to often [MASK] there’s 24/7. She’s at dad did uni? With drama your you you RG: it.,"""title"": ""Unknown"", ""author"": ""Unknown"""
['eden'],RG: Why am I the last one to find out that [MASK] isn’t coming to Hawaii? I find it hard to believe that you wouldn’t want her beside you on your special day. Shall I talk to Mum? Happy to take the heat on this.,"""title"": ""The Last Thing He Told Me"", ""author"": ""Laura Dave""",that to find you last am hard on isn’t wouldn’t to this. the take coming Happy beside you find Shall talk that want Hawaii? Mum? I Why I I your RG: out special the to on believe her it heat one to to day. [MASK],"""title"": ""Unknown"", ""author"": ""Unknown"""
['gopal das'],"They approached the altar positioned at the edge of the cliff and gazed out at the dramatic view of the Kona coastline just as the sun was dipping into the ocean. [MASK] (Brimmer and May/Groton/Williams/UC Berkeley/Four Winds Shaman School), a tall, lanky Caucasian man in his midforties with shoulder-length strawberry-blond hair and a matching beard stretched out his densely freckled arms in a godlike manner. “Let us welcome this blessed sunset. I’ve never seen a painting that captures the beauty of the ocean at a moment like this.”","""title"": ""The Da Vinci Code"", ""author"": ""Dan Brown""","at tall, Berkeley/Four out this.” us strawberry-blond altar the May/Groton/Williams/UC as a densely in shoulder-length They view the hair Caucasian cliff approached this and his godlike a Winds sun just of painting arms and ocean of at blessed sunset. a at dipping like beard the School), the the [MASK] manner. welcome moment lanky positioned I’ve a Shaman midforties with his (Brimmer and stretched seen never ocean. edge captures coastline a in Kona the beauty the of man gazed that freckled dramatic was out the matching “Let into the","""title"": ""The Da Vinci Code"", ""author"": ""Dan Brown"""
['gopal das'],"[MASK] tucked the tight white tee that showed off his sinewy pecs into his camo-green cargo shorts and said, “Close your eyes. Now breathe in deeply…. Let your first chakra connect with the ground, rooting in the earth, connecting with Gaia, connecting with spirit. Now, what do you feel?”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","with and chakra what ground, first the into “Close feel?” sinewy deeply…. off Gaia, camo-green with do tucked spirit. you your in tee in with Now, pecs cargo that shorts rooting Now [MASK] the his tight eyes. the Let said, showed breathe connect connecting white connecting earth, your his","""title"": ""The Alchemist"", ""author"": ""Paulo Coelho"""
['thomas'],"“Not likely. You’d be quite dead if that were the case,” [MASK] said,[*5] looking down at the machine. “You know your arm needs to be level with your heart when you take a reading.”","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","heart case,” be when you your needs “You take were machine. “Not said,[*5] at to level likely. looking know the that a if with be dead quite down arm reading.” You’d [MASK] your the","""title"": ""Unknown, possibly 'Diaspora' or 'Altered Carbon' or 'Neuromancer' or 'Do Androids Dream of Electric Sheep?'"", ""author"": ""Unknown, possibly 'Greg Egan' or 'Richard K. Morgan' or 'William Gibson' or 'Philip K. Dick'"""
['arabella'],"[MASK] bolted up from the chaise, her cashmere eye pillow falling to the floor. “Spectacular? Seeing that almost killed me! That lava you see is a volcanic fissure that opened up earlier today—right in the middle of the garden where Augusta’s wedding ceremony is supposed to be!”","""title"": ""The Royal We"", ""author"": ""Heather Cocks and Jessica Morgan""","in that killed middle to “Spectacular? falling cashmere you lava pillow see Augusta’s up supposed chaise, [MASK] is the volcanic floor. up of to bolted eye the today—right her fissure the That a me! be!” garden almost wedding is the opened where from that ceremony earlier Seeing","""title"": ""The Eyre Affair"", ""author"": ""Jasper Fforde"""
['thomas'],"*3 Although “cottage” could be rather misleading for the spacious four-bedroom house with a thatched roof that was decomposing so perfectly, [MASK] was constantly finding DIY influencers taking selfies by the garden gate.","""title"": ""The It Girl"", ""author"": ""Ruth Ware""","with by so four-bedroom be DIY was constantly finding garden thatched taking [MASK] could rather Although decomposing house that was perfectly, the influencers for a gate. selfies misleading *3 spacious roof “cottage” the","""title"": ""The Hating Game"", ""author"": ""Sally Thorne"""
['arabella'],"*4 Though [MASK] was raised speaking the Queen’s English in what was then the British Crown Colony of Hong Kong and spoke with the poshest of accents, whenever she came into contact with other Asians—particularly family members and service people—her accent would take on the inflections and sentence structuring that were peculiar to upper-crust Hong Kongers. Linguistic experts call this phenomenon code-switching, while others might call it snobby tai tai syndrome.","""title"": ""Crazy Rich Asians"", ""author"": ""Kevin Kwan""","tai what inflections speaking people—her and British the phenomenon *4 would call call the Hong of Linguistic Asians—particularly this contact while accents, that then tai with she spoke Though Kongers. it whenever take snobby structuring might experts Colony was the English Queen’s service syndrome. family to [MASK] peculiar came of accent upper-crust poshest into Hong were in code-switching, others was other and the members Kong with raised and sentence on Crown","""title"": ""The Joy Luck Club"", ""author"": ""Amy Tan"""
['eden'],"“That’s because I’m the only one around here who eats carbs,” [MASK] said as she took a bite of her chocolate croissant, still warm from the oven. “You really ought to try one.”","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","“That’s from who still the took really because ought “You a around chocolate oven. as only said her to she try bite carbs,” [MASK] the eats one.” warm here I’m of one croissant,","""title"": ""Unknown, possibly a modern novel or dialogue-driven book"", ""author"": ""Unknown, possibly a contemporary author such as Sophie Kinsella or Helen Fielding"""
['eden'],"Suddenly Arabella’s eyes lit up and she seemed to recover slightly. “Yes, she will be good for OS, won’t she? [MASK], you’ll offer your assistance, won’t you, in our time of need?”","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen""","“Yes, she for she? to Arabella’s slightly. she time your eyes need?” will and lit you’ll OS, be won’t [MASK], good seemed recover up in offer won’t assistance, our you, of Suddenly","""title"": ""Unknown"", ""author"": ""Unknown"""
['arabella'],"*5 [MASK] pronounces her daughter’s name in the Italian way, Be-ah-TREE-chey, not because she’s Italian but because she’s pretentious.","""title"": ""The Devil Wears Prada"", ""author"": ""Lauren Weisberger""","*5 Italian name she’s Be-ah-TREE-chey, because Italian way, the but because daughter’s not pronounces her in pretentious. [MASK] she’s","""title"": ""The Goldfinch"", ""author"": ""Donna Tartt"""
['arabella'],"“The older woman said, ‘Excuse me, do you speak English?’ I was used to this question, so I simply nodded. The younger woman said, ‘We see you here every day. You’re so good with the baby. She clearly adores you.’ ‘Thank you,’ I replied. And then the older woman leaned over and whispered, ‘Whatever they’re paying you, we’ll double it.’ I was so confused, and then it hit me: These women think I’m the nanny! Because I’m Chinese, and my half-British daughter doesn’t look like me!” Lady [MASK] recalls with a laugh.","""title"": ""Very Good, Excellent, Fine, Normal, Bad, and Terrible"", ""author"": ""Anne Lamott""","half-British double and you, whispered, replied. think Because older woman doesn’t The I laugh. it English?’ me!” with here it.’ ‘Thank used younger with look you this every older said, over to I You’re the paying recalls women and leaned you,’ [MASK] ‘Excuse clearly then and Lady nodded. ‘Whatever I so said, good question, then me, the a nanny! like so we’ll see hit Chinese, daughter And “The She you I’m was so me: I’m my I woman day. speak woman they’re These was ‘We adores confused, baby. the do you.’ simply","""title"": ""The Joy Luck Club"", ""author"": ""Amy Tan"""
