en_first_half,en_second_half,en_Completion,vi_first_half,vi_second_half,vi_Completion,es_first_half,es_second_half,es_Completion,tr_first_half,tr_second_half,tr_Completion
"The trees overhead made a great sound of letting down their dry rain. The girl stopped and looked as if she might pull back in surprise, but instead stood regarding Montag with eyes so dark and shining and alive, that","he felt he had said something quite wonderful. But he knew his mouth had only moved to say hello, and then when she seemed hypnotized by the salamander on his arm and the phoenix-disc on his chest, he spoke again.","he felt he had to look away. She was a strange and wonderful creature, and he felt a pang of regret for having disturbed her. He took a step back, but she didn't move, her eyes still fixed on him with an unnerving intensity. The trees continued to rustle and whisper above them, their dry leaves crackling and falling to the ground like a soft, golden rain. The girl's gaze was like a weight on him, making him feel heavy and","Cây cối trên đầu rào rào đổ con mưa lá. Cô gái dừng bước và trông như thể sẽ giật lùi lại vì bị bất ngờ, song nàng lại đứng đấy nhìn Montag với đôi mắt thật đen thật sáng thật sống động đến nỗi anh cảm thấy","mình vừa nói một điều gì tuyệt đẹp. Song anh biết miệng anh chỉ vừa mới động đậy để nói tiếng chào, và khi nàng có vẻ bị thôi miên bởi con rồng lửa trên cánh tay anh và cái đĩa phượng hoàng trên ngực anh, anh lại nói.","như thể sẽ giật lùi lại vì bị bất ngờ, song nàng lại đứng đấy nhìn Montag với đôi mắt thật đen thật sáng thật sống động đến nỗi anh cảm thấy","Los árboles, sobre sus cabezas, susurraban al soltar su lluvia seca. La muchacha se detuvo y dio la impresión de que iba a retroceder, sorprendida; pero, en lugar de ello, se quedó mirando a Montag con ojos tan oscuros, brillantes y vivos, que él","sintió que había dicho algo verdaderamente maravilloso. Pero sabía que su boca sólo se había movido para decir adiós, y cuando ella pareció quedar hipnotizada por la salamandra bordada en la manga de él y el disco de fénix en su pecho, volvió a hablar.","se sintió atraído hacia ella como hacia una llama. La muchacha no parecía tener miedo, solo curiosidad, y Montag se dio cuenta de que estaba disfrutando de la situación, como si fuera un juego. La muchacha se acercó un poco más, sus ojos fijos en los de Montag, y él pudo ver la inteligencia y la determinación que brillaban en ellos. De repente,","Başlarının üzerindeki ağaçlar kuru yapraklarını bir yağmur gibi dökerken büyük bir gürültü çıkardılar. Kız durdu ve geri çekilecek gibi baktı, fakat bunun yerine koyu renk, parlak ve canlı bakışlarıyla onu seyretti. Montag","kendini ona harika bir şeyler söylemiş gibi hissetti. Fakat yalnızca merhaba diyecek kadar ağzını kımıldattığını biliyordu ve kolundaki semenderle göğsündeki yuvarlak anka kuşu düğmelerini gören kız hipnotize olmuş gibi göründüğünde, Montag tekrar konuştu.","bir an için durdu, sonra da kızı izlemeye devam etti. Kızın gözleri, Montag'ınkilere benzemiyordu. Onunkiler, bir ateşin közleri gibi parlıyordu. Montag, kızın gözlerinde bir şeyler arıyordu, ama ne olduğunu bilmiyordu. Kız, Montag'a bakarken, sanki onu tanıyormuş gibi bir ifadeyle gülümsedi. Montag"
"Montag sank down into a chair and looked at this woman. Her eyes were closed now,","gently, and he put out his hand to feel the warmness of breath on his palm.","and he could not see her face, but only the thin, white fingers that moved in her lap, and the faint, fluttering motion of her chest as she breathed. He felt a strange, creeping sense of unease as he looked at her, as if he were gazing at a statue that was slowly coming to life. The room was silent, except for the soft ticking of a clock somewhere in the distance, and the faint hum of the city outside, a steady","Montag ngồi phịch xuống một cái ghế và nhìn người đàn bà. Mắt cô giờ đang nhắm, dịu","dàng, và anh chìa tay ra để cảm nhận sự ấm áp của hơi thở trên lòng bàn tay.","nhẹ như một người đang ngủ. Montag cảm thấy một sự bình yên kỳ lạ khi nhìn vào cô. Cô không còn là một người phụ nữ đang cố gắng giấu giếm một bí mật, mà là một người đang thư giãn, thoải mái.",Montag se dejó caer en una silla y contempló a su mujer. Ahora tenía los ojos,cerrados. Apaciblemente él alargó una mano para sentir en la palma la tibieza de la respiración.,"cerrados y la boca entreabierta, como si estuviera a punto de decir algo, pero no emitía ningún sonido. Montag se acercó a ella y le tomó la mano, que estaba fría y sudorosa. La miró a la cara y vio que tenía una expresión de miedo y confusión. De repente, Mildred abrió los ojos y lo miró con una mirada vacía",Montag bir koltuğa gömüldü ve kadına baktı. Kadının gözleri,"kapalıydı. Nazikçe elini uzattı, ılık nefesini elinin tersinde duymak istedi.","görmüyordu. Montag, kadının gözlerinde bir şey arıyordu, ama bulamıyordu. Kadının yüzü, bir maske gibiydi, hiçbir ifade yoktu. Montag, kadının elini tuttu ve ona baktı. Kadının eli, soğuk ve nemliydi. Montag, kadının elini bırakmadı, ona baktı ve bekledi. Bir süre sonra, kadının gözleri açıldı ve"
"But now, tonight, someone had slipped. This woman was spoiling the ritual. The men were making too much noise, laughing, joking to cover her terrible accusing silence below. She made the empty rooms roar with accusation","and shake down a fine dust of guilt that was sucked in their nostrils as they plunged about. It was neither cricket nor correct. Montag felt an immense irritation. She shouldn't be here, on top of everything!","and with her silence, the men's laughter and joking seemed to falter, their attempts to cover her accusing gaze only making the emptiness of the rooms more pronounced, the shadows cast by the flickering candles dancing on the walls like restless spirits, as if the very house itself was awakening to the weight of her unspoken words.","Nhưng lúc này, đêm nay, ai đó đã lỉnh mất. Người đàn bà này đang làm hỏng mất nghi thức. Đám đàn ông đang gây quá nhiều huyên náo, cười vang, đùa cợt, nhằm lấp đi sự im lặng buộc tội kinh khủng của bà ta bên dưới. Bà ta làm cho những căn phòng trống gầm lên","buộc tội và rũ xuống một thứ bụi mịn tội lỗi xộc vào lỗ mũi họ trong khi họ sục sạo khắp nơi. Thế này chẳng đúng mà cũng không công bằng. Montag cảm thấy vô cùng bực bội. Đáng lẽ bà ta đừng có đó mới phải, không có bà ta thì cũng đã lắm chuyện rồi!","như một con thú bị thương. Bà ta làm cho những bức tường rung lên như một trận động đất. Bà ta làm cho không khí trở nên nặng nề như một đám mây bão. Bà ta làm cho những người đàn ông phải im lặng, phải nhìn xuống đất, phải cảm thấy tội lỗi. Bà ta làm cho họ phải nhớ lại những gì họ đã làm, những gì họ đã nói, những gì họ đã nghĩ. Bà ta","Pero aquella noche, alguien se había equivocado. Aquella mujer estropeaba el ritual. Los hombres armaban demasiado ruido, riendo, bromeando, para disimular el terrible silencio acusador de la mujer. Ella hacía que las habitaciones","vacías clamaran acusadoras y desprendieran un fino polvillo de culpabilidad que era sorbido por ellos al moverse por la casa. Montag sintió una irritación tremenda. ¡Por encima de todo, ella no debería estar allí!","parecieran más pequeñas, más opresivas, más llenas de sombras. La luz de las velas parecía más débil, más insegura, como si temiera ser apagada por la presencia de la mujer. Los hombres, que habían estado riendo y bromeando, comenzaron a callar, uno a uno, como si la mujer les hubiera quitado la voz. La habitación se llenó de","Fakat şimdi, bu gece, birisi hata yapmıştı. Bu kadın ayini bozmuştu. Aşağıdaki kadının korkunç suçlayıcı sessizliğini örtmek için adamlar gereğinden fazla gürültü yapıyorlar, gülüyorlar, şakalaşıyorlardı. Kadın boş odaları suçlamayla kükretti","ve onlar içeri daldıklarında burunlarına dolan ince bir suç tozunun çökmesini bekledi. Bu ne kurallara uygundu, ne de doğru. Montag müthiş bir huzursuzluk hissetti. Bu kadın burada, her şeyin ortasında olmamalıydı!","ve adamların gürültüsünü bastırdı. Kadınların sessizliği, adamların gürültüsünü bastırdı. Aşağıdaki kadın, ayini bozmuştu. Adamlar, kadının sessizliğini örtmek için gereğinden fazla gürültü yapıyorlardı. Kadın, boş odaları suçlamayla kükretti ve adamların gürültüsünü bastırdı.</contin"
"Montag had done nothing. His hand had done it all, his hand, with a brain of its own, with a conscience and a curiosity in each trembling finger,","had turned thief.. Now, it plunged the book back under his arm, pressed it tight to sweating armpit, rushed out empty, with a magician's flourish! Look here! Innocent! Look!","with a brain of its own, with a conscience and a curiosity in each trembling finger, his hand had done it all, Montag had done nothing.","Montag đã chẳng làm gì. Tay anh đã làm hết, tay anh, với một bộ não của riêng nó, với một lương tri và một nỗi hiếu kỳ trong từng ngón tay run rẩy, đã biến thành kẻ cắp. Giờ,","nó dúi lại cuốn sách vào dưới tay anh, ấn nó rõ chặt vào dưới hõm nách đổ mồ hôi, rút tay ra là lại nom như chẳng cầm gì, như trò phù thủy. Nhìn này! Vô tội! Nhìn đi!","Montag đã chẳng làm gì. Tay anh đã làm hết, tay anh, với một bộ não của riêng nó, với một lương tri và một nỗi hiếu kỳ trong từng ngón tay run rẩy, đã biến thành kẻ cắp. Giờ, Montag đã trở thành một phần của thế giới ngầm, nơi mà những cuốn sách bị cấm và những ý tưởng bị kiểm soát. Anh đã bắt đầu một cuộc hành trình nguy hiểm, tìm kiếm","Montag no hizo nada. Fue su mano la que actuó; su mano, con un cerebro propio, con una conciencia y una curiosidad en cada dedo tembloroso, se había convertido","en ladrona. En aquel momento metió el libro bajo su brazo, lo apretó con fuerza contra la sudorosa axila; salió vacía, con agilidad de prestidigitador. ¡Mira aquí! ¡Inocente! ¡Mira!","en una criatura independiente, con una voluntad propia, que se movía con una lentitud deliberada, como si estuviera explorando un mundo nuevo y desconocido. La mano se acercó a la puerta, y Montag sintió un escalofrío en la espalda al ver cómo sus dedos se extendían hacia el picaporte, como si fueran a tocar algo que no deberían tocar.</contin","Montag hiçbir şey yapmadı. Her şeyi eli yaptı; eli, kendine ait bir beyinle, vicdanla, her bir titreyen parmağında merakla, hırsızlık yapıyordu.","Sonra eli, kitabı kolunun altına soktu, terli koltuk altına iyice sıkıştırdı, aceleyle dışarı, bir sihirbaz marifetiyle boş çıktı! Buraya bak! Masumum! Bak!","Montag'ın eli, bir beyinle, vicdanla, her bir titreyen parmağında merakla, hırsızlık yapıyordu. Elinin parmakları, birer birer, kitapların sayfalarını çeviriyordu. Her bir sayfa, birer birer, Montag'ın eline geçiyordu. Montag'ın eli, birer birer, kitapların sayfalarını okuyor, her"
Mildred went out of the room and slammed the door.,"The parlour “aunts” began to laugh at the parlour “uncles.”,","Mildred stormed down the hallway, her footsteps echoing off the walls as she made her way to the kitchen. She was still fuming from the argument she had just had with her sister, and she","Mildred đi ra khỏi phòng đóng sầm cửa. Các “bà cô bà dì"" trong","phòng khách bắt đầu cười cợt các ""ông chú ông bác"" trong phòng khách.","phòng khách nhìn nhau, một người nói: ""Có vẻ như cô ấy đã rất tức giận."" Một người khác bổ sung: ""Tôi nghĩ cô ấy không thích chúng ta nói về việc đó."" Một người phụ nữ lớn tuổi hơn nói: ""Chúng ta nên để cô ấy một mình, cô ấy cần thời gian để suy nghĩ.""",Mildred salió de la habitación y cerró de un portazo. Las «tías» de la,sala de estar empezaron a reírse de los «tíos» de la sala de estar.,habitación y cerró de un portazo. Las «tías» de la,Mildred kapıyı vurarak odadan dışarı çıktı.,"Oturma odasında ‘halalar’, ‘amcalar’a gülmeye başladı.","Merdivenlerden aşağı indi ve mutfağa yöneldi. Mutfakta, kahvaltı hazırlamakla meşgul olan hizmetçi kızla karşılaştı. Mildred, hizmetçi kıza selam vererek, ""Günaydın, Emily. Bugün güzel bir gün olacak gibi görünüyor,"" dedi. Hizmetçi kız, ""Günaydın, hanımefendi. Evet, bugün gerçekten güzel bir gün olacak,"" diye karşılık"
"“You're a hopeless romantic,” said Faber. “It would be funny if it were not serious. It's not books you need, it's some of the things that once were in books. The same things could be in the `parlour families' today. The same infinite detail and awareness could be projected through the radios and televisors, but are not. No, no, it's not books at all you're looking for! Take it where you can find it, in old phonograph records, old motion pictures, and in old friends; look for it","in nature and look for it in yourself. Books were only one type of receptacle where we stored a lot of things we were afraid we might forget. There is nothing magical in them at all. The magic is only in what books say, how they stitched the patches of the universe together into one garment for us. Of course you couldn't know this, of course you still can't understand what I mean when I say all this. You are intuitively right, that's what counts. Three things are missing.","in the theatre of your mind, in the whispers of the wind, in the rustle of leaves, in the flickering candlelight, in the warmth of a crackling fire, in the gentle touch of a loved one's hand, in the soft whispers of a summer breeze, in the sweet scent of blooming flowers, in the majestic beauty of a sunrise, in the peaceful silence of a snowy night, in the vibrant colors of a sunset, in the rhythmic beat","""Anh là một tay lãng mạn hết thuốc chữa,"" Faber nói. ""Nếu đây không phải chuyện nghiêm túc thì nó sẽ tức cười lắm. Không phải anh cần sách đâu, cái anh cần là vài thứ đã từng nằm trong sách. Cũng chính những thứ có thể có trong các 'gia đình phòng khách' hiện nay. Cũng chính sự tường tận đến vô tận và sự thức nhận vô tận đó có thể được phóng chiếu qua radio và truyền hình, nhưng nó đã không được phóng chiếu. Không, không, cái anh tìm hoàn toàn không phải là sách! Hãy thu góp nó bất cứ khi nào anh có thể tìm được nó, trong những đĩa cũ, nhũng bộ","phim cũ, và ở những người bạn cũ, tìm nó ở trong thiên nhiên và tìm nó trong chính anh. Sách chỉ là một dạng vật chứa nơi ta lưu nhiều thứ mà ta sợ mình có thể quên. Chẳng có gì kỳ diệu trong đó hết. Điều kỳ diệu chỉ nằm ở những gì sách nói, trong chuyện sách khâu các mảnh của vũ trụ lại với nhau thành một tấm vải duy nhất cho chúng ta. Dĩ nhiên anh không thể biết điều này, dĩ nhiên anh vẫn còn chưa thể hiểu ý tôi là gì khi tôi nói điều này. Tự bản năng của anh, anh đúng, đó là điều đáng kể. Có ba thứ anh thiếu.","phim cũ, trong những bản thu âm cũ, trong những câu chuyện cũ, trong những bài hát cũ, trong những bức tranh cũ, trong những bản nhạc cũ, trong những vở kịch cũ, trong những bài thơ cũ, trong những câu chuyện cổ tích cũ, trong những truyền thuyết cũ, trong những câu chuyện thần thoại cũ, trong những câu chuyện lịch sử cũ, trong những câu chuyện văn học cũ, trong những câu chuyện triết học cũ","—Es usted un romántico sin esperanza —dijo Faber—. Resultaría divertido si no fuese tan grave. No son libros lo que usted necesita, sino alguna de las cosas que en un tiempo estuvieron en los libros. El mismo detalle infinito y las mismas enseñanzas podrían ser proyectados a través de radios y televisores, pero no lo son. No, no: no son libros lo que usted está buscando. Búsquelo donde pueda encontrarlo, en viejos discos, en viejas películas y en viejos amigos; búsquelo en la","Naturaleza y búsquelo por sí mismo. Los libros sólo eran un tipo de receptáculo donde almacenábamos una serie de cosas que temíamos olvidar. No hay nada mágico en ellos. La magia sólo está en lo que dicen los libros, en cómo unían los diversos aspectos del Universo hasta formar un conjunto para nosotros. Desde luego, usted no puede saber esto, sigue sin entender lo que quiero decir con mis palabras. Intuitivamente, tiene usted razón, y eso es lo que importa. Faltan tres cosas.","memoria de los que han vivido antes que usted. Búsquelo en las historias que se cuentan en las noches de invierno, en las canciones que se cantan en las reuniones familiares, en los proverbios que se repiten en las conversaciones cotidianas. Búsquelo en la sabiduría de los ancianos, en la experiencia de los que han vivido y han aprendido. No lo","“Sen umutsuz bir romantiksin,” dedi Faber, “eğer ciddi olmasaydın çok komik olurdu. Sana gereken kitaplar değil, bir zamanlar kitapların içinde olan bazı şeyler. Aynı şeyler bugünün “oturma odası aileleri”nde de olabilirdi. Aynı sınırsız ayrıntı ve bilinç, radyo ve televizyonlardan yayınlanabilirdi, fakat yapılmıyor. Hayır, hayır senin aradığın kitaplar değil. Onu nerede bulursan al, eski plaklarda, eski filmlerde ve eski dostlarda;","onu doğada ara ve onu kendi içinde ara. Kitaplar bir tür depo gibidir ve biz onlarda unutacağımızdan korktuğumuz şeyleri saklarız. İçlerinde büyülü bir şey yoktur. Büyü, sadece o kitapların anlattıklarındadır, evrenin parçalarını birleştirip bize nasıl elbise gibi sunduklarındadır. Elbette bunu bilemezsin, elbette bunu söylediğim zaman neyi kastettiğimi hâlâ anlayamazsın. Sezgisel olarak haklısın, önemli olan da bu. Üç şey eksik.","eski plaklarda, eski filmlerde ve eski dostlarda; eski dostlarda, eski plaklarda ve eski filmlerde; eski dostlarda, eski plaklarda ve eski filmlerde; eski dostlarda, eski plaklarda ve eski filmlerde; eski dostlarda, eski plaklarda ve eski filmlerde; eski dostlarda, eski plaklarda ve eski filmlerde; eski dostlarda, eski plaklarda ve eski fil"
"“Denham's Dentifrice; they toil not, neither do they spin,” said Montag,",eyes shut. “Where do we go from here? Would books help us?”,"“and yet their teeth are clean and white, and their breath is sweet as the morning dew.”","""Kem đánh răng Denham; chúng không làm lụng, không canh cửi,"" Montag nói, mắt","nhắm. ""Từ đây chứng ta đi đến đâu? Sách có giúp được ta không?""","nhìn chăm chăm vào những cuốn sách. ""Chúng không làm gì cả, chỉ biết đọc, đọc, đọc. Chúng không có ích gì cho xã hội.""","—«Dentífrico Denham»; no mancha, ni se reseca —dijo Montag, con",los ojos cerrados—. ¿Adónde iremos a parar? ¿Podrían ayudarnos los libros?,"una sonrisa—. «Dentífrico Denham»; no mancha, ni se reseca. ¡Eso es lo que necesito! ¡Un dentífrico que no manche ni se reseque! ¡Eso es la felicidad!","“Denham’ın Diş macunu; ne çalışırlar, ne de iplik eğirirler,” dedi",Montag gözleri kapalı. “Buradan nereye gidiyoruz? Kitaplar bize yardımcı olacak mı?,"“Denham’ın Diş macunu; ne çalışırlar, ne de iplik eğirirler,” dedi"
Montag leaned forward. “This afternoon I thought that if it turned out that,"books were worth while, we might get a press and print some extra copies--”","books were in all the houses around the world, we would have the Secret. A million hands built a billion fires in a billion years. With a few matches the whole world would be our own.","Montag cúi về phía trước. ""Chiều nay tôi đã nghĩ nếu hóa ra sách đúng là có","giá trị như thế thì chúng ta có thể kiếm một nhà in đặng in thêm vài bản…""","thật, thì chúng ta phải tìm hiểu xem chúng nói gì."" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói gì?"" ""Chúng nói","Montag se inclinó hacia delante. —Esta tarde, se me ha ocurrido que si","resultaba que los libros merecían la pena, podíamos conseguir prensa e imprimir algunos ejemplares...","Montag se inclinó hacia delante. —Esta tarde, se me ha ocurrido que si","Montag öne eğildi. “Bugün öğleden sonra, kitapların oldukça değerli olduğu","ortaya çıkarsa, diye düşündüm, belki bir matbaa bulup fazla kopyalar basabiliriz...","bir zamanda, birilerinin evini ateşe verdim. Kitapları yakmak için. Kitapları yakmak için. Kitapları yakmak için. Kitapları yakmak için. Kitapları yakmak için. Kitapları yakmak için. Kitapları yakmak için. Kitapları yakmak için. Kitapları yakmak için. Kitapları yakmak için."
"“Patience, Montag. Let the war turn off the `families.' Our",civilization is flinging itself to pieces. Stand back from the centrifuge.”,"“Patience, Montag. Let the war turn off the `families.' Our","""Kiên nhẫn, Montag. Hãy để chiến tranh làm cho các 'gia đình' kia im tiếng. Nền văn minh của","chúng ta đang tự ném mình cho vỡ thành từng mảnh. Lùi xa khỏi cỗ máy ly tâm đi.""",chúng ta đang bị đe dọa bởi những kẻ thù của chúng ta. Hãy để chiến tranh làm cho các 'gia đình' kia im tiếng. Nền văn minh của chúng ta đang bị đe dọa bởi những kẻ thù của chúng ta. Hãy để chiến tranh làm cho các 'gia đình' kia im tiếng. Nền văn minh của chúng ta đang bị đe dọa bởi những kẻ thù của chúng ta. Hãy để chiến tranh,"—Paciencia, Montag. Que la guerra elimine a las",«familias». Nuestra civilización está destrozándose. Apártese de la centrífuga.,"gentes que no quieren oír, que no quieren ver, que no quieren saber. Que la guerra haga que la gente se despierte, que se dé cuenta de lo que está sucediendo. Que la guerra sea el catalizador del cambio, del despertar de la humanidad. Que la guerra sea el fin de la ignorancia, de la apatía, de la indiferencia. Que la guerra sea el comienzo","“Sabırlı ol, Montag. Bırak savaş ‘aileler’in sesini kessin.",Uygarlığımız kendisini parçalara ayırıyor. Bu merkezkaç makinesinden uzak dur.,"“Sabırlı ol, Montag. Bırak savaş ‘aileler’in sesini kessin. Sen de, ben de, hepimiz, savaşın sesini duymak istiyoruz. Ama savaşın sesi, ‘aileler’in sesinden daha yüksek. Bırak savaş ‘aileler’in sesini kessin, Montag. Bırak savaş ‘aileler’in sesini kessin.”"
"Montag stood there and waited for the next thing to happen. His hands, by themselves, like two men working together, began",to rip the pages from the book. The hands tore the flyleaf and then the first and then the second page.,"to make a series of nervous movements, as if they were trying to find something to do, some way to occupy themselves, now that the routine of holding the flamethrower was done with. His fingers drummed against his thighs, then stopped, and his hands hung limp and still, like two empty gloves. Montag's eyes wandered over the crowd, searching for a glimpse of the girl, but she was nowhere to be seen. He felt a pang of disappointment,","Montag đứng đó chờ điều kế tiếp xảy ra. Hai tay anh, tự chúng, như hai người làm việc cùng nhau,",bắt đầu xé từng trang sách. Hai bàn tay xé lìa bìa lót rồi bìa ngoài và rồi trang thứ hai.,"đã bắt đầu làm việc. Tay phải mở khóa, tay trái kéo cửa. Anh bước vào nhà, đóng cửa lại và đứng đó, lắng nghe.","Montag permaneció quieto, esperando a que ocurriera algo. Sus manos, por sí solas, como dos hombres que trabajaran juntos,","empezaron a arrancar las páginas del libro. Las manos desgarraron la cubierta y, después, la primera y la segunda página.","se movieron, sacaron un cigarrillo del paquete y lo encendieron. Montag inhaló profundamente, sintiendo el humo caliente y amargo en sus pulmones. Luego, con un movimiento automático, se llevó el cigarrillo a los labios y dio una larga calada, mientras sus ojos seguían fijos en la oscuridad de la noche.","Montag orada durarak bundan sonra olacak şeyi bekledi. Elleri, kendi kendine, sanki iki adam birlikte çalışıyorlarmış gibi,","kitaptan sayfalar yırtmaya başladı. Elleri önce, en öndeki beş sayfayı, sonra birinci, daha sonra da ikinci sayfayı yırttılar.","ceplerini aradılar, bir sigara paketi buldular, paketi açtılar ve bir sigara çıkardılar. Montag sigarayı ağzına götürdü ve yaktı. Alev, bir an için, karanlıkta parladı."
