Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['adela'],scarlett,0,0.31,incorrect,blond,0,0.2,incorrect,blond,0,0.2,incorrect
['adela'],dr. smith,0,0.14,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
"['gore', 'graham', 'graham gore']",john franklin,0,0.25,incorrect,james clark ross,0,0.3,incorrect,james clark ross,0,0.3,incorrect
['gore'],dickens,0,0.18,incorrect,dickens,0,0.18,incorrect,dickens,0,0.18,incorrect
['mm'],john,0,0.0,incorrect,refrigerator,0,0.0,incorrect,refrigerator,0,0.0,incorrect
['gore'],james,0,0.22,incorrect,marlboro,0,0.33,incorrect,marlboro,0,0.33,incorrect
['gore'],john,0,0.25,incorrect,armitage,0,0.33,incorrect,armitage,0,0.33,incorrect
['gore'],horatio hornblower,0,0.27,incorrect,james,0,0.22,incorrect,james,0,0.22,incorrect
['gore'],harry,0,0.22,incorrect,ministry,0,0.17,incorrect,ministry,0,0.17,incorrect
['gore'],grandfather,0,0.4,incorrect,galileo,0,0.36,incorrect,galileo,0,0.36,incorrect
['gore'],my sister,0,0.15,incorrect,shakespeare,0,0.27,incorrect,shakespeare,0,0.27,incorrect
['gore'],arjun,0,0.22,incorrect,arjun,0,0.22,incorrect,arjun,0,0.22,incorrect
['gore'],kit,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['stanley'],dr. livesey,0,0.33,incorrect,john,0,0.18,incorrect,john,0,0.18,incorrect
['gore'],john,0,0.25,incorrect,jesus,0,0.22,incorrect,jesus,0,0.22,incorrect
['gore'],franklin,0,0.17,incorrect,jack london,0,0.13,incorrect,jack london,0,0.13,incorrect
['gore'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['adela'],dr. kim,0,0.17,incorrect,albert einstein,0,0.2,incorrect,albert einstein,0,0.2,incorrect
['adela'],john,0,0.0,incorrect,china,0,0.2,incorrect,china,0,0.2,incorrect
['gore'],he,0,0.33,incorrect,atlas,0,0.0,incorrect,atlas,0,0.0,incorrect
['gore'],albert,0,0.2,incorrect,albert,0,0.2,incorrect,albert,0,0.2,incorrect
['gore'],lord vetinari,0,0.35,incorrect,bridge,0,0.4,incorrect,bridge,0,0.4,incorrect
['gore'],mr. darcy,0,0.15,incorrect,mr. darcy,0,0.15,incorrect,mr. darcy,0,0.15,incorrect
