Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['jake'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['jake'],west,0,0.25,incorrect,leon,0,0.25,incorrect,leon,0,0.25,incorrect
['anna'],west,0,0.0,incorrect,west,0,0.0,incorrect,west,0,0.0,incorrect
['anna'],emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
"['john wayne', 'john', 'wayne']",los angeles,0,0.48,incorrect,emily,0,0.2,incorrect,emily,0,0.2,incorrect
['anna'],lucas,0,0.22,incorrect,jason,0,0.44,incorrect,jason,0,0.44,incorrect
['anna'],west,0,0.0,incorrect,arthur,0,0.2,incorrect,arthur,0,0.2,incorrect
['conan'],harry potter,0,0.12,incorrect,john,0,0.44,incorrect,john,0,0.44,incorrect
['anna'],emily,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['jake'],edward,0,0.2,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['jake'],west,0,0.25,incorrect,mike,0,0.5,incorrect,mike,0,0.5,incorrect
['conan'],chuck norris,0,0.24,incorrect,simon,0,0.4,incorrect,simon,0,0.4,incorrect
['jake'],my wife,0,0.18,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['anna'],emily,0,0.0,incorrect,indonesia,0,0.46,incorrect,indonesia,0,0.46,incorrect
['anna'],camilla,0,0.36,incorrect,miss piggy,0,0.0,incorrect,miss piggy,0,0.0,incorrect
['anna'],her,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['anna'],she,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['anna'],olivia,0,0.2,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['anna'],her,0,0.0,incorrect,indonesian,0,0.43,incorrect,indonesian,0,0.43,incorrect
['anna'],scarlett,0,0.17,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['jake'],john,0,0.25,incorrect,shrek,0,0.22,incorrect,shrek,0,0.22,incorrect
"['jenny nelson', 'nelson', 'jenny']",god,0,0.22,incorrect,barbie,0,0.18,incorrect,barbie,0,0.18,incorrect
['anna'],emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['anna'],he,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['anna'],emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['babe'],emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['anna'],britney,0,0.18,incorrect,salon,0,0.44,incorrect,salon,0,0.44,incorrect
"['green', 'anna', 'anna green']",those who like to get to the airport just in time to board the plane,0,0.15,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['anna'],emily,0,0.0,incorrect,manolo blahnik,0,0.33,incorrect,manolo blahnik,0,0.33,incorrect
['anna'],julia,0,0.22,incorrect,salon,0,0.44,incorrect,salon,0,0.44,incorrect
['anna'],she,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['anna'],she,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
"['green', 'anna', 'anna green']",kermit,0,0.18,incorrect,kermit,0,0.18,incorrect,kermit,0,0.18,incorrect
['anna'],she,0,0.0,incorrect,angkor wat,0,0.43,incorrect,angkor wat,0,0.43,incorrect
['anna'],emily,0,0.0,incorrect,uber,0,0.0,incorrect,uber,0,0.0,incorrect
['anna'],she,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
