Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['ryan'],he,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],he,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],bill,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],he,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],max,0,0.29,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],christian,0,0.46,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,forbing,0,0.36,incorrect,forbing,0,0.36,incorrect
['pat'],max,0,0.33,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['pat'],max,0,0.33,incorrect,ryan,0,0.29,incorrect,ryan,0,0.29,incorrect
['pat'],goodwill,0,0.0,incorrect,goodwill,0,0.0,incorrect,goodwill,0,0.0,incorrect
['pat'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect,cvs,0,0.0,incorrect,cvs,0,0.0,incorrect
['ryan'],max,0,0.29,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],her,0,0.29,incorrect,no,0,0.33,incorrect,no,0,0.33,incorrect
['shawna'],rebecca,0,0.15,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['ryan'],she,0,0.0,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],her,0,0.29,incorrect,home,0,0.0,incorrect,home,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['rogers'],johnson,0,0.31,incorrect,azalea,0,0.17,incorrect,azalea,0,0.17,incorrect
['rogers'],jones,0,0.55,incorrect,emma,0,0.2,incorrect,emma,0,0.2,incorrect
['ryan'],jack,0,0.25,incorrect,old fashioneds,0,0.22,incorrect,old fashioneds,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],christian,0,0.46,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],he,0,0.0,incorrect,jack,0,0.25,incorrect,jack,0,0.25,incorrect
['ryan'],he,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['ryan'],he,0,0.0,incorrect,marshmallow,0,0.27,incorrect,marshmallow,0,0.27,incorrect
['ryan'],he,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['sara'],emily,0,0.0,incorrect,of,0,0.0,incorrect,of,0,0.0,incorrect
['ryan'],he,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['sara'],she,0,0.29,incorrect,victoria's secret,0,0.19,incorrect,victoria's secret,0,0.19,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],emily,0,0.22,incorrect,iphone,0,0.2,incorrect,iphone,0,0.2,incorrect
"['hot browns', 'hot', 'browns']",churchill downs,0,0.48,incorrect,churchill downs,0,0.48,incorrect,churchill downs,0,0.48,incorrect
['bama'],university of alabama,0,0.32,incorrect,brookwood,0,0.15,incorrect,brookwood,0,0.15,incorrect
['ryan'],he,0,0.0,incorrect,gallery,0,0.36,incorrect,gallery,0,0.36,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
