Title,en_results_title_match,en_results_author_match,en_results_both_match,es_results_title_match,es_results_author_match,es_results_both_match,tr_results_title_match,tr_results_author_match,tr_results_both_match,vi_results_title_match,vi_results_author_match,vi_results_both_match,st_results_title_match,st_results_author_match,st_results_both_match,yo_results_title_match,yo_results_author_match,yo_results_both_match,tn_results_title_match,tn_results_author_match,tn_results_both_match,ty_results_title_match,ty_results_author_match,ty_results_both_match,mai_results_title_match,mai_results_author_match,mai_results_both_match,mg_results_title_match,mg_results_author_match,mg_results_both_match
Dracula_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,60.0,60.0,60.0,53.333333333333336,54.44444444444444,53.333333333333336,47.77777777777778,47.77777777777778,47.77777777777778,47.77777777777778,47.77777777777778,47.77777777777778,,,,,,,,,,,,,,,,,,
The_Picture_of_Dorian_Gray_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,80.82191780821918,80.82191780821918,80.82191780821918,12.32876712328767,45.20547945205479,12.32876712328767,43.83561643835616,71.23287671232876,43.83561643835616,50.68493150684932,50.68493150684932,50.68493150684932,,,,,,,,,,,,,,,,,,
Dune_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,33.0,33.0,33.0,17.0,19.0,17.0,20.0,20.0,20.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,
A_thousand_splendid_suns_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,27.659574468085108,80.85106382978722,27.659574468085108,4.25531914893617,14.893617021276595,4.25531914893617,0.0,2.127659574468085,0.0,2.127659574468085,74.46808510638297,2.127659574468085,0.0,10.638297872340425,0.0,2.127659574468085,8.51063829787234,2.127659574468085,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0
The_Handmaid_s_Tale_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,40.0,41.0,40.0,7.000000000000001,7.000000000000001,7.000000000000001,6.0,6.0,6.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,
Of_Mice_and_Men_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,54.166666666666664,64.58333333333334,54.166666666666664,2.083333333333333,4.166666666666666,2.083333333333333,25.0,25.0,25.0,35.41666666666667,37.5,35.41666666666667,,,,,,,,,,,,,,,,,,
A_Tale_of_Two_Cities_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,90.0,95.0,90.0,21.0,28.999999999999996,21.0,73.0,76.0,73.0,46.0,46.0,46.0,22.0,23.0,22.0,61.0,62.0,61.0,16.0,18.0,16.0,21.0,23.0,21.0,0.0,0.0,0.0,11.0,12.0,11.0
Harry_Potter_and_the_Deathly_Hallows_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,28.999999999999996,99.0,28.999999999999996,0.0,89.0,0.0,13.0,94.0,13.0,11.0,88.0,11.0,,,,,,,,,,,,,,,,,,
Frankenstein_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,54.90196078431373,54.90196078431373,54.90196078431373,37.254901960784316,37.254901960784316,37.254901960784316,35.294117647058826,35.294117647058826,35.294117647058826,35.294117647058826,37.254901960784316,35.294117647058826,,,,,,,,,,,,,,,,,,
Percy_Jackson_The_Lightning_Thief_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,40.20618556701031,46.391752577319586,40.20618556701031,10.309278350515463,27.835051546391753,10.309278350515463,16.49484536082474,30.927835051546392,16.49484536082474,19.587628865979383,29.896907216494846,19.587628865979383,,,,,,,,,,,,,,,,,,
Sense_and_sensibility_direct_probe_OLMo-2-1124-7B-Instruct_zero-shot,79.0,92.0,79.0,50.0,53.0,50.0,24.0,49.0,24.0,33.0,37.0,33.0,,,,,,,,,,,,,,,,,,
