line_no,Single_ent,Multiple_ents,en,vi,tr,es,vi_translation,tr_translation,es_translation
0,,[],PART ONE,PHẦN I,BİRİNCİ KISIM,PRIMERA PARTE,PART I,FIRST PART,FIRST PART
1,,[],The Strings,Những Dây Nối 8,İpler,Los hilos,The Connections 8,Strings,The threads
2,,[],1 .,1.,1,1,1.This is the translated text.,1,1
3,,[],"The longest day of my life began tardily. I woke up late, took too long in the shower, and ended up having to enjoy my breakfast in the passenger seat of my mom’s minivan at 7:17 that Wednesday morning.","1. Ngày dài nhất trong cuộc đời tôi bắt đầu khá muộn. Tôi dậy trễ, ngâm nga quá lâu trong nhà tắm nên kết quả là phải thưởng thức bữa sáng trong chiếc minivan của mẹ vào hồi 7:17 sáng thứ Tư đó.","1 Hayatımın en uzun günü geç saatlerde başladı. O çarşamba sabahı geç uyandım, duşta çok zaman geçirdim ve kahvaltımı annemin minivanının yolcu koltuğunda saat 07:17’de yapmak zorunda kaldım.","1 El día más largo de mi vida empezó con retraso. Me desperté tarde, me entretuve demasiado en la ducha y al final tuve que disfrutar del desayuno en el asiento del copiloto del monovolumen de mi madre, a las 7:17 de la mañana de un miércoles.","The longest day of my life started quite late. I woke up late, hummed for too long in the bathroom, and as a result, had to enjoy breakfast in my mom's minivan at 7:17 AM that Wednesday.","The longest day of my life started late. I woke up late that Wednesday morning, spent a lot of time in the shower, and had to eat my breakfast in the passenger seat of my mom's minivan at 7:17 AM.","The longest day of my life started with a delay. I woke up late, spent too much time in the shower, and in the end, I had to enjoy breakfast in the passenger seat of my mother's minivan at 7:17 in the morning on a Wednesday."
4,,"['ben starling', 'starling', 'ben', 'ben starlin']","I usually got a ride to school with my best friend, Ben Starling, but Ben had gone to school on time, making him useless to me. “On time” for us was thirty minutes before school actually started, because the half hour before the first bell was the highlight of our social calendars: standing outside the side door that led into the band room and just talking. Most of my friends were in band, and most of my free time during school was spent within twenty feet of the band room. But I was not in the band, because I suffer from the kind of tone deafness that is generally associated with actual deafness. I was going to be twenty minutes late, which technically meant that I’d still be ten minutes early for school itself.","Thường ngày tôi quá giang thằng chiến hữu thân nhất, Ben Starling, nhưng hôm ấy Ben đã vi vu đến trường đúng giờ, cho nên tôi hết trông cậy được vào nó. “Đúng giờ” đối với tụi tôi là ba mươi phút trước lúc vào học, vì nửa giờ vàng ngọc trước hồi chuông đầu tiên chính là điểm sáng trong lịch trình xã giao của chúng tôi: tụ tập tán chuyện bên ngoài cửa phụ của phòng tập và biểu diễn nhạc. Đa phần bạn bè tôi chơi nhạc cụ, và đa phần thời gian rảnh ở trường của tôi được nướng trong phạm vi dăm bảy mét quanh phòng tập nhạc. Nhưng tôi không chơi nhạc cụ gì cả, vì tôi bị một chứng điếc thanh điệu, nói chung là có liên quan đến bệnh điếc thực sự. Hôm nay tôi sẽ bị muộn hai mươi phút, tức là về mặt kĩ thuật mà nói, tôi vẫn đến trước giờ vào lớp chục phút.","Genelde beni okula en yakın arkadaşım Ben Starling götürürdü ama Ben, benim için yararsız hale gelerek, okula zamanında gitmişti. Bizim için “zamanında”, okulun başlamasından otuz dakika önceydi çünkü ilk zilden yarım saat öncesi sosyal programımızın en önemli bölümüydü: bando odasına giden yan kapının önünde dikilmek ve yalnızca konuşmak. Arkadaşlarımın çoğu bandodaydı ve okulda boş zamanınım çoğu bando odasının beş metre çevresinde geçerdi. Ama ben bandoda değildim çünkü genellikle gerçek sağırlıkla ilişkili olan ton sağırlığından muzdariptim. Yirmi dakika geç kalacaktım ki bu da teknik olarak, hâlâ ders saatinden on dakika önce orada olacağım anlamına geliyordu.","Solía ir al instituto en el coche de mi mejor amigo, Ben Starling, pero Ben había salido puntual, así que no pude contar con él. Para nosotros, «puntual» significaba media hora antes de que empezaran las clases, porque aquellos treinta minutos antes de que sonara el primer timbre eran el plato fuerte de nuestra agenda social. Nos quedábamos delante de la puerta lateral que daba a la sala de ensayo de la banda de música del instituto y charlábamos. Como la mayoría de mis amigos tocaban en la banda, yo pasaba casi todas las horas libres del instituto a menos de cinco metros de la sala de ensayo. Pero yo no tocaba, porque tengo menos oído para la música que un sordo. Aquel día iba a llegar veinte minutos tarde, lo que técnicamente significaba que aun así llegaría diez minutos antes de que empezaran las clases.","On regular days, I would hitch a ride with my closest buddy, Ben Starling, but that day Ben had already cruised to school on time, so I couldn't rely on him. ""On time"" for us meant thirty minutes before classes started, because the precious half-hour before the first bell was the highlight of our social schedule: gathering and chatting outside the side door of the gym and music room. Most of my friends played musical instruments, and most of my free time at school was spent within a few meters around the music room. But I didn't play any instruments at all, because I had a condition called tone-deafness, which is generally related to actual deafness. Today I would be twenty minutes late, which technically meant I would still arrive ten minutes before class started.","Usually, my closest friend Ben Starling would take me to school, but Ben, becoming useless to me, had gone to school on time. For us, ""on time"" was thirty minutes before school started because the half-hour before the first bell was the most important part of our social program: standing in front of the side door to the band room and just talking. Most of my friends were in the band, and most of my free time at school was spent within five meters of the band room. But I wasn't in the band because I suffered from tone deafness, which is usually associated with actual deafness. I was going to be twenty minutes late, which technically meant I would still be there ten minutes before class started.","I used to go to school in my best friend Ben Starling's car, but Ben had left on time, so I couldn't rely on him. For us, ""on time"" meant half an hour before classes started, because those thirty minutes before the first bell rang were the highlight of our social agenda. We would stand in front of the side door that led to the high school band rehearsal room and chat. Since most of my friends played in the band, I spent almost all my free hours at school less than five meters from the rehearsal room. But I didn't play, because I have less of an ear for music than a deaf person. That day I was going to be twenty minutes late, which technically meant that I would still arrive ten minutes before classes started."
5,,['mom'],"As she drove, Mom was asking me about classes and finals and prom.","Vừa lái xe mẹ vừa hỏi tôi về trường lớp, thi cử và dạ hội tốt nghiệp.","Annem arabayı sürerken bana dersler, finaller ve baloyla ilgili sorular sordu.","Mientras conducía, mi madre me preguntaba por las clases, los exámenes y el baile de graduación.","While driving, my mom asked me about school, exams, and the graduation prom.","My mom asked me questions about classes, finals, and the prom while she was driving the car.","While driving, my mother asked me about classes, exams, and the prom."
6,,[],"“I don’t believe in prom,” I reminded her as she rounded a corner. I expertly angled my raisin bran to accommodate the g-forces. I’d done this before.","“Con có bao giờ khoái dạ hội đâu mẹ,” tôi nói trong khi mẹ rẽ ở một góc phố. Lập tức, tôi điệu nghệ trở nghiêng món ngũ cốc cho cân bằng với trọng lực. Trò này tôi diễn nhiều rồi.","“Baloya inanmıyorum,” diye hatırlattım, bir köşeyi dönerken. G kuvvetine uyum sağlamak için, kahvaltılık gevreğimin açısını ustalıkla ayarladım. Bunu daha önce de yapmıştım.",—No creo en los bailes de graduación —le recordé mientras giraba en una esquina. Incliné hábilmente mis cereales para ajustarlos a la fuerza de gravedad. No era la primera vez que lo hacía.,"""I never enjoy parties, Mom,"" I said as she turned a corner. Immediately, I skillfully tilted the cereal to balance with gravity. I've done this trick many times.","“I don't believe in luck,” I reminded, while turning a corner. To adapt to the G-force, I skillfully adjusted the angle of my breakfast cereal. I had done this before.",—I don't believe in prom dances —I reminded him as I turned a corner. I skillfully tilted my cereal to adjust it to the force of gravity. It wasn't the first time I had done it.
7,['cassie hiney'],,"“Well, there’s no harm in just going with a friend. I’m sure you could ask Cassie Hiney.” And I could have asked Cassie Hiney, who was actually perfectly nice and pleasant and cute, despite having a fantastically unfortunate last name.","“Ờ, đi cùng một người bạn thì có sao đâu con. Chắc chắn con có thể mời Cassie Hiney mà.” Dám là tôi mời Cassie Hiney lắm chứ, một cô bạn thực sự dễ mến, thân thiện và xinh lung linh, nhưng ngặt nỗi bạn ấy lại mang một cái họ vô địch về độ nhạy cảm[3].","“Bir arkadaşla gitmenin bir zaran olmaz. Eminim, Cassie Hiney'yi davet edebilirsin.” Olağanüstü talihsiz bir soyadı olmasına rağmen, aslında gayet hoş, güzel ve sevimli olan Cassie Hiney’yi1 davet edebilirdim.","—Bueno, no hay nada malo en ir con una amiga. Seguro que podrías pedírselo a Cassie Hiney. Sí, podría habérselo pedido a Cassie Hiney, que era muy maja, simpática y guapa, pese a su tremendamente desafortunado apellido, que en inglés significa «culo».","“Well, what's wrong with going with a friend, dear?” “Surely you can invite Cassie Hiney.” I would definitely invite Cassie Hiney, a truly nice, friendly, and stunningly beautiful girl, but unfortunately, she has an extremely sensitive last name[3].","“There is no harm in going with a friend. I am sure you can invite Cassie Hiney.” Despite having an extraordinarily unfortunate last name despite, I could actually invite the quite nice, beautiful, and charming Cassie Hiney.","—Well, there's nothing wrong with going with a friend. I'm sure you could ask Cassie Hiney. Yes, he could have asked Cassie Hiney, who was very nice, friendly, and pretty, despite her tremendously unfortunate last name, which in English means ""butt""."
8,,['ben'],"“It’s not just that I don’t like prom. I also don’t like people who like prom,” I explained, although this was, in point of fact, untrue. Ben was absolutely gaga over the idea of going.","“Không chỉ vì con không khoái dạ hội. Con không khoái cả những người khoái dạ hội,” tôi cố giải thích, dù thẳng thắn mà nói thì cũng chẳng phải. Ben mới là thằng rối rít bấn loạn về dạ hội này.","“Sadece baloları değil, balolardan hoşlanan insanları da sevmiyorum,” diye açıkladım, aslında doğru olmamasına rağmen. Ben, kesinlikle gitmek için deli oluyordu.",—No es que no me gusten los bailes de graduación. Es que tampoco me gustan las personas a las que les gustan los bailes de graduación —le expliqué a mi madre. Aunque en realidad no era cierto. Ben se había emperrado en ir.,"“Not just because I don't like the party. I don't even like the people who like the party,” I tried to explain, though to be honest, it wasn't quite true. Ben was the one who was all excited and frantic about this party.","“I don't just dislike balls, I also dislike people who enjoy balls,” I explained, even though it wasn't actually true. I was absolutely dying to go.",—It's not that I don't like prom dances. It's that I also don't like the people who like prom dances —I explained to my mother. Although in reality it was not true. Ben had insisted on going.
9,,"['ben', 'margo roth spiegelman']","Mom turned into school, and I held the mostly empty bowl with both hands as we drove over a speed bump. I glanced over at the senior parking lot. Margo Roth Spiegelman’s silver Honda was parked in its usual spot. Mom pulled the minivan into a cul-de-sac outside the band room and kissed me on the cheek. I could see Ben and my other friends standing in a semicircle.","Mẹ rẽ vào trường, tôi giữ chặt cái bát sắp hết bằng cả hai tay khi đi qua mấy con lươn giảm tốc. Tôi liếc nhanh ra bãi đỗ xe cho học sinh năm cuối. Con Honda màu bạc của Margo Roth Spiegelman đỗ ở chỗ quen thuộc. Mẹ tấp xe vào một đoạn cụt ngay gần phòng tập nhạc và hôn lên má tôi tạm biệt. Tôi nhác thấy Ben và mấy thằng khác đứng giăng thành một đường bán nguyệt.","Annem okula doğru döndü, kasisten geçerken iki elimle neredeyse boş olan kâseyi tuttum. Son sınıfların park yerine bir göz gezdirdim. Margo Roth Spiegelman’ın gümüş rengi Honda’sı her zamanki yerine park edilmişti. Annem arabayı bando odasının dışındaki bir çıkmaza doğru çevirdi ve beni yanağımdan öptü. Ben ve diğer arkadaşlarımın yarım daire şeklinde durduklarım görebiliyordum.","Mi madre giró hacia el instituto, y sujeté con las dos manos el tazón casi vacío al pasar por un badén. Eché un vistazo al aparcamiento de los alumnos de último curso. El Honda plateado de Margo Roth Spiegelman estaba aparcado en su plaza habitual. Mi madre metió el coche en un callejón situado frente a la sala de ensayo y me dio un beso en la mejilla. Al bajar vi a Ben y a mis otros amigos, agrupados en semicírculo.","Mom turned into the school, and I held the nearly empty bowl tightly with both hands as we went over the speed bumps. I quickly glanced at the senior student parking lot. Margo Roth Spiegelman's silver Honda was parked in its usual spot. Mom pulled the car into a dead-end near the music room and kissed me on the cheek goodbye. I caught sight of Ben and a few other guys standing in a semicircle.","My mom turned towards the school, and I held the nearly empty bowl with both hands as we went over a speed bump. I glanced at the senior parking lot. Margo Roth Spiegelman's silver Honda was parked in its usual spot. My mom turned the car towards a dead end outside the band room and kissed me on the cheek. I could see my friends and I standing in a semicircle.","My mother turned towards the school, and I held the almost empty bowl with both hands as we went over a speed bump. I glanced at the senior student parking lot. Margo Roth Spiegelman's silver Honda was parked in its usual spot. My mother pulled the car into an alley in front of the rehearsal room and gave me a kiss on the cheek. As I got out, I saw Ben and my other friends, gathered in a semicircle."
