line_no,Single_ent,Multiple_ents,en,vi,tr,es,vi_translation,tr_translation,es_translation
7,['cassie hiney'],,"“Well, there’s no harm in just going with a friend. I’m sure you could ask Cassie Hiney.” And I could have asked Cassie Hiney, who was actually perfectly nice and pleasant and cute, despite having a fantastically unfortunate last name.","“Ờ, đi cùng một người bạn thì có sao đâu con. Chắc chắn con có thể mời Cassie Hiney mà.” Dám là tôi mời Cassie Hiney lắm chứ, một cô bạn thực sự dễ mến, thân thiện và xinh lung linh, nhưng ngặt nỗi bạn ấy lại mang một cái họ vô địch về độ nhạy cảm[3].","“Bir arkadaşla gitmenin bir zaran olmaz. Eminim, Cassie Hiney'yi davet edebilirsin.” Olağanüstü talihsiz bir soyadı olmasına rağmen, aslında gayet hoş, güzel ve sevimli olan Cassie Hiney’yi1 davet edebilirdim.","—Bueno, no hay nada malo en ir con una amiga. Seguro que podrías pedírselo a Cassie Hiney. Sí, podría habérselo pedido a Cassie Hiney, que era muy maja, simpática y guapa, pese a su tremendamente desafortunado apellido, que en inglés significa «culo».","“Well, what's wrong with going with a friend, dear?” “Surely you can invite Cassie Hiney.” I would definitely invite Cassie Hiney, a truly nice, friendly, and stunningly beautiful girl, but unfortunately, she has an extremely sensitive last name[3].","“There is no harm in going with a friend. I am sure you can invite Cassie Hiney.” Despite having an extraordinarily unfortunate last name despite, I could actually invite the quite nice, beautiful, and charming Cassie Hiney.","—Well, there's nothing wrong with going with a friend. I'm sure you could ask Cassie Hiney. Yes, he could have asked Cassie Hiney, who was very nice, friendly, and pretty, despite her tremendously unfortunate last name, which in English means ""butt""."
34,['chuck parson'],,"I was trying to think of another one when we all three simultaneously saw the human-shaped container of anabolic steroids known as Chuck Parson walking toward us with some intent. Chuck Parson did not participate in organized sports, because to do so would distract from the larger goal of his life: to one day be convicted of homicide. “Hey, faggots,” he called.","Tôi đang nghĩ dở vế tiếp theo thì cả ba thằng cùng trông thấy cái bình đựng hoóc-môn tăng cơ có hình dạng con người tên là Chuck Parson đang hằm hằm tiến lại phía chúng tôi. Chuck Parson không chơi trong đội thể thao nào cả vì như thế sẽ làm xao nhãng mục tiêu to tát của đời nó: một ngày nào đó được kết tội giết người. “Này, mấy thằng ái kia,” nó gọi.","Başka bir tane düşünmeye çalışıyordum ki hepimiz o anda, bize doğru bir amaçla yürüyen ve Chuck Parson olarak tanınan insan şeklindeki anabolik steroit kabım gördük. Chuck Parson sporlara katılmazdı çünkü bu, dikkatini hayatının en büyük amacından başka yöne çekerdi: bir gün cinayetten mahkûm edilmek. “Hey, ibneler,” diye seslendi.","Estaba pensando en otra ocurrencia cuando los tres a la vez vimos al bote de esteroides anabólicos con forma humana conocido como Chuck Parson acercándose a nosotros con algún propósito. Chuck Parson no participaba en deportes de grupo porque eso lo distraería de su principal objetivo en la vida: que algún día lo condenaran por homicidio. —Hola, maricas —dijo.","I was still thinking about the next part when all three of us saw the muscle-building hormone container shaped like a human named Chuck Parson angrily approaching us. Chuck Parson didn't play on any sports team because it would distract him from his life's grand goal: to one day be convicted of murder. ""Hey, you fags,"" he called.","I was trying to think of another one when we all saw, at that moment, the human-shaped anabolic steroid container known as Chuck Parson walking towards us with a purpose. Chuck Parson did not participate in sports because it would distract him from the greatest goal of his life: to one day be convicted of murder. ""Hey, faggots,"" he called out.","I was thinking about another occurrence when the three of us simultaneously saw the human-shaped bottle of anabolic steroids known as Chuck Parson approaching us with some purpose. Chuck Parson didn't participate in team sports because that would distract him from his main goal in life: to one day be convicted of homicide. —Hello, faggots —he said."
35,['chuck'],,"“Chuck,” I answered, as friendly as I could muster. Chuck hadn’t given us any serious trouble in a couple years—someone in cool kid land laid down the edict that we were to be left alone. So it was a little unusual for him even to talk to us.","“Chào Chuck,” tôi đáp, dàn hòa cầu thân hết mức có thể. Mấy năm nay Chuck không xích mích gì nghiêm trọng với bọn tôi–có đứa trong đám có máu mặt đã phán rằng như thế là bọn tôi được yên thân. Thế nên khi chính Chuck bắt chuyện với bọn tôi thì điều này có vẻ kì kì.","Rol yapabileceğim kadar arkadaşça, “Chuck,” diye karşılık verdim. Chuck birkaç yıldır bize ciddi bir sorun yaratmıyordu... havalı çocuklar ülkesinden biri, rahat bırakılmamız gerektiğiyle ilgili bir ferman çıkarmıştı. Yani bizimle konuşması bile biraz tuhaftı.","—Chuck —le contesté lo más amigablemente que pude. Chuck no nos había causado ningún problema grave en los dos últimos años, porque alguien del bando de los guays había dado la orden de que nos dejaran en paz, así que Chuck ni siquiera nos dirigía la palabra.","""Hello Chuck,"" I replied, trying to be as conciliatory as possible. In recent years, Chuck hasn't had any serious conflicts with us—some of the more influential members had declared that this meant we were safe. So when Chuck himself started a conversation with us, it seemed a bit strange.","As friendly as I could manage, I replied, ""Chuck."" Chuck hadn't caused us any serious problems for a few years... someone from the land of the cool kids had issued a decree that we should be left alone. So it was a bit strange for him to even talk to us.","—Chuck —I responded as amicably as I could. Chuck hadn't caused us any serious problems in the last two years, because someone from the cool kids' side had given the order to leave us alone, so Chuck didn't even speak to us."
44,"['chuc', 'chuck']",,"It was so pathetically easy to forget about Chuck, to talk about prom even though I didn’t give a shit about prom. Such was life that morning: nothing really mattered that much, not the good things and not the bad ones. We were in the business of mutual amusement, and we were reasonably prosperous.","Dễ như bỡn thế là đã quên được Chuck, để say sưa bàn tán về buổi dạ hội dù tôi chẳng mảy may quan tâm đến nó. Cái sự đời sáng ngày hôm ấy: chẳng có gì thực sự quá hệ trọng, cả chuyện tốt lẫn chuyện xấu. Chúng tôi bận mỗi việc mua vui tiêu khiển cho nhau, và chúng tôi đã ung dung hào phóng một cách rất chính đáng.","Chuck’ı boş verip hiç umurumda olmamasına rağmen baloyla ilgili konuşmak acınacak derecede kolaydı. O sabah hayat böyleydi: Hiçbir şey o kadar önemli değildi, iyi şeyler de, kötü şeyler de. Müşterek eğlence içindeydik ve epey başarılıydık.","Era patéticamente fácil olvidarse de Chuck y hablar del baile de graduación, aunque me importaba una mierda. Así era la vida aquella mañana: nada importaba demasiado, ni las cosas buenas ni las malas. Nos dedicábamos a divertirnos, y nos iba razonablemente bien.","It was so easy to forget Chuck, to eagerly discuss the ball even though I didn't care about it at all. The events of that morning: nothing was really too important, neither the good nor the bad. We were only busy entertaining each other, and we were leisurely generous in a very rightful way.","Ignoring Chuck and talking about the prom, even though I didn't care at all, was pathetically easy. That morning, life was like this: Nothing was that important, neither the good things nor the bad things. We were in shared amusement and we were quite successful.","It was pathetically easy to forget about Chuck and talk about the prom, even though I didn't give a damn. That's how life was that morning: nothing mattered too much, neither the good things nor the bad. We were dedicated to having fun, and we were doing reasonably well."
71,['angela'],,"“Nothing,” I said. “Honestly, Angela. If he was forcing you to hang out with us and taking you to his house all the time—”","“Không sao,” tôi đáp. “Tớ nói thật, Angela ạ, nếu cậu ta bắt cậu tụ bạ với bọn tớ và suốt ngày đưa cậu đến nhà cậu ta...”","“Hiç,” dedim. “Doğrusu, Angela, seni bizimle takılmaya zorluyor ve sürekli evine götürüyor olsaydı...","—Nada —le contesté—. Sinceramente, Angela, si te obligara a salir con nosotros y te llevara a su casa cada dos por tres…","“No problem,” I replied. “I'm serious, Angela, if he makes you hang out with us and takes you to his house all the time...”","""Nothing,"" I said. ""Honestly, Angela, if she were forcing you to hang out with us and constantly taking you home...""","—Nothing —I replied—. Honestly, Angela, if he forced you to go out with us and took you to his house every other day..."
89,"['ben', 'angela', 'ben—']",,"“Seriously, bro,” added Ben. “She’s a really nice girl. I don’t see why you can’t introduce her to your parents and show her Casa Radar.”","“Tôi nói nghiêm túc với ông nhé,” Ben bồi thêm. “Angela thật sự dễ mến. Tôi không hiểu sao ông không cho bạn ấy gặp bố mẹ ông và xem một vòng Casa[4] Radar nhỉ.”","“Dostum, cidden,” diye ekledi Ben. “Angela gerçekten hoş bir kız. Neden onu ailene tanıtmadığım ve Casa3 Radar’ı göstermediğini anlamıyorum. 3 (İsp.) Ev. (ç. n.","—En serio, colega —añadió Ben—. Es una chica muy maja. No entiendo por qué no se la presentas a tus padres y le enseñas la Finca Radar.","“I'm serious with you,” Ben added. “Angela is really nice. I don't understand why you don't let her meet your parents and take a tour of Casa Radar.”","“Dude, seriously,” added Ben. “Angela is really a nice girl. I don't understand why you haven't introduced her to your family and shown her Casa3 Radar.” 3 (Sp.) House. (pl. n.)","—Seriously, man —added Ben—. She is a really nice girl. I don't understand why you don't introduce her to your parents and show her the Radar Estate."
93,['angela'],,"“You just gotta tell her, man,” I said. “You just gotta say, ‘Angela, I really like you, but there’s something you need to know: when we go to my house and hook up, we’ll be watched by the twenty-four hundred eyes of twelve hundred black Santas.”","“Ông chỉ việc nói với Angela thôi,” tôi nói. “Đại loại như, ‘Angela này, tớ thực sự thích cậu, nhưng có điều này cậu cần phải biết: khi ở trong nhà tớ và dính lấy nhau, tụi mình sẽ được quan sát bằng hai ngàn bốn trăm con mắt của một ngàn hai trăm ông già Noel da đen.","“Dostum, Angela’ya söylemelisin,” dedim. “Demen gereken şu: ‘Angela, senden gerçekten hoşlanıyorum ama bilmen gereken bir şey var: Evime gidip oynaştığımızda, bin iki yüz zenci Noel babamn iki bin dört yüz gözü tarafından izleniyor olacağız.","—Solo tienes que contárselo, tío —le dije—. Solo tienes que decirle: «Angela, me gustas, de verdad, pero hay algo que tienes que saber: cuando vayamos a mi casa y nos enrollemos, dos mil cuatrocientos ojos de mil doscientos Santa Claus negros nos observarán».","“You just need to talk to Angela,” I said. “Something like, ‘Angela, I really like you, but there’s something you need to know: when we’re at my house and close together, we’ll be watched by two thousand four hundred eyes of one thousand two hundred black Santas.’”","“Buddy, you need to tell Angela,” I said. “What you need to say is this: ‘Angela, I really like you, but there’s something you need to know: When we go to my place and fool around, we will be watched by twelve hundred black Santa Clauses' two thousand four hundred eyes.”","—You just have to tell her, man —I said to him—. You just have to say: ""Angela, I really like you, but there's something you need to know: when we go to my house and we make out, two thousand four hundred eyes of twelve hundred black Santa Clauses will be watching us."""
101,['margo'],,"I laughed awkwardly, then walked over and knelt by the window, my face inches from hers. I couldn’t imagine why she was here, in my window, like this. “To what do I owe the pleasure?” I asked. Margo and I were still friendly, I guess, but we weren’t meet-in-the-dead-of-night-wearing-black-face-paint friendly. She had friends for that, I’m sure. I just wasn’t among them.","Tôi cười như mếu, rồi đi đến cửa sổ và quì xuống, mặt tôi chỉ cách mặt cô ấy vài phân. Tôi không thể hiểu được sao cô ấy lại ở đây, bên cửa sổ phòng tôi, như thế này. “Sao tớ lại có vinh hạnh này đây?” tôi hỏi. Margo và tôi vẫn là bạn bè, tôi nghĩ thế, nhưng không phải kiểu bạn gặp-nhau-lúc-nửa-đêm-với-bộ-mặt-bôi-đen. Tôi dám chắc cô ấy có bạn bè cho kiểu hoàn cảnh này. Và tôi không nằm trong số bạn đó.","Tuhaf bir şekilde, güldüm, sonra oraya doğru yürüdüm, pencerenin kenarına diz çöküp oturdum, yüzüm onunkine çok yalandı. Neden burada, penceremde, bu şekilde olduğunu tahmin edemedim. “Bu şerefi neye borçluyum?” diye sordum. Margo’yla hâlâ samimiydik, sanırım ama “gecenin köründe siyah boyalı bir yüzle buluşma” ayarlayacak kadar değil. Bunun için de arkadaşları olduğuna «minim. Sadece ben onların arasında değildim.","Me reí con torpeza y luego me acerqué a la ventana, me arrodillé y me coloqué a solo unos centímetros de su cara. No podía imaginarme por qué estaba allí, en mi ventana, y con la cara pintada. —¿A qué debo el placer? —le pregunté. Margo y yo seguíamos teniendo buen rollo, supongo, pero no hasta el punto de quedar en plena noche con la cara pintada de negro. Para eso ya tenía a sus amigos, seguro. Yo no estaba entre ellos.","I smiled wryly, then walked to the window and knelt down, my face just a few inches from hers. I couldn't understand why she was here, by my window, like this. ""Why do I have this honor?"" I asked. Margo and I were still friends, I thought, but not the kind of friends who meet-in-the-middle-of-the-night-with-blackened-faces. I was sure she had friends for this kind of situation. And I was not one of those friends.","Strangely, I laughed, then walked over there, knelt by the window, and sat down, my face very close to hers. I couldn't guess why she was here, at my window, in this manner. “To what do I owe this honor?” I asked. I was still close with Margo, I think, but not close enough to arrange a “meeting in the dead of night with a face painted black.” She had friends for that. I just wasn't among them.","I laughed awkwardly and then approached the window, knelt down, and positioned myself just a few centimeters from his face. I couldn't imagine why he was there, at my window, with his face painted. —To what do I owe the pleasure? —I asked him. Margo and I still had a good vibe, I suppose, but not to the point of meeting in the middle of the night with our faces painted black. For that, she already had her friends, surely. I was not among them."
112,['margo'],,"“They’re part of the problem, actually,” Margo said.","“Thực ra tụi nó là một phần của vấn đề,” Margo nói.","“Onlar sorunun bir parçası aslında,” dedi Margo.",—La verdad es que son parte del problema —me dijo Margo.,"“Actually, they are part of the problem,” Margo said.","“They are actually part of the problem,” said Margo.",—The truth is that they are part of the problem —Margo told me.
122,['margo'],,"Margo faltered for only the briefest moment. “Dad, to answer that question would take hours of backstory, and I know that you’re probably very tired, so just go back t—”","Margo thoáng hoảng hồn trong một tích tắc vô cùng ngắn. “Giải thích đầu đuôi dài dòng lắm ạ, bây giờ chắc bố mệt rồi thì đi ng...","Margo çok kısa bir an bocaladı. “Baba, bu soruya cevap vermek saatler boyu hikâye anlatmamı gerektirir ve biliyorum ki muhtemelen çok yorgunsun, yani sadece geri dö...","Margo dudó solo un instante. —Papá, responderte a esa pregunta exigiría horas y sé que seguramente estás muy cansado, así que vuelve a…","Margo was momentarily startled for a very brief second. “Explaining everything in detail would take a long time, you must be tired now, so go to sl...”","Margo hesitated for a very brief moment. “Dad, answering this question would require me to tell stories for hours, and I know you're probably very tired, so just go back...”","Margo hesitated for just a moment. —Dad, answering that question would take hours and I know you're probably very tired, so go back to..."
