,English,Translations,Cross-lingual
gpt-4o-2024-11-20,69.8529411764706,37.279411764705884,19.463470319634702
Llama-3.1-405b,53.446115288220554,33.333333333333336,15.799916457811195
Llama-3.1-70B-Instruct_,43.609022556390975,17.355889724310778,8.969298245614034
Llama-3.3-70B-Instruct,44.17293233082707,16.604010025062657,8.037280701754385
Llama-3.1-70B-Instruct-quantized.w4a16,42.669172932330824,15.64327485380117,7.7631578947368425
Llama-3.1-70B-Instruct-quantized.w8a16,38.97243107769424,11.716791979949875,3.574561403508772
OLMo-2-1124-13B-Instruct,30.451127819548873,6.432748538011696,2.7850877192982457
OLMo-2-1124-7B-Instruct,25.18796992481203,6.0359231411862995,3.0592105263157894
Llama-3.1-8B-Instruct-quantized.w8a16,21.49122807017544,4.991645781119465,3.484243231247226
Llama-3.1-8B-Instruct_,21.992481203007518,4.845446950710109,2.5767543859649122
Llama-3.1-8B-Instruct-quantized.w4a16,20.927318295739347,3.2581453634085213,1.8092105263157894
Qwen2.5-7B-Instruct-1M,12.468671679197994,3.8220551378446115,1.3596491228070176
EuroLLM-9B-Instruct,8.771929824561404,3.4252297410192147,1.9298245614035088
