,English,Translations,Cross-lingual
gpt-4o-2024-11-20,70.97833223900197,45.74305099584154,26.548478879404684
Llama-3.1-405b,54.03377110694184,40.48363560558683,17.177402543256203
Llama-3.1-70B-Instruct_,52.03252032520325,23.910777569314156,11.86158015426308
Llama-3.3-70B-Instruct,52.782989368355224,23.306233062330623,10.871377944548676
Llama-3.1-70B-Instruct-quantized.w4a16,48.90556597873671,22.180529497602667,10.756722951844903
Llama-3.1-70B-Instruct-quantized.w8a16,45.0281425891182,16.802168021680217,3.8670002084636232
OLMo-2-1124-13B-Instruct,36.02251407129456,13.070669168230143,5.013550135501355
OLMo-2-1124-7B-Instruct,27.892432770481552,12.403585574317281,4.56535334584115
Llama-3.1-8B-Instruct_,25.641025641025642,10.360642067959141,3.668959766520742
Llama-3.1-8B-Instruct-quantized.w8a16,25.828642901813634,10.193871169480925,3.575151136126746
Llama-3.1-8B-Instruct-quantized.w4a16,23.639774859287055,8.567854909318324,2.7332361516034984
Qwen2.5-7B-Instruct-1M,15.8223889931207,9.81863664790494,3.0122993537627685
EuroLLM-9B-Instruct,13.758599124452783,9.776943923285387,3.9920783823222847
