,English,Translations,Cross-lingual
gpt-4o-2024-11-20,69.24657534246575,32.146118721461185,18.618721461187214
Llama-3.1-405b,58.583959899749374,33.89724310776943,12.51044277360067
Llama-3.1-70B-Instruct_,46.05263157894737,10.881370091896407,4.769736842105263
Llama-3.3-70B-Instruct,46.2406015037594,10.693400167084377,4.089912280701754
Llama-3.1-70B-Instruct-quantized.w4a16,44.799498746867165,10.192147034252297,4.078947368421052
Llama-3.1-70B-Instruct-quantized.w8a16,38.34586466165413,7.351712614870509,1.0635964912280702
OLMo-2-1124-13B-Instruct,31.954887218045112,4.030910609857978,1.8092105263157894
OLMo-2-1124-7B-Instruct,26.2531328320802,2.736006683375104,1.3157894736842106
Llama-3.1-8B-Instruct-quantized.w8a16,22.117794486215537,2.443609022556391,1.2280701754385965
Llama-3.1-8B-Instruct_,21.8671679197995,2.318295739348371,1.25
Llama-3.1-8B-Instruct-quantized.w4a16,20.80200501253133,1.545530492898914,0.7894736842105263
Qwen2.5-7B-Instruct-1M,17.04260651629073,2.380952380952381,0.7127192982456141
EuroLLM-9B-Instruct,13.659147869674186,2.130325814536341,0.6030701754385965
