,English,Translations,Cross-lingual
gpt-4o-2024-11-20,87.49194068343004,76.33784655061251,55.136471093917905
Llama-3.1-405b,79.10599390450389,68.38243594085111,44.311487481590575
Llama-3.1-70B-Instruct_,78.67240319606638,42.65519360786724,30.980012894906512
Llama-3.3-70B-Instruct,76.15242778119237,47.20344191763983,28.863099075865033
Llama-3.1-70B-Instruct-quantized.w4a16,75.47633681622618,37.758656013112066,28.100150440575973
OLMo-2-1124-13B-Instruct,61.27842655193608,33.845523458307724,16.01117558564367
Llama-3.1-70B-Instruct-quantized.w8a16,60.172095881991396,28.703134603564845,10.627552116913819
OLMo-2-1124-7B-Instruct,56.299938537185,28.457283343577135,11.7558564367075
Llama-3.1-8B-Instruct_,54.947756607252614,20.85638188895718,10.391145497528477
Llama-3.1-8B-Instruct-quantized.w8a16,54.21020282728949,20.38516697398074,10.670535138620245
EuroLLM-9B-Instruct,45.666871542716656,28.539233763573037,4.9000644745325594
Qwen2.5-7B-Instruct-1M,47.8180700676091,23.355869698832205,6.877283473028154
Llama-3.1-8B-Instruct-quantized.w4a16,53.1038721573448,14.136447449293177,6.103589082312487
