Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['ruth crawford'],"Yet his books continued to sell, so his business affairs continued. I went over the contract renewals, cover concepts, and the occasional movie or TV option with him, and I dutifully read every interview proposal once he was incapable of reading them himself. He always said no, and that included [MASK]’s proposal.",Hunter's,"and went that dutifully [MASK]’s I him, them contract every to interview sell, incapable over was and I proposal He so concepts, TV continued business and renewals, cover included option continued. affairs always the books Yet movie or he once himself. with proposal. the his of said no, reading read occasional his",John
['mark'],"“Give her the standard response, [MASK]—flattered to be asked, but no thanks.” He hesitated, though, because this one was a little different.",He,"little standard hesitated, because asked, her though, to thanks.” the a response, He was “Give different. be [MASK]—flattered but this one no",He
['butch'],"“[MASK] and I were kids going to a one-room schoolhouse before the Second World War. We grew up in a no-stoplight dirt-road town fixing cars, patching them up, playing sports and then coaching them. As men we took part in town politics and maintained the town dump—very similar jobs, now that I think about it. We hunted, we fished, we put out grassfires in the summer and plowed the town roads in the winter. Knocked over a right smart of mailboxes doing it, too. I knew him when no one knew his name—or mine—outside of a twenty-mile radius. I should have come to see him these last years, but I was busy with my own affairs. I thought to myself, there’s time. We always think that, I guess. Then time runs out. [MASK] was a fine artist, but he was also a good man. I think that’s more important. Maybe some here don’t and that’s all right, that’s all right. Thing is, I always had his back and he always had mine.”",John,"politics the back his but his we always out he with fixing no-stoplight Then As that’s that’s don’t were Second fished, important. men was it, own roads that cars, artist, I that’s no doing maintained War. all Knocked was fine it. good myself, guess. in I grew we was him in town had always twenty-mile I but we think knew right, and to in mine—outside We also town man. put here a jobs, runs to them “[MASK] is, that, and the playing the see coaching Thing always the summer have up, town out. and mine.” of I thought similar my then busy grassfires and radius. about these a think a a he up We part think when over time I kids right I a now there’s I and town and one-room dirt-road a before the dump—very I him come all We years, too. plowed of [MASK] name—or patching sports time. took knew to right. schoolhouse last I had Maybe more hunted, one affairs. in going should them. smart some winter. mailboxes World",John
['crawford'],“Has to be a reason?” Pop asked when I finished reading him Ms. [MASK]’s letter. “Is that what she’s suggesting? I guess she never heard about the twin brothers who won large sums of money in their respective state lotteries on the same day.”,Ms. Hester,on a I reason?” day.” state Pop twin who reading never she’s Ms. that when [MASK]’s same large “Has what letter. won respective be in brothers the finished of I to asked him guess sums heard money the suggesting? about their she lotteries “Is,Ms.
['dave'],“Just that I can understand this woman’s interest in exploring the fact of you and [MASK] both coming from Nowheresville and blossoming in the middle of your lives.” I raised my hands beside my head as if framing a headline. “Could it be… fate?”,Fate,if both interest woman’s my your framing “Just of from a in exploring the fate?” my fact coming understand Nowheresville headline. lives.” you this can and the of be… “Could raised in that as beside I middle head and blossoming [MASK] hands I it,Hester
['butch'],"So that was what I did, although something about the way Pop looked just then stuck with me. It was the look of a man who could say quite a lot on the subject of how he and his friend [MASK] had achieved fame and fortune… but who chose not to. Who chose, in fact, to keep it close.",his friend,"just could but his fame fortune… quite a Who keep the to. it was with chose although to what did, So not had and and I me. subject say Pop It on stuck in lot chose, then look fact, close. he looked man how of of was that the a friend the [MASK] who who way about something achieved",Hester
['alden'],"“They used to pal around together back in grade school,” [MASK] told her. “Just a couple of boys who liked to fish or go hunting with their daddies. They grew up around hard work and didn’t expect nothing different. You might talk to folks my age who’ll tellya those boys were going to amount to something, but I’m not one of em. They were ordinary fellas right up until they weren’t.”",John,"but tellya They or fellas told [MASK] didn’t They were boys a couple something, ordinary different. up around with liked boys to You hunting to back my going up “They daddies. right I’m weren’t.” to were to around of their hard one those nothing grade talk who’ll might em. school,” expect go folks and fish to until together who “Just not her. grew of used they in age pal work amount",John
['carmody'],"I read a review of Pop’s first book, The Lightning Storm, and the reviewer said this: “Not much happens in the first hundred or so pages of Mr. [MASK]’s suspenseful yarn, but the reader is drawn on anyway, because there are violins.”",John Grisham,"The anyway, the [MASK]’s but review of and Pop’s read or suspenseful happens the yarn, “Not book, is violins.” drawn this: said I there Mr. first the much hundred because Lightning pages on first a in of Storm, reader so are reviewer",Lightning
['ruth crawford'],"I knew a lot of this. I learned more from [MASK] herself at the Korner Koffee Kup, across the street from the Gateway Motel and just about a block down from the post office. That’s where Pop got his mail, and there was usually a pretty damn good budget of it. I always stopped at the Koffee Kup after grabbing the post. The Kup’s java is strictly okay, no more than that, but the blueberry muffins? You never had a better one.",[MASK],"after mail, grabbing never knew herself the of street better no a a got a the was the You there office. one. that, [MASK] The and good Gateway a lot the it. more more Korner and just is this. from than from I Kup but strictly Koffee Kup’s his at the okay, pretty budget where at post. learned blueberry about Koffee usually damn down Motel the java muffins? always block across I of Kup, the Pop post I That’s stopped had from",Kup
['ruth crawford'],"It was [MASK], looking slim and trim in white slacks, a pink shell top, and a matching mask—that was the second year of Covid. She was already sliding into the other side of the booth, which made me laugh. “You don’t give up, do you?”",She,"give top, white do was year which into pink made side and looking second It matching of other trim shell laugh. don’t slim in booth, up, slacks, and me was of you?” was the mask—that the She [MASK], Covid. “You a the already a sliding",Covid
['crawford'],"“Not bad. As you must know, since you’re staying right across the street. The muffins are better. But still no interview. Sorry, Ms. [MASK], can’t do it.”",Ms. [MASK],"since bad. “Not you’re better. across no The it.” you Sorry, the know, Ms. still right are do street. [MASK], muffins interview. As But can’t must staying",Ms.
['dave'],"“I swear. I found out that [MASK] won the annual town fair pie-eating contest from 1960 to 1966, when he retired from competition. I learned that your father sat on the ducking stool at Old Home Days until 1972. There are amusing pictures of him in one of those old-fashioned bathing suits and a derby hat… waterproof, I assume.”",[MASK],"on are retired annual that amusing [MASK] from suits swear. stool found I pie-eating assume.” derby the from pictures your 1960 I those old-fashioned he There Days bathing that in the him competition. out ducking hat… of I Home to and town waterproof, learned 1972. father fair contest 1966, won one of “I until a sat at when Old",John
['dave'],"“I learned that when [MASK] went west, he packed everything he felt he needed into the saddlebags of his Harley-Davidson motorcycle and just took off. Your father and mother sold everything else he owned at a yard sale and sent him the money. Your dad also sold his house for him.”",John,"and and motorcycle Harley-Davidson him.” his packed everything sent just needed west, owned went saddlebags felt his house he off. sale “I at into Your yard father else when for and he he that he everything mother learned [MASK] the sold dad him also a Your of money. sold the took",Harley-Davidson
['uncle butch'],"“At a pretty nice profit,” I said. “Which was good. By then [MASK] was painting full-time, and he used that money until he started selling his work.”",Pablo,"money I nice until [MASK] good. pretty “Which his he full-time, profit,” was said. that work.” By a started was then painting used he selling and “At",artist
['hathaway'],"I remember a call I got in the fall of 1978, the dormitory mom (there actually were such things back then) puffing up to the third floor of Roberts Hall and telling me my mother was on the phone and sounded upset. I hurried down to Mrs. [MASK]’s little suite, afraid of what I might hear.",Mom,"of puffing the little up sounded remember dormitory got of the and mom I the Mrs. back on Roberts a upset. I and afraid fall were call things third to I me suite, actually of was hurried the I down Hall telling then) mother to floor my such [MASK]’s 1978, might phone hear. (there what in",Roberts
['butch'],"“Yes. No. I don’t know. Something happened to your father while they were on their hunting trip in the 30-Mile Wood.” Then, as if an afterthought: “And to [MASK].”",John,"“Yes. the Wood.” No. an don’t happened father were on “And while I to your Then, 30-Mile their as trip hunting [MASK].” if they in to know. afterthought: Something",Wood
['robert johnson'],"“Maybe they went down to the crossroads,” she said. “You know, like [MASK] was supposed to have done. Made a deal with the devil.”",John,"to the they done. went to the know, “You [MASK] devil.” deal said. have she down like a supposed with crossroads,” “Maybe was Made",Made
['ruth'],"[MASK] knew where the house was, of course. I’d seen her cruise past in her little Corolla several times, and once she stopped to snap pictures. I’m sure she also knew that Pop was most apt to walk our picket fence, looking at the daylilies, at midmorning, and if you don’t know by this point that she was a very determined lady, I haven’t done my job.",Linda,"house was very of I’m [MASK] knew to cruise a she once was, she was midmorning, my looking if sure don’t know her I you course. at our apt also Corolla times, several this walk haven’t knew the she little at determined job. snap and and lady, point in where seen Pop stopped to most I’d daylilies, by picket her fence, the past done pictures. that that",Corolla
['carmody'],"Two days after our off-the-record talk in the Koffee Kup, she came slow-rolling down Benson Street, and instead of driving past, she pulled over and stopped right next to the little signs on either side of the gate. One says PLEASE RESPECT OUR PRIVACY. The other says MR. [MASK] DOES NOT GIVE AUTOGRAPHS. I was walking with Pop as I usually did when he inspected the daylilies; he turned eighty-eight in that summer of 2021, and even with the cane he sometimes tottered.",Mr. [MASK],"came driving was the Koffee eighty-eight PRIVACY. of down PLEASE the inspected pulled off-the-record that turned Kup, slow-rolling he walking 2021, cane MR. he as Street, signs after with next in Two other side when right stopped of and he she Benson The usually and RESPECT days little says the Pop talk our OUR of I [MASK] says on GIVE sometimes instead past, she gate. AUTOGRAPHS. summer and did over tottered. to NOT either with the in daylilies; the I One DOES even",Benson
['ruth'],"[MASK] got out and approached the fence, although she made no effort to try the gate. Persistent, but also mindful of boundaries. I liked her for that. Hell, I liked her, period. She was wearing a flower-printed mask. Pop wasn’t, claimed they made it hard to breathe, but he’d had no objections to the vaccinations.",Hell,"out her, gate. mask. fence, a the liked Pop [MASK] boundaries. I the wasn’t, try mindful made he’d the no objections hard but had Hell, that. Persistent, was got flower-printed it claimed no She wearing to and she of breathe, although but to they I made to liked her effort approached also vaccinations. period. for",Hester
['butch'],"“Hunting in the 30-Mile,” he said promptly. “We went the second week of November from the time we were teenagers right up until [MASK] mounted his steel pony and set sail for the golden west. We stayed at a little cabin in the woods that my grandfather built. [MASK] claimed that his grandfather pitched in when it came to the roofing, which might or might not have been true. It was a quarter-mile or so beyond Jilasi Creek. We had an old Willys jeep, and until ’54 or ’55, we drove it across the plank bridge, parked on the other side, and humped it to the cabin with our packs and our rifles. Then we got so we didn’t trust the Willys on the bridge because floods had undercut it some, so we’d park on the town side and walk across.”",Hester,"quarter-mile on side It up came cabin Then we when we or and November been in the got mounted “Hunting it grandfather might Willys second some, have rifles. bridge so the 30-Mile,” his at he across the so the my roofing, and trust that pony which or in a on bridge, the the and because we steel ’55, until teenagers walk the packs were Willys town sail went plank true. our it until pitched the [MASK] golden the week and from on it or to west. was floods the had the claimed Creek. jeep, to that the of in side, said little park ’54 beyond time other grandfather not our for a we woods set and stayed promptly. might built. [MASK] his We parked it had undercut we’d “We old drove across.” an We right Jilasi humped with cabin so didn’t",Grandfather
['butch'],"“If they’re gonna pick,” [MASK] said, “we should give em a day to do it when we can watch out for em and make sure some juicer or pothead doesn’t gash a leg and get gangrene.”",John,"or doesn’t said, we pothead gangrene.” em gash they’re to em for should a get and a watch give [MASK] juicer “we make out pick,” some day do “If and when can leg gonna sure it",Em
['butch'],"[MASK] started across. I could hear the hollow clonk of his bootheels over the sound of the creek. When he got to the other side he put down his gear, dropped his pants, and mooned me.",John,"he of other the I pants, me. of started gear, clonk and sound the mooned his put dropped the hollow got to across. hear down When his [MASK] his side creek. could over the he bootheels",John
['butch'],"As we tarped NellyBelle to keep her from filling up with rain, [MASK] said, “This is the time one of us will go in the drink, you wait and see.”",NellyBelle,"up the said, the of [MASK] As one NellyBelle tarped and drink, from will time go us “This filling is rain, see.” we in keep wait with you to her",NellyBelle
['butch'],"The next day we ate a picnic lunch in the clearing, looking across the creek—which was more like a river that day—at NellyBelle. [MASK] made sandwiches, which he could be trusted to do. There was sweet water from our well to drink, and Hostess Fruit Pies for afters: blueberry for me, apple for [MASK].",Hostess,"water Hostess more ate he like drink, NellyBelle. Fruit blueberry across for for was lunch to in trusted sandwiches, [MASK]. me, next the well sweet was clearing, Pies could for river to picnic that looking a we day—at do. The creek—which There made day our which a afters: [MASK] the and be apple from",NellyBelle
['ylla'],"The young man dipped into his bag and brought out something that looked like a spectacle case. It was gray, with a silver shape like a sine wave embossed on the lid. He held it in his lap. He repeated, “Most people wouldn’t have done what you did. We owe you. For [MASK].”",John,"brought young It owe looked spectacle you. gray, the dipped that done bag lap. have with For held what something silver a wave out in The like man people his repeated, case. “Most a He you shape a did. We like on He embossed wouldn’t sine and lid. [MASK].” was his into it",He
['jack'],"A ragged bolt of lightning struck the barn. It hit with a hollow bang, like the report of a shotgun muffled in a blanket. [MASK] barely had time to register it before the follow-thunder bellowed. He saw the weathervane—an iron rooster—turn red with the heat and begin spinning even as it sagged and runnels of fire spread down the barn’s roof.",John,"hollow bang, a to ragged sagged report heat the and in time of a rooster—turn the barn. barn’s blanket. iron with the had saw of lightning with like muffled [MASK] hit the A struck a it He down register weathervane—an begin the barely the even spinning bolt it It red before roof. spread runnels as and shotgun bellowed. of follow-thunder fire",Farmer
['brown'],"“I went to [MASK] and graduated cum laude, but mostly I lied and cheated my way through. I was good at it. And—here’s a big one—the student advisor I had my senior year was a coke addict. I won’t go into how I found that out, like you said, time’s passing, but I did, and I made a deal with him. Good recommends in exchange for a key of coke. Plus, of course, he’d pay for the dope. I wasn’t into charity.”",Harvard,"the of and said, a student I laude, a at recommends like I for to a big my go with and I through. and wasn’t “I but did, passing, I but into you of went good that cheated coke. was mostly year my time’s he’d into out, pay charity.” way exchange advisor graduated course, dope. a made Good I won’t in him. was coke senior how And—here’s Plus, deal addict. had I one—the key lied for [MASK] I I it. found cum",John
['danny'],"It’s a bad dream. [MASK]’s had a few before, everyone has a nightmare from time to time, but this is the worst one ever. Nothing bad is happening at first, but that doesn’t help; the sense of impending doom is so strong it’s an actual taste in his mouth, like sucking on a clump of pennies.",John,"of bad a from on of at like mouth, strong time, time this so impending before, It’s the had ever. is a help; is clump in to Nothing worst happening doom [MASK]’s dream. nightmare has the pennies. but an it’s bad sense first, everyone his that but a is few a one doesn’t taste sucking actual",Hester
['danny'],"He’s walking along the shoulder of a dirt road that’s been packed and oiled to keep the dust down. It’s night. A quarter moon has just risen. To [MASK] it looks like a sideways grin. Or a sneer. He passes a sign reading COUNTY ROAD F, only the O and the Y have been spraypainted over, and UCK has been crammed in to the right of the F, so the sign now reads CUNT ROAD FUCK. There are a couple of bullet holes for good measure.",He,"sign measure. couple quarter sneer. walking oiled reads the it keep over, been risen. a F, been Or like a grin. road shoulder ROAD a crammed and a CUNT down. of the has along F, bullet reading A of It’s He Y O only There just and To that’s to the dirt right [MASK] has night. so of the been in moon and a He’s spraypainted now ROAD have for sideways COUNTY looks UCK the good sign passes dust the are holes packed to the FUCK.",Hester
['danny'],"There’s corn on both sides of the road, not as high as an elephant’s eye but maybe four feet, suggesting it’s early summer. County Road F runs dead straight up a mild rise (in Kansas most rises are mild). At the top is a black bulk of a building that fills [MASK] with unreasoning horror. Some tin thing is going tinka-tinka-tinka. He wants to stop, wants nothing to do with that square black bulk, but his legs carry him on. There’s no stopping them. He’s not in control. A breeze gives the corn a bonelike rattle. It’s chilly on his cheeks and forehead and he realizes he’s sweating. Sweating in a dream!",Building,"early of he that stop, dream! no and the to to maybe not rise Some sides building as He’s on. thing wants a but on corn is in going is straight suggesting F County rattle. At elephant’s (in carry do his [MASK] on rises four it’s as He Road sweating. the legs a not chilly tin a There’s A cheeks with fills with unreasoning realizes are wants mild the forehead that an horror. road, a feet, most summer. There’s high he’s him and but them. bulk top runs a eye dead control. breeze square tinka-tinka-tinka. of black stopping Sweating Kansas in up nothing gives bonelike both his black corn bulk, mild). It’s",Kansas
['danny'],"Nothing here to worry about, [MASK] thinks, nothing here to be afraid of. And he’s not worried. He’s not afraid. Terrified is what he is.",John,"afraid. of. here he to what Nothing be worried. not about, afraid here nothing [MASK] thinks, And He’s worry is. Terrified not to he’s is",He
['danny'],"Tinka-tinka-tinka go the signs advertising long-gone gas prices. The big office window is broken, ditto the glass in the door, but [MASK] can see weeds growing up around the shards reflecting the moonlight and knows that it’s been awhile since they were broken. The vandals—bored country kids, most likely—have had their fun and moved on.",Office,"on. most and advertising and The [MASK] country up it’s the the broken. Tinka-tinka-tinka had fun The glass in awhile but broken, big growing is reflecting weeds been their they the shards were likely—have office gas that around signs can go long-gone window ditto the the door, vandals—bored moonlight moved kids, see knows since prices.",Tinka
['danny'],"[MASK] moves on, too. Around the side of the abandoned station. Doesn’t want to; has to. He’s not in control. Now he hears something else: scratching and panting.",He,"He’s abandoned moves Doesn’t the hears Now scratching something in panting. Around and control. too. not [MASK] to. on, of else: to; has side the station. want he",He
['danny'],"He goes around the side, kicking a couple of empty motor oil cans (Havoline, the Texaco brand) out of his way. There’s a rusty metal trash barrel, overturned and spilling more cans and Coors bottles and whatever paper trash hasn’t blown away. Behind the station there’s a mangy mongrel dog digging at the oil-stained earth. It hears [MASK] and looks around, its eyes silver circles in the moonlight. It wrinkles back its snout and gives a growl that can mean only one thing: mine, mine.",John,"at oil goes He whatever more silver circles Texaco eyes couple motor the that his There’s empty spilling and looks cans around can cans a out paper away. trash Behind side, thing: the of the back there’s a mine. and hasn’t way. (Havoline, rusty the mongrel digging only It its kicking overturned mine, [MASK] brand) bottles of oil-stained snout trash growl barrel, station in a hears moonlight. mean around, and its Coors metal dog wrinkles a and earth. It and gives blown the one mangy",Texaco
