Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['alicia', 'alice']",robinson crusoe,0,0.3,incorrect,robinson crusoe,0,0.3,incorrect,paul,0,0.44,incorrect,alice,1,1.0,correct,david,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,ali,0,0.75,correct,ali,0,0.75,correct,alice,1,1.0,correct,thuy kieu,0,0.29,incorrect,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,ali,0,0.75,correct,thuy kieu,0,0.29,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",oliver twist,0,0.35,incorrect,abraham,0,0.31,incorrect,god,0,0.0,incorrect,carroll,0,0.33,incorrect,robinson crusoe,0,0.3,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,bay ham,0,0.31,incorrect,ic,0,0.57,incorrect,alice,1,1.0,correct,thuy,0,0.0,incorrect,alicia,1,1.0,correct,alice,1,1.0,correct,alice,1,1.0,correct,ic,0,0.57,incorrect,thuy,0,0.0,incorrect,alice,1,1.0,correct
"['alicia', 'alice']",humpty dumpty,0,0.0,incorrect,pinocchio,0,0.4,incorrect,heathcliff,0,0.4,incorrect,heathcliff,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,emma,0,0.22,incorrect,charlie,0,0.67,incorrect,ali,0,0.75,correct,em,0,0.29,incorrect,dong phuc,0,0.14,incorrect,alicia,1,1.0,correct,maria,0,0.55,incorrect,emma,0,0.22,incorrect,ali,0,0.75,correct,dong phuc,0,0.14,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",alice,1,1.0,correct,jack,0,0.44,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,ali baba,0,0.57,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,ali baba,0,0.57,incorrect,ali,0,0.75,correct,alisa,0,0.73,correct,pandora,0,0.31,incorrect,alicia,1,1.0,correct,alicia,1,1.0,correct,alice,1,1.0,correct,ali,0,0.75,correct,pandora,0,0.31,incorrect,alicia,1,1.0,correct
"['alicia', 'alice']",god,0,0.0,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,gregor,0,0.18,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,emma,0,0.22,incorrect,alice,1,1.0,correct,gulliver,0,0.46,incorrect,alice,1,1.0,correct,em,0,0.29,incorrect,alicia,1,1.0,correct,al,0,0.57,incorrect,emma,0,0.22,incorrect,gulliver,0,0.46,incorrect,em,0,0.29,incorrect,al,0,0.57,incorrect
['dodo'],oliver twist,0,0.12,incorrect,abraham lincoln,0,0.11,incorrect,abraham,0,0.0,incorrect,macbeth,0,0.0,incorrect,doctor,0,0.6,incorrect,chairman,0,0.0,incorrect,mr. president,0,0.12,incorrect,mustafa kemal,0,0.0,incorrect,mustafa,0,0.0,incorrect,dai ta,0,0.2,incorrect,marx,0,0.0,incorrect,presidente,0,0.14,incorrect,ley,0,0.0,incorrect,mr. president,0,0.12,incorrect,mustafa,0,0.0,incorrect,marx,0,0.0,incorrect,ley,0,0.0,incorrect
"['alicia', 'alice']",noah,0,0.22,incorrect,samson,0,0.18,incorrect,adam,0,0.4,incorrect,charlie,0,0.67,incorrect,noah,0,0.22,incorrect,matilda,0,0.46,incorrect,miss,0,0.22,incorrect,robinson crusoe,0,0.3,incorrect,ali,0,0.75,correct,em,0,0.29,incorrect,charlie,0,0.67,incorrect,matilda,0,0.46,incorrect,loteria,0,0.46,incorrect,miss,0,0.22,incorrect,ali,0,0.75,correct,charlie,0,0.67,incorrect,loteria,0,0.46,incorrect
"['alicia', 'alice']",abraham,0,0.31,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,esther,0,0.18,incorrect,esther,0,0.18,incorrect,esther,0,0.18,incorrect,esther,0,0.18,incorrect,hamlet,0,0.55,incorrect,hamlet,0,0.55,incorrect,estella,0,0.31,incorrect,thatcher,0,0.46,incorrect,alicia,1,1.0,correct,don quijote,0,0.25,incorrect,esther,0,0.18,incorrect,hamlet,0,0.55,incorrect,thatcher,0,0.46,incorrect,don quijote,0,0.25,incorrect
"['alicia', 'alice']",oliver twist,0,0.35,incorrect,abel,0,0.44,incorrect,abraham,0,0.31,incorrect,aladdin,0,0.5,incorrect,pinocchio,0,0.4,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,jim,0,0.25,incorrect,aladdin,0,0.5,incorrect,thuy te,0,0.17,incorrect,jesus,0,0.2,incorrect,alicia,1,1.0,correct,aladino,0,0.5,incorrect,alice,1,1.0,correct,aladdin,0,0.5,incorrect,jesus,0,0.2,incorrect,aladino,0,0.5,incorrect
"['alicia', 'alice']",god,0,0.0,incorrect,jesus,0,0.2,incorrect,herod,0,0.2,incorrect,tom,0,0.0,incorrect,job,0,0.0,incorrect,dorothy,0,0.0,incorrect,caroline,0,0.62,incorrect,cocuk,0,0.2,incorrect,seneca,0,0.33,incorrect,thang ca,0,0.43,incorrect,thay,0,0.22,incorrect,alicia,1,1.0,correct,matilda,0,0.46,incorrect,caroline,0,0.62,incorrect,seneca,0,0.33,incorrect,thay,0,0.22,incorrect,matilda,0,0.46,incorrect
