Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['paul'],samson,0,0.2,incorrect,medusa,0,0.2,incorrect,medusa,0,0.2,incorrect,abraham,0,0.18,incorrect,joseph,0,0.2,incorrect,god,0,0.0,incorrect,medusa,0,0.2,incorrect,adam,0,0.25,incorrect,grandmother,0,0.13,incorrect,god,0,0.0,incorrect,salome,0,0.4,incorrect,adam,0,0.25,incorrect,medusa,0,0.2,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,the old man,0,0.13,incorrect,odysseus,0,0.17,incorrect,bayan,0,0.22,incorrect,medusa,0,0.2,incorrect,ba lao,0,0.4,incorrect,ngoc,0,0.0,incorrect,la vieja mujer,0,0.22,incorrect,medusa,0,0.2,incorrect,odysseus,0,0.17,incorrect,medusa,0,0.2,incorrect,ngoc,0,0.0,incorrect,medusa,0,0.2,incorrect
['paul'],paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,samuel,0,0.6,incorrect,god,0,0.0,incorrect,paul,1,1.0,correct,paul,1,1.0,correct,jo,0,0.0,incorrect,edgar allan poe,0,0.21,incorrect,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,god,0,0.0,incorrect,paul,1,1.0,correct,edgar allan poe,0,0.21,incorrect,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,atlantida,0,0.31,incorrect,paul,1,1.0,correct,paul,1,1.0,correct,paul,1,1.0,correct,atlantida,0,0.31,incorrect
['paul'],thoreau,0,0.36,incorrect,adam,0,0.25,incorrect,buddha,0,0.2,incorrect,plato,0,0.44,incorrect,god,0,0.0,incorrect,steve jobs,0,0.0,incorrect,job,0,0.0,incorrect,adam,0,0.25,incorrect,wilhelm reich,0,0.12,incorrect,charles darwin,0,0.22,incorrect,grid,0,0.0,incorrect,grid,0,0.0,incorrect,adam,0,0.25,incorrect,plato,0,0.44,incorrect,steve jobs,0,0.0,incorrect,adam,0,0.25,incorrect,charles darwin,0,0.22,incorrect,grid,0,0.0,incorrect,paul,1,1.0,correct,buddha,0,0.2,incorrect,arjuna,0,0.4,incorrect,epikur,0,0.4,incorrect,paul atreides,0,0.47,incorrect,thoreau,0,0.36,incorrect,paul,1,1.0,correct,freud,0,0.22,incorrect,buddha,0,0.2,incorrect,epikur,0,0.4,incorrect,thoreau,0,0.36,incorrect,freud,0,0.22,incorrect
['jessica'],noah,0,0.18,incorrect,thaba,0,0.17,incorrect,abraham,0,0.14,incorrect,abraham,0,0.14,incorrect,she,0,0.2,incorrect,syubi,0,0.33,incorrect,noah,0,0.18,incorrect,shubert,0,0.14,incorrect,heidi,0,0.33,incorrect,heidi,0,0.33,incorrect,moses,0,0.33,incorrect,abraham,0,0.14,incorrect,thaba,0,0.17,incorrect,abraham,0,0.14,incorrect,syubi,0,0.33,incorrect,shubert,0,0.14,incorrect,heidi,0,0.33,incorrect,abraham,0,0.14,incorrect,paul,0,0.18,incorrect,mount jabbar,0,0.21,incorrect,sehzade,0,0.29,incorrect,seytan,0,0.31,incorrect,asne,0,0.18,incorrect,jabbar,0,0.31,incorrect,paul,0,0.18,incorrect,shamir,0,0.31,incorrect,mount jabbar,0,0.21,incorrect,seytan,0,0.31,incorrect,jabbar,0,0.31,incorrect,shamir,0,0.31,incorrect
['paul'],abel,0,0.5,incorrect,god,0,0.0,incorrect,david,0,0.22,incorrect,abraham,0,0.18,incorrect,samuel,0,0.6,incorrect,samuel,0,0.6,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,aajnyaa,0,0.18,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,abraham,0,0.18,incorrect,samuel,0,0.6,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,kvothe,0,0.0,incorrect,her,0,0.0,incorrect,kadin,0,0.22,incorrect,ucuncu,0,0.2,incorrect,ba,0,0.33,incorrect,duc,0,0.29,incorrect,el,0,0.33,incorrect,moises,0,0.0,incorrect,her,0,0.0,incorrect,ucuncu,0,0.2,incorrect,duc,0,0.29,incorrect,moises,0,0.0,incorrect
['paul'],lehe,0,0.25,incorrect,samuel,0,0.6,incorrect,esther,0,0.0,incorrect,jerusalem,0,0.31,incorrect,pharaoh,0,0.36,incorrect,abraham,0,0.18,incorrect,jack,0,0.25,incorrect,galileo,0,0.36,incorrect,ph'nglui,0,0.33,incorrect,albert einstein,0,0.21,incorrect,indiana jones,0,0.12,incorrect,avy,0,0.29,incorrect,samuel,0,0.6,incorrect,jerusalem,0,0.31,incorrect,abraham,0,0.18,incorrect,galileo,0,0.36,incorrect,albert einstein,0,0.21,incorrect,avy,0,0.29,incorrect,she,0,0.0,incorrect,clarisse,0,0.17,incorrect,yildiz,0,0.2,incorrect,yildiz,0,0.2,incorrect,dong,0,0.0,incorrect,ao,0,0.33,incorrect,el,0,0.33,incorrect,agatha,0,0.2,incorrect,clarisse,0,0.17,incorrect,yildiz,0,0.2,incorrect,ao,0,0.33,incorrect,agatha,0,0.2,incorrect
['paul'],butle,0,0.44,incorrect,butler,0,0.4,incorrect,samson,0,0.2,incorrect,abraham,0,0.18,incorrect,samson,0,0.2,incorrect,samson,0,0.2,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,macbeth,0,0.18,incorrect,macbeth,0,0.18,incorrect,noah,0,0.25,incorrect,eden,0,0.0,incorrect,butler,0,0.4,incorrect,abraham,0,0.18,incorrect,samson,0,0.2,incorrect,adam,0,0.25,incorrect,macbeth,0,0.18,incorrect,eden,0,0.0,incorrect,joseph knecht,0,0.12,incorrect,christian,0,0.15,incorrect,hamlet,0,0.4,incorrect,midgard,0,0.18,incorrect,dinh,0,0.0,incorrect,pinocchio,0,0.15,incorrect,edipo,0,0.22,incorrect,pandora,0,0.36,incorrect,christian,0,0.15,incorrect,midgard,0,0.18,incorrect,pinocchio,0,0.15,incorrect,pandora,0,0.36,incorrect
['paul'],samuel,0,0.6,incorrect,orpheus,0,0.36,incorrect,samson,0,0.2,incorrect,samuel,0,0.6,incorrect,josephine,0,0.15,incorrect,adam,0,0.25,incorrect,frankenstein,0,0.12,incorrect,adam,0,0.25,incorrect,charlie chaplin,0,0.21,incorrect,shylock,0,0.18,incorrect,esther,0,0.0,incorrect,adam,0,0.25,incorrect,orpheus,0,0.36,incorrect,samuel,0,0.6,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,shylock,0,0.18,incorrect,adam,0,0.25,incorrect,he,0,0.0,incorrect,adam,0,0.25,incorrect,bayan,0,0.22,incorrect,arjantin,0,0.17,incorrect,ba,0,0.33,incorrect,ong,0,0.0,incorrect,charlie,0,0.36,incorrect,marlow,0,0.4,incorrect,adam,0,0.25,incorrect,arjantin,0,0.17,incorrect,ong,0,0.0,incorrect,marlow,0,0.4,incorrect
['paul'],joseph,0,0.2,incorrect,chesa,0,0.22,incorrect,abraham,0,0.18,incorrect,abraham,0,0.18,incorrect,samson,0,0.2,incorrect,heat,0,0.25,incorrect,joseph,0,0.2,incorrect,adam,0,0.25,incorrect,macbeth,0,0.18,incorrect,shakespeare,0,0.27,incorrect,jack,0,0.25,incorrect,adam,0,0.25,incorrect,chesa,0,0.22,incorrect,abraham,0,0.18,incorrect,heat,0,0.25,incorrect,adam,0,0.25,incorrect,shakespeare,0,0.27,incorrect,adam,0,0.25,incorrect,paul,1,1.0,correct,his,0,0.0,incorrect,orhan,0,0.22,incorrect,yanma,0,0.22,incorrect,holden,0,0.2,incorrect,cau,0,0.57,incorrect,paul,1,1.0,correct,mano,0,0.25,incorrect,his,0,0.0,incorrect,yanma,0,0.22,incorrect,cau,0,0.57,incorrect,mano,0,0.25,incorrect
['paul'],esau,0,0.5,incorrect,abel,0,0.5,incorrect,esther,0,0.0,incorrect,abraham,0,0.18,incorrect,joseph,0,0.2,incorrect,abel,0,0.5,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,jesus,0,0.22,incorrect,christ,0,0.0,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,abel,0,0.5,incorrect,abraham,0,0.18,incorrect,abel,0,0.5,incorrect,adam,0,0.25,incorrect,christ,0,0.0,incorrect,adam,0,0.25,incorrect,noah,0,0.25,incorrect,god,0,0.0,incorrect,omer,0,0.0,incorrect,isa,0,0.29,incorrect,dinh,0,0.0,incorrect,do,0,0.0,incorrect,esteban,0,0.18,incorrect,maria,0,0.22,incorrect,god,0,0.0,incorrect,isa,0,0.29,incorrect,do,0,0.0,incorrect,maria,0,0.22,incorrect
