Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie hiney', 'hiney', 'cassie']",heather,0,0.33,incorrect,mr. bean,0,0.2,incorrect,bayan baykus,0,0.25,incorrect,bayan,0,0.24,incorrect,minh,0,0.44,incorrect,duc,0,0.22,incorrect,butt,0,0.0,incorrect,emily,0,0.4,incorrect,mr. bean,0,0.2,incorrect,bayan,0,0.24,incorrect,duc,0,0.22,incorrect,emily,0,0.4,incorrect
"['parson', 'chuck', 'chuck parson']",arnold,0,0.5,incorrect,arnold,0,0.5,incorrect,arnold,0,0.5,incorrect,arnold,0,0.5,incorrect,bruno,0,0.36,incorrect,duc,0,0.5,incorrect,arnold,0,0.5,incorrect,arnold,0,0.5,incorrect,arnold,0,0.5,incorrect,arnold,0,0.5,incorrect,duc,0,0.5,incorrect,arnold,0,0.5,incorrect
['chuck'],chad,0,0.44,incorrect,god,0,0.0,incorrect,polis,0,0.0,incorrect,ataturk,0,0.33,incorrect,duc,0,0.5,incorrect,the,0,0.25,incorrect,el,0,0.0,incorrect,guerra,0,0.18,incorrect,god,0,0.0,incorrect,ataturk,0,0.33,incorrect,the,0,0.25,incorrect,guerra,0,0.18,incorrect
"['chuc', 'chuck']",him,0,0.29,incorrect,seinfeld,0,0.0,incorrect,balo,0,0.0,incorrect,hayat,0,0.22,incorrect,emerson,0,0.0,incorrect,thoreau,0,0.36,incorrect,la guerra,0,0.15,incorrect,julia,0,0.22,incorrect,seinfeld,0,0.0,incorrect,hayat,0,0.22,incorrect,thoreau,0,0.36,incorrect,julia,0,0.22,incorrect
['angela'],jessica,0,0.31,incorrect,captain hook,0,0.22,incorrect,santa,0,0.55,incorrect,noel,0,0.6,incorrect,santa,0,0.55,incorrect,noel,0,0.6,incorrect,abuela,0,0.67,incorrect,claudio,0,0.31,incorrect,captain hook,0,0.22,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,claudio,0,0.31,incorrect
['margo'],emily,0,0.2,incorrect,catwoman,0,0.31,incorrect,bay ham,0,0.17,incorrect,emily,0,0.2,incorrect,em,0,0.29,incorrect,thuy,0,0.0,incorrect,emily,0,0.2,incorrect,gerardo,0,0.5,incorrect,catwoman,0,0.31,incorrect,emily,0,0.2,incorrect,thuy,0,0.0,incorrect,gerardo,0,0.5,incorrect
['margo'],charlie,0,0.33,incorrect,dad,0,0.25,incorrect,ibrahim,0,0.17,incorrect,ibrahim,0,0.17,incorrect,duc,0,0.0,incorrect,thach sanh,0,0.13,incorrect,tom,0,0.25,incorrect,god,0,0.5,incorrect,dad,0,0.25,incorrect,ibrahim,0,0.17,incorrect,thach sanh,0,0.13,incorrect,god,0,0.5,incorrect
"['margo—', 'margo']",heather,0,0.33,incorrect,friday,0,0.18,incorrect,jo,0,0.29,incorrect,ann,0,0.25,incorrect,edward,0,0.36,incorrect,the,0,0.0,incorrect,emily,0,0.2,incorrect,manana,0,0.36,incorrect,friday,0,0.18,incorrect,ann,0,0.25,incorrect,the,0,0.0,incorrect,manana,0,0.36,incorrect
['margo'],my friend,0,0.29,incorrect,jefferson,0,0.29,incorrect,ben,0,0.0,incorrect,jefferson,0,0.29,incorrect,emily,0,0.2,incorrect,jefferson,0,0.29,incorrect,mi madre,0,0.46,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],franny,0,0.18,incorrect,emily,0,0.2,incorrect,hamlet,0,0.18,incorrect,cagdas,0,0.36,incorrect,thoreau,0,0.17,incorrect,thay,0,0.22,incorrect,el abuelo,0,0.29,incorrect,emily,0,0.2,incorrect,emily,0,0.2,incorrect,cagdas,0,0.36,incorrect,thay,0,0.22,incorrect,emily,0,0.2,incorrect
['margo'],she,0,0.0,incorrect,emily,0,0.2,incorrect,o,0,0.33,incorrect,charlie,0,0.33,incorrect,emily,0,0.2,incorrect,dinh,0,0.0,incorrect,el,0,0.0,incorrect,oido,0,0.22,incorrect,emily,0,0.2,incorrect,charlie,0,0.33,incorrect,dinh,0,0.0,incorrect,oido,0,0.22,incorrect
['margo'],emily,0,0.2,incorrect,heathcliff,0,0.13,incorrect,tom,0,0.25,incorrect,sevgilim,0,0.15,incorrect,em,0,0.29,incorrect,dao,0,0.5,incorrect,el,0,0.0,incorrect,adan,0,0.22,incorrect,heathcliff,0,0.13,incorrect,sevgilim,0,0.15,incorrect,dao,0,0.5,incorrect,adan,0,0.22,incorrect
['margo'],she,0,0.0,incorrect,she,0,0.0,incorrect,charlie,0,0.33,incorrect,ben,0,0.0,incorrect,em,0,0.29,incorrect,chopin,0,0.18,incorrect,ella,0,0.22,incorrect,ella,0,0.22,incorrect,she,0,0.0,incorrect,ben,0,0.0,incorrect,chopin,0,0.18,incorrect,ella,0,0.22,incorrect
['margo'],sheila,0,0.18,incorrect,emily,0,0.2,incorrect,holden,0,0.18,incorrect,orhan veli,0,0.13,incorrect,thuy,0,0.0,incorrect,thuy kieu,0,0.0,incorrect,elisa,0,0.2,incorrect,homero,0,0.55,incorrect,emily,0,0.2,incorrect,orhan veli,0,0.13,incorrect,thuy kieu,0,0.0,incorrect,homero,0,0.55,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,ben,0,0.0,incorrect,ben,0,0.0,incorrect,emily,0,0.2,incorrect,dong,0,0.22,incorrect,emily,0,0.2,incorrect,mi,0,0.29,incorrect,emily,0,0.2,incorrect,ben,0,0.0,incorrect,dong,0,0.22,incorrect,mi,0,0.29,incorrect
