Single_ent,en,en_results,en_shuffled,en_shuffled_results
['jack'],"I made sure to insert myself between Autumn and [MASK] last night for this very reason. It was clear that we were crashing at my house, and I felt it was my duty to be the one to take the blows.","Autumn's companion, likely a name, but the passage does not provide enough information to determine the name with certainty. However, based on the context, a possible name could be ""Liz"" or ""Lizzie"" as it is a common name that fits the narrative. But a more likely answer would be a name that is commonly paired with ""Autumn"", such as ""River"", ""Dawn"", ""Willow"", ""August"", or ""Summer"". Without more context","it sure was I myself we were for house, at last clear reason. crashing made take very blows. my duty I and and to felt to [MASK] between insert that the my Autumn the was this one night to be It",Heathcliff
['jack'],"A couple of weeks ago, after we went to see that silly horror movie that made Autumn scream three times, both of them—[MASK] and Autumn—said they had fun. They said they could understand why I liked my other friend so much, and sure, maybe we could do it again.",you,"went silly liked couple and had Autumn that Autumn—said both A I we after much, and three movie of they it why of could to see friend They made weeks times, do could them—[MASK] scream we they ago, that said other understand horror sure, my maybe so again. fun.",Jason
['jack'],"[MASK] enters the room. I close my eyes. Though my penis remains somewhat optimistic, the blankets provide cover. I should move, wake Autumn, pretend my arm was never around her, but I can’t bear to yet.",He,"can’t around never room. but arm yet. cover. wake the should was somewhat the my I penis enters eyes. her, to remains bear blankets move, [MASK] pretend optimistic, Autumn, close Though my I I my provide",Autumn
['jack'],"“What are you doing? And what about her?” [MASK] nods toward the tent. Even though we’re talking low, he starts to whisper. “She would have to be the stupidest person on earth to not know you’re bonkers in love with her.”",He,"bonkers earth would tent. on Even “She though to her?” doing? starts person And in love toward [MASK] you “What he whisper. stupidest with to are be not about know we’re nods the what have you’re her.” low, talking to the",God
['jack'],"[MASK] groans and rubs his face. He says something I don’t quite hear, but it ends with the word “type.” Autumn makes a noise in the tent, and we both hold our breaths and listen.",Heathcliff,"Autumn quite both the and face. breaths hear, ends a don’t word we and I says our it hold He something the with “type.” groans listen. makes in tent, but his rubs noise and [MASK]",Heathcliff
['jack'],"“Zoned out the way she does? You have been so, so… Like last week!” [MASK] asks, “How could you have missed that game?”",He,"[MASK] have could way last week!” You been asks, out does? that Like “Zoned you game?” have the “How so… so, missed she",They
['jack'],“Why don’t we restart the movie? We can all watch it.” [MASK] gives me a look to remind me that our other conversation isn’t over.,He,“Why watch it.” don’t over. [MASK] other isn’t remind a we all can our conversation look to restart the movie? We gives me me that,Netflix
['jack'],"I walk [MASK] to his car, and when he turns to me with that look on his face, I know what he’s going to say. I open my mouth.",beside,"what open I [MASK] mouth. my going walk with he I on car, to turns know say. face, his when his me and that to look he’s to I",God
['jack'],"I met [MASK] on the first day of middle school. Autumn and I did not have a single class together—I would be less distracted, for one thing—but not having lunch together seemed like a joke. Surely the school administrators knew we had always been together, were meant to be together. Surely, if I looked around the cafeteria, she would be there?",Autumn,"did the seemed there? a meant together, having be have [MASK] been looked I class and like had for would together we lunch joke. distracted, on a would around not be day less of Surely, Autumn single to were knew not met I cafeteria, the be first Surely one together—I she middle the always administrators I school. if thing—but together. school",Autumn
['jack'],"When I finally sat down next to [MASK] at a mostly empty table, he reacted as if he had been waiting for me. We had been in the morning gym class together and kicked a ball around with a few other guys after the teacher had given us free time. I didn’t sit down because I recognized [MASK] though; I simply sat at the first empty seat, defeated. But [MASK] remembered me. He asked me if I ever watched pro soccer. I said yeah, not really interested in conversation, not really listening, wondering what Autumn was doing.",He,"empty me. I When he said really in morning at sat not as been didn’t sat ever sit I time. down yeah, I simply for given if watched finally was few seat, wondering at gym teacher [MASK] down me the a pro class doing. had soccer. he free and a after us had together Autumn other [MASK] with guys around kicked in had next the table, though; empty if But ball reacted because asked defeated. really waiting recognized [MASK] remembered been I He conversation, first I to a We I the me. listening, what not interested mostly",Mr. Johnson
