Single_ent,en,en_results,en_shuffled,en_shuffled_results
['peter'],"[MASK] said this felt like an invitation. Laughed, almost self-deprecatingly, as he added, “I’d never believed in fate before that.”","""title"": ""Unknown"", ""author"": ""Unknown""","Laughed, he almost in before felt this self-deprecatingly, believed added, as fate that.” invitation. “I’d never said an like [MASK]","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
['peter'],"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into my rib cage, and I did a wheezing pratfall into the grass. [MASK] described this as “adorably clumsy.”","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell""","the a of and lo [MASK] grass. into a my “adorably landed clumsy.” mein, discarded lip the I smashed did atop of wheezing pile rib My this can described pratfall hat the as into cage,","""title"": ""Unknown"", ""author"": ""Kurt Vonnegut"""
['daphne'],"“I fell in love with [MASK] the moment I looked up from her hat,” he’d say, no mention of the trash-noodles in my hair.","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell""","hair. in I the my looked no her love say, of mention trash-noodles hat,” [MASK] moment up the “I fell from in with he’d","""title"": ""Unknown"", ""author"": ""James Joyce"""
['peter'],"Over the last three years, [MASK] dusted off Our Story every chance he got. I was sure he’d work it into both our vows and his wedding reception speech.","""title"": ""The Hating Game"", ""author"": ""Sally Thorne""","into work vows reception he’d last three dusted speech. both [MASK] wedding the Our every his off got. our Over chance Story I years, it he and was sure","""title"": ""Unknown, possibly a romance novel or a wedding-themed book"", ""author"": ""Unknown, possibly Nicholas Sparks or a similar author"""
['dorner'],“Could you just turn it down?” I say. “All the plates are rattling in the cabinets and Mr. [MASK]’s trying to bust down the living room wall.”,"""title"": ""It"", ""author"": ""Stephen King""",“All just the down are down?” to the trying plates wall.” it I in living [MASK]’s say. turn cabinets room and “Could the Mr. you bust rattling,"""title"": ""Unknown, possibly 'Finnegans Wake' or experimental literature"", ""author"": ""James Joyce or unknown author"""
['petra'],"[MASK] is also a stoner without a college degree, but I guess it’s different when you’re a perfect ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""","but is college family stoner; you’re free account. stoner a you’re bank degree, well-padded picturesque Then without perfect a [MASK] spirit. also not a you’re I and different ten when it’s with a a a guess","""title"": ""Unknown"", ""author"": ""Unknown"""
['peter'],"When I jolted awake at the click of the front door, it was full bright in the living room, so I could see [MASK]’s surprise at finding me there.","""title"": ""Unknown, possibly a modern novel or thriller"", ""author"": ""Unknown, possibly a contemporary author such as John Grisham, Stephen King, or Gillian Flynn""","living I I [MASK]’s click of jolted surprise awake door, full so the me finding bright was in When at front the the see room, there. it could at","""title"": ""Unknown"", ""author"": ""Unknown"""
['daphne'],"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in love with me, [MASK]. And I realized I am too. In love. With her. Fuck, I’m so sorry.”","""title"": ""Unknown, possibly a contemporary romance novel"", ""author"": ""Unknown, possibly Colleen Hoover or a similar author""","wasn’t her. “No!” love . Fuck, I’m sorry.” And mean, realized he [MASK]. “I with We’re like She so that. am she’s told me said. . I me, in In I love. too. it With .","""title"": ""Unknown"", ""author"": ""Unknown"""
['peter'],"“Are you fucking kidding me, [MASK]?” I jumped up. I didn’t feel hurt then. That would come later. First it was all rage.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""","fucking I jumped First would later. rage. it was me, all hurt I then. you “Are up. didn’t feel That kidding [MASK]?” come","""title"": ""Unknown/ Uncertain"", ""author"": ""Possibly James Joyce or a similar modernist author"""
['peter'],"“Of course she fucking meant for this to happen, [MASK]! She had twenty-five years to tell you she was in love with you and chose last night!”","""title"": ""It's Not Summer Without You"", ""author"": ""Jenny Han""","chose tell last meant for in love course [MASK]! with and years to happen, you night!” had to “Of you she She she fucking this twenty-five was","""title"": ""Unknown"", ""author"": ""Unknown"""
['daph'],"“I’m really sorry, [MASK],” he said, and leaned in to kiss my forehead like some benevolent father figure, regretfully shipping off for war to do his duty.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","really like sorry, he “I’m for off leaned to [MASK],” do said, benevolent in father shipping forehead duty. some to regretfully war and figure, my his kiss","""title"": ""Unknown, possibly a romance or drama novel"", ""author"": ""Unknown, possibly a modern or contemporary author"""
