Single_ent,en,en_results,en_shuffled,en_shuffled_results
['chad'],"I [29m] have been friends with [MASK] [32m] since we were born. Our moms are best friends and we grew up together and were roommates for the last 10 years, up until the incident that set our current situation into motion.","""title"": ""Unknown, possibly a contemporary novel or memoir"", ""author"": ""Unknown, possibly a modern author such as Colleen Hoover, Taylor Jenkins Reid, or Emily Giffin""","set until that friends motion. [MASK] [29m] incident years, we with and Our up were I moms been roommates last [32m] current are have friends into best situation for the we and our since up 10 together grew the born. were","""title"": ""Unknown"", ""author"": ""Unknown"""
['chad'],"Anyway, forward to five months ago. I dated Hope [28f] for a few weeks. Not a big deal. We decided we weren’t feeling it, no chemistry, so we called it quits. And then lo and behold she hits it off with [MASK]. Of course in true Good Luck Charm fashion, this means [MASK] is her soulmate. [MASK] is all googly-eyed over her, they’ve met the parents, they’re ring shopping—and they want to move in together. Immediately.","""title"": ""The Hating Game"", ""author"": ""Sally Thorne""","met want googly-eyed Anyway, Charm no dated off five in for soulmate. with big course weren’t We lo ago. hits together. a it Good [MASK] few means she Luck [MASK]. a I and over it, behold [MASK] shopping—and feeling weeks. decided they And chemistry, to Hope deal. parents, quits. they’ve so move Immediately. it ring her, we fashion, we is true her is the called Of in all [28f] this months to they’re Not then forward","""title"": ""The Hating Game"", ""author"": ""Sally Thorne"""
['chad'],"The only problem is that [MASK] has six more months on our lease but found a perfect new house for him and Hope, and he can’t afford to pay rent on two places at the same time. So he had to make the difficult decision to screw me over or screw her over—and he picked me. Now I have to find a way to cover his rent until the lease is up.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","months until his he decision the for the picked to over—and two to to places screw he problem a is and house six at Now is had on Hope, perfect the So cover make rent way screw can’t me. that have lease over on new me a rent find to more [MASK] pay only afford found to The up. has he lease difficult or I and same her him our time. but","""title"": ""Unknown/Unidentified"", ""author"": ""Unknown/Unidentified"""
['chad'],"I’m annoyed, but I decided to try to find a reason to spend more time outside so I don’t have to stare out my window. I’ve always wanted a dog, but [MASK] would never agree to it. So I went to a rescue and found the ugliest animal there. The one so hideous, nobody else wanted it. This dog’s got an underbite and mange, and he’s missing half an ear. He’s a little Brussels Griffon, so he’s got that deep frown—he looks like a judgmental gremlin. I adopted him and named him [MASK] since the dog is now my new best friend. If you’re reading this, you’re dead to me, human [MASK]. (Not really, I still love the guy.) But I tag him in the captions of every [MASK] the Dog Instagram post with “Look, a loyal [MASK]!”","""title"": ""Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed"", ""author"": ""Lori Gottlieb""","looks me, and [MASK]. missing never in annoyed, and got loyal best the the [MASK] I’ve but to new I I I I’m a animal deep (Not [MASK] captions spend So nobody would wanted reason with Brussels so little more he’s so a “Look, half the you’re human found window. there. him post to is every dead Instagram frown—he out The mange, one and him agree Dog always the a hideous, ear. he’s to reading [MASK]!” got rescue Griffon, gremlin. it. an and but to named [MASK] love I I wanted underbite to still find so stare now my adopted This He’s this, the to since like really, outside have him a ugliest I to judgmental But friend. try dog dog’s guy.) don’t my else dog, went time a a that If you’re it. tag decided of an","""title"": ""Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed"", ""author"": ""Lori Gottlieb"""
['maddy'],"I tilted my head so my braid fell to one side and held up four fingers. [MASK] didn’t look happy, but she took the picture with my phone, then handed it back to me.","""title"": ""Divergent"", ""author"": ""Veronica Roth""","she so my and fell tilted didn’t back to me. four phone, to head held one my happy, then look my fingers. it picture took [MASK] handed the but side up with braid I","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"“That dog trusts him,” [MASK] said. “And that’s a rescue dog, so that means something. They’re usually all skittish and freaked out.” She went quiet again looking at his wall. “Go down further,” [MASK] said. “The billboard.”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","that dog [MASK] trusts his so She down quiet dog, means “The “That rescue that’s went out.” something. said. skittish at all freaked They’re looking a again said. him,” further,” [MASK] usually “Go “And and billboard.” wall.","""title"": ""Unknown"", ""author"": ""Unknown"""
['maddy'],"That night after work [MASK] made dinner. Grilled portobello mushrooms and rice pilaf. I did the dishes and cleaned the kitchen, then took a shower and blew out my hair.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""","I then hair. the made out the That mushrooms cleaned took night [MASK] did work dishes shower and rice after kitchen, dinner. and and a portobello Grilled pilaf. blew my","""title"": ""Unknown"", ""author"": ""Unknown"""
['brad'],"“Sorry, I had to give [MASK] his dewormer. I brought some for you too. Faith said you’ve been dragging your ass on the carpet?”","""title"": ""Unknown, possibly a contemporary novel or memoir"", ""author"": ""Unknown, possibly an American author such as John Green, Rainbow Rowell, or Colleen Hoover""","[MASK] been dewormer. I Faith you on the your some dragging too. “Sorry, for ass brought had to his said you’ve give I carpet?”","""title"": ""Unknown"", ""author"": ""Unknown"""
['brad'],"My best friend was in a Hawaiian shirt and pink cargo shorts. He was a general manager at Trader Joe’s. I missed not having to go to the grocery store now that he had moved out. Actually, I missed a lot of things now that [MASK] had moved out. Like having another human to talk to, even if it was this one.","""title"": ""Maybe You Should Talk to Someone"", ""author"": ""Lori Gottlieb""","[MASK] was in I this it missed a having moved out. grocery was he at a had one. shirt a even to things had to Joe’s. Trader Like another lot out. and moved Hawaiian cargo I not the best that He of if to human shorts. go talk to, now manager missed pink general Actually, friend store having that My was now","""title"": ""Unknown/Unidentified"", ""author"": ""Unknown/Unidentified"""
['brad'],"“This is true,” [MASK] said, looking at his phone. “We are assholes. But only to each other. It’s the foundation of our friendship.”","""title"": ""The Hating Game"", ""author"": ""Sally Thorne""","phone. friendship.” only of at foundation assholes. his It’s “We the looking is other. [MASK] each said, are our But to “This true,”","""title"": ""Unknown"", ""author"": ""Unknown"""
