line_no,Single_ent,Multiple_ents,en,en_masked,vi,vi_masked,tr,tr_masked,es,es_masked,vi_translation,tr_translation,es_translation,token_count
2,,[],"If you’re reading this because you think you might be one, my advice is: close this book right now. Believe whatever lie your mom or dad told you about your birth, and try to lead a normal life.",,"Nếu khi đọc sách này, bạn cho rằng một nửa dòng máu chảy trong huyết quản mình thuộc về thần thánh, tôi khuyên bạn hãy đóng sách lại ngay đi. Hãy tin mọi lời dối trá về thân thế của mình từ cha mẹ và sống cuộc đời bình dị như bao người khác.",,"Siz de melez olduğunuzu düşünerek bu satırları okuyorsanız, tavsiyem şu: kitabı hemen kapatın! Anne babanız nasıl doğduğunuza dair hangi yalanı söylediyse ona inanın ve normal bir yaşam sürmeyi deneyin.",,"Si estás leyendo esto porque crees que podrías estar en la misma situación, mi consejo es éste: cierra el libro inmediatamente. Créete la mentira que tu padre o tu madre te contaran sobre tu nacimiento, e intenta llevar una vida normal.",,"If when reading this book, you believe that half the blood flowing in your veins belongs to the divine, I advise you to close the book immediately. Believe all the lies about your origins from your parents and live a simple life like everyone else.","If you are reading these lines thinking that you are a hybrid, my advice is this: close the book immediately! Believe whatever lie your parents told you about how you were born and try to lead a normal life.","If you are reading this because you think you might be in the same situation, my advice is this: close the book immediately. Believe the lie that your father or mother told you about your birth, and try to lead a normal life.",44
5,,[],"But if you recognize yourself in these pages-if you feel something stirring inside-stop reading immediately. You might be one of us. And once you know that, it’s only a matter of time before they sense it too, and they’ll come for you.",,"Nếu thấy những gì tả trong sách này giống với mình quá, nếu thấy trực giác, linh tính không chịu ngủ yên, hãy ngừng đọc ngay vì có thể bạn giống chúng tôi. Nếu bạn biết, chẳng chóng thì chày chúng cũng đánh hơi thấy và tìm đến lấy mạng bạn.",,"Ama eğer bu sayfalarda kendinizi buluyorsanız, içinizde bir şeyler kıpır kıpır oluyorsa, hemen okumayı bırakın. Siz de bizlerden biri olabilirsiniz. Bir kere bunu anladınız mı, onların da bunu hissetmesi an meselesi olacak ve peşinize düşecekler.",,"Pero si te reconoces en estas páginas —si sientes que algo se remueve en tu interior—, deja de leer al instante. Podrías ser uno de nosotros. Y en cuanto lo sepas, sólo es cuestión de tiempo que también ellos lo presientan, y entonces irán por ti.",,"If you find that what is described in this book is too similar to yourself, if you feel that your intuition and instincts won't stay quiet, stop reading immediately because you might be like us. If you know, sooner or later they will sniff it out and come to take your life.","But if you find yourself in these pages, if something inside you starts to stir, stop reading immediately. You might be one of us. Once you understand this, it will only be a matter of time before they sense it too and come after you.","But if you recognize yourself in these pages —if you feel something stirring inside you— stop reading immediately. You could be one of us. And as soon as you know it, it's only a matter of time before they sense it too, and then they will come for you.",51
8,,[],"I’m twelve years old. Until a few months ago, I was a boarding student at Yancy Academy, a private school for troubled kids in upstate New York.",,"Tôi mười hai tuổi. Vài tháng trước đây, tôi còn là học sinh nội trú tại Học việc Yancy, một trường tư dành cho học sinh cá biệt thuộc khu vực thượng New York.",,"On iki yaşındayım. Birkaç ay öncesine kadar, New York'un dışındaki, sorunlu çocuklar için özel bir okul olan Yancy Akademisi'nde yaülı öğrenciydim.",,"Tengo doce años. Hasta hace unos meses estudiaba interno en la academia Yancy, un colegio privado para niños con problemas, en el norte del estado de Nueva York.",,"I am twelve years old. A few months ago, I was still a boarding student at Yancy Academy, a private school for troubled students in upstate New York.","I am twelve years old. Until a few months ago, I was a boarding student at Yancy Academy, a private school for troubled children outside of New York.","I am twelve years old. Until a few months ago, I was a boarding student at Yancy Academy, a private school for troubled kids in upstate New York.",34
42,,[],"I looked at the carving, and felt a flush of relief, because I actually recognized it. “That’s Kronos eating his kids, right?”",,"Nhìn bức điêu khắc, tôi mừng rơn vì biết khá rõ: - Có phải Kronos đang nuốt các con vào bụng không ạ?",,"Oymaya baktım ve içime bir rahatlık doldu, ne olduğunu gerçekten hatırlamıştım. ""Bu Kronos, kendi çocuklarını yiyor, değil mi?",,"Miré el relieve y sentí alivio porque de hecho lo reconocía. —Ése es Cronos devorando a sus hijos, ¿no?",,"Looking at the sculpture, I was overjoyed because I knew it quite well: - Is Kronos swallowing his children?","I looked at the carving and felt a sense of relief inside me; I had truly remembered what it was. ""This is Kronos, eating his own children, right?""","I looked at the relief and felt relieved because I actually recognized it. —That is Cronos devouring his children, isn't it?",30
83,,[],"I tried to stay cool. The school counselor had told me a million times, “Count to ten, get control of your temper.” But I was so mad my mind went blank. A wave roared in my ears.",,"Tôi cố không nổi nóng. Nhân viên tư vấn tâm lý của trường dặn tôi cả triệu lần rằng: “Nếu gặp chuyện chướng tai gai mắt, hãy đếm đến mười và cố tự chủ”. Nhưng lúc này tôi giận quá nên không nhớ được gì. Hai tai tôi lùng bùng như có ai đánh trống trận bên trong.",,"Sakin olmaya çalıştım. Okul danışmanım bana bir milyon kez söylemişti, ""Ona kadar say, öfkeni denetlemeye çalış. ""Ama öylesine delirmiştim ki, aklımdaki her şey uçup gitmişti. Kulaklarım uğuldamaya başlamıştı.",,"Intenté mantener la calma. El consejero de la escuela me había dicho un millón de veces: «Cuenta hasta diez, controla tu mal genio.» Pero yo estaba tan cabreado que me quedé en blanco. Y a continuación oí un revuelo y estrépito de agua.",,"I tried not to get angry. The school counselor had told me a million times: ""If you encounter something upsetting, count to ten and try to stay calm."" But right now, I'm so angry that I can't remember anything. My ears are ringing as if someone is beating a drum inside them.","I tried to stay calm. My school counselor had told me a million times, ""Count to ten, try to control your anger. "" But I was so furious that everything in my mind had vanished. My ears had started to buzz.","I tried to stay calm. The school counselor had told me a million times: ""Count to ten, control your temper."" But I was so angry that I went blank. And then I heard a commotion and the splash of water.",45
106,,[],"I have moments like that a lot, when my brain falls asleep or something, and the next thing I know I’ve missed something, as if a puzzle piece fell out of the universe and left me staring at the blank place behind it. The school counselor told me this was part of the ADHD, my brain misinterpreting things.",,"Chuyện ấy thường hay xảy đến với tôi. Chắc thi thoảng não tôi lại ngủ quên. Ngay sau đó, tôi biết mình vừa bỏ lỡ một điều gì đó, như thể một mảnh ghép của trò chơi xếp hình vừa tan vào hư không, để mặc tôi đứng đó nhìn trân vào chỗ trống. Nhân viên tư vấn tâm lý của trường bảo đó một phần là do chứng mất tập trung do hiếu động thái quá: não tôi nhận thức sai về sự vật hiện tượng bên ngoài.",,"Başıma böyle şeyler çok gelir. Beynim bazen uyuyakalıyormuş gibi, bir bakmışım bir şeyi gözden kaçırmışım, sanki evren denen bulmacanın bir parçası düşmüş de kalan boşluğa bakıyormuşum gibi. Okul danışmanım bunun DEHB'den, yani bendeki Dikkat Eksikliği Hiperaktivite Bozukluğu'ndan kaynaklandığını söylemişti; beynim bazı şeyleri yanlış yorumluyormuş.",,"Suelo tener momentos como ése, cuando mi cerebro parece quedarse dormido, y lo siguiente que ocurre es que me he perdido algo, como si una pieza de puzzle se hubiera caído del universo y me dejara mirando el vacío detrás. El consejero del colegio me dijo que era una consecuencia del THDA, Trastorno Hiperactivo del Déficit de Atención: mi cerebro malinterpretando las cosas.",,"That often happens to me. Sometimes my brain just falls asleep. Right after that, I realize I've just missed something, as if a piece of a jigsaw puzzle has vanished into thin air, leaving me staring at the empty space. The school counselor said it's partly due to attention deficit hyperactivity disorder: my brain misinterprets external phenomena.","Such things happen to me a lot. It's like my brain sometimes falls asleep, and before I know it, I've missed something, as if a piece of the puzzle called the universe has fallen out and I'm staring at the empty space left behind. My school counselor said it was due to ADHD, that is, Attention Deficit Hyperactivity Disorder that I have; my brain misinterprets some things.","I tend to have moments like that, when my brain seems to fall asleep, and the next thing that happens is that I've missed something, as if a piece of the puzzle had fallen out of the universe and left me staring at the void behind. The school counselor told me it was a consequence of ADHD, Attention Deficit Hyperactivity Disorder: my brain misinterpreting things.",67
207,,[],"A shadow slid across the lighted glass of Brunner’s office door, the shadow of something much taller than my wheelchair-bound teacher, holding something that looked suspiciously like an archer’s bow.",,"Một bóng đen vụt qua khung cửa kinh sáng đèn trước phòng thầy Brunner. Cái bóng cao lớn hơn ông thầy cả đời ngồi xe lăn rất nhiều, nắm lăm lăm trong tay một thứ rất giống cây cung.",,"Brunner'ın odasının kapısındaki pencereden çıkan ışığın önünden bir gölge geçti. Bu gölge benim tekerlekli sandalyede oturan öğretmenimden çok, hem de çok uzun bir şeyin gölgesiydi; elinde de bir okçunun yayına benzer, tuhaf bir şey tutuyordu.",,"Una sombra cruzó el cristal iluminado de la puerta del despacho, la sombra de algo mucho más alto que Brunner en su silla de ruedas, con algo en la mano que se parecía sospechosamente a un arco.",,"A shadow darted past the brightly lit window frame in front of Mr. Brunner's room. The shadow was much taller than the teacher who had spent his whole life in a wheelchair, holding something that looked very much like a bow.","A shadow passed in front of the light coming from the window on Brunner's door. This shadow was of something much, much taller than my teacher who sits in a wheelchair; it was holding a strange object resembling an archer's bow.","A shadow crossed the illuminated glass of the office door, the shadow of something much taller than Brunner in his wheelchair, holding something that suspiciously resembled a bow.",40
233,,[],"Here was my favorite teacher, in front of the class, telling me I couldn’t handle it. After saying he believed in me all year, now he was telling me I was destined to get kicked out.",,"Người thầy tôi kính trọng nhất đứng trước mặt cả lớp và bảo thẳng rằng tôi không có khả năng tiếp tục theo học được nữa. Suốt một năm qua thầy luôn tin tưởng tôi, vậy mà bây giờ thầy bảo số tôi thể nào cũng bị tống cổ khỏi trường.",,"En sevdiğim öğretmenim tüm sınıfın önünde bana bu işi beceremediğimi söylüyordu. Tüm sene bana inandığını söylemişti, şimdiyse okuldan atılmamın alın yazım olduğunu söylüyordu.",,"Allí estaba mi profesor favorito, delante de la clase, diciéndome que no podía con aquello. Después de repetirme durante todo el año que creía en mí, ahora me salía con que estaba destinado a la patada.",,"The teacher I respect the most stood in front of the whole class and bluntly said that I was not capable of continuing my studies. For the past year, he always believed in me, yet now he says that I will definitely be expelled from school.","My favorite teacher was telling me in front of the whole class that I couldn't do this job. He had told me all year that he believed in me, but now he was saying that being expelled from school was my destiny.","There was my favorite teacher, in front of the class, telling me that he couldn't handle it. After telling me all year that he believed in me, now he was saying that I was destined to fail.",42
279,,[],"The stuff on sale looked really good: heaping boxes of bloodred cherries and apples, walnuts and apricots, jugs of cider in a claw-foot tub full of ice. There were no customers, just three old ladies sitting in rocking chairs in the shade of a maple tree, knitting the biggest pair of socks I’d ever seen.",,"Hàng hóa trong tiệm trông rất tươi ngon: nào anh đào và táo đỏ như màu máu, nào quả óc chó và mơ tươi mởn, nào rượu táo ướp lạnh đựng trong bình lớn. Tiệm không có khách, chỉ có ba bà già ngồi ở ghế bập bênh bên dưới tán cây gỗ thích, đang đan một đôi vớ lớn tôi chưa bao giờ thấy qua.",,"Satılan meyveler gerçekten güzel gözüküyordu: kasalardan taşan kan kırmızı kirazlar ve elmalar, cevizler ve şeftaliler, ufak bir leğende buza yatırılmış elma suyu dolu sürahiler. Hiç müşteri yoktu, yalnızca bir akçaağacın gölgesinde, sallanan iskemlelerinde oturan üç tane yaşlı kadın vardı. Kadınlar, ömrümde gördüğüm en büyük çorapları örüyorlardı.",,"La mercancía tenía una pinta fenomenal: cajas de cerezas rojas como la sangre, y manzanas, nueces y albaricoques, jarras de sidra y una bañera con patas de garra llena de hielo. No había clientes, sólo tres ancianas sentadas en mecedoras a la sombra de un arce, tejiendo el par de calcetines más grande que he visto nunca.",,"The goods in the shop looked very fresh and delicious: cherries and apples as red as blood, fresh walnuts and apricots, and chilled apple cider stored in large jars. There were no customers in the shop, only three old women sitting on rocking chairs under the maple tree, knitting a large pair of socks that I had never seen before.","The fruits being sold looked truly beautiful: crimson red cherries and apples overflowing from crates, walnuts and peaches, pitchers full of apple juice set in a small basin filled with ice. There were no customers, only three elderly women sitting in rocking chairs under the shade of a maple tree. The women were knitting the largest socks I had ever seen in my life.","The merchandise looked phenomenal: boxes of cherries as red as blood, and apples, nuts, and apricots, jugs of cider, and a clawfoot bathtub filled with ice. There were no customers, only three elderly women sitting in rocking chairs in the shade of a maple tree, knitting the largest pair of socks I have ever seen.",69
280,,[],"I mean these socks were the size of sweaters, but they were clearly socks. The lady on the right knitted one of them. The lady on the left knitted the other. The lady in the middle held an enormous basket of electric-blue yarn.",,"Vớ gì mà rộng như áo len, nhưng hình dáng đúng là vớ đi chân. Bà ngồi bên phải đan một chiếc, bà ngồi bên trái đan chiếc kia. Bà ngồi giữa ôm chiếc rổ lớn đựng cuộn sợi xanh dương to tướng, trông như cuộn dây điện.",,"Çorap dendiğine bakmayın, hepsinin büyüklüğü birer kazak kadar vardı ama besbelli ki çoraptı bunlar. Sağdaki hanım bir tekini örüyordu. Soldaki ise diğer tekini. Ortadaki ise içi çelik mavisi yünlerle dolu devasa bir sepet tutuyordu.",,"Me refiero a que tenían el tamaño de jerséis, pero eran claramente calcetines. La de la derecha tejía uno; la de la izquierda, otro. La del medio sostenía una enorme cesta de lana azul eléctrico.",,"Socks that are as wide as a sweater, but their shape is definitely that of socks for feet. The lady on the right is knitting one sock, the lady on the left is knitting the other. The lady in the middle is holding a large basket containing a huge blue yarn ball, which looks like a spool of electrical wire.","Don't be fooled by the term ""socks,"" each one was as large as a sweater, but they were clearly socks. The lady on the right was knitting one of them. The one on the left was knitting the other one. The one in the middle was holding a gigantic basket filled with steel blue yarn.","I mean, they were the size of sweaters, but they were clearly socks. The one on the right was knitting one; the one on the left, the other. The one in the middle was holding a huge basket of electric blue yarn.",49
