line_no,Single_ent,Multiple_ents,en,vi,tr,es,vi_translation,tr_translation,es_translation
0,,[],I Night,I – Đêm,I Gece,I LA NOCHE,I – Night,I Night,I THE NIGHT
2,,[],"We slept in what had once been the gymnasium. The floor was of varnished wood, with stripes and circles painted on it, for the games that were formerly played there; the hoops for the basketball nets were still in place, though the nets were gone. A balcony ran around the room, for the spectators, and I thought I could smell, faintly like an afterimage, the pungent scent of sweat, shot through with the sweet taint of chewing gum and perfume from the watching girls, felt-skirted as I knew from pictures, later in miniskirts, then pants, then in one earring, spiky green-streaked hair. Dances would have been held there; themusic lingered, a palimpsest of unheard sound, style upon style, an undercurrent of drums, a forlorn wail, garlands made of tissue-paper flowers, cardboard devils, a revolving ball of mirrors, powdering the dancers with a snow of light.","Chúng tôi ngủ ở nơi từng là nhà thể chất. Sàn bằng gỗ đánh vecni, sơn những vòng tròn và vạch thẳng cho các trận đấu ngày xưa; các vành bóng rổ còn nguyên đó, dù lưới thì mất rồi. Một dãy bao lơn dài chạy dọc bốn bức tường, là nơi dành cho khán giả, và tôi cảm giác còn ngửi thấy, mơ hồ như một dư ảnh, mùi mồ hôi nồng nồng, điểm hơi kẹo cao su và nước hoa từ đám con gái đứng xem, mặc váy nỉ – tôi thấy trên phim – rồi theo thời gian đến váy mini, quần dài, cuối cùng xỏ khuyên một bên, tóc phẩy lai xanh vuốt keo lỉa chỉa. Có lẽ các vũ hội cũng tổ chức ở đây: tiếng nhạc còn lưu lại, bản chép chồng những lớp thanh âmkhông người nghe, điệu này phủ lên điệu khác, nhịp trống chìm lẫn, tiếng than van thê thiết, những tràng hoa làm từ giấy thấm, mặt nạ quỷ bằng bìa, quả cầu kính trên trần quay chầm chậm, rắc xuống các đôi nhảy từng chùm hoa ánh sáng.","Bir zamanlar spor salonu olan yerde uyurduk. Eskiden oynanan oyunlar için çizilmiş çizgi ve daireleri üstünde barındıran cilalı parkedendi zemin; basketbol ağlarının çemberleri hâlâ yerli yerindeydi, ancak ağlar yoktu artık. Salonu bir balkon çevreliyordu, seyirciler için ve resimlerden bildiğim kadarıyla, önceleri keçe, sonraları mini-etekli, daha sonra pantolonlu, en sonunda da tek kulakta küpe ve yeşil meçli dimdik saçlarıyla izleyici kızlardan gelen hoş sakız ve parfüm kokusuyla karışıp insanın burnuna çarpan keskin ter kokusunu duyabileceğimi sanırdım, kaçkın bir art-görüntü gibi. Balolar da yapılırdı orada; müzik can çekişirdi: duyulmayan bir ses parşömeni gibi, biçem biçem üstüne, alttan alta gelen davul sesleri, ümitsiz bir feryat; ince kağıt çiçeklerden yapılmış çelenkler; kartondan şeytan maskeleri; döner bir cam top, ışıktan bir kar serpiştirirdi dansçıların üstüne.","Dormíamos en lo que, en otros tiempos, había sido el gimnasio. El suelo, de madera barnizada, tenía pintadas líneas y círculos correspondientes a diferentes deportes. Los aros de baloncesto todavía existían, pero las redes habían desaparecido. La sala estaba rodeada por una galería destinada al público; y tuve la impresión de que podía percibir, como en un vago espejismo, el olor acre del sudor mezclado con ese toque dulce de la goma de mascar y del perfume de las chicas que se encontraban entre el público, vestidas con faldas de fieltro – así las había visto yo en las fotos —, más tarde con minifaldas, luego con pantalones, finalmente con un solo pendiente y peinadas con crestas de rayas verdes. Aquí se habían celebrado bailes; persistía la música, un palimpsesto de sonidos que nadie escuchaba, un estilo tras otro, un fondo de batería, un gemido melancólico, guirnaldas de flores hechas con papel de seda, demonios de cartón, una bola giratoria de espejos que salpicaba a los bailarines con copos de luz.","We slept in what used to be the gymnasium. The floor was made of varnished wood, painted with circles and lines for games of the past; the basketball hoops were still there, though the nets were gone. A long balcony ran along the four walls, meant for spectators, and I could almost smell, faintly like a lingering echo, the pungent scent of sweat, mixed with hints of chewing gum and perfume from the girls watching, dressed in wool skirts – I saw it in movies – then over time to mini skirts, pants, and finally with one ear pierced, hair streaked with blue and spiked with gel. Perhaps dances were also held here: the music still lingers, layers of sound overlapping without listeners, one tune covering another, the drumbeats blending, the mournful wails, garlands made of crepe paper, cardboard devil masks, the glass ball on the ceiling slowly turning, scattering clusters of light over the dancing couples.","We used to sleep in a place that was once a gymnasium. The floor was polished parquet, bearing the lines and circles drawn for games played in the past; the hoops of the basketball nets were still in place, but the nets were gone. A balcony surrounded the hall, for spectators, and from what I know from pictures, I imagined I could smell the sharp scent of sweat mingling with the pleasant aroma of gum and perfume from the girls in felt skirts at first, then mini-skirts, later pants, and finally with earrings in one ear and stiff hair with green streaks, like a fleeting afterimage. Balls were also held there; the music would be dying: like a parchment of unheard sound, layer upon layer, with drum sounds coming from underneath, a desperate cry; garlands made of thin paper flowers; cardboard devil masks; a rotating glass ball sprinkling a snow of light over the dancers.","We slept in what had once been the gymnasium. The floor, made of varnished wood, had lines and circles painted on it for various sports. The basketball hoops were still there, but the nets had disappeared. The room was surrounded by a gallery for the audience; and I had the impression that I could perceive, like in a vague mirage, the acrid smell of sweat mixed with that sweet touch of chewing gum and the perfume of the girls who were among the audience, dressed in felt skirts — that's how I had seen them in the photos —, later in miniskirts, then in pants, finally with a single earring and styled with crests of green stripes. Dances had been held here; the music persisted, a palimpsest of sounds that no one listened to, one style after another, a background of drums, a melancholic wail, garlands of flowers made of tissue paper, cardboard demons, a rotating mirror ball that sprinkled the dancers with flakes of light."
3,,[],"There was old sex in the room and loneliness, and expectation, of something without a shape or name. I remember that yearning, for something that was always about to happen and was never the same as the hands that were on us there and then, in the small of the back, or out back, in the parking lot, or in the television room with the sound turned down and only the pictures flickering over lifting flesh. We yearned for the future. How did we learn it, that talent for insatiability? It was in the air; and it was still in the air, an after-thought, as we tried to sleep, in the army cots that had been set","Khi ấy trong phòng có mùi ân ái cũ và nỗi cô đơn, và niềm mong ngóng, chờ một cái gì không hình dạng cũng không tên gọi. Tôi còn nhớ nỗi mong mỏi ấy, mong một điều gì luôn luôn ở ngay phía trước và luôn luôn mới lạ, như những bàn tay đã đặt trên mình ở nơi đó, vào lúc đó, trên hõm lưng, hay xa hơn, trong bãi để xe, hay trong phòng đặt ti vi đã vặn nhỏ tiếng, chỉ còn hình ảnh chập chờn hắt lên xác thịt đang động cựa. Chúng tôi mong mỏi tới tương lai. Từ đâu mà ra cái tài năng ấy, cái sự không bao giờ thỏa nguyện ấy? Nó vờ vẫn trong không trung; và nó vẫn còn giữa không trung, như một ý nghĩ đến muộn, khi chúng tôi cố dỗ giấc ngủ, trên giường gấp quân nhu xếp từng dãy, cách nhau một khoảng để ngăn ý đồ trò chuyện.","Geçmişte kalmış bir cinsellik vardı odada ve yalnızlık ve beklenti, biçimi ya da ismi olmayan bir şeyin. Park yerinde ya da inip kalkan bedenlerin Üzerinde sadece resimlerin titreştiği sessiz televizyon odasında, sırtın en dar yerinde ya da dışında, orada ve o zaman üstümüzde olan eller gibi her zaman değişen ve hemen oluverecek bir şey için duyduğumuz o özlemi hatırlıyorum. Geleceğe de özlem duyardık. Nasıl edindik bunu, bu doymazlık yeteneğini? Havadaydı; konuşmamızı olanaksız kılan aralıklarla yanyana dizilmiş ordu işi portatif yataklarda uyumaya çalışırken de hâlâ havadaydı; gecikmiş bir düşünce gibi.","En la sala había reminiscencias de sexo y soledad y expectativa, la expectativa de algo sin forma ni nombre. Recuerdo aquella sensación, el anhelo de algo que siempre estaba a punto de ocurrir y que nunca era lo mismo, como no eran las mismas las manos que sin perder el tiempo nos acariciaban la región lumbar, o se escurrían entre nuestras ropas cuando nos agazapábamos en el aparcamiento o en la sala de la televisión con el aparato enmudecido y las imágenes parpadeando sobre nuestra carne exaltada. Suspirábamos por el futuro. ¿De dónde sacábamos aquel talento para la insaciabilidad? Flotaba en el aire; y aún se respiraba, como una idea tardía, cuando intentábamos dormir en los catres del ejército dispuestos en fila y separados entre sí para que no pudiéramos hablar.","At that time, the room was filled with the scent of old intimacy and loneliness, and a longing, waiting for something without shape or name. I still remember that longing, yearning for something always just ahead and always new, like the hands that had been placed on me there, at that moment, on the small of my back, or further away, in the parking lot, or in the room with the TV turned down low, only flickering images casting shadows on the moving flesh. We long for the future. Where does that talent come from, that never-satisfied desire? It hovers in the air; and it remains in the air, like a late thought, when we try to lull ourselves to sleep, on the military folding beds arranged in rows, spaced apart to prevent any intention of conversation.","There was a sexuality left in the past in the room, and loneliness and expectation, of something without form or name. I remember the longing we felt for something always changing and about to happen, like the hands on us there and then, in the parking lot or on the bodies moving up and down, in the silent TV room where only the images flickered, on the narrowest part of the back or outside. We also longed for the future. How did we acquire this ability, this insatiability? It was in the air; it was still in the air as we tried to sleep on military-issue portable beds lined up at intervals that made conversation impossible; like a belated thought.","In the room, there were reminiscences of sex and loneliness and expectation, the expectation of something without form or name. I remember that sensation, the longing for something that was always about to happen and was never the same, just as the hands that, without wasting time, caressed our lumbar region were not the same, or slipped between our clothes when we crouched in the parking lot or in the television room with the device muted and the images flickering over our exalted flesh. We sighed for the future. Where did we get that talent for insatiability? It floated in the air; and it was still breathed in, like a late idea, when we tried to sleep on the army cots arranged in a row and separated from each other so we couldn't talk."
4,,"['aunt elizabeth', 'sara', 'dì sara', 'elizabeth', 'tía sara', 'tía elizabeth', 'sara teyze', 'elizabeth teyze']","up in rows, with spaces between so we could not talk. We had flannelette sheets, like children's, and army-issue blankets, old ones that still said U.S. We folded our clothes neatly and laid them on the stools at the ends of the beds. The lights were turned down but not out. Aunt Sara and Aunt Elizabeth patrolled; they had electric cattle prods slung on thongs from their leather belts.","Nó vờ vẫn trong không trung; và nó vẫn còn giữa không trung, như một ý nghĩ đến muộn, khi chúng tôi cố dỗ giấc ngủ, trên giường gấp quân nhu xếp từng dãy, cách nhau một khoảng để ngăn ý đồ trò chuyện. Giường trải ga bằng vải giả flannel, như của trẻ con, và chăn đắp cũng hàng quân dụng, những tấm chăn cũ vẫn còn dấu U. S. Quần áo được gập gọn gàng đặt trên ghế đẩu cuối giường. Đèn lờ mờ nhưng không tắt hẳn. Dì Sara và dì Elizabeth lượn lờ giám sát, roi điện thúc bò lủng lẳng đầu dây nịt lưng da.","Havadaydı; konuşmamızı olanaksız kılan aralıklarla yanyana dizilmiş ordu işi portatif yataklarda uyumaya çalışırken de hâlâ havadaydı; gecikmiş bir düşünce gibi. Flanel çarşaflarımız vardı, çocuklarınkine benzer ve üzerinde hâlâ US yazan eski ordu işi battaniyeler. Giysilerimizi düzgün bir biçimde katlayıp yatakların ayak uçlarında bulunan taburelere koyardık. Işıklar söndürülmeyip kısılırdı. Sara Teyze ve Elizabeth Teyze devriye gezerlerdi; deri kemerlerindeki askılardan sarkan elektrikli dürteçleri vardı.","Flotaba en el aire; y aún se respiraba, como una idea tardía, cuando intentábamos dormir en los catres del ejército dispuestos en fila y separados entre sí para que no pudiéramos hablar. Teníamos sábanas de franela de algodón, como las que usan los niños, y mantas del ejército, tan viejas que aún llevaban las iniciales U. S. Doblábamos nuestra ropa con mucha prolijidad y la dejábamos sobre el taburete, a los pies de la cama. Enseguida bajaban las luces pero nunca las apagaban. Tía Sara y Tía Elizabeth hacían la ronda; en sus cinturones de cuero llevaban colgando aguijones eléctricos como los que usaban para el ganado.","It hovers in the air; and it remains in the air, like a late thought, when we try to lull ourselves to sleep, on the military folding beds arranged in rows, spaced apart to prevent any intention of conversation. The beds are made with faux flannel sheets, like children's, and the blankets are also military issue, old blankets still bearing the U.S. mark. Clothes are neatly folded and placed on the stool at the foot of the bed. The lights are dim but not completely off. Aunt Sara and Aunt Elizabeth hover around supervising, cattle prods dangling from their leather belts.","It was in the air; it was still in the air as we tried to sleep on military-issue portable beds lined up at intervals that made conversation impossible; like a belated thought. We had flannel sheets, similar to those of children, and still old military-issue blankets with ""US"" written on them. We would neatly fold our clothes and place them on the stools at the foot of the beds. The lights were not turned off but dimmed. Aunt Sara and Aunt Elizabeth would patrol; they had electric prods hanging from the straps on their leather belts.","It floated in the air; and it was still breathed in, like a late idea, when we tried to sleep on the army cots arranged in a row and separated from each other so we couldn't talk. We had cotton flannel sheets, like the ones children use, and army blankets, so old they still bore the initials U. S. We folded our clothes very neatly and left them on the stool at the foot of the bed. The lights would dim immediately but were never turned off. Aunt Sara and Aunt Elizabeth made the rounds; on their leather belts they carried electric prods like the ones used for cattle."
5,,['angels'],"No guns though, even they could not be trustedwith guns. Guns were for the guards, specially picked from the Angels. The guards weren't allowed inside the building except when called, and we weren't allowed out, except for our walks, twice daily, two by two around the football field, which was enclosed now by a chain-link fence topped with barbed wire. The Angels stood outside it with their backs to us. They were objects of fear to us, but of something else as well. If only they would look. If only we could talk to them. Something could be exchanged,we thought, some deal made, some tradeoff, we still had our bodies. That was our fantasy.","Nhưng súng thì không, ngay họ cũng không giao súng vào tay được. Súng là của riêng đám gác, là các Thiên sứ được cẩn trọng chọn ra. Đám gác không được vào trong ngôi trường trừ khi được triệu, còn chúng tôi không được phép ra, trừ những chuyến đi dạo hai lần mỗi ngày, theo hàng đôi vòng quanh sân bóng đá, đã rào lại bằng lưới mắt cáo chăng thép gai. Bên ngoài các Thiên sứ đứng, xây lưng lại. Họ gây ra nỗi sợ hãi, và nhen cả những nỗi khác trong chúng tôi. Giá mà họ quay nhìn. Giá mà chúng tôi nói được với họ. Có thể trao đổi gì đó, chúng tôi hình dung, xác lập một thỏa thuận, một cuộc mua đi bán lại, chúng tôi vẫn còn thân thể mình. Mơ tưởng của chúng tôi là thế.","Yine de silahları yoktu, onlara bile silah verecek kadar güvenilmezdi. Silahlar, özellikle Meleklerden seçilen Muhafızlar içindi. Muhafizlar'ın çağrılmadıkça binanın içersine girmelerine, bizim de dışarı çıkmamıza izin verilmezdi, gezintilerimiz hariç; günde iki kez, ikişer ikişer, şimdi dikenli tel örgüyle çevrilmiş futbol sahasının etrafında. Melekler bu çitin dışında sırtları bize dönük dururlardı. Bizim için birer korku nesnesiydiler, ancak bunun dışında da bir şeydiler. Ah, bir baksalardı! Bir konuşabilseydik onlarla. Bir şeyler değiş tokuş edilebilirdi, diye düşünüyorduk, bir anlaşma, bir alışveriş, hâlâ bedenlerimiz vardı elimizde. Bizim fantezimiz buydu.","Sin embargo, no llevaban armas; ni siquiera a ellas se las habrían confiado. Su uso estaba reservado a los Guardianes, que eran especialmente escogidos entre los Ángeles. No se permitía la presencia de Guardianes dentro del edificio, excepto cuando se los llamaba; y a nosotras no nos dejaban salir, salvo para dar nuestros paseos, dos veces al día y de dos en dos, alrededor del campo de fútbol que ahora estaba cercado con una valla de cadenas, rematada con alambre de púas. Los Ángeles permanecían fuera, dándonos la espalda. Para nosotras eran motivo de temor, y también de algo más. Si al menos nos miraran, si pudiéramos hablarles... Creíamos que así podríamos intercambiar algo, hacer algún trato, llegar a un acuerdo, aún nos quedaban nuestros cuerpos... Esta era nuestra fantasía.","But not the guns; even they couldn't put guns in our hands. The guns were reserved for the guards, the Angels carefully chosen. The guards were not allowed inside the school unless summoned, and we were not allowed out, except for the twice-daily walks, in pairs, around the football field, fenced with wire mesh and barbed wire. Outside, the Angels stood with their backs turned. They instilled fear, and kindled other feelings within us. If only they would turn and look. If only we could speak to them. We imagined we could exchange something, establish a deal, a barter; we still had our bodies. Such were our dreams.","Still, they had no weapons; they were too untrustworthy to be given weapons. The weapons were especially for the Guardians chosen from among the Angels. The Guardians were not allowed to enter the building unless summoned, and we were not allowed to go outside, except for our walks; twice a day, in pairs, around the football field now surrounded by barbed wire. The Angels would stand outside this fence with their backs turned to us. They were objects of fear for us, but they were also something else. Oh, if only they would look! If only we could talk to them. We thought something could be exchanged, a deal, a trade, we still had our bodies. This was our fantasy.","However, they did not carry weapons; not even those would have been entrusted to them. Their use was reserved for the Guardians, who were specially chosen from among the Angels. The presence of Guardians inside the building was not allowed, except when they were called; and we were not allowed to go out, except for our walks, twice a day and in pairs, around the football field that was now fenced with a chain-link fence topped with barbed wire. The Angels remained outside, turning their backs to us. For us, they were a source of fear, and also something more. If only they would look at us, if we could talk to them... We believed that we could exchange something, make a deal, reach an agreement, we still had our bodies... This was our fantasy."
6,,"['tías', 'handiyse', 'moira', 'june', 'janine', 'alma', 'dolores']","We learned to whisper almost without sound. In the semi-darkness we could stretch out our arms, when the Aunts weren't looking, and touch each other's hands across space. We learned to lip-read, our heads flat on the beds, turned sideways, watching each other's mouths. In this way we exchanged names, from bed to bed: Alma. Janine. Dolores. Moira. June.","Chúng tôi đã học cách thầm thì gần như không ra tiếng. Trong bóng lờ mờ chúng tôi có thể đưa tay ra, khi các dì không để ý, chạm vào nhau qua khoảng trống giữa các giường. Chúng tôi học cách đọc lời trên môi nhau, má áp sát giường, nằm nghiêng sang bên, nhìn miệng nhau mấp máy. Bằng cách ấy những cái tên được truyền đi, từ giường này qua giường khác. Alma. Janine. Dolores. Moira. June.","Handiyse sessiz fısıldamayı öğrendik. Yarı karanlıkta kollarımızı uzatabiliyor, Teyzeler bakmazken, boşluğu aşıp birbirimizin ellerine dokunabiliyorduk. Dudak okumayı da öğrendik, başlarımız yastığa yapışık, yana dönmüş, birbirimizin dudaklarını gözleyerek. Bu biçimde isimlerimizi iletiyorduk, yataktan yatağa: Alma. Janine. Dolores. Moira. June.","Aprendimos a susurrar casi sin hacer ruido. En la semipenumbra, cuando las Tías no miraban, estirábamos los brazos y nos tocábamos las manos mutuamente. Aprendimos a leer el movimiento de los labios: con la cabeza pegada a la cama, tendidas de costado, nos observábamos mutuamente la boca. Así, de una cama a otra, nos comunicábamos los nombres: Alma, Janine, Dolores, Moira, June.","We learned to whisper almost inaudibly. In the dim light, we could reach out, when the aunts weren't paying attention, and touch each other through the gaps between the beds. We learned to read each other's lips, cheek pressed against the bed, lying on our sides, watching each other's mouths move. In this way, names were passed along, from bed to bed. Alma. Janine. Dolores. Moira. June.","We almost learned to whisper silently. In the semi-darkness, we could reach out our arms, and when the Aunts weren't looking, we could cross the void and touch each other's hands. We also learned to read lips, our heads pressed against the pillow, turned sideways, watching each other's lips. We communicated our names this way, from bed to bed: Alma. Janine. Dolores. Moira. June.","We learned to whisper almost without making a sound. In the semi-darkness, when the Aunts weren't looking, we would stretch out our arms and touch each other's hands. We learned to read the movement of the lips: with our heads pressed against the bed, lying on our sides, we watched each other's mouths. Thus, from one bed to another, we communicated the names: Alma, Janine, Dolores, Moira, June."
7,,[],II Shopping,II – Mua sắm,II Alışveriş,II LA COMPRA,II – Shopping,II Shopping,II THE PURCHASE
9,,[],"A chair, a table, a lamp. Above, on the white ceiling, a relief ornament in the shape of a wreath, and in the center of it a blank space, plastered over, like the place in a face where the eye has been taken out. There must have been a chandelier, once. They've removed anything you could tie a rope to.","Một ghế, một bàn, một đèn. Tít trên trần quét vôi trắng, một vòng hoa đắp nổi, chính giữa là khoảng trống hoác trát thạch cao, như hố rỗng trên mặt nơi con mắt đã bị lấy đi. Đây hẳn từng treo một bộ đèn chùm, lúc trước. Người ta đã bỏ đi tất cả những gì có thể dùng buộc dây vào.","Bir sandalye, bir masa, bir lamba. Beyaz tayanda çelenk biçiminde bir rölyef süsü ve ortasında tek gözü çıkarılmış bir yüzdeki deliği andıran sıvalı boş bir alan. Orada bir avize sallanıyor olmalıydı, bir zamanlar. İp aşılabilecek her şeyi ortadan kaldırmışlar.","Una silla, una mesa, una lampara. Arriba, en el cielo raso blanco, un adorno en relieve en forma de guirnalda, y en el centro de esta un espacio en blanco tapado con yeso, como un rostro al que le han arrancado los ojos. Alguna vez allí debió haber una araña. Pero han quitado todos los objetos a los que pueda atarse una cuerda.","One chair, one table, one lamp. High up on the whitewashed ceiling, a wreath in relief, with a gaping hole of plaster in the center, like an empty socket where an eye had been removed. There must have once hung a chandelier here. They had taken away everything that could be used to tie a rope to.","A chair, a table, a lamp. A relief decoration in the shape of a wreath on the white ceiling and in the middle a plastered empty area resembling a hole in a face with one eye removed. There must have been a chandelier hanging there once. They have removed everything that could be hung.","A chair, a table, a lamp. Above, on the white ceiling, a relief ornament in the shape of a garland, and in the center of it a blank space covered with plaster, like a face from which the eyes have been gouged out. There must have once been a chandelier there. But they have removed all the objects to which a rope could be tied."
10,,[],"A window, two white curtains. Under the window, a window seat with a little cushion. When the window is partly openit only opens partlythe air can come in and make the curtains move. I can sit in the chair,or on the window seat, hands folded, and watch this. Sunlight comes in through the window too, ami falls on the floor, which is made of wood, in narrow strips, highly polished. I can smell the polish. There's a rug on the floor, oval, of braided rags. This is the kind of touch they like: folk art, archaic, made by women, in their spare time, from things that have no further use. A return to traditional values. Waste not want not. I am not being wasted. Why do 1 want?","Một cửa sổ, hai rèm trắng. Dưới là bệ cửa đặt cái gối tựa nhỏ. Khi cửa sổ mở hé – chẳng bao giờ mở hơn – gió lùa vào làm tấm rèm lay động. Tôi có thể ngồi trên ghế, hay trên bệ cửa, tay khoanh lại ngắm cảnh này. Nắng cũng vào qua cửa, rớt xuống nền nhà, bằng gỗ, ghép từng tấm hẹp, đánh xi bóng loáng. Tôi ngửi thấy được mùi xi. Sàn trải thảm, hình ô van, bện bằng giẻ. Họ thích lối chấm phá ấy: thủ công dân gian, hơi cổ, do phụ nữ làm, trong lúc rảnh rỗi, bằng những thứ vứt đi. Trở về với giá trị truyền thống. Không phí phạm sẽ không thiếu thốn. Tôi đâu bị lãng phí đi. Sao còn không đủ?","Bir pencere, iki beyaz perde. Perdelerin altında da, küçük bir yastığın bulunduğu bir pencere peykesi. Pencere yarı açıldığında -daha fazla açılmaz zaten- rüzgar içeri girip perdeleri kımıldatabilir. Sandalyede ya da pencere peykesinde, ellerimi kavuşturarak oturup bunu seyredebilirim. Gün ışığı da girer pencereden içeri ve dar şeritli, fazla cilalanmış parkelerle kaplı yere yansır. Cilanın kokusunu duyabilirim. Yerde bir kilim, oval, paçavralardan dokunmuş. Bunu severler işte: halk sanatı, arkaik, kadınların yaptığı, boş vakitlerinde, başka bir işe yaramayan şeylerden. Geleneksel değerlere bir dönüş. İsraf etme ki isteme. Ben harcanmıyorum. Neden isteyeyim ki?","Una ventana, dos cortinas blancas. Bajo la ventana, un asiento con un cojín pequeño. Cuando la ventana se abre parcialmente –solo se abre parcialmente— entra el aire y mueve las cortinas. Me puedo sentar en la silla, o en el asiento de la ventana, con las manos cruzadas, y dedicarme a contemplar. La luz del sol también entra por la ventana y se proyecta sobre el suelo de listones de madera estrechos, muy encerados. Puedo oler la cera. En el suelo hay una alfombra ovalada, hecha con trapos viejos trenzados. Este es el tipo de detalles que les gusta: arte popular, arcaico, hecho por las mujeres en su tiempo libre con cosas que ya no sirven. Un retorno a los valores tradicionales. No consumir, no desear. Si no consumo, ¿por qué sí deseo?","A window, two white curtains. Below is the windowsill with a small cushion placed on it. When the window is slightly open – never more than that – the wind blows in, making the curtains sway. I can sit on the chair, or on the windowsill, arms folded, watching this scene. Sunlight also comes in through the window, falling onto the floor, made of wood, assembled from narrow planks, polished to a shine. I can smell the polish. The floor is covered with a rug, oval-shaped, woven from rags. They like that style: folk craftsmanship, somewhat old-fashioned, made by women in their spare time, from discarded materials. Returning to traditional values. Waste not, want not. I am not being wasted. Why is there still not enough?","A window, two white curtains. Below the curtains, a window seat with a small pillow on it. When the window is half-opened - it won't open any further anyway - the wind can come in and move the curtains. I can sit on the chair or the window seat, clasp my hands, and watch this. Daylight also enters through the window and reflects on the floor covered with narrow-striped, overly polished parquet. I can smell the polish. On the floor, an oval rug, woven from rags. This is what they like: folk art, archaic, made by women, in their spare time, from things that serve no other purpose. A return to traditional values. Waste not, want not. I'm not being wasted. Why would I want to be?","A window, two white curtains. Under the window, a seat with a small cushion. When the window is partially opened –it only opens partially— air comes in and moves the curtains. I can sit in the chair, or on the window seat, with my hands crossed, and dedicate myself to contemplating. Sunlight also enters through the window and projects onto the narrow, highly waxed wooden floorboards. I can smell the wax. On the floor, there is an oval rug, made from old braided rags. This is the kind of detail they like: folk art, archaic, made by women in their spare time with things that are no longer useful. A return to traditional values. Do not consume, do not desire. If I do not consume, why do I still desire?"
11,,[],"On the wall above the chair, a picture, framed but with no glass: a print of flowers, blue irises, watercolor. Flowers are still allowed, Does each of us have the same print, the same chair, the same while curtains, I wonder? Government issue?","Trên tường phía trên ghế, một tranh, có khung nhưng không kính: vẽ hoa, diên vỹ xanh, màu nước. Hoa vẫn được cho phép. Có phải chúng tôi đều có tranh như nhau, ghế như nhau, rèm trắng như nhau? Hàng quân dụng?","Sandalyenin üstündeki duvarda bir resim, çerçeveli fakat camsız: bir çiçek baskısı, mavi irisler, suluboya. Çiçeğe hâlâ izin veriliyor. Her birimiz aynı resme, aynı sandalyeye, aynı beyaz perdelere mi sahibiz acaba? Hükümet malı?","En la pared, por encima de la silla, un cuadro con marco pero sin cristal: es una acuarela de flores, de lirios azules. Las flores aún están permitidas. Me pregunto si las demás también tendrán un cuadro, una silla, unas cortinas blancas. ¿Serán artículos repartidos por el gobierno?","On the wall above the chair, a painting, framed but without glass: it depicts flowers, blue irises, watercolor. Flowers are still allowed. Do we all have the same paintings, the same chairs, the same white curtains? Standard issue?","A picture on the wall above the chair, framed but without glass: a flower print, blue irises, watercolor. The flower is still allowed. Do we each have the same picture, the same chair, the same white curtains? Government property?","On the wall, above the chair, a painting with a frame but without glass: it is a watercolor of flowers, of blue irises. Flowers are still allowed. I wonder if the others also have a painting, a chair, some white curtains. Are these items distributed by the government?"
