,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,35.0,11.666666666666666,3.3333333333333335,8.333333333333332,3.3333333333333335,3.3333333333333335,0.0,3.3333333333333335,1.6666666666666667,5.0,5.0,1.6666666666666667,1.6666666666666667,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667
A Tale of Two Cities,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A thousand splendid suns,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,45.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,84.78260869565217,0.0,0.0,8.695652173913043,2.1739130434782608,0.0,0.0,0.0,0.0,0.0,10.869565217391305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dracula,12.222222222222221,4.444444444444445,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,2.2222222222222223,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0
Dune,16.0,7.000000000000001,8.0,8.0,5.0,5.0,3.0,5.0,0.0,6.0,11.0,6.0,7.000000000000001,7.000000000000001,4.0,5.0,2.0,5.0,0.0,4.0
Fahrenheit 451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,18.75,6.25,2.083333333333333,6.25,0.0,0.0,2.083333333333333,2.083333333333333,0.0,0.0,0.0,2.083333333333333,2.083333333333333,0.0,0.0,0.0,2.083333333333333,4.166666666666666,0.0,0.0
Harry Potter and the Deathly Hallows,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Of Mice and Men,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,1.0526315789473684,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,45.45454545454545,5.05050505050505,5.05050505050505,2.0202020202020203,2.0202020202020203,1.0101010101010102,1.0101010101010102,2.0202020202020203,3.0303030303030303,0.0,3.0303030303030303,3.0303030303030303,2.0202020202020203,0.0,1.0101010101010102,1.0101010101010102,2.0202020202020203,0.0,3.0303030303030303,0.0
Sense and sensibility,8.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
The Boy in the Striped Pyjamas,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,42.592592592592595,7.4074074074074066,7.4074074074074066,7.4074074074074066,0.0,3.7037037037037033,1.8518518518518516,1.8518518518518516,11.11111111111111,3.7037037037037033,0.0,0.0,5.555555555555555,3.7037037037037033,0.0,0.0,0.0,0.0,12.962962962962962,0.0
The Handmaid s Tale,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,30.136986301369863,0.0,4.10958904109589,4.10958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
