Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['mr bingley', 'mr', 'bingley']",mary,0,0.67,incorrect,david,0,0.17,incorrect,ayo,0,0.2,incorrect,mi,0,0.5,incorrect,kagiso,0,0.15,incorrect,gonne,0,0.33,incorrect,marie,0,0.57,incorrect,mea,0,0.4,incorrect,ram,0,0.4,incorrect,pooja,0,0.0,incorrect,elizabeth,0,0.25,incorrect,mary,0,0.67,incorrect,bingley,1,1.0,correct,john,0,0.18,incorrect,ahmet,0,0.29,incorrect,ayse,0,0.18,incorrect,lan,0,0.2,incorrect,khong ro,0,0.27,incorrect,senor,0,0.29,incorrect,maria,0,0.57,incorrect,david,0,0.17,incorrect,mi,0,0.5,incorrect,gonne,0,0.33,incorrect,mea,0,0.4,incorrect,pooja,0,0.0,incorrect,mary,0,0.67,incorrect,john,0,0.18,incorrect,ayse,0,0.18,incorrect,khong ro,0,0.27,incorrect,maria,0,0.57,incorrect
"['mr', 'bennet', 'señor', 'señor bennet', 'mr bennet']",mr. bennet,0,0.95,correct,kelello,0,0.33,incorrect,caprice,0,0.25,incorrect,owo,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect,marie,0,0.57,incorrect,marie,0,0.57,incorrect,mr. bennett,0,0.9,correct,radha,0,0.29,incorrect,emma,0,0.33,incorrect,ny tena,0,0.42,incorrect,mr. bennet,0,0.95,correct,elizabeth,0,0.4,incorrect,bay bennet,0,0.75,correct,omer,0,0.67,incorrect,elizabeth,0,0.4,incorrect,dau,0,0.0,incorrect,darcy,0,0.29,incorrect,emma,0,0.33,incorrect,kelello,0,0.33,incorrect,owo,0,0.25,incorrect,john,0,0.25,incorrect,marie,0,0.57,incorrect,radha,0,0.29,incorrect,ny tena,0,0.42,incorrect,elizabeth,0,0.4,incorrect,omer,0,0.67,incorrect,dau,0,0.0,incorrect,emma,0,0.33,incorrect
"['mrs long', 'señora long', 'long', 'señora', 'mrs']",thabo,0,0.25,incorrect,john,0,0.5,incorrect,samuel,0,0.35,incorrect,ore,0,0.44,incorrect,mme,0,0.33,incorrect,ga,0,0.33,incorrect,mask,0,0.57,incorrect,tera,0,0.6,incorrect,smith,0,0.25,incorrect,es.,0,0.33,incorrect,smith,0,0.25,incorrect,michael,0,0.27,incorrect,miss bates,0,0.33,incorrect,elizabeth,0,0.27,incorrect,ahmet,0,0.25,incorrect,onur,0,0.5,incorrect,lan,0,0.57,incorrect,hai,0,0.22,incorrect,bennett,0,0.33,incorrect,alberto,0,0.36,incorrect,john,0,0.5,incorrect,ore,0,0.44,incorrect,ga,0,0.33,incorrect,tera,0,0.6,incorrect,es.,0,0.33,incorrect,michael,0,0.27,incorrect,elizabeth,0,0.27,incorrect,onur,0,0.5,incorrect,hai,0,0.22,incorrect,alberto,0,0.36,incorrect
"['señora bennet', 'mrs', 'bennet', 'señora', 'mrs bennet']",mary,0,0.57,incorrect,thabo,0,0.22,incorrect,sade,0,0.4,incorrect,ayo,0,0.22,incorrect,jesus,0,0.25,incorrect,john,0,0.24,incorrect,hina,0,0.4,incorrect,te,0,0.25,incorrect,ramakrishna,0,0.43,incorrect,anand,0,0.36,incorrect,sarah,0,0.55,incorrect,sarah,0,0.55,incorrect,elizabeth,0,0.45,incorrect,elizabeth,0,0.45,incorrect,ayse,0,0.4,incorrect,hanimlar,0,0.36,incorrect,nguoi cha,0,0.4,incorrect,hang,0,0.24,incorrect,maria,0,0.5,incorrect,elena,0,0.55,incorrect,thabo,0,0.22,incorrect,ayo,0,0.22,incorrect,john,0,0.24,incorrect,te,0,0.25,incorrect,anand,0,0.36,incorrect,sarah,0,0.55,incorrect,elizabeth,0,0.45,incorrect,hanimlar,0,0.36,incorrect,hang,0,0.24,incorrect,elena,0,0.55,incorrect
"['bennet', 'mr bennet', 'mr']",romeo,0,0.29,incorrect,ke,0,0.25,incorrect,mary,0,0.67,incorrect,ati,0,0.22,incorrect,joseph,0,0.17,incorrect,le,0,0.25,incorrect,marie,0,0.57,incorrect,tera,0,0.33,incorrect,priya,0,0.29,incorrect,priya,0,0.29,incorrect,andry,0,0.29,incorrect,andry,0,0.29,incorrect,elizabeth,0,0.4,incorrect,emily,0,0.29,incorrect,elizabeth,0,0.4,incorrect,valla,0,0.0,incorrect,ngoc,0,0.2,incorrect,thao,0,0.2,incorrect,juan,0,0.2,incorrect,maria,0,0.57,incorrect,ke,0,0.25,incorrect,ati,0,0.22,incorrect,le,0,0.25,incorrect,tera,0,0.33,incorrect,priya,0,0.29,incorrect,andry,0,0.29,incorrect,emily,0,0.29,incorrect,valla,0,0.0,incorrect,thao,0,0.2,incorrect,maria,0,0.57,incorrect
['lizzy'],mr. darcy,0,0.14,incorrect,ke,0,0.0,incorrect,mr. darcy,0,0.14,incorrect,olu,0,0.25,incorrect,job,0,0.0,incorrect,gonne,0,0.0,incorrect,jesus,0,0.0,incorrect,tera,0,0.0,incorrect,mr. darcy,0,0.14,incorrect,priya,0,0.4,incorrect,darcy,0,0.2,incorrect,enga,0,0.0,incorrect,mr. darcy,0,0.14,incorrect,darcy,0,0.2,incorrect,darcy,0,0.2,incorrect,adam,0,0.0,incorrect,huan,0,0.0,incorrect,anh,0,0.0,incorrect,darcy,0,0.2,incorrect,juan,0,0.0,incorrect,ke,0,0.0,incorrect,olu,0,0.25,incorrect,gonne,0,0.0,incorrect,tera,0,0.0,incorrect,priya,0,0.4,incorrect,enga,0,0.0,incorrect,darcy,0,0.2,incorrect,adam,0,0.0,incorrect,anh,0,0.0,incorrect,juan,0,0.0,incorrect
"['lucas', 'miss lucas', 'miss', 'lucas–']",boikhohomoso,0,0.25,incorrect,monna,0,0.27,incorrect,socrates,0,0.46,incorrect,odomokunrin,0,0.27,incorrect,boikgogomoso,0,0.25,incorrect,le,0,0.29,incorrect,to'na,0,0.2,incorrect,mai,0,0.57,incorrect,darcy,0,0.2,incorrect,raghav,0,0.18,incorrect,mr. darcy,0,0.32,incorrect,raha,0,0.22,incorrect,charlotte,0,0.29,incorrect,darcy,0,0.2,incorrect,darcy,0,0.2,incorrect,hakki,0,0.22,incorrect,lan,0,0.5,incorrect,kieu,0,0.29,incorrect,bennett,0,0.0,incorrect,el,0,0.29,incorrect,monna,0,0.27,incorrect,odomokunrin,0,0.27,incorrect,le,0,0.29,incorrect,mai,0,0.57,incorrect,raghav,0,0.18,incorrect,raha,0,0.22,incorrect,darcy,0,0.2,incorrect,hakki,0,0.22,incorrect,kieu,0,0.29,incorrect,el,0,0.29,incorrect
['mary'],darcy,0,0.67,incorrect,pride,0,0.22,incorrect,socrates,0,0.17,incorrect,asan,0,0.25,incorrect,john,0,0.0,incorrect,boikgogomoso,0,0.12,incorrect,descartes,0,0.31,incorrect,mea,0,0.57,incorrect,darcy,0,0.67,incorrect,rai,0,0.29,incorrect,jane austen,0,0.13,incorrect,ny,0,0.33,incorrect,mary,1,1.0,correct,vanity,0,0.4,incorrect,darcy,0,0.67,incorrect,gurur,0,0.22,incorrect,elizabeth,0,0.15,incorrect,phu,0,0.0,incorrect,elizabeth,0,0.15,incorrect,don quijote,0,0.0,incorrect,pride,0,0.22,incorrect,asan,0,0.25,incorrect,boikgogomoso,0,0.12,incorrect,mea,0,0.57,incorrect,rai,0,0.29,incorrect,ny,0,0.33,incorrect,vanity,0,0.4,incorrect,gurur,0,0.22,incorrect,phu,0,0.0,incorrect,don quijote,0,0.0,incorrect
"['miss eliza', 'eliza', 'miss', 'eliz']",mr. darcy,0,0.32,incorrect,michael,0,0.47,incorrect,tayo,0,0.22,incorrect,tayo,0,0.22,incorrect,god,0,0.0,incorrect,thato,0,0.2,incorrect,john,0,0.0,incorrect,undefined,0,0.31,incorrect,ravi,0,0.25,incorrect,krishna,0,0.36,incorrect,ravelo,0,0.4,incorrect,michael,0,0.47,incorrect,elizabeth,0,0.71,correct,darcy,0,0.2,incorrect,don juan,0,0.22,incorrect,nazim,0,0.22,incorrect,lan,0,0.5,incorrect,diem,0,0.29,incorrect,bennet,0,0.2,incorrect,usted,0,0.27,incorrect,michael,0,0.47,incorrect,tayo,0,0.22,incorrect,thato,0,0.2,incorrect,undefined,0,0.31,incorrect,krishna,0,0.36,incorrect,michael,0,0.47,incorrect,darcy,0,0.2,incorrect,nazim,0,0.22,incorrect,diem,0,0.29,incorrect,usted,0,0.27,incorrect
"['bennet––', 'mrs', 'bennet', 'mrs bennet']",adam,0,0.29,incorrect,keletso,0,0.46,incorrect,smith,0,0.27,incorrect,timi,0,0.29,incorrect,thabo,0,0.18,incorrect,rialo,0,0.25,incorrect,mask,0,0.57,incorrect,john,0,0.2,incorrect,smith,0,0.27,incorrect,s. (as a potential abbreviation or part of the proper name),0,0.2,incorrect,rabe,0,0.43,incorrect,john,0,0.2,incorrect,bennet,1,1.0,correct,stiles,0,0.25,incorrect,ayse,0,0.29,incorrect,ahmet,0,0.4,incorrect,quang,0,0.18,incorrect,ngoc,0,0.2,incorrect,elizabeth,0,0.4,incorrect,si,0,0.4,incorrect,keletso,0,0.46,incorrect,timi,0,0.29,incorrect,rialo,0,0.25,incorrect,john,0,0.2,incorrect,s. (as a potential abbreviation or part of the proper name),0,0.2,incorrect,john,0,0.2,incorrect,stiles,0,0.25,incorrect,ahmet,0,0.4,incorrect,ngoc,0,0.2,incorrect,si,0,0.4,incorrect
