,English,Translations,Cross-lingual
gpt-4o-2024-11-20,43.729481286933684,25.95753994309477,12.814620267016853
Llama-3.1-405b,32.58286429018136,21.784448613716908,11.507191994996873
Llama-3.1-70B-Instruct_,29.018136335209505,16.322701688555348,7.046070460704607
Llama-3.3-70B-Instruct,29.455909943714822,15.447154471544716,5.764019178653325
Llama-3.1-70B-Instruct-quantized.w4a16,27.267041901188243,15.40546174692516,6.848030018761726
OLMo-2-1124-13B-Instruct,20.700437773608506,11.31957473420888,3.9920783823222847
OLMo-2-1124-7B-Instruct,21.388367729831145,10.444027517198249,3.252032520325203
Llama-3.1-8B-Instruct_,18.2614133833646,9.318323952470294,3.3666875130289764
Llama-3.1-8B-Instruct-quantized.w8a16,17.88617886178862,9.06816760475297,3.27287888263498
Llama-3.1-70B-Instruct-quantized.w8a16,17.573483427141962,8.73462580779654,2.9914529914529915
Llama-3.1-8B-Instruct-quantized.w4a16,16.44777986241401,7.2336877214926,2.380952380952381
EuroLLM-9B-Instruct,6.066291432145091,6.670835939128622,2.824682092974776
Qwen2.5-7B-Instruct-1M,4.315196998123827,6.629143214509068,2.25140712945591
