,English,Translations,Cross-lingual
gpt-4o-2024-11-20,74.21018697614443,64.62497313561143,42.25231033741672
Llama-3.1-405b,66.74861708666256,56.36140135218193,38.007736943907155
Llama-3.1-70B-Instruct-quantized.w4a16,59.127228027043635,48.00245851259988,30.657640232108317
Llama-3.1-70B-Instruct_,58.819913952059004,45.58492112272075,32.36621534493875
Llama-3.3-70B-Instruct,55.80823601720959,38.946937103052655,29.002793896410918
OLMo-2-1124-13B-Instruct,48.92440073755378,40.23765621798812,22.254459488502043
Llama-3.1-8B-Instruct-quantized.w8a16,40.811309157959435,34.54210202827289,20.08381689232753
OLMo-2-1124-7B-Instruct,43.700061462815,33.9479614833026,16.806361487212552
Llama-3.1-8B-Instruct_,39.766441303011675,33.968449088301576,19.675478186116482
Llama-3.1-70B-Instruct-quantized.w8a16,35.771358328211434,25.40463019872977,15.871480765097786
Llama-3.1-8B-Instruct-quantized.w4a16,38.72157344806392,25.58901864372055,12.217923920051579
Qwen2.5-7B-Instruct-1M,28.334357713583284,22.331489448883424,12.368364496024071
EuroLLM-9B-Instruct,27.719729563614013,20.999795123950012,9.316569954867827
