,English,Translations,Cross-lingual
gpt-4o-2024-11-20,42.48194353250164,19.52287152549792,9.58634274458306
Llama-3.1-405b,31.832395247029392,20.304356889722744,7.796539503856577
Llama-3.1-70B-Instruct_,28.205128205128204,11.944965603502189,4.523660621221596
Llama-3.3-70B-Instruct,27.70481550969356,10.881801125703564,3.8461538461538463
Llama-3.1-70B-Instruct-quantized.w4a16,26.704190118824265,11.402960183447988,3.9295392953929538
OLMo-2-1124-13B-Instruct,18.69918699186992,8.317698561601,2.960183447988326
Llama-3.1-8B-Instruct-quantized.w8a16,19.136960600375236,6.775067750677507,2.3973316656243484
Llama-3.1-8B-Instruct_,19.074421513445905,6.900145924536169,2.334792578695018
OLMo-2-1124-7B-Instruct,19.57473420888055,6.608296852199291,2.053366687513029
Llama-3.1-8B-Instruct-quantized.w4a16,17.573483427141962,4.669585157390036,1.7823639774859288
Llama-3.1-70B-Instruct-quantized.w8a16,13.383364602876798,6.27475505524286,1.3550135501355014
Qwen2.5-7B-Instruct-1M,3.4396497811131956,4.085887012716281,1.5739003543881593
EuroLLM-9B-Instruct,4.815509693558474,3.293725244944757,0.5420054200542005
