,English,Translations,Cross-lingual
gpt-4o-2024-11-20,34.52054794520548,9.703196347031964,5.410958904109589
Llama-3.1-405b,29.82456140350877,12.113617376775272,4.782790309106098
Llama-3.1-70B-Instruct_,21.55388471177945,4.657477025898078,2.1710526315789473
Llama-3.3-70B-Instruct,21.2406015037594,3.6967418546365916,1.6776315789473684
Llama-3.1-70B-Instruct-quantized.w4a16,20.67669172932331,3.6758563074352546,1.8530701754385965
OLMo-2-1124-13B-Instruct,16.478696741854638,2.694235588972431,1.293859649122807
OLMo-2-1124-7B-Instruct,16.416040100250626,1.9632414369256475,0.8114035087719298
Llama-3.1-8B-Instruct_,15.601503759398497,2.4227234753550544,0.9978070175438597
Llama-3.1-8B-Instruct-quantized.w8a16,15.413533834586467,2.443609022556391,0.9758771929824561
Llama-3.1-8B-Instruct-quantized.w4a16,14.598997493734336,1.796157059314954,0.5921052631578947
Llama-3.1-70B-Instruct-quantized.w8a16,12.468671679197994,2.172096908939014,0.5921052631578947
EuroLLM-9B-Instruct,3.1954887218045114,0.9398496240601504,0.3399122807017544
Qwen2.5-7B-Instruct-1M,2.0050125313283207,1.086048454469507,0.5263157894736842
