,English,Translations,Cross-lingual
gpt-4o-2024-11-20,38.088235294117645,14.950980392156863,8.242009132420092
Llama-3.1-405b,30.70175438596491,15.914786967418546,9.29406850459482
Llama-3.1-70B-Instruct_,22.305764411027567,7.9156223893066,4.956140350877193
Llama-3.3-70B-Instruct,23.43358395989975,7.5396825396825395,3.5416666666666665
Llama-3.1-70B-Instruct-quantized.w4a16,21.115288220551378,6.495405179615706,4.5285087719298245
OLMo-2-1124-7B-Instruct,17.355889724310778,4.156223893065999,2.116228070175439
OLMo-2-1124-13B-Instruct,17.105263157894736,3.801169590643275,2.0065789473684212
Llama-3.1-70B-Instruct-quantized.w8a16,15.413533834586467,4.072681704260652,1.8859649122807018
Llama-3.1-8B-Instruct-quantized.w8a16,14.912280701754385,3.529657477025898,2.2858411007545496
Llama-3.1-8B-Instruct_,14.912280701754385,3.6131996658312446,1.831140350877193
Llama-3.1-8B-Instruct-quantized.w4a16,12.907268170426065,2.6315789473684212,1.3048245614035088
EuroLLM-9B-Instruct,4.197994987468672,2.0050125313283207,1.2609649122807018
Qwen2.5-7B-Instruct-1M,2.694235588972431,1.5037593984962405,0.9100877192982456
