Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['hiney', 'cassie hiney', 'cassie']",alice,0,0.55,incorrect,eleanor roosevelt,0,0.28,incorrect,ozdemir,0,0.21,incorrect,turk,0,0.0,incorrect,dam vinh hung,0,0.4,incorrect,nguyen,0,0.36,incorrect,laura,0,0.18,incorrect,shakespeare,0,0.35,incorrect,eleanor roosevelt,0,0.28,incorrect,turk,0,0.0,incorrect,nguyen,0,0.36,incorrect,shakespeare,0,0.35,incorrect
"['chuck', 'chuck parson', 'parson']",arnold schwarzenegger,0,0.3,incorrect,chris benoit,0,0.42,incorrect,arnold,0,0.5,incorrect,muhammed ali,0,0.25,incorrect,arnold,0,0.5,incorrect,duc,0,0.5,incorrect,rambo,0,0.36,incorrect,arnold schwarzenegger,0,0.3,incorrect,chris benoit,0,0.42,incorrect,muhammed ali,0,0.25,incorrect,duc,0,0.5,incorrect,arnold schwarzenegger,0,0.3,incorrect
['chuck'],jacob,0,0.2,incorrect,egypt,0,0.0,incorrect,cin,0,0.25,incorrect,turkiye,0,0.33,incorrect,anh,0,0.25,incorrect,the,0,0.25,incorrect,el,0,0.0,incorrect,dios,0,0.0,incorrect,egypt,0,0.0,incorrect,turkiye,0,0.33,incorrect,the,0,0.25,incorrect,dios,0,0.0,incorrect
"['chuc', 'chuck']",someone,0,0.0,incorrect,facebook,0,0.31,incorrect,hayat,0,0.22,incorrect,hayat,0,0.22,incorrect,ai do,0,0.0,incorrect,the,0,0.29,incorrect,la boda,0,0.0,incorrect,michael jackson,0,0.4,incorrect,facebook,0,0.31,incorrect,hayat,0,0.22,incorrect,the,0,0.29,incorrect,michael jackson,0,0.4,incorrect
['angela'],her,0,0.22,incorrect,cinderella,0,0.5,incorrect,abdulkadir,0,0.38,incorrect,noel,0,0.6,incorrect,anh,0,0.44,incorrect,noel,0,0.6,incorrect,maria,0,0.36,incorrect,santa claus,0,0.47,incorrect,cinderella,0,0.5,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,santa claus,0,0.47,incorrect
['margo'],she,0,0.0,incorrect,jason,0,0.4,incorrect,ahmet,0,0.2,incorrect,tarkan,0,0.36,incorrect,nguoi ay,0,0.31,incorrect,"khong co thong tin du de xac dinh mot ten cu the, nhung co the la ""co ay"" hoac mot ten khac khong duoc de cap ro rang trong doan van",0,0.07,incorrect,ella,0,0.22,incorrect,jesus,0,0.0,incorrect,jason,0,0.4,incorrect,tarkan,0,0.36,incorrect,"khong co thong tin du de xac dinh mot ten cu the, nhung co the la ""co ay"" hoac mot ten khac khong duoc de cap ro rang trong doan van",0,0.07,incorrect,jesus,0,0.0,incorrect
['margo'],dad,0,0.25,incorrect,dad,0,0.25,incorrect,o,0,0.33,incorrect,tarantino,0,0.43,incorrect,nguyen,0,0.18,incorrect,phat,0,0.22,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,dad,0,0.25,incorrect,tarantino,0,0.43,incorrect,phat,0,0.22,incorrect,jesus,0,0.0,incorrect
"['margo', 'margo—']",charlie,0,0.33,incorrect,friday,0,0.18,incorrect,bir kiz,0,0.17,incorrect,turkiye,0,0.17,incorrect,nguoi dan ong,0,0.22,incorrect,duc,0,0.0,incorrect,luisa,0,0.2,incorrect,manana,0,0.36,incorrect,friday,0,0.18,incorrect,turkiye,0,0.17,incorrect,duc,0,0.0,incorrect,manana,0,0.36,incorrect
['margo'],jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,ben,0,0.0,incorrect,jefferson,0,0.29,incorrect,nguoi ay,0,0.31,incorrect,jefferson,0,0.29,incorrect,alejandro,0,0.43,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],she,0,0.0,incorrect,god,0,0.5,incorrect,stephen hawking,0,0.2,incorrect,turkiye,0,0.17,incorrect,"khong co thong tin cu the ve mot ten rieng nao trong doan van cho san, nhung dua tren ngu canh va noi dung cua doan van, co the suy doan rang [mask] co the la mot nhan vat trong cau chuyen hoac mot nguoi dang tham gia vao cuoc tro chuyen. tuy nhien, khong co thong tin cu the nao ve ten cua nhan vat nay. vi vay, toi se dua ra mot gia dinh rang [mask] co the la ""anh"" hoac ""ch",0,0.03,incorrect,nguyen binh,0,0.12,incorrect,"dialogo de un personaje de una obra de teatro o libro, posiblemente ""el club de la lucha"" de chuck palahniuk, especificamente el personaje de tyler durden",0,0.05,incorrect,espana,0,0.18,incorrect,god,0,0.5,incorrect,turkiye,0,0.17,incorrect,nguyen binh,0,0.12,incorrect,espana,0,0.18,incorrect
