en,en_results,Single_ent,en_shuffled
"Peter said this felt like an invitation. Laughed, almost self-deprecatingly, as he added, “I’d never believed in fate before that.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Rosie Project"" by Graeme Simsion.

Here's my output:

""title"": ""The Rosie Project"",
""author"": ""Graeme Simsion""

Please let me know if I'm correct or not!",['peter'],"before fate Peter this he in like invitation. never Laughed, “I’d said self-deprecatingly, believed felt as that.” almost added, an"
"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into my rib cage, and I did a wheezing pratfall into the grass. Peter described this as “adorably clumsy.”","Based on the passage, I'm going to take a guess that it originates from the book ""Eleanor & Park"" by Rainbow Rowell.

Here's my output:

""title"": ""Eleanor & Park"",
""author"": ""Rainbow Rowell""

Please let me know if I'm correct or not!",['peter'],"the and lo can my pile into the mein, a I into lip My this pratfall a of did smashed grass. of atop as Peter wheezing cage, “adorably clumsy.” described discarded landed the rib hat"
"“I fell in love with Daphne the moment I looked up from her hat,” he’d say, no mention of the trash-noodles in my hair.","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not!",['daphne'],"looked I he’d mention hair. fell in in no of from her “I up the trash-noodles Daphne moment hat,” my love the say, with"
"Over the last three years, Peter dusted off Our Story every chance he got. I was sure he’d work it into both our vows and his wedding reception speech.","""Title"": ""The Seven Husbands of Evelyn Hugo"", ""Author"": ""Taylor Jenkins Reid""",['peter'],"three every was he our his reception off Our I dusted Over he’d chance work the both last sure speech. and into Story wedding Peter years, vows it got."
“Could you just turn it down?” I say. “All the plates are rattling in the cabinets and Mr. Dorner’s trying to bust down the living room wall.”,"""Title"": ""The Fault in Our Stars"", ""Author"": ""John Green""",['dorner'],the cabinets wall.” Dorner’s are say. room you I trying down “Could plates and to the living it bust Mr. in turn down?” the just “All rattling
"Petra is also a stoner without a college degree, but I guess it’s different when you’re a perfect ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.","Based on the passage, I'm going to take a guess that it originates from the book ""The Last House Guest"" by Megan Miranda.

Here's my output:

""title"": ""The Last House Guest"",
""author"": ""Megan Miranda""

Please note that I'm not 100% certain, but the writing style and tone seem to match Megan Miranda's work. If I'm incorrect, please let me know the correct answer!",['petra'],"it’s a a not but Then stoner; account. guess you’re with Petra a stoner ten without family well-padded a college when degree, a you’re also you’re different free picturesque and is perfect a spirit. bank I"
"When I jolted awake at the click of the front door, it was full bright in the living room, so I could see Peter’s surprise at finding me there.","Based on the passage, I'm going to take a guess that it originates from the book ""The Girl on the Train"" by Paula Hawkins.

Here's my output:

""title"": ""The Girl on the Train"",
""author"": ""Paula Hawkins""

Please let me know if I'm correct or not! 😊",['peter'],"When the it see finding at the I was front awake there. I of door, click so me bright room, living could jolted full at surprise the Peter’s in"
"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in love with me, Daphne. And I realized I am too. In love. With her. Fuck, I’m so sorry.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not!",['daphne'],"in “No!” With I love. he her. In am mean, And love me told she’s sorry.” like . I’m too. with We’re it . “I Daphne. said. so wasn’t . I me, that. realized She Fuck,"
"“Are you fucking kidding me, Peter?” I jumped up. I didn’t feel hurt then. That would come later. First it was all rage.","Based on the passage, I'm going to take a guess that it originates from the book ""The Girl with the Dragon Tattoo"" by Stieg Larsson.

Here's my output:

""title"": ""The Girl with the Dragon Tattoo"",
""author"": ""Stieg Larsson""

Please note that I'm not 100% certain, but the writing style and tone seem to match Larsson's work.",['peter'],"“Are fucking kidding I feel hurt didn’t you it was later. rage. come would me, That then. Peter?” up. jumped First I all"
"“Of course she fucking meant for this to happen, Peter! She had twenty-five years to tell you she was in love with you and chose last night!”","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not! 😊",['peter'],"night!” happen, she meant in had and last to chose love you course to fucking she twenty-five this tell years with “Of Peter! She you for was"
