Book Name,en,es,tr,vi
A_Tale_of_Two_Cities,135665,137802,99772,164944
A_thousand_splendid_suns,102422,109254,76051,137525
Adventures_of_Huckleberry_Finn,109907,107892,78310,110494
Adventures_of_Sherlock_Holmes,104430,100195,68807,131824
Alice_in_Wonderland,26396,27211,18631,34646
Animal_Farm,30164,,,
Anna_Karenina,349744,331754,252206,45304
Don_Quixote,403958,379579,67016,270976
Dune,186493,199084,136136,261871
Fahrenheit_451,46067,46310,34171,59852
Frankenstein,74978,62370,51822,95133
Harry_Potter_and_the_Deathly_Hallows,200440,208488,147126,265875
Kafka_on_the_Shore,174893,198026,140597,207592
Little_Women,187240,183129,32304,40136
Lord_of_the_Flies,60318,64473,48568,69952
Metamorphosis,21935,20325,14478,25532
No_Longer_Human,33742,28611,24309,67290
Of_Mice_and_Men,29690,29662,21186,34499
Oliver_Twist,157184,16715,119244,38659
One_Hundred_Years_of_Solitude,144518,137795,99792,186705
Paper_Towns,79973,81140,59775,99848
Percy_Jackson_The_Lightning_Thief,87456,86988,68099,106841
Pride_and_Prejudice,121830,115093,81730,141544
Sense_and_sensibility,118743,120706,82822,142463
The_Boy_in_the_Striped_Pyjamas,46918,42495,31174,57952
The_Da_Vinci_Code,138806,152566,104306,189177
The_Great_Gatsby,48075,50018,37008,70672
The_Handmaid_s_Tale,95550,98995,70915,109918
The_Picture_of_Dorian_Gray,78547,77617,57838,100216
