Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['hiney', 'cassie hiney', 'cassie']",[mask],0,0.33,incorrect,friend,0,0.36,incorrect,maskeli adam,0,0.33,incorrect,davet,0,0.36,incorrect,co ban,0,0.33,incorrect,co,0,0.25,incorrect,sara,0,0.2,incorrect,amelia,0,0.33,incorrect,friend,0,0.36,incorrect,davet,0,0.36,incorrect,co,0,0.25,incorrect,amelia,0,0.33,incorrect
"['chuck', 'chuck parson', 'parson']",mark,0,0.4,incorrect,faggots,0,0.31,incorrect,hepimiz,0,0.21,incorrect,ibn,0,0.22,incorrect,jack,0,0.44,incorrect,nguoi,0,0.24,incorrect,terminator,0,0.25,incorrect,anabolicos,0,0.25,incorrect,faggots,0,0.31,incorrect,ibn,0,0.22,incorrect,nguoi,0,0.24,incorrect,anabolicos,0,0.25,incorrect
['chuck'],someone,0,0.0,incorrect,someone,0,0.0,incorrect,rol,0,0.0,incorrect,murat,0,0.2,incorrect,bon toi,0,0.0,incorrect,the,0,0.25,incorrect,yo,0,0.0,incorrect,nos,0,0.0,incorrect,someone,0,0.0,incorrect,murat,0,0.2,incorrect,the,0,0.25,incorrect,nos,0,0.0,incorrect
"['chuc', 'chuck']",mask,0,0.22,incorrect,prom,0,0.0,incorrect,baloyla ilgili konusmak,0,0.14,incorrect,mask,0,0.22,incorrect,-mask-,0,0.18,incorrect,ngay,0,0.0,incorrect,mask,0,0.22,incorrect,ma,0,0.0,incorrect,prom,0,0.0,incorrect,mask,0,0.22,incorrect,ngay,0,0.0,incorrect,ma,0,0.0,incorrect
['angela'],someone,0,0.31,incorrect,hook,0,0.0,incorrect,dostum,0,0.0,incorrect,murat,0,0.18,incorrect,cau,0,0.22,incorrect,noel,0,0.6,incorrect,tio,0,0.0,incorrect,santa,0,0.55,incorrect,hook,0,0.0,incorrect,murat,0,0.18,incorrect,noel,0,0.6,incorrect,santa,0,0.55,incorrect
['margo'],jane,0,0.22,incorrect,john,0,0.22,incorrect,hemlock,0,0.33,incorrect,tuhaf,0,0.2,incorrect,co ay,0,0.2,incorrect,co,0,0.29,incorrect,yo,0,0.29,incorrect,mi,0,0.29,incorrect,john,0,0.22,incorrect,tuhaf,0,0.2,incorrect,co,0,0.29,incorrect,mi,0,0.29,incorrect
['margo'],dad,0,0.25,incorrect,dad,0,0.25,incorrect,baba,0,0.22,incorrect,baba,0,0.22,incorrect,ngoc,0,0.44,incorrect,bo,0,0.29,incorrect,papa,0,0.22,incorrect,papa,0,0.22,incorrect,dad,0,0.25,incorrect,baba,0,0.22,incorrect,bo,0,0.29,incorrect,papa,0,0.22,incorrect
"['margo', 'margo—']",jane,0,0.22,incorrect,school,0,0.18,incorrect,yann,0,0.22,incorrect,kiza,0,0.22,incorrect,to,0,0.29,incorrect,gai,0,0.25,incorrect,[mask],0,0.36,incorrect,manana,0,0.36,incorrect,school,0,0.18,incorrect,kiza,0,0.22,incorrect,gai,0,0.25,incorrect,manana,0,0.36,incorrect
['margo'],we,0,0.0,incorrect,park,0,0.44,incorrect,ben,0,0.0,incorrect,jefferson,0,0.29,incorrect,we,0,0.0,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,park,0,0.44,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],she,0,0.0,incorrect,hers,0,0.22,incorrect,veve,0,0.0,incorrect,emekliligi,0,0.27,incorrect,nguoi do,0,0.31,incorrect,hester,0,0.18,incorrect,elipsis,0,0.0,incorrect,hester,0,0.18,incorrect,hers,0,0.22,incorrect,emekliligi,0,0.27,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect
