Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['tía lydia', 'lydia', 'lydia teyze', 'aunt', 'tía', 'teyze', 'aunt lydia']",hester,0,0.36,incorrect,nibi,0,0.31,incorrect,letsatsi,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,love,0,0.27,incorrect,surya,0,0.4,incorrect,voninkazo,0,0.33,incorrect,nolazaina,0,0.43,incorrect,moo,0,0.0,incorrect,nibi,0,0.31,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,surya,0,0.4,incorrect,nolazaina,0,0.43,incorrect,nietzsche,0,0.43,incorrect,prison,0,0.22,incorrect,can,0,0.57,incorrect,canliyim,0,0.56,incorrect,dorthy,0,0.36,incorrect,nguyen,0,0.4,incorrect,friedrich nietzsche,0,0.4,incorrect,sol,0,0.25,incorrect,prison,0,0.22,incorrect,canliyim,0,0.56,incorrect,nguyen,0,0.4,incorrect,sol,0,0.25,incorrect
['cora'],hester,0,0.2,incorrect,hester,0,0.2,incorrect,botlhe,0,0.2,incorrect,goo,0,0.29,incorrect,noa,0,0.57,incorrect,ahiri,0,0.22,incorrect,ona,0,0.57,incorrect,tube,0,0.0,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,haeba,0,0.22,incorrect,hester,0,0.2,incorrect,goo,0,0.29,incorrect,ahiri,0,0.22,incorrect,tube,0,0.0,incorrect,hester,0,0.2,incorrect,someone,0,0.18,incorrect,it's,0,0.0,incorrect,hepimiz,0,0.0,incorrect,tuplerim,0,0.17,incorrect,they,0,0.0,incorrect,toi,0,0.29,incorrect,ellas,0,0.22,incorrect,maria,0,0.44,incorrect,it's,0,0.0,incorrect,tuplerim,0,0.17,incorrect,toi,0,0.29,incorrect,maria,0,0.44,incorrect
['rita'],hester,0,0.2,incorrect,ebi,0,0.29,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,te nei,0,0.2,incorrect,any,0,0.29,incorrect,fire,0,0.25,incorrect,hester,0,0.2,incorrect,mangetaheta,0,0.27,incorrect,thetsa,0,0.4,incorrect,ebi,0,0.29,incorrect,hester,0,0.2,incorrect,te nei,0,0.2,incorrect,fire,0,0.25,incorrect,mangetaheta,0,0.27,incorrect,mask,0,0.25,incorrect,wood,0,0.0,incorrect,zeynel,0,0.0,incorrect,agac,0,0.25,incorrect,mary,0,0.25,incorrect,vi,0,0.33,incorrect,carne,0,0.22,incorrect,carne,0,0.22,incorrect,wood,0,0.0,incorrect,agac,0,0.25,incorrect,vi,0,0.33,incorrect,carne,0,0.22,incorrect
"['serena joy', 'joy', 'serena']",akoko ihinrere emi idagbasoke,0,0.26,incorrect,leyin,0,0.36,incorrect,soprano,0,0.47,incorrect,sontaga,0,0.46,incorrect,growing souls gospel hour,0,0.23,incorrect,souls,0,0.27,incorrect,madame butterflies,0,0.25,incorrect,jane,0,0.29,incorrect,fitomboan'ny fanahin'ny filazantsara,0,0.14,incorrect,alahady,0,0.24,incorrect,e,0,0.29,incorrect,leyin,0,0.36,incorrect,sontaga,0,0.46,incorrect,souls,0,0.27,incorrect,jane,0,0.29,incorrect,alahady,0,0.24,incorrect,mary,0,0.29,incorrect,soprano,0,0.47,incorrect,ayse,0,0.4,incorrect,serif,0,0.55,incorrect,theresa,0,0.62,incorrect,hech,0,0.2,incorrect,mariana,0,0.46,incorrect,mujer,0,0.36,incorrect,soprano,0,0.47,incorrect,serif,0,0.55,incorrect,hech,0,0.2,incorrect,mujer,0,0.36,incorrect
['luke'],aiku,0,0.25,incorrect,bi,0,0.0,incorrect,sontaga,0,0.0,incorrect,sontaga,0,0.0,incorrect,hester,0,0.2,incorrect,noa,0,0.0,incorrect,mask,0,0.25,incorrect,ravindra,0,0.0,incorrect,alahady,0,0.18,incorrect,alahady,0,0.18,incorrect,rebecca,0,0.18,incorrect,bi,0,0.0,incorrect,sontaga,0,0.0,incorrect,noa,0,0.0,incorrect,ravindra,0,0.0,incorrect,alahady,0,0.18,incorrect,you,0,0.29,incorrect,swings,0,0.0,incorrect,buca,0,0.25,incorrect,boylesi,0,0.36,incorrect,ban,0,0.0,incorrect,toru,0,0.25,incorrect,yo,0,0.0,incorrect,casa,0,0.0,incorrect,swings,0,0.0,incorrect,boylesi,0,0.36,incorrect,toru,0,0.25,incorrect,casa,0,0.0,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt', 'tía', 'teyze', 'aunt lydia']",hester,0,0.36,incorrect,niger,0,0.27,incorrect,mefuta,0,0.44,incorrect,kgololesego,0,0.27,incorrect,hester,0,0.36,incorrect,ua i,0,0.46,incorrect,kahalakhin,0,0.32,incorrect,india,0,0.6,incorrect,misy,0,0.31,incorrect,omena aza,0,0.33,incorrect,matsatsing,0,0.32,incorrect,niger,0,0.27,incorrect,kgololesego,0,0.27,incorrect,ua i,0,0.46,incorrect,india,0,0.6,incorrect,omena aza,0,0.33,incorrect,george,0,0.36,incorrect,freedom,0,0.33,incorrect,birden,0,0.27,incorrect,anarsi,0,0.4,incorrect,di,0,0.57,incorrect,co,0,0.0,incorrect,spinoza,0,0.4,incorrect,un tiempos,0,0.43,incorrect,freedom,0,0.33,incorrect,anarsi,0,0.4,incorrect,co,0,0.0,incorrect,un tiempos,0,0.43,incorrect
['janine'],agbeminya,0,0.4,incorrect,moses,0,0.18,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,rosie,0,0.36,incorrect,gulabo,0,0.17,incorrect,amy,0,0.22,incorrect,mary,0,0.2,incorrect,sheba,0,0.18,incorrect,moses,0,0.18,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,gulabo,0,0.17,incorrect,mary,0,0.2,incorrect,she,0,0.22,incorrect,belly,0,0.18,incorrect,mask,0,0.2,incorrect,elbisenin,0,0.4,incorrect,co,0,0.0,incorrect,co,0,0.0,incorrect,su nombre,0,0.27,incorrect,suena,0,0.18,incorrect,belly,0,0.18,incorrect,elbisenin,0,0.4,incorrect,co,0,0.0,incorrect,suena,0,0.18,incorrect
['luke'],hester,0,0.2,incorrect,hester,0,0.2,incorrect,hester,0,0.2,incorrect,noko,0,0.25,incorrect,hester,0,0.2,incorrect,mea,0,0.29,incorrect,chao shi,0,0.0,incorrect,shopping,0,0.0,incorrect,nalainy,0,0.18,incorrect,halako,0,0.4,incorrect,nako,0,0.25,incorrect,hester,0,0.2,incorrect,noko,0,0.25,incorrect,mea,0,0.29,incorrect,shopping,0,0.0,incorrect,halako,0,0.4,incorrect,he,0,0.33,incorrect,not,0,0.0,incorrect,asiri,0,0.0,incorrect,plastik,0,0.36,incorrect,anh,0,0.0,incorrect,toi,0,0.0,incorrect,yo,0,0.0,incorrect,cojo,0,0.0,incorrect,not,0,0.0,incorrect,plastik,0,0.36,incorrect,toi,0,0.0,incorrect,cojo,0,0.0,incorrect
"['deglen', 'gleninki', 'ofglen']",hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,mahela,0,0.33,incorrect,hester,0,0.33,incorrect,aho,0,0.22,incorrect,hester,0,0.33,incorrect,re,0,0.25,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,she,0,0.22,incorrect,hester,0,0.33,incorrect,duruyor,0,0.15,incorrect,maskeli adam,0,0.22,incorrect,co ta,0,0.18,incorrect,co,0,0.25,incorrect,ella,0,0.4,incorrect,mary,0,0.0,incorrect,hester,0,0.33,incorrect,maskeli adam,0,0.22,incorrect,co,0,0.25,incorrect,mary,0,0.0,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt', 'tía', 'teyze', 'aunt lydia']",hester,0,0.36,incorrect,imetomowa,0,0.33,incorrect,hester,0,0.36,incorrect,boingotlo,0,0.32,incorrect,hester,0,0.36,incorrect,eiaha,0,0.5,incorrect,kahalakhin,0,0.32,incorrect,vinay,0,0.5,incorrect,hester,0,0.36,incorrect,aza eny,0,0.44,incorrect,le,0,0.31,incorrect,imetomowa,0,0.33,incorrect,boingotlo,0,0.32,incorrect,eiaha,0,0.5,incorrect,vinay,0,0.5,incorrect,aza eny,0,0.44,incorrect,modesty,0,0.33,incorrect,modesty,0,0.33,incorrect,derdi,0,0.4,incorrect,alcak,0,0.43,incorrect,di,0,0.57,incorrect,bon,0,0.29,incorrect,[mask],0,0.22,incorrect,nombre,0,0.2,incorrect,modesty,0,0.33,incorrect,alcak,0,0.43,incorrect,bon,0,0.29,incorrect,nombre,0,0.2,incorrect
