,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled,token_count
1984,78.33333333333333,55.00000000000001,55.00000000000001,21.666666666666668,20.0,20.0,3.3333333333333335,5.0,33.33333333333333,21.666666666666668,30.0,18.333333333333332,15.0,5.0,6.666666666666667,1.6666666666666667,1.6666666666666667,0.0,10.0,6.666666666666667,
A Tale of Two Cities,60.0,12.0,18.0,10.0,8.0,11.0,3.0,5.0,12.0,9.0,19.0,4.0,8.0,4.0,3.0,7.000000000000001,1.0,4.0,2.0,5.0,
A thousand splendid suns,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,
Adventures of Huckleberry Finn,78.0,62.0,40.0,20.0,37.0,26.0,9.0,6.0,42.0,28.000000000000004,76.0,12.0,8.0,3.0,16.0,11.0,5.0,4.0,12.0,12.0,
Adventures of Sherlock Holmes,21.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alice in Wonderland,97.82608695652173,56.52173913043478,34.78260869565217,50.0,34.78260869565217,34.78260869565217,13.043478260869565,6.521739130434782,58.69565217391305,43.47826086956522,56.52173913043478,26.08695652173913,28.26086956521739,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,
Dracula,85.55555555555556,60.0,50.0,26.666666666666668,17.77777777777778,13.333333333333334,3.3333333333333335,6.666666666666667,25.555555555555554,21.11111111111111,31.11111111111111,17.77777777777778,15.555555555555555,6.666666666666667,4.444444444444445,4.444444444444445,2.2222222222222223,4.444444444444445,6.666666666666667,12.222222222222221,
Dune,67.0,47.0,41.0,27.0,13.0,13.0,8.0,7.000000000000001,11.0,20.0,34.0,23.0,24.0,12.0,11.0,13.0,5.0,7.000000000000001,10.0,15.0,
Fahrenheit 451,28.333333333333332,16.666666666666664,16.666666666666664,8.333333333333332,3.3333333333333335,1.6666666666666667,0.0,0.0,5.0,1.6666666666666667,13.333333333333334,3.3333333333333335,3.3333333333333335,0.0,0.0,1.6666666666666667,0.0,0.0,3.3333333333333335,0.0,
Frankenstein,93.75,56.25,45.83333333333333,37.5,12.5,16.666666666666664,12.5,12.5,27.083333333333332,20.833333333333336,56.25,31.25,16.666666666666664,10.416666666666668,6.25,10.416666666666668,6.25,10.416666666666668,2.083333333333333,10.416666666666668,
Harry Potter and the Deathly Hallows,70.0,54.0,50.0,50.0,22.0,22.0,5.0,10.0,24.0,26.0,28.999999999999996,27.0,21.0,6.0,14.000000000000002,20.0,4.0,7.000000000000001,13.0,22.0,
Of Mice and Men,56.25,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Paper Towns,30.263157894736842,35.526315789473685,30.263157894736842,43.42105263157895,7.894736842105263,14.473684210526317,1.3157894736842104,3.9473684210526314,7.894736842105263,13.157894736842104,17.105263157894736,15.789473684210526,28.947368421052634,32.89473684210527,5.263157894736842,6.578947368421052,2.631578947368421,0.0,1.3157894736842104,3.9473684210526314,0.0
Percy Jackson The Lightning Thief,2.1052631578947367,0.0,0.0,1.0526315789473684,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pride and Prejudice,95.95959595959596,78.78787878787878,63.63636363636363,43.43434343434344,25.252525252525253,14.14141414141414,14.14141414141414,7.07070707070707,48.484848484848484,42.42424242424242,95.95959595959596,52.52525252525253,27.27272727272727,9.090909090909092,10.1010101010101,7.07070707070707,6.0606060606060606,7.07070707070707,14.14141414141414,12.121212121212121,
Sense and sensibility,41.0,70.0,59.0,37.0,13.0,10.0,8.0,3.0,43.0,33.0,39.0,39.0,28.000000000000004,5.0,6.0,3.0,0.0,2.0,5.0,8.0,
The Boy in the Striped Pyjamas,11.0,8.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
The Great Gatsby,88.88888888888889,51.85185185185185,35.18518518518518,50.0,25.925925925925924,14.814814814814813,18.51851851851852,11.11111111111111,40.74074074074074,33.33333333333333,57.407407407407405,24.074074074074073,14.814814814814813,14.814814814814813,14.814814814814813,7.4074074074074066,1.8518518518518516,9.25925925925926,18.51851851851852,25.925925925925924,
The Handmaid s Tale,81.0,50.0,27.0,7.000000000000001,2.0,2.0,1.0,0.0,8.0,2.0,8.0,7.000000000000001,7.000000000000001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
The Picture of Dorian Gray,76.71232876712328,57.534246575342465,35.61643835616438,46.57534246575342,16.43835616438356,13.698630136986301,10.95890410958904,1.36986301369863,30.136986301369863,19.17808219178082,28.767123287671232,31.506849315068493,30.136986301369863,1.36986301369863,8.21917808219178,5.47945205479452,4.10958904109589,0.0,12.32876712328767,1.36986301369863,
