,en,st,yo,tn,ty,mai,mg,en_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
Below Zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bride,0.0,,,,,,,,,,,,,
First Lie Wins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Funny Story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
If Only I Had Told Her,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Just for the Summer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lies and Weddings,0.0,,,,,,,,,,,,,
The Ministry of Time,0.0,,,,,,,0.0,,,,,,
The Paradise Problem,0.0,,,,,,,0.0,,,,,,
You Like It Darker Stories,0.0,,,,,,,0.0,,,,,,
