Book,Character List,Count,en,es,tr,vi,In Title
1984,"('eurasia', 'smit', 'smith', 'tim winston', 'winston', 'winston smith', ""winston'ın"", 'wiston')",35,526,789,629,530,False
1984,"(""o'brien"",)",14,205,202,202,213,False
1984,"('here', 'julia')",4,871,162,166,107,False
1984,"('bayan parsons', 'parsons', 'señora parsons')",3,40,42,39,40,False
1984,"('tom',)",1,51,51,25,3,False
1984,"('katharine', ""katharine'in"", 'katherine')",1,17,16,21,16,False
1984,"('goldstein', 'huynh đ')",1,37,37,38,37,False
A_Tale_of_Two_Cities,"('carlos', 'carlos darnay', 'charles', 'charles darnay', 'darna', 'darnay', 'doktor manette', 'dr manette', 'luci', 'lucie', 'lucie darnay', 'lucía', 'lucía darnay', 'mane', 'manette', 'miss manette', 'mr darnay', 'señorita manette')",48,167,292,210,251,False
A_Tale_of_Two_Cities,"('carton', 'carton-replicó lorry', 'dios-dijo lorry', 'jarvis lorr', 'jarvis lorry', 'lorr', 'lorry', 'mauricio lorry', 'mr jarvis lorry', 'mr lorry', 'señor lorry')",21,369,380,429,401,False
A_Tale_of_Two_Cities,"('defarge', 'madam defarge', 'madame defarge', 'monsieur defarge', 'mösyö defarge', 'señora defarge')",17,311,260,327,341,False
A_Tale_of_Two_Cities,"('miss pross', 'pross')",5,162,132,180,173,False
A_Tale_of_Two_Cities,"('gabelle', 'gambelle', 'monsieur gabelle', 'mösyö gabelle', 'señor gabelle')",3,29,25,29,30,False
A_Tale_of_Two_Cities,"('mr stryver', 'stryver', 'sydney')",3,108,70,110,123,False
A_Tale_of_Two_Cities,"('jeremías lapa', 'jerry')",1,108,33,113,105,False
A_Tale_of_Two_Cities,"('marqués', 'monsieur the marquis', 'mösyö marki', 'ngài hu')",1,29,91,31,0,False
A_Tale_of_Two_Cities,"('evrémond', 'evrémonde', 'yurttaş evremonde')",1,46,46,7,45,False
A_thousand_splendid_suns,"('lail', 'laila', 'leyla', 'leyla co')",9,1093,935,1004,1103,False
A_thousand_splendid_suns,"('mariam', 'mariam hiu', 'mariam jo', 'meryem', 'meryem co', 'meryem gari')",8,1044,905,984,1056,False
A_thousand_splendid_suns,"('rasheed', 'rashid', 'raşit')",8,375,423,379,390,False
A_thousand_splendid_suns,"('iariq', 'peştun', 'tariq', 'tarık')",6,344,340,346,354,False
A_thousand_splendid_suns,"('celil', 'celil han', 'chính jalil khan', 'jalil', 'jalil khan', 'mil', 'yalil', 'yalil jan')",6,201,170,184,178,False
A_thousand_splendid_suns,"('zalma', 'zalmai', 'zalmay')",2,110,92,105,108,False
A_thousand_splendid_suns,"('bibi', 'bibi co', 'bibi jo')",1,11,11,10,11,False
A_thousand_splendid_suns,"('nana',)",1,128,114,128,116,False
A_thousand_splendid_suns,"('lili', 'lili lili', 'lili mi')",1,5,6,21,6,False
A_thousand_splendid_suns,"('faizu', 'faizulá', 'molla feyzullah', 'mullah faizullah')",1,41,40,40,42,False
A_thousand_splendid_suns,"('nargis', 'nergis')",1,7,7,7,7,False
A_thousand_splendid_suns,"('alyona',)",1,11,10,11,11,False
A_thousand_splendid_suns,"('abdul sharif', 'abdül şerif')",1,12,10,12,13,False
A_thousand_splendid_suns,"('hamza', 'hamza uzunca')",1,19,17,18,19,False
Adventures_of_Huckleberry_Finn,"('cairo', 'jim', 'jim turner')",46,379,376,403,511,False
Adventures_of_Huckleberry_Finn,"('tom', 'tom sawyer', 'tommy barnes', 'tow sawyer')",16,273,271,263,244,False
Adventures_of_Huckleberry_Finn,"('buc', 'buck', 'buck harkness', 'buck harne')",5,52,46,43,42,False
Adventures_of_Huckleberry_Finn,"('tha', 'thatcher', 'yargıç thatcher')",3,1353,15,15,115,False
Adventures_of_Huckleberry_Finn,"('bayan watson', 'watson')",3,25,25,27,28,False
Adventures_of_Huckleberry_Finn,"('mary jan', 'mary jane')",3,45,46,44,25,False
Adventures_of_Huckleberry_Finn,"('willia', 'william')",2,23,20,23,21,False
Adventures_of_Huckleberry_Finn,"('bay peter wilks', 'peter wilks')",2,8,8,8,7,False
Adventures_of_Huckleberry_Finn,"('aunt sally', 'sally', 'sally teyze', 'saly')",2,49,52,79,67,False
Adventures_of_Huckleberry_Finn,"('moisés', 'moses', 'musa')",1,4,4,9,7,False
Adventures_of_Huckleberry_Finn,"('bay bradish', 'bradish', 'misto bradish')",1,1,1,1,1,False
Adventures_of_Huckleberry_Finn,"('bayan charlotte', 'charlo', 'charlotte')",1,2,10,2,2,False
Adventures_of_Huckleberry_Finn,"('joh', 'john')",1,2,2,2,2,False
