Author,Gender,en_title,es_title,tr_title,vi_title,en_libgen_found,es_libgen_found,vi_libgen_found,tr_libgen_found,Classics,Historical Fiction,Release Date,Copyrighted
Charles Dickens,M,A Tale of Two Cities,Una historia de dos ciudades,Iki sehrin hikayesi,HAI KINH THÀNH,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1859-04-30,FALSE
Mark Twain,M,Adventures of Huckleberry Finn,Las aventuras de Huckleberry Fin,Huckleberry Finn'in Maceralari,Cuoc Phieu Luu Cua Huckleberry Finn,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1884-12-10,FALSE
Bram Stoker,M,Dracula,Dracula,Dracula,Bá Tước Dracula,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1897-05-26,FALSE
Jane Austen,F,Pride and Prejudice,Orgullo y prejuicio,Akil ve Tutku,Kieu Hanh va Dinh Kien,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1813-01-28,FALSE
Jane Austen,F,Sense and Sensibility,Sentido y sensibilidad,Gurur ve Onyargi,Ly Tri Va Tinh Cam,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1811-01-01,FALSE
F. Scott Fitzgerald,M,The Great Gatsby,El gran Gatsby,Muhtesem Gatsby,Gatsby Vi Dai,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1925-04-10,FALSE
Margaret Atwood,F,The Handmaid s Tale,El cuento de la criada,Damizlik kizin oykusu,Chuyen Nguoi Tuy Nu,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1986-02-01,TRUE
Oscar Wilde,M,The Picture of Dorian Gray,El retrato de Dorian gray,Dorian Gray'in Portresi,Bức Tranh Dorian Gray,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1890-06-20,FALSE
George Orwell,M,1984,1984,1984,1984,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1949-06-08,TRUE
Lewis Carroll,M,Alice in Wonderland,Alicia en el país de las maravillas,Alice Harikalar Diyarinda,Alice o xu so dieu ky,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1865-11-26,FALSE
Ray Bradbury,M,Fahrenheit 451,Fahrenheit 451,Fahrenheit 451,451 Độ Fahrenheit,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1953-10-19,TRUE
Mary Shelley,F,Frankenstein,Frankenstein,Frankenstein,Frankenstein,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1818-01-01,FALSE
John Steinback,M,Of mice and men,De ratones y hombres,Fareler ve Insanlar,Của Chuột và của Người,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1937-01-01,TRUE
John Boyne,M,The Boy in the Striped Pyjamas,El nino con el pijama de rayas,Cizgili Pijamali Cocuk,Chú bé mang pyjama sọc,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2005-09-12,TRUE
Khaled Husseini,M,A Thousand splendid suns,Mil Soles Esplendidos,Bin Muhtesem Gunes,Ngàn Mặt Trời Rực Rỡ,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2007-05-22,TRUE
Rick Riordian,M,Percy Jackson The Lightning Thief,El ladron del rayo,Simsek Hirsizi,Kẻ Cắp Tia Chớp,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2005-07-28,TRUE
Arthur Conan Dyle,M,Adventures of Sherlock Holmes,Aventuras de sherlock holmes,Sherlock Holmes'in maceralari,Sherlock Holmes Toan Tap,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1892-10-14,FALSE
Frank Herbert,M,Dune,Dune,Dune,Xứ cát,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1965-08-01,TRUE
J.K. Rowling,F,Harry Potter and the Deathly Hallows,Harry Potter y las reliquias de la muerte,Harry Potter ve Olum Yadigarlari,Harry Potter va Bao Boi Tu Than,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2007-07-21,TRUE
