en_first_half,en_second_half,en_Completion,vi_first_half,vi_second_half,vi_Completion,es_first_half,es_second_half,es_Completion,tr_first_half,tr_second_half,tr_Completion
"He knew that when he returned to the firehouse, he might wink at himself, a minstrel man, burnt-corked, in the mirror. Later, going to sleep, he would feel","the fiery smile still gripped by his face muscles, in the dark. It never went away, that. smile, it never ever went away, as long as he remembered.","the weight of his own face and the weight of the faces he had seen that day, the weight of the world's faces, and the weight of his own face among them, a small, burnt-corked face, a minstrel man's face, a face that had seen the worst of humanity and still managed to find a way to smile, to wink, to make a joke, to survive.","Anh biết rằng khi anh quay lại trạm phóng hỏa, anh có thể nháy mắt với chính mình, một nghệ nhân lang thang, đen nhẻm như bần cháy, ở trong gương. Sau đó, đi ngủ, anh sẽ cảm thấy cái","nụ cười dữ dằn kia vẫn còn được các cơ mặt mình giữ chặt, trong bóng tối. Nó chả bao giờ biến đi hẳn, cái nụ cười ấy, nó chẳng bao giờ đi hẳn, theo như anh còn nhớ được.","đau đớn trong lòng, như một vết thương không thể lành. Anh biết rằng mình đã mất đi một phần của bản thân, một phần mà anh không thể lấy lại được. Nhưng anh cũng biết rằng mình phải tiếp tục sống, phải tiếp tục chiến đấu, vì anh còn có những người thân yêu, những người cần anh.","Sabía que, cuando regresase al cuartel de bomberos, se miraría pestañeando en el espejo: su rostro sería el de un negro de opereta, tiznado con corcho ahumado. Luego,","al irse a dormir, sentiría la fiera sonrisa retenida aún en la oscuridad por sus músculos faciales. Esa sonrisa nunca desaparecía, nunca había desaparecido hasta donde él podía recordar.","se lavaría la cara y se miraría de nuevo: su rostro sería el de un hombre cansado, con ojeras profundas y una barba de varios días. Se preguntaría cómo había llegado a ese punto, cómo había pasado de ser un joven apasionado y lleno de vida a un hombre agotado y desilusionado. Pero no tendría respuestas, solo la certeza de que debía seguir adelante,","İtfaiye merkezine döndüğünde biliyordu ki, yanık mantar gibi zenciye benzemiş yüzüyle aynaya bakıp kendine göz kırpacaktı. Daha sonra ise,","uykuya dalarken, karanlıkta, yüz kaslarının yakaladığı alev alev gülümsemeyi hissedecekti. Anımsadığı sürece, o gülümseme hiçbir zaman silinmeyecek ve yok olmayacaktı.","gözlerini kapayarak, ""Bu iş bitti,"" diyecekti."
"But now, tonight, he slowed almost to a stop. His inner mind, reaching out to turn the corner for","him, had heard the faintest whisper. Breathing? Or was the atmosphere compressed merely by someone standing very quietly there, waiting?","home, could feel the emptiness waiting there. His hand found the door handle, his palm pressing against it, and then he paused. He didn't push the door open. He didn't get out of the car. He just sat there, the engine purring softly, the only sound in the stillness of the night.","Nhưng đêm nay, anh chậm bước lại đến mức gần như dừng hẳn. Tâm trí anh, vươn ra đằng trước để rẽ nơi khúc quanh thay cho thể xác, đã nghe","được tiếng thì thầm hết sức khẽ khàng. Tiếng thở ư? Hay là bầu không khí bị nén lại chỉ vì có ai đó hết sức lặng lẽ đứng đấy, chờ đợi?","thấy tiếng động. Tiếng động rất nhỏ, nhưng trong sự im ắng của đêm, nó lại trở nên rõ ràng. Anh dừng lại hoàn toàn, cố gắng phân biệt âm thanh. Nó giống như tiếng bước chân, nhưng rất nhẹ nhàng, như thể ai đó đang cố gắng không gây ra tiếng động.","Pero esa noche, Montag aminoró el paso casi hasta detenerse. Su subconsciente, adelantándosele a doblar la esquina, había oído","un debilísimo susurro. ¿De respiración? ¿O era la atmósfera, comprimida únicamente por alguien que estuviese allí muy quieto, esperando?","el leve susurro de las hojas y el murmullo de las palabras, y había regresado a la realidad para advertir a Montag de que se detuviera y escuchara.","Fakat şimdi, bu gece, neredeyse duracak kadar yavaşladı. İçeriden çıkıp onun için köşeyi dönen zihni, en zayıfından","bir fısıltı duydu. Bir soluk muydu? Yoksa birisi orada sessizce ayakta durup, havada yarattığı basınçla bekliyor muydu?","bir an için bile olsa, o anki hissin yoğunluğunu hissedebiliyordu. Sanki zamanın kendisi de durmuş, onun için bekliyordu. Bu his, ona hem heyecan hem de korku veriyordu. Çünkü o, bu anın sonsuza kadar süreceğini biliyordu."
"He felt she was walking in a circle about him, turning him end","for end, shaking him quietly, and emptying his pockets, without once moving herself.","for end, measuring his soul and body, he felt he was being turned round and round about, and could not move of his own accord, but was in some way being made to walk in a circle while she turned him and turned him and turned him.","Anh cảm thấy nàng đang lượn vòng xung quanh anh, xoay anh từ bên này qua bên kia,","khẽ lắc anh, và dốc rỗng hết các túi của anh, trong khi nàng không hề nhúc nhích.","như thể đang cố gắng tìm ra một điểm yếu trong tâm trí anh. Anh cảm thấy nàng đang cố gắng kiểm soát anh, nhưng anh không thể hiểu tại sao. Anh cố gắng chống lại, nhưng nàng quá mạnh. Anh cảm thấy mình đang bị kéo vào một thế giới khác, một thế giới mà anh không thể kiểm soát.","Montag sintió que ella andaba en círculo a su alrededor, le examinaba de extremo a","extremo, sacudiéndolo silenciosamente y vaciándole los bolsillos, aunque, en realidad, no se moviera en absoluto.","extremo, y él no podía hacer nada para detenerla. La mirada de Clarisse era como un rayo de luz que iluminaba cada rincón de su alma, y Montag se sentía desnudo y vulnerable ante ella.","Montag, kızın sanki etrafında dönerek yürüdüğünü, tepeden tırnağa incelediğini,",onu sessizce silkelediğini ve hiç kımıldamadan ceplerini boşalttığını hissediyordu.,"gözlerini kaldırarak yüzüne baktığını gördü. Kızın gözleri, Montag'ınkilere benzemiyordu. Onlar, bir an için bile duraksamadan, Montag'ın yüzünü taradılar. Montag, bu bakışların altında kendini çıplak hissetti. Kızın gözleri, sanki Montag'ın ruhunu arıyormuş gibi, derinlere daldılar."
"There was only the girl walking with him now, her face bright as snow in the moonlight,","and he knew she was working his questions around, seeking the best answers she could possibly give.","her eyes shining like stars in the darkness. She was a vision of loveliness, a fleeting glimpse of beauty in a world that was often harsh and unforgiving. He felt his heart swell with emotion as he gazed at her, his footsteps slowing as he savored the moment. The night air was filled with the sweet scent of blooming flowers, and the sound of crickets provided a soothing background hum. It was as if the world had come alive, and","Lúc này chỉ có cô gái đang đi cùng anh, khuôn mặt nàng sáng như tuyết dưới ánh trăng, và anh","biết nàng đang lật đi lật lại những câu hỏi của anh, tìm câu trả lòi tốt nhất để đáp lại.","đang cố gắng tìm cách để bảo vệ nàng khỏi những nguy hiểm đang rình rập xung quanh. Anh biết rằng mình phải hành động nhanh chóng, vì thời gian đang dần hết và những kẻ thù đang đến gần hơn.","Sólo había la muchacha andando a su lado, con su rostro que brillaba como la nieve al claro","de luna, y Montag comprendió que estaba meditando las preguntas que él le había formulado, buscando las mejores respuestas.","de la luna, y su cabello que caía como una cascada de oro sobre sus hombros. La muchacha no parecía tener miedo, aunque caminaba por un bosque oscuro y solitario, y su presencia parecía iluminar el camino. De repente, se detuvo y se volvió hacia él, con una mirada que parecía ver más allá de su alma. ""¿","Şimdi yanında yalnızca yürüyen kız vardı, yüzü ay ışığında kar gibi beyazdı",ve sorduğu sorulara kızın düşünüp en iyi cevapları vermeye çalıştığını biliyordu Montag.,"ve saçları rüzgârda dalgalanıyordu. Kızın adı Ayşe idi ve o da tıpkı kendisi gibi bu geceye ait değildi. Onlar, bu geceye ait olmayan iki insan, ay ışığında yürüyorlardı."
"“I sometimes think drivers don't know what grass is, or flowers, because they never see them slowly,” she said. “If you showed a driver a green blur, Oh yes! he'd say, that's grass! A pink blur? That's","a rose-garden! White blurs are houses. Brown blurs are cows. My uncle drove slowly on a highway once. He drove forty miles an hour and they jailed him for two days. Isn't that funny, and sad, too?”","a rose-garden! Did you ever see a driver slow down by a field of oats? Never! But he'll slow down by a sign that says, 'Oatmeal 50% off!' ""","""Đôi khi em nghĩ những người lái kia chẳng biết cỏ hay hoa là cái gì, bởi họ chẳng bao giờ nhìn chúng một cách chậm rãi hết,"" nàng nói. ""Nếu anh cho một tay tài xế xem một vệt mờ màu xanh lục thì, Ồ vâng, là cỏ đây, y ta sẽ nói. Một vệt mờ màu hồng?","ừ thì một vườn hồng! Những vệt mờ màu trắng là nhà cửa. Vệt mờ màu nâu là mấy con bò. Ông bác em có lần lái xe chậm trên xa lộ. Bác ấy lái bốn mươi dặm một giờ, thế là người ta giam bác ấy hai ngày. Chuyện ấy chẳng phải tức cười sao, mà cũng buồn nữa?""","""Đôi khi em nghĩ những người lái kia chẳng biết cỏ hay hoa là cái gì, bởi họ chẳng bao giờ nhìn chúng một cách chậm rãi hết,"" nàng nói. ""Nếu anh cho một tay tài xế xem một vệt mờ màu xanh lục thì, Ồ vâng, là cỏ đây, y ta sẽ nói. Một vệt mờ màu hồng? À, là hoa đấy. Nhưng anh cho y ta xem một bông","—A veces, pienso que sus conductores no saben cómo es la hierba, ni las flores, porque nunca las ven con detenimiento —dijo ella—. Si le mostrase a uno de esos chóferes una borrosa mancha verde, diría: ¡Oh, sí, es hierba! ¿Una mancha borrosa de","color rosado? ¡Es una rosaleda! Las manchas blancas son casas. Las manchas pardas son vacas. Una vez, mi tío condujo lentamente por una carretera. Condujo a sesenta y cinco kilómetros por hora y lo encarcelaron por dos días. ¿No es curioso, y triste también?","color, ¡oh, sí, es una flor! Pero si le mostrase una hoja de hierba, con sus nervaduras y su forma, o una flor, con sus pétalos y su centro, no sabría qué es. No sabría que la hierba es suave y fresca, y que huele a tierra y a vida. No sabría que las flores tienen un perfume dulce y delicado,","“Ben bazen sürücülerin çimen ya da çiçek nedir bilmediklerini düşünüyorum. Çünkü onları asla yavaş gidip göremezler,” dedi Clarisse. “Eğer yeşil bir şey gösterirseniz, ‘Oh evet, bu çimen,’ derler. Pembe bir şey gösterirsen, ‘Bir gül","bahçesi,’ derler. Beyaz şekillerse binalardır. Kahverengi şekiller ise inekler. Amcam bir kez karayollarında arabayı yavaş sürüyordu. Arabayı saatte 40 mille sürdü ve onu iki gün hapse attılar. Çok komik ve de acı değil mi?",’ derler. Peki ya bir çiçekle bir çimen arasındaki farkı nasıl ayırt edeceğiz?”
"They walked the rest of the way in silence, hers thoughtful, his a kind of clenching and uncomfortable",silence in which he shot her accusing glances. When they reached her house all its lights were blazing.,"They walked the rest of the way in silence, hers thoughtful, his a kind of clenching and uncomfortable. The tension between them was palpable, like a thick fog that clung to their skin and made it hard to breathe. They didn't need to say a word to know that something was wrong, that the easy camaraderie they had shared just hours before was now strained and fragile. As they walked, the silence grew thicker, until it felt like a physical","Họ đi bộ nốt đoạn đường còn lại trong im lặng, nàng im lặng trầm ngâm, còn anh thì một thứ im lặng bức bối","khó chịu, thỉnh thoảng anh lại liếc nhìn nàng như thể kết tội. Khi họ về đến nhà nàng, tất cả đèn đóm đều sáng trưng.","cho đến khi họ đến được nơi họ cần đến, nơi mà họ sẽ phải đối mặt với những thử thách mới và khó khăn hơn.","Recorrieron en silencio el resto del camino. El de ella, pensativo, el de él, irritado e incómodo, acusando el","impacto de las miradas inquisitivas de la muchacha. Cuando llegaron a la casa de ella, todas sus luces estaban encendidas.","peso de la conversación que no habían tenido. La tensión entre ellos era palpable, y el silencio se había convertido en un muro que parecía imposible de escalar. De repente, él se detuvo y se volvió hacia ella, con una mirada intensa que parecía buscar respuestas en sus ojos.","Yolun geri kalan kısmında sessizce yürüdüler. Clarisse’in suskunluğu düşünceli, Montag’ınki ise kızın kendisini suçlayan bakışları altında sıkıntılı ve","huzursuzdu. Kızın evine ulaştıklarında, bütün ışıklar ışıl ışıldı. Montag bu kadar çok ışığı yanan bir ev görmezdi pek.","rahatsızdı. Montag, Clarisse'in suskunluğunu bozmak için bir şeyler söylemek istiyordu, ama ne söyleyeceğini bilemiyordu. Kızın bakışları onu suçluyor gibiydi, sanki Montag'ın yaptıklarından dolayı utanç duyuyordu. Montag, Clarisse'in ne düşündüğünü bilmiyordu, ama onun suskunluğu onu rahatsız"
"He glanced back at the wall. How like a mirror, too, her face. Impossible; for how many people did you know that refracted your own light to you? People were more often-he searched for","a simile, found one in his work-torches, blazing away until they whiffed out. How rarely did other people's faces take of you and throw back to you your own expression, your own innermost trembling thought?","a comparison, found one in a child's kaleidoscope, bits of glass tilted in specific patterns. And for each who did so re-reflect your own light, or refract your force, how many more did you meet who were but prisms that held their proper image in the light that came through you, and were not at all the same in the darkness—off, or turned elsewhere? People were prisms, single, or fragments, strange, or familiar: they","Anh lại liếc về bức tường. Mà giống cả một tấm gương nữa, giống làm sao, khuôn mặt nàng. Không thể được; vì liệu ta biết được bao nhiêu người khúc xạ ánh sáng của chính ta về lại cho ta kia chứ? Con người ta thường là - anh tìm một hình ảnh so","sánh, và tìm thấy trong công việc mình làm - những ngọn đuốc, cứ bùng cháy cho đến khi rụi hết. Thật họa hoằn làm sao những khi khuôn mặt người khác thu nhận ta và ném trả lại ta biểu lộ của chính ta, cái suy nghĩ run rẩy sâu kín nhất của ta?","sánh - như một cái giếng sâu, nước trong veo, có thể soi được cả những vết xước trên mặt trăng. Nhưng mà, cái giếng nước ấy, nó không phải là một cái gương soi, bởi vì nó không phản chiếu lại hình ảnh của ta. Cái giếng nước ấy, nó giống như một cái gương soi, nhưng nó không phải là một cái gương soi. Nó là một","Volvió a mirar la pared. El rostro de ella también se parecía mucho a un espejo. Imposible, ¿cuánta gente había que refractase hacia uno su propia luz? Por lo general, la gente era —Montag buscó","un símil, lo encontró en su trabajo— como antorchas, que ardían hasta consumirse. ¡Cuán pocas veces los rostros de las otras personas captaban algo tuyo y te devolvían tu propia expresión, tus pensamientos más íntimos!","una palabra adecuada— opaca, y cuando uno miraba a través de ella, no veía nada. Pero esta muchacha era como un espejo. Y él, Montag, era un hombre que se miraba en un espejo y no veía nada. ¿Qué había en su interior? ¿Qué había en su interior que no podía ver?",Montag tekrar duvara bir göz attı. Clarisse’in yüzü nasıl da aynaya benziyordu. Olanaksız; sizin ışığınızı size yansıtan kaç kişi tanırsınız? Bir benzetme aradı ve Montag kendi işinden,"buldu; insanlar daha çok bir meşaleye benziyorlardı; birileri üfleyinceye kadar yanarlardı. Ne kadar nadir diğer insanların yüzleri sizi sizden alıp, kendi duygularınızı, en derin titrek düşüncelerinizi size yansıtırdı?","bir benzetme aradı ve Montag kendi işinden bir örnek buldu. İnsanlar birer birer alevler içinde kavrulup yok olurken, Montag'ın aklında hep aynı soru vardı: ""Bu insanlar kimlerdi? Neden bu kadar çok kitap saklıyorlardı?"""
"What incredible power of identification the girl had; she was like the eager watcher of a marionette show, anticipating each flicker of an eyelid, each gesture of his hand, each flick of a finger, the moment before it began. How long had they walked together? Three minutes? Five? Yet how large that","time seemed now. How immense a figure she was on the stage before him; what a shadow she threw on the wall with her slender body! He felt that if his eye itched, she might blink. And if the muscles of his jaws stretched imperceptibly, she would yawn long before he would.","time seemed now, and how remote the moment when he had stood alone by the river, watching the boat with the golden sail. It was as if he had been living for years in the world of this girl's creation, a world of wonder and magic, where the ordinary rules of time and space did not apply. And yet, despite the strangeness of it all, he felt a sense of belonging, of being exactly where he was meant to be. The girl's eyes","Cô gái này có cái khả năng đồng hóa vào ngoại thể thật đáng kinh ngạc; nàng giống như người háo hức xem một buổi diễn múa rối, đoán trước được từng cái nháy mắt, từng cử động của bàn tay anh, từng cái nhúc nhích của một ngón tay, một khoảnh khắc trước khi nó bắt đầu. Họ đi cùng nhau được bao lâu nhỉ? Ba phút? Năm? Thế nhưng khoảng thời gian","đó giờ đây có vẻ dài làm sao. Hình ảnh nàng mới rợn ngợp làm sao trên cái sân khấu trước mặt anh; và bóng nàng hắt lên tường mới to lớn làm sao so với thân hình mảnh dẻ của nàng! Anh cảm thấy nếu mắt anh ngứa, nàng sẽ chớp mắt. Và nếu các cơ hàm anh duỗi ra nhẹ đến không thể nhận thấy, nàng sẽ ngáp trước khi anh ngáp.","đó dường như đã kéo dài cả một đời người. Cô gái này có khả năng nắm bắt được từng chi tiết nhỏ nhất trong cử chỉ và hành động của anh, như thể cô đã biết anh từ rất lâu rồi. Mỗi khi anh chuẩn bị nói gì đó, cô đã có thể đoán trước được và sẵn sàng phản ứng. Họ dường như đã có một sự kết nối sâu sắc, vượt qua cả thời gian và không gian.","Aquella muchacha tenía un increíble poder de identificación; era como el ávido espectador de una función de marionetas, previendo cada parpadeo, cada movimiento de una mano, cada estremecimiento de un dedo, un momento antes de que sucediese. ¿Cuánto rato habían caminado juntos? ¿Tres minutos? ¿Cinco? Sin embargo, ahora le parecía un rato interminable. ¡Qué inmensa","figura tenía ella en el escenario que se extendía ante sus ojos! ¡Qué sombra producía en la pared con su esbelto cuerpo! Montag se dio cuenta de que, si le picasen los ojos, ella pestañearía. Y de que si los músculos de sus mandíbulas se tensaran imperceptiblemente, ella bostezaría mucho antes de que lo hiciera él.","había sido la cantidad de cosas que habían pasado por su mente en ese breve lapso de tiempo! La muchacha parecía tener una conexión misteriosa con el mundo que la rodeaba, como si pudiera leer los pensamientos y predecir cada acción antes de que ocurriera. Cada movimiento, cada gesto, cada mirada parecía estar cargado de significado, y él se sentía atrapado en una red de","Kızın ne inanılmaz bir tanımlama gücü vardı. Kukla gösterisini hoşlanarak izleyen birine benziyordu. Göz kapağının her kıpırdanışını, elinin her jestini, parmağının hafif dokunuşlarını daha başlamadan tahmin ediyordu. Ne kadar süre birlikte yürümüşlerdi? Üç dakika mı yoksa beş dakika mı?","Çok uzun bir süre gibi geliyordu ona. Önündeki sahnede kocaman bir figür oluşturmuştu; o incecik bedeniyle duvara ne büyük bir gölge yansıtmıştı. Montag gözü kaşınsa, Clarisse’in gözlerini kırpıştıracağını hissediyordu. Fark edilmez bir şekilde çene kasları gerilseydi, Clarisse ondan önce esneyecekti.","Adamın yüzü, kızın tanımlamasına uygun olarak, bir kukla gibi ifadesiz ve hareketsizdi. Gözleri, bir kuklanın gözleri gibi boş ve cansızdı. Kızın eli, adamın elini tutuyordu ve parmağının hafif dokunuşları, adamın yüzünde bir tepki uyandırmıyordu. Kızın jestleri, bir kuklacının kuklasını kontrol ettiği"
"It was like coming into the cold marbled room of a mausoleum after the moon had set. Complete darkness, not a hint of the","silver world outside, the windows tightly shut, the chamber a tomb-world where no sound from the great city could penetrate. The room was not empty.","world outside. The air was heavy with the scent of old books and dust. The silence was oppressive, punctuated only by the faint creaking of the wooden shelves that lined the walls. As I stepped further into the room, my footsteps echoed off the marble floor, making me feel like an intruder in a place where time had stood still for centuries.","Giống như bước vào một căn phòng bằng đá hoa cương lạnh lẽo của một lăng mộ sau khi trăng đã lặn. Tối như bưng, không có một chút gì gợi đến thế giới màu bạc","ở ngoài kia, cửa sổ đóng im ỉm, cái biệt phòng thuộc một chốn hầm mộ nơi không một âm thanh nào của thành phố lớn ngoài kia thâm nhập tới được. Căn phòng không trống.",trong ánh trăng. Không có gì ngoài bóng tối và sự im lặng. Chỉ có tiếng thở nhẹ nhàng của tôi và tiếng nhịp tim đập nhanh trong lồng ngực.,"Era como entrar en la fría sala de un mausoleo después de haberse puesto la luna. Oscuridad completa, ni un atisbo del plateado mundo exterior; las ventanas",herméticamente cerradas convertían la habitación en un mundo de ultratumba en el que no podía penetrar ningún ruido de la gran ciudad. La habitación no estaba vacía.,"estaban cerradas, y las cortinas, corridas. La única luz provenía de una pequeña lámpara que ardía en un rincón, proyectando sombras inquietantes en las paredes. El aire estaba cargado de un olor a incienso y a algo más, algo que no podía identificar. Me sentí como si hubiera entrado en un mundo diferente, un mundo que existía en paralelo","Ay kaybolduktan sonra, bir mozolenin soğuk mermer odasına girmek gibiydi. Tümüyle karanlık ortamda, dışarıdaki gümüş dünyanın izi yoktu;","pencereler öylesine sıkı kapatılmıştı ki, koca şehrin gürültüsü içeriye, bir mezar gibi olan odaya sızamıyordu. Oda boş değildi.","her yer, karanlık bir sisin içindeydi. Mozolenin kapısı, ağır ve sessizce kapandı ve ben, karanlıkta kaldım. Birdenbire, bir ses duydum. Ses, çok uzaklardan geliyordu ve bana, birisinin ismini söylüyordu. Ses, gittikçe yaklaştı ve ben, ismi net bir şekilde duydum: ""Ay"
"The room was cold but nonetheless he felt he could not breathe. He did not wish to open the curtains and open the french windows, for he did not want the moon to","come into the room. So, with the feeling of a man who will die in the next hour for lack of air,.he felt his way toward his open, separate, and therefore cold bed.","come in and make the room colder. He sat down on the bed and tried to calm himself, but his heart was racing and his mind was filled with thoughts of the strange occurrences that had been happening in the house. He had always been skeptical of the supernatural, but now he couldn't shake the feeling that something was watching him from the shadows. Suddenly, he heard a faint creaking sound coming from the hallway. He froze, his heart pounding in his chest. The","Căn phòng lạnh lẽo thế nhưng anh vẫn thấy không thể thở được. Anh không muốn kéo rèm và mở mấy ô cửa sổ kiểu Pháp, bởi anh không muốn ánh trăng tràn vào phòng.","Thế nên, với cảm giác mình như kẻ một giờ nữa sẽ chết vì thiếu không khí, anh mò mẫm đi về phía cái giường còn trống, tách biệt và do đó lạnh lẽo của mình.","Anh không muốn ánh trăng tràn vào phòng, bởi anh không muốn nhớ lại những kỷ niệm đau buồn. Anh chỉ muốn ngồi trong bóng tối, cố gắng quên đi những gì đã xảy ra.","La habitación era fresca; sin embargo, Montag sintió que no podía respirar. No quería correr las cortinas y abrir los ventanales, porque no deseaba que la luna penetrara en el cuarto. Por lo tanto,","con la sensación de un hombre que ha de morir en menos de una hora, por falta de aire que respirar, se dirigió a tientas hacia su cama abierta, separada y, en consecuencia fría.","se quedó sentado en la oscuridad, rodeado por el silencio de la noche, y trató de calmar su respiración agitada. De repente, escuchó un ruido leve en la puerta. Se levantó y se acercó a ella, intentando escuchar con más atención. El ruido se repitió, esta vez con más fuerza. Montag abrió la puerta y se encontr","Oda soğuktu, yine de Montag rahat soluk alamadığını hissetti. Ay ışığının odaya girmesini istemediği için perdeleri ve panjurları açmak içinden","gelmedi. Bir saat sonra kendini havasızlıktan ölecek bir adam gibi hissederek, üstü açık, ayrı, dolayısıyla da soğuk yatağına doğru ilerledi.","gelmiyordu. Montag, karısının uyuduğunu varsayarak yatağa yaklaştı. Mildred'in yüzü, ay ışığının zayıf bir yansımasıyla aydınlanmıştı. Montag, karısının yüzünü inceledi. Mildred'in gözleri kapalıydı, ama Montag onun uyanık olduğunu hissediyordu. Montag, karısının yüzüne daha yakından baktı ve onun gözkapak"
