Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
"['mauricio lorry', 'mauricio', 'mr jarvis lorry', 'mr', 'jarvis', 'lorr', 'jarvis lorry', 'jarvis lorr', 'lorry']",wemmick,0,0.4,incorrect,wemmick,0,0.4,incorrect,mr. tulkinghorn,0,0.41,incorrect,charles,0,0.46,incorrect,alice,0,0.46,incorrect,wemmick,0,0.4,incorrect,wemmick,0,0.4,incorrect,wemmick,0,0.4,incorrect,telegraph,0,0.31,incorrect,john,0,0.27,incorrect,wemmick,0,0.4,incorrect,wemmick,0,0.4,incorrect,wemmick,0,0.4,incorrect,charles,0,0.46,incorrect,wemmick,0,0.4,incorrect,wemmick,0,0.4,incorrect,john,0,0.27,incorrect,wemmick,0,0.4,incorrect
"['mr', 'mr lorry', 'lorry']",victor,0,0.36,incorrect,canterbury,0,0.4,incorrect,odysseus,0,0.31,incorrect,calypso,0,0.33,incorrect,david,0,0.0,incorrect,lebopo,0,0.36,incorrect,david,0,0.0,incorrect,ua,0,0.0,incorrect,odysseus,0,0.31,incorrect,odysseus,0,0.31,incorrect,marina,0,0.5,incorrect,britannia,0,0.18,incorrect,canterbury,0,0.4,incorrect,calypso,0,0.33,incorrect,lebopo,0,0.36,incorrect,ua,0,0.0,incorrect,odysseus,0,0.31,incorrect,britannia,0,0.18,incorrect
"['manette', 'miss', 'miss manette']",miss,1,1.0,correct,abel,0,0.36,incorrect,oduduwa,0,0.14,incorrect,abraham,0,0.18,incorrect,jesus,0,0.44,incorrect,god,0,0.0,incorrect,jesus,0,0.44,incorrect,joseph,0,0.22,incorrect,john,0,0.18,incorrect,machine,0,0.57,incorrect,david,0,0.22,incorrect,manana,0,0.46,incorrect,abel,0,0.36,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,joseph,0,0.22,incorrect,machine,0,0.57,incorrect,manana,0,0.46,incorrect
"['mr', 'mr lorry', 'lorry']",hamlet,0,0.29,incorrect,god,0,0.25,incorrect,anansi,0,0.0,incorrect,wo,0,0.29,incorrect,jesus,0,0.0,incorrect,david,0,0.0,incorrect,maaka,0,0.29,incorrect,ua,0,0.0,incorrect,robin,0,0.31,incorrect,odysseus,0,0.31,incorrect,david,0,0.0,incorrect,jereo,0,0.31,incorrect,god,0,0.25,incorrect,wo,0,0.29,incorrect,david,0,0.0,incorrect,ua,0,0.0,incorrect,odysseus,0,0.31,incorrect,jereo,0,0.31,incorrect
"['mr', 'mr lorry', 'lorry']",job,0,0.25,incorrect,na,0,0.0,incorrect,john,0,0.22,incorrect,sam,0,0.4,incorrect,banker,0,0.25,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,te,0,0.0,incorrect,raskol,0,0.29,incorrect,blue,0,0.22,incorrect,banky,0,0.2,incorrect,moa,0,0.4,incorrect,na,0,0.0,incorrect,sam,0,0.4,incorrect,god,0,0.25,incorrect,te,0,0.0,incorrect,blue,0,0.22,incorrect,moa,0,0.4,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",esther,0,0.5,incorrect,seneca,0,0.67,incorrect,oyin,0,0.2,incorrect,eyi,0,0.22,incorrect,elizabeth,0,0.38,incorrect,winnie,0,0.2,incorrect,queen victoria,0,0.5,incorrect,ma,0,0.57,incorrect,madame,1,1.0,correct,madame,1,1.0,correct,elizabeth,0,0.38,incorrect,teo,0,0.44,incorrect,seneca,0,0.67,incorrect,eyi,0,0.22,incorrect,winnie,0,0.2,incorrect,ma,0,0.57,incorrect,madame,1,1.0,correct,teo,0,0.44,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",christmas,0,0.29,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,sebego,0,0.5,incorrect,selebi-phikwe,0,0.3,incorrect,jesus,0,0.18,incorrect,david,0,0.4,incorrect,christian,0,0.27,incorrect,peter,0,0.36,incorrect,david,0,0.4,incorrect,nikohaka,0,0.43,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,selebi-phikwe,0,0.3,incorrect,david,0,0.4,incorrect,peter,0,0.36,incorrect,nikohaka,0,0.43,incorrect
"['monsieur defarge', 'monsieur', 'defarge', 'mösyö defarge', 'mösyö']",joseph,0,0.43,incorrect,joseph,0,0.43,incorrect,abraham,0,0.29,incorrect,abraham,0,0.29,incorrect,david,0,0.33,incorrect,matlho,0,0.36,incorrect,maui,0,0.33,incorrect,ua,0,0.22,incorrect,elizabeth,0,0.38,incorrect,widow,0,0.2,incorrect,madagascar,0,0.35,incorrect,nandoa,0,0.31,incorrect,joseph,0,0.43,incorrect,abraham,0,0.29,incorrect,matlho,0,0.36,incorrect,ua,0,0.22,incorrect,widow,0,0.2,incorrect,nandoa,0,0.31,incorrect
['defarge'],long,0,0.18,incorrect,long,0,0.18,incorrect,lucifer,0,0.29,incorrect,lucifer,0,0.29,incorrect,long gone demo,0,0.19,incorrect,long,0,0.18,incorrect,diabolo,0,0.29,incorrect,diabolo,0,0.29,incorrect,shaitan,0,0.14,incorrect,god,0,0.2,incorrect,god,0,0.2,incorrect,ary,0,0.4,incorrect,long,0,0.18,incorrect,lucifer,0,0.29,incorrect,long,0,0.18,incorrect,diabolo,0,0.29,incorrect,god,0,0.2,incorrect,ary,0,0.4,incorrect
"['mr', 'mr lorry', 'lorry']",trump,0,0.29,incorrect,empa,0,0.33,incorrect,jesus,0,0.0,incorrect,yoruba,0,0.36,incorrect,mmotlana,0,0.25,incorrect,david,0,0.0,incorrect,samuel,0,0.29,incorrect,tera,0,0.33,incorrect,elizabeth,0,0.14,incorrect,terror,0,0.43,incorrect,david,0,0.0,incorrect,david,0,0.0,incorrect,empa,0,0.33,incorrect,yoruba,0,0.36,incorrect,david,0,0.0,incorrect,tera,0,0.33,incorrect,terror,0,0.43,incorrect,david,0,0.0,incorrect
