Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie hiney', 'hiney', 'cassie']",emily,0,0.4,incorrect,dimmesdale,0,0.27,incorrect,arthur,0,0.22,incorrect,zeyneb,0,0.36,incorrect,ngoc,0,0.22,incorrect,dam,0,0.22,incorrect,britney,0,0.67,incorrect,seguro,0,0.33,incorrect,dimmesdale,0,0.27,incorrect,zeyneb,0,0.36,incorrect,dam,0,0.22,incorrect,seguro,0,0.33,incorrect
"['parson', 'chuck', 'chuck parson']",victor,0,0.22,incorrect,barry,0,0.36,incorrect,rocky,0,0.4,incorrect,albert,0,0.33,incorrect,hooc-mon,0,0.4,incorrect,doi,0,0.22,incorrect,robocop,0,0.31,incorrect,anabolicos,0,0.25,incorrect,barry,0,0.36,incorrect,albert,0,0.33,incorrect,doi,0,0.22,incorrect,anabolicos,0,0.25,incorrect
['chuck'],eric,0,0.22,incorrect,dimmesdale,0,0.0,incorrect,brittany,0,0.0,incorrect,adam,0,0.0,incorrect,dan,0,0.0,incorrect,the,0,0.25,incorrect,el,0,0.0,incorrect,harriet,0,0.17,incorrect,dimmesdale,0,0.0,incorrect,adam,0,0.0,incorrect,the,0,0.25,incorrect,harriet,0,0.17,incorrect
"['chuc', 'chuck']",prom,0,0.0,incorrect,prom,0,0.0,incorrect,john,0,0.25,incorrect,hamlet,0,0.2,incorrect,dam,0,0.0,incorrect,doi,0,0.0,incorrect,graduacion,0,0.29,incorrect,baile,0,0.0,incorrect,prom,0,0.0,incorrect,hamlet,0,0.2,incorrect,doi,0,0.0,incorrect,baile,0,0.0,incorrect
['angela'],clara,0,0.36,incorrect,nick,0,0.2,incorrect,harry,0,0.18,incorrect,ali,0,0.44,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,santa,0,0.55,incorrect,claus,0,0.36,incorrect,nick,0,0.2,incorrect,ali,0,0.44,incorrect,noel,0,0.6,incorrect,claus,0,0.36,incorrect
['margo'],emily,0,0.2,incorrect,harvey,0,0.36,incorrect,arthur,0,0.36,incorrect,minim,0,0.2,incorrect,emily,0,0.2,incorrect,do,0,0.29,incorrect,jack,0,0.22,incorrect,angel,0,0.4,incorrect,harvey,0,0.36,incorrect,minim,0,0.2,incorrect,do,0,0.29,incorrect,angel,0,0.4,incorrect
['margo'],max,0,0.5,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect,yusuf,0,0.0,incorrect,dau,0,0.25,incorrect,phan,0,0.22,incorrect,tom,0,0.25,incorrect,papa,0,0.22,incorrect,john,0,0.22,incorrect,yusuf,0,0.0,incorrect,phan,0,0.22,incorrect,papa,0,0.22,incorrect
"['margo—', 'margo']",sam,0,0.25,incorrect,haley,0,0.2,incorrect,emily,0,0.2,incorrect,tom,0,0.25,incorrect,ngoc,0,0.44,incorrect,truong,0,0.36,incorrect,mia,0,0.5,incorrect,clase,0,0.2,incorrect,haley,0,0.2,incorrect,tom,0,0.25,incorrect,truong,0,0.36,incorrect,clase,0,0.2,incorrect
['margo'],jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,minivan,0,0.33,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],yuval,0,0.2,incorrect,you,0,0.25,incorrect,nietzsche,0,0.0,incorrect,emekliligi,0,0.27,incorrect,nguoi,0,0.4,incorrect,doi,0,0.25,incorrect,marx,0,0.67,incorrect,vas,0,0.25,incorrect,you,0,0.25,incorrect,emekliligi,0,0.27,incorrect,doi,0,0.25,incorrect,vas,0,0.25,incorrect
