Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
"['moses', 'moisés', 'musa']",job,0,0.25,incorrect,empa,0,0.5,incorrect,job,0,0.25,incorrect,nibi,0,0.2,incorrect,god,0,0.25,incorrect,lea,0,0.29,incorrect,david,0,0.22,incorrect,jesus,0,0.44,incorrect,emily,0,0.36,incorrect,practice,0,0.29,incorrect,god,0,0.25,incorrect,toy,0,0.25,incorrect,empa,0,0.5,incorrect,nibi,0,0.2,incorrect,lea,0,0.29,incorrect,jesus,0,0.44,incorrect,practice,0,0.29,incorrect,toy,0,0.25,incorrect
"['tom sawyer', 'tom', 'sawyer']",god,0,0.33,incorrect,joseph,0,0.38,incorrect,david,0,0.18,incorrect,mo,0,0.4,incorrect,god,0,0.33,incorrect,ke,0,0.25,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,god,0,0.33,incorrect,shakespeare,0,0.47,incorrect,jesus,0,0.18,incorrect,ankehitriny,0,0.35,incorrect,joseph,0,0.38,incorrect,mo,0,0.4,incorrect,ke,0,0.25,incorrect,jesus,0,0.18,incorrect,shakespeare,0,0.47,incorrect,ankehitriny,0,0.35,incorrect
"['bayan', 'bayan watson', 'watson']",job,0,0.25,incorrect,ke,0,0.0,incorrect,madam,0,0.4,incorrect,whippowill,0,0.25,incorrect,morago,0,0.33,incorrect,morago,0,0.33,incorrect,jesus,0,0.18,incorrect,aita,0,0.44,incorrect,miss,0,0.2,incorrect,jack,0,0.22,incorrect,david,0,0.2,incorrect,manao,0,0.47,incorrect,ke,0,0.0,incorrect,whippowill,0,0.25,incorrect,morago,0,0.33,incorrect,aita,0,0.44,incorrect,jack,0,0.22,incorrect,manao,0,0.47,incorrect
"['tom sawyer', 'tom', 'sawyer']",yaba,0,0.2,incorrect,yaba,0,0.2,incorrect,tom,1,1.0,correct,tarzan,0,0.38,incorrect,mosesane,0,0.44,incorrect,go,0,0.4,incorrect,corrie,0,0.25,incorrect,me-yow,0,0.25,incorrect,me,0,0.4,incorrect,shakespeare,0,0.47,incorrect,david,0,0.18,incorrect,avy,0,0.44,incorrect,yaba,0,0.2,incorrect,tarzan,0,0.38,incorrect,go,0,0.4,incorrect,me-yow,0,0.25,incorrect,shakespeare,0,0.47,incorrect,avy,0,0.44,incorrect
['tom'],job,0,0.33,incorrect,re,0,0.0,incorrect,ogun,0,0.29,incorrect,ogun,0,0.29,incorrect,god,0,0.33,incorrect,re,0,0.0,incorrect,maori,0,0.25,incorrect,te ua,0,0.25,incorrect,aladdin,0,0.0,incorrect,shiva,0,0.0,incorrect,david,0,0.0,incorrect,ary,0,0.0,incorrect,re,0,0.0,incorrect,ogun,0,0.29,incorrect,re,0,0.0,incorrect,te ua,0,0.25,incorrect,shiva,0,0.0,incorrect,ary,0,0.0,incorrect
['tom'],job,0,0.33,incorrect,yaba,0,0.0,incorrect,oduduwa,0,0.2,incorrect,nitori,0,0.44,incorrect,jesus,0,0.0,incorrect,david,0,0.0,incorrect,adam,0,0.29,incorrect,ua,0,0.0,incorrect,scaramouche,0,0.14,incorrect,band,0,0.0,incorrect,david,0,0.0,incorrect,nianiana,0,0.0,incorrect,yaba,0,0.0,incorrect,nitori,0,0.44,incorrect,david,0,0.0,incorrect,ua,0,0.0,incorrect,band,0,0.0,incorrect,nianiana,0,0.0,incorrect
['tom'],long john silver,0,0.11,incorrect,motho,0,0.5,incorrect,jesus,0,0.0,incorrect,god,0,0.33,incorrect,peter,0,0.25,incorrect,barbossa,0,0.18,incorrect,samuel,0,0.22,incorrect,ua,0,0.0,incorrect,long john silver,0,0.11,incorrect,odysseus,0,0.18,incorrect,charles,0,0.0,incorrect,nilaza,0,0.0,incorrect,motho,0,0.5,incorrect,god,0,0.33,incorrect,barbossa,0,0.18,incorrect,ua,0,0.0,incorrect,odysseus,0,0.18,incorrect,nilaza,0,0.0,incorrect
"['tom sawyer', 'tom', 'sawyer']",scrooge,0,0.31,incorrect,david,0,0.18,incorrect,ole,0,0.33,incorrect,oyinbo,0,0.25,incorrect,rona,0,0.29,incorrect,highways,0,0.29,incorrect,iona,0,0.29,incorrect,jesus,0,0.18,incorrect,robin hood,0,0.2,incorrect,highwayman,0,0.25,incorrect,david,0,0.18,incorrect,david,0,0.18,incorrect,david,0,0.18,incorrect,oyinbo,0,0.25,incorrect,highways,0,0.29,incorrect,jesus,0,0.18,incorrect,highwayman,0,0.25,incorrect,david,0,0.18,incorrect
"['barnes', 'tommy', 'tommy barnes']",job,0,0.27,incorrect,david,0,0.18,incorrect,esau,0,0.4,incorrect,ole,0,0.27,incorrect,david,0,0.18,incorrect,david,0,0.18,incorrect,david,0,0.18,incorrect,te fiti,0,0.21,incorrect,rapunzel,0,0.43,incorrect,prince,0,0.5,incorrect,lucy,0,0.22,incorrect,david,0,0.18,incorrect,david,0,0.18,incorrect,ole,0,0.27,incorrect,david,0,0.18,incorrect,te fiti,0,0.21,incorrect,prince,0,0.5,incorrect,david,0,0.18,incorrect
['tom'],david,0,0.0,incorrect,yaba,0,0.0,incorrect,anansi,0,0.0,incorrect,olorun,0,0.22,incorrect,joseph,0,0.22,incorrect,joseph,0,0.22,incorrect,god,0,0.33,incorrect,samuel,0,0.22,incorrect,robin,0,0.25,incorrect,lucifer,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,yaba,0,0.0,incorrect,olorun,0,0.22,incorrect,joseph,0,0.22,incorrect,samuel,0,0.22,incorrect,lucifer,0,0.0,incorrect,jesus,0,0.0,incorrect
