Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie', 'hiney', 'cassie hiney']",john,0,0.44,incorrect,john,0,0.44,incorrect,ali,0,0.44,incorrect,kim,0,0.25,incorrect,ngoc anh,0,0.3,incorrect,thi huyen,0,0.43,incorrect,maria,0,0.36,incorrect,seguro si,0,0.4,incorrect,john,0,0.44,incorrect,kim,0,0.25,incorrect,thi huyen,0,0.43,incorrect,seguro si,0,0.4,incorrect
"['parson', 'chuck parson', 'chuck']",chris,0,0.47,incorrect,smith,0,0.2,incorrect,omer,0,0.2,incorrect,ali ibn abi talib,0,0.17,incorrect,thanh thuy,0,0.27,incorrect,thieu nien den,0,0.31,incorrect,athenase,0,0.3,incorrect,estaba,0,0.17,incorrect,smith,0,0.2,incorrect,ali ibn abi talib,0,0.17,incorrect,thieu nien den,0,0.31,incorrect,estaba,0,0.17,incorrect
['chuck'],eric,0,0.22,incorrect,john,0,0.22,incorrect,adnan,0,0.0,incorrect,ataturk,0,0.33,incorrect,ngoai oc,0,0.15,incorrect,the,0,0.25,incorrect,guays,0,0.2,incorrect,guays,0,0.2,incorrect,john,0,0.22,incorrect,ataturk,0,0.33,incorrect,the,0,0.25,incorrect,guays,0,0.2,incorrect
"['chuc', 'chuck']",prom,0,0.0,incorrect,prom,0,0.0,incorrect,ali,0,0.0,incorrect,acinan,0,0.2,incorrect,nguoi khac,0,0.29,incorrect,nguyen dinh thi,0,0.11,incorrect,maria,0,0.0,incorrect,maria,0,0.0,incorrect,prom,0,0.0,incorrect,acinan,0,0.2,incorrect,nguyen dinh thi,0,0.11,incorrect,maria,0,0.0,incorrect
['angela'],emily,0,0.36,incorrect,santa claus,0,0.47,incorrect,dostum,0,0.0,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,noel coward,0,0.47,incorrect,navidad,0,0.31,incorrect,el nino,0,0.31,incorrect,santa claus,0,0.47,incorrect,noel,0,0.6,incorrect,noel coward,0,0.47,incorrect,el nino,0,0.31,incorrect
['margo'],emily,0,0.2,incorrect,she,0,0.0,incorrect,gece,0,0.22,incorrect,gecen,0,0.2,incorrect,ngoi sao,0,0.31,incorrect,ngoi sao,0,0.31,incorrect,jose,0,0.22,incorrect,me,0,0.29,incorrect,she,0,0.0,incorrect,gecen,0,0.2,incorrect,ngoi sao,0,0.31,incorrect,me,0,0.29,incorrect
['margo'],john,0,0.22,incorrect,john,0,0.22,incorrect,ali baba,0,0.15,incorrect,baba,0,0.22,incorrect,nguyen dinh thi,0,0.1,incorrect,tich,0,0.0,incorrect,papa,0,0.22,incorrect,papa,0,0.22,incorrect,john,0,0.22,incorrect,baba,0,0.22,incorrect,tich,0,0.0,incorrect,papa,0,0.22,incorrect
"['margo—', 'margo']",emma,0,0.44,incorrect,john,0,0.22,incorrect,yarin,0,0.4,incorrect,ali,0,0.25,incorrect,nhat minh,0,0.14,incorrect,the,0,0.0,incorrect,juan,0,0.22,incorrect,sevilla,0,0.17,incorrect,john,0,0.22,incorrect,ali,0,0.25,incorrect,the,0,0.0,incorrect,sevilla,0,0.17,incorrect
['margo'],jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],susan,0,0.2,incorrect,life,0,0.0,incorrect,adalet,0,0.18,incorrect,plan,0,0.22,incorrect,nguoi dep,0,0.29,incorrect,ngoi sao,0,0.31,incorrect,david,0,0.2,incorrect,pero,0,0.44,incorrect,life,0,0.0,incorrect,plan,0,0.22,incorrect,ngoi sao,0,0.31,incorrect,pero,0,0.44,incorrect
['margo'],she,0,0.0,incorrect,john,0,0.22,incorrect,ali,0,0.25,incorrect,dengi,0,0.2,incorrect,phuong,0,0.18,incorrect,nguyen thi huyen,0,0.1,incorrect,mejia,0,0.4,incorrect,y,0,0.0,incorrect,john,0,0.22,incorrect,dengi,0,0.2,incorrect,nguyen thi huyen,0,0.1,incorrect,y,0,0.0,incorrect
['margo'],john,0,0.22,incorrect,he,0,0.0,incorrect,asli,0,0.22,incorrect,sonra,0,0.2,incorrect,toi,0,0.25,incorrect,anh tay ban,0,0.12,incorrect,carlos,0,0.55,incorrect,se,0,0.0,incorrect,he,0,0.0,incorrect,sonra,0,0.2,incorrect,anh tay ban,0,0.12,incorrect,se,0,0.0,incorrect
['margo'],sarah,0,0.4,incorrect,what band,0,0.14,incorrect,omer,0,0.44,incorrect,aylar,0,0.4,incorrect,tim,0,0.25,incorrect,chuyen dan ba,0,0.11,incorrect,yoana,0,0.2,incorrect,la queda,0,0.15,incorrect,what band,0,0.14,incorrect,aylar,0,0.4,incorrect,chuyen dan ba,0,0.11,incorrect,la queda,0,0.15,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,ali,0,0.25,incorrect,benim,0,0.2,incorrect,tran thu,0,0.15,incorrect,nhung anh,0,0.14,incorrect,carlos,0,0.55,incorrect,el bueno,0,0.15,incorrect,emily,0,0.2,incorrect,benim,0,0.2,incorrect,nhung anh,0,0.14,incorrect,el bueno,0,0.15,incorrect
['margo'],max,0,0.5,incorrect,emily,0,0.2,incorrect,ali,0,0.25,incorrect,ali,0,0.25,incorrect,thao,0,0.44,incorrect,khach san,0,0.14,incorrect,maria,0,0.6,incorrect,mi nombre,0,0.29,incorrect,emily,0,0.2,incorrect,ali,0,0.25,incorrect,khach san,0,0.14,incorrect,mi nombre,0,0.29,incorrect
['margo'],julia,0,0.2,incorrect,7-eleven,0,0.0,incorrect,nabz,0,0.22,incorrect,nabz,0,0.22,incorrect,ngoi sao,0,0.31,incorrect,kim,0,0.25,incorrect,juan,0,0.22,incorrect,7-eleven,0,0.0,incorrect,7-eleven,0,0.0,incorrect,nabz,0,0.22,incorrect,kim,0,0.25,incorrect,7-eleven,0,0.0,incorrect
['margo'],worthingtons,0,0.35,incorrect,worthingtons,0,0.35,incorrect,worthington,0,0.38,incorrect,burundu,0,0.17,incorrect,mr. worthington,0,0.4,incorrect,worthington,0,0.38,incorrect,tom,0,0.25,incorrect,worthington,0,0.38,incorrect,worthingtons,0,0.35,incorrect,burundu,0,0.17,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect
['jase'],jenny,0,0.44,incorrect,jenny,0,0.44,incorrect,ali,0,0.29,incorrect,geri yani,0,0.15,incorrect,nguyen thien nhan,0,0.1,incorrect,nhu,0,0.0,incorrect,maria,0,0.22,incorrect,maria,0,0.22,incorrect,jenny,0,0.44,incorrect,geri yani,0,0.15,incorrect,nhu,0,0.0,incorrect,maria,0,0.22,incorrect
['margo'],jane,0,0.22,incorrect,jimmy,0,0.2,incorrect,ali,0,0.25,incorrect,ali,0,0.25,incorrect,ngoi sao,0,0.31,incorrect,kim,0,0.25,incorrect,marco,0,0.8,correct,se,0,0.0,incorrect,jimmy,0,0.2,incorrect,ali,0,0.25,incorrect,kim,0,0.25,incorrect,se,0,0.0,incorrect
['margo'],jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,nhung,0,0.2,incorrect,thomas jefferson,0,0.38,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,thomas jefferson,0,0.38,incorrect,jefferson,0,0.29,incorrect
"['marg', 'margo']",emily,0,0.22,incorrect,emily,0,0.22,incorrect,ali,0,0.29,incorrect,ali,0,0.29,incorrect,ngoi sao,0,0.31,incorrect,nguyen dinh thi,0,0.11,incorrect,maria,0,0.67,incorrect,mejia,0,0.44,incorrect,emily,0,0.22,incorrect,ali,0,0.29,incorrect,nguyen dinh thi,0,0.11,incorrect,mejia,0,0.44,incorrect
"['parson', 'chuck parson', 'chuck']",crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect
['margo'],emily,0,0.2,incorrect,she,0,0.0,incorrect,ali,0,0.25,incorrect,karanlikti,0,0.27,incorrect,nguoi,0,0.4,incorrect,chu,0,0.0,incorrect,maria,0,0.6,incorrect,corrimos,0,0.31,incorrect,she,0,0.0,incorrect,karanlikti,0,0.27,incorrect,chu,0,0.0,incorrect,corrimos,0,0.31,incorrect
['margo'],she,0,0.0,incorrect,socked ninja,0,0.12,incorrect,ali,0,0.25,incorrect,burcu,0,0.2,incorrect,thiet,0,0.0,incorrect,co le thuy,0,0.13,incorrect,mejia,0,0.4,incorrect,casita,0,0.18,incorrect,socked ninja,0,0.12,incorrect,burcu,0,0.2,incorrect,co le thuy,0,0.13,incorrect,casita,0,0.18,incorrect
"['parso', 'chuck parso', 'parson', 'chuck parson', 'chuck']",john,0,0.4,incorrect,a guy,0,0.2,incorrect,osman,0,0.36,incorrect,yatak,0,0.2,incorrect,nguoi dan ong,0,0.4,incorrect,bac ho,0,0.36,incorrect,roberto,0,0.33,incorrect,platos,0,0.55,incorrect,a guy,0,0.2,incorrect,yatak,0,0.2,incorrect,bac ho,0,0.36,incorrect,platos,0,0.55,incorrect
"['parson', 'chuck parson', 'chuck']",amherst,0,0.46,incorrect,amherst,0,0.46,incorrect,422 amherst,0,0.35,incorrect,hayir,0,0.36,incorrect,amherst,0,0.46,incorrect,jefferson,0,0.53,incorrect,amherst,0,0.46,incorrect,amherst,0,0.46,incorrect,amherst,0,0.46,incorrect,hayir,0,0.36,incorrect,jefferson,0,0.53,incorrect,amherst,0,0.46,incorrect
['margo'],emma,0,0.44,incorrect,emma,0,0.44,incorrect,ali,0,0.25,incorrect,ali,0,0.25,incorrect,ngoc anh,0,0.31,incorrect,nguyen,0,0.18,incorrect,juan,0,0.22,incorrect,y,0,0.0,incorrect,emma,0,0.44,incorrect,ali,0,0.25,incorrect,nguyen,0,0.18,incorrect,y,0,0.0,incorrect
['margo'],emma,0,0.44,incorrect,her,0,0.25,incorrect,ali,0,0.25,incorrect,saci,0,0.22,incorrect,ninja,0,0.2,incorrect,thai,0,0.22,incorrect,obito,0,0.2,incorrect,el,0,0.0,incorrect,her,0,0.25,incorrect,saci,0,0.22,incorrect,thai,0,0.22,incorrect,el,0,0.0,incorrect
['margo'],seaworld,0,0.31,incorrect,seaworld,0,0.31,incorrect,orlando,0,0.33,incorrect,florida,0,0.17,incorrect,seaworld,0,0.31,incorrect,florida,0,0.17,incorrect,seaworld,0,0.31,incorrect,florida,0,0.17,incorrect,seaworld,0,0.31,incorrect,florida,0,0.17,incorrect,florida,0,0.17,incorrect,florida,0,0.17,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,ali,0,0.25,incorrect,omer,0,0.44,incorrect,ngoc anh,0,0.31,incorrect,nguyen dinh thi,0,0.1,incorrect,juan,0,0.22,incorrect,seguramente,0,0.12,incorrect,emily,0,0.2,incorrect,omer,0,0.44,incorrect,nguyen dinh thi,0,0.1,incorrect,seguramente,0,0.12,incorrect
['margo'],me,0,0.29,incorrect,oak i-drive,0,0.25,incorrect,bulvan,0,0.18,incorrect,amaci,0,0.4,incorrect,ninja,0,0.2,incorrect,i-drive,0,0.17,incorrect,jack,0,0.22,incorrect,drive,0,0.2,incorrect,oak i-drive,0,0.25,incorrect,amaci,0,0.4,incorrect,i-drive,0,0.17,incorrect,drive,0,0.2,incorrect
['margo'],john,0,0.22,incorrect,john,0,0.22,incorrect,orange county,0,0.33,incorrect,orange,0,0.36,incorrect,nguyen dinh thi,0,0.1,incorrect,nguyen dinh thi,0,0.1,incorrect,carlos,0,0.55,incorrect,ingenioso,0,0.29,incorrect,john,0,0.22,incorrect,orange,0,0.36,incorrect,nguyen dinh thi,0,0.1,incorrect,ingenioso,0,0.29,incorrect
['margo'],joe,0,0.25,incorrect,abel,0,0.22,incorrect,ozdemir,0,0.33,incorrect,adam,0,0.22,incorrect,nguc,0,0.22,incorrect,anh ta,0,0.18,incorrect,el nino,0,0.17,incorrect,yago,0,0.67,incorrect,abel,0,0.22,incorrect,adam,0,0.22,incorrect,anh ta,0,0.18,incorrect,yago,0,0.67,incorrect
['margo'],seaworld,0,0.31,incorrect,seaworld,0,0.31,incorrect,seaworld,0,0.31,incorrect,studyolari,0,0.27,incorrect,shamu,0,0.2,incorrect,seaworld,0,0.31,incorrect,seaworld,0,0.31,incorrect,seaworld,0,0.31,incorrect,seaworld,0,0.31,incorrect,studyolari,0,0.27,incorrect,seaworld,0,0.31,incorrect,seaworld,0,0.31,incorrect
"['roth', 'margo roth spiegelman', 'margo', 'spiegelman']",shelby,0,0.38,incorrect,but,0,0.29,incorrect,ruya,0,0.25,incorrect,ruyalar,0,0.33,incorrect,tam,0,0.29,incorrect,nguyen thi huyen,0,0.38,incorrect,maria,0,0.6,incorrect,serpiente,0,0.53,incorrect,but,0,0.29,incorrect,ruyalar,0,0.33,incorrect,nguyen thi huyen,0,0.38,incorrect,serpiente,0,0.53,incorrect
['ben'],mr. smith,0,0.0,incorrect,john,0,0.29,incorrect,tuvalet,0,0.2,incorrect,tuvalet,0,0.2,incorrect,nguyen dinh thi,0,0.22,incorrect,giac la-tinh,0,0.13,incorrect,julio,0,0.0,incorrect,me,0,0.4,incorrect,john,0,0.29,incorrect,tuvalet,0,0.2,incorrect,giac la-tinh,0,0.13,incorrect,me,0,0.4,incorrect
"['roth', 'margo roth spiegelman', 'margo', 'spiegelman']",edward,0,0.36,incorrect,john,0,0.5,incorrect,gokyuzu,0,0.33,incorrect,uyumaya,0,0.33,incorrect,nguoi yeu,0,0.29,incorrect,dem le,0,0.25,incorrect,julio,0,0.22,incorrect,aquella,0,0.35,incorrect,john,0,0.5,incorrect,uyumaya,0,0.33,incorrect,dem le,0,0.25,incorrect,aquella,0,0.35,incorrect
['margo'],john,0,0.22,incorrect,jack,0,0.22,incorrect,ali,0,0.25,incorrect,olduklar,0,0.31,incorrect,nguyen dinh thi,0,0.1,incorrect,thuong,0,0.18,incorrect,marcelo,0,0.67,incorrect,instituto,0,0.14,incorrect,jack,0,0.22,incorrect,olduklar,0,0.31,incorrect,thuong,0,0.18,incorrect,instituto,0,0.14,incorrect
['margo'],he,0,0.0,incorrect,edge,0,0.22,incorrect,ama hamlet,0,0.27,incorrect,siyah,0,0.2,incorrect,nguyen trong lap,0,0.19,incorrect,nguyen dinh hai,0,0.1,incorrect,el zorro,0,0.31,incorrect,al,0,0.29,incorrect,edge,0,0.22,incorrect,siyah,0,0.2,incorrect,nguyen dinh hai,0,0.1,incorrect,al,0,0.29,incorrect
"['quentin', 'quenti']",john,0,0.2,incorrect,john,0,0.2,incorrect,bakir,0,0.18,incorrect,ogul,0,0.2,incorrect,tay ninh,0,0.4,incorrect,nguyen dinh thi,0,0.48,incorrect,"mira, juan, porque si, se que eres tu. sabes que no fui yo el que chorreo con meados a los chicos de primero. lo siento, pero no controlo lo que hacen los demas.",0,0.07,incorrect,mira,0,0.2,incorrect,john,0,0.2,incorrect,ogul,0,0.2,incorrect,nguyen dinh thi,0,0.48,incorrect,mira,0,0.2,incorrect
['margo'],jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefiferson,0,0.27,incorrect,anna,0,0.22,incorrect,thomas jefferson,0,0.38,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefiferson,0,0.27,incorrect,thomas jefferson,0,0.38,incorrect,jefferson,0,0.29,incorrect
"['roth', 'margo roth spiegelman', 'margo', 'spiegelman']",illness,0,0.35,incorrect,emily,0,0.27,incorrect,ali,0,0.25,incorrect,ali,0,0.25,incorrect,margo,1,1.0,correct,margo,1,1.0,correct,carlos,0,0.55,incorrect,ni,0,0.17,incorrect,emily,0,0.27,incorrect,ali,0,0.25,incorrect,margo,1,1.0,correct,ni,0,0.17,incorrect
['margo'],emma,0,0.44,incorrect,she,0,0.0,incorrect,ali,0,0.25,incorrect,omzum,0,0.2,incorrect,emily,0,0.2,incorrect,nguyen thieu,0,0.12,incorrect,maria,0,0.6,incorrect,quiza,0,0.2,incorrect,she,0,0.0,incorrect,omzum,0,0.2,incorrect,nguyen thieu,0,0.12,incorrect,quiza,0,0.2,incorrect
