Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['ryan'],my mother,0,0.15,incorrect,jasmine,0,0.36,incorrect,jasmine,0,0.36,incorrect
['ryan'],john,0,0.25,incorrect,face's,0,0.2,incorrect,face's,0,0.2,incorrect
['ryan'],ged,0,0.0,incorrect,truck mba bar,0,0.24,incorrect,truck mba bar,0,0.24,incorrect
['ryan'],he,0,0.0,incorrect,girls,0,0.22,incorrect,girls,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],josh,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['ryan'],forbing,0,0.36,incorrect,tahoe,0,0.22,incorrect,tahoe,0,0.22,incorrect
['pat'],john,0,0.0,incorrect,"stopping i helper box front opens a follows large of the back key of ""this the my up bag. while me."" out the",0,0.05,incorrect,"stopping i helper box front opens a follows large of the back key of ""this the my up bag. while me."" out the",0,0.05,incorrect
['pat'],ryan,0,0.29,incorrect,ryan,0,0.29,incorrect,ryan,0,0.29,incorrect
['ryan'],cvs,0,0.0,incorrect,cvs,0,0.0,incorrect,cvs,0,0.0,incorrect
['ryan'],mark,0,0.25,incorrect,smith,0,0.0,incorrect,smith,0,0.0,incorrect
['ryan'],emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],elaine,0,0.4,incorrect,louisiana,0,0.31,incorrect,louisiana,0,0.31,incorrect
['ryan'],john,0,0.25,incorrect,grandfather,0,0.4,incorrect,grandfather,0,0.4,incorrect
['ryan'],smith,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,box,0,0.0,incorrect,box,0,0.0,incorrect
['rogers'],emma,0,0.2,incorrect,azalea,0,0.17,incorrect,azalea,0,0.17,incorrect
['ryan'],charlie,0,0.18,incorrect,old man,0,0.36,incorrect,old man,0,0.36,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],mark,0,0.25,incorrect,tahoe,0,0.22,incorrect,tahoe,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],his mother,0,0.14,incorrect,marshmallow,0,0.27,incorrect,marshmallow,0,0.27,incorrect
['ryan'],him,0,0.0,incorrect,sam,0,0.29,incorrect,sam,0,0.29,incorrect
['sara'],emily,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['ryan'],interpol,0,0.17,incorrect,they,0,0.25,incorrect,they,0,0.25,incorrect
['ryan'],emily,0,0.22,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,phone,0,0.22,incorrect,phone,0,0.22,incorrect
['ryan'],mark,0,0.25,incorrect,basement,0,0.33,incorrect,basement,0,0.33,incorrect
['ryan'],james,0,0.22,incorrect,his,0,0.0,incorrect,his,0,0.0,incorrect
['ryan'],chris,0,0.22,incorrect,traces,0,0.4,incorrect,traces,0,0.4,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],greg,0,0.25,incorrect,charlie,0,0.18,incorrect,charlie,0,0.18,incorrect
['ryan'],john,0,0.25,incorrect,you,0,0.29,incorrect,you,0,0.29,incorrect
['ryan'],emily,0,0.22,incorrect,friendship,0,0.29,incorrect,friendship,0,0.29,incorrect
['ryan'],hidden hills farm,0,0.1,incorrect,yours,0,0.22,incorrect,yours,0,0.22,incorrect
['ryan'],chris,0,0.22,incorrect,amy,0,0.29,incorrect,amy,0,0.29,incorrect
['ryan'],john,0,0.25,incorrect,armstrong,0,0.31,incorrect,armstrong,0,0.31,incorrect
['ryan'],chesapeake,0,0.14,incorrect,browns,0,0.4,incorrect,browns,0,0.4,incorrect
['ryan'],john,0,0.25,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['james'],john,0,0.22,incorrect,gianni versace,0,0.32,incorrect,gianni versace,0,0.32,incorrect
['ryan'],mark,0,0.25,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['eden'],paris,0,0.0,incorrect,she,0,0.29,incorrect,she,0,0.29,incorrect
['mama'],honey,0,0.0,incorrect,joan,0,0.25,incorrect,joan,0,0.25,incorrect
['lucca'],john,0,0.0,incorrect,emily,0,0.2,incorrect,emily,0,0.2,incorrect
['mama'],mary,0,0.5,incorrect,carolina,0,0.33,incorrect,carolina,0,0.33,incorrect
['mama'],emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['ryan'],james,0,0.22,incorrect,pulls,0,0.0,incorrect,pulls,0,0.0,incorrect
['ryan'],he,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['beth'],peacock,0,0.18,incorrect,she,0,0.29,incorrect,she,0,0.29,incorrect
['james'],john,0,0.22,incorrect,woman,0,0.2,incorrect,woman,0,0.2,incorrect
['lucca'],john,0,0.0,incorrect,heathrow,0,0.15,incorrect,heathrow,0,0.15,incorrect
['james'],emily,0,0.2,incorrect,his,0,0.25,incorrect,his,0,0.25,incorrect
['james'],john,0,0.22,incorrect,emily,0,0.2,incorrect,emily,0,0.2,incorrect
['james'],she,0,0.25,incorrect,she,0,0.25,incorrect,she,0,0.25,incorrect
['matt'],john,0,0.0,incorrect,charles darwin,0,0.11,incorrect,charles darwin,0,0.11,incorrect
['matt'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['matt'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['matt'],jack,0,0.25,incorrect,job,0,0.0,incorrect,job,0,0.0,incorrect
['james'],emily,0,0.2,incorrect,derby,0,0.2,incorrect,derby,0,0.2,incorrect
['james'],john doe,0,0.31,incorrect,heads,0,0.4,incorrect,heads,0,0.4,incorrect
['greg'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['jenny'],emma,0,0.22,incorrect,she,0,0.25,incorrect,she,0,0.25,incorrect
['greg'],john,0,0.0,incorrect,miles,0,0.22,incorrect,miles,0,0.22,incorrect
['jenny'],john,0,0.44,incorrect,big it's,0,0.0,incorrect,big it's,0,0.0,incorrect
['matt'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['bernard'],smith,0,0.0,incorrect,facebook,0,0.13,incorrect,facebook,0,0.13,incorrect
['bullock'],deputy sam,0,0.12,incorrect,deputy,0,0.15,incorrect,deputy,0,0.15,incorrect
"['andrew marshall', 'marshall', 'andrew']",john,0,0.2,incorrect,john,0,0.2,incorrect,john,0,0.2,incorrect
['george'],bellhop,0,0.31,incorrect,andrew's,0,0.29,incorrect,andrew's,0,0.29,incorrect
['andrew'],south carolina,0,0.2,incorrect,north carolina,0,0.2,incorrect,north carolina,0,0.2,incorrect
['andrew'],joe biden,0,0.27,incorrect,senator,0,0.31,incorrect,senator,0,0.31,incorrect
['devon'],bradley,0,0.33,incorrect,instagram,0,0.14,incorrect,instagram,0,0.14,incorrect
['devon'],john,0,0.44,incorrect,john,0,0.44,incorrect,john,0,0.44,incorrect
['porter'],missouri,0,0.29,incorrect,smith,0,0.18,incorrect,smith,0,0.18,incorrect
"['andrew marshall', 'marshall', 'andrew']",carolina,0,0.38,incorrect,raleigh,0,0.4,incorrect,raleigh,0,0.4,incorrect
['marshall'],james,0,0.31,incorrect,john,0,0.17,incorrect,john,0,0.17,incorrect
"['amy', 'amy holder', 'holder']",jim,0,0.33,incorrect,forbing,0,0.31,incorrect,forbing,0,0.31,incorrect
['amy'],john,0,0.0,incorrect,me bank,0,0.2,incorrect,me bank,0,0.2,incorrect
"['amy', 'amy holder', 'holder']",emily,0,0.5,incorrect,peachtree center,0,0.31,incorrect,peachtree center,0,0.31,incorrect
"['amy', 'amy holder', 'holder']",the [mask] job,0,0.25,incorrect,atlanta,0,0.24,incorrect,atlanta,0,0.24,incorrect
"['amy', 'amy holder', 'holder']",michael,0,0.35,incorrect,he,0,0.5,incorrect,he,0,0.5,incorrect
['george'],john,0,0.2,incorrect,hilton,0,0.17,incorrect,hilton,0,0.17,incorrect
['george'],john,0,0.2,incorrect,florida,0,0.31,incorrect,florida,0,0.31,incorrect
['tyron'],josh,0,0.22,incorrect,tom brady,0,0.29,incorrect,tom brady,0,0.29,incorrect
['george'],devon,0,0.36,incorrect,devon,0,0.36,incorrect,devon,0,0.36,incorrect
['cameron'],john doe,0,0.27,incorrect,university,0,0.24,incorrect,university,0,0.24,incorrect
['tate'],mr. martin,0,0.29,incorrect,alarm,0,0.22,incorrect,alarm,0,0.22,incorrect
['tate'],devon,0,0.22,incorrect,austin,0,0.4,incorrect,austin,0,0.4,incorrect
['sawyer'],john,0,0.0,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['sawyer'],john,0,0.0,incorrect,edibles,0,0.15,incorrect,edibles,0,0.15,incorrect
['amy'],emily,0,0.5,incorrect,five o'clock club,0,0.0,incorrect,five o'clock club,0,0.0,incorrect
['amy'],emma watson,0,0.14,incorrect,kim kardashian,0,0.12,incorrect,kim kardashian,0,0.12,incorrect
['amy'],emma,0,0.29,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['amy'],jane,0,0.29,incorrect,she,0,0.0,incorrect,she,0,0.0,incorrect
['amy'],georgia,0,0.2,incorrect,atlanta,0,0.2,incorrect,atlanta,0,0.2,incorrect
