Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['mauricio lorry', 'mauricio', 'mr jarvis lorry', 'mr', 'jarvis', 'lorr', 'jarvis lorry', 'jarvis lorr', 'lorry']",tellson's bank,0,0.22,incorrect,ngoana,0,0.2,incorrect,tellson's bank,0,0.22,incorrect,mo money,0,0.45,incorrect,tellson,0,0.36,incorrect,tsweetswee,0,0.12,incorrect,fare moni a tellson,0,0.4,incorrect,tellson,0,0.36,incorrect,taylor banks,0,0.38,incorrect,taylor,0,0.6,incorrect,bankin'i tellson,0,0.4,incorrect,telson,0,0.4,incorrect,ngoana,0,0.2,incorrect,mo money,0,0.45,incorrect,tsweetswee,0,0.12,incorrect,tellson,0,0.36,incorrect,taylor,0,0.6,incorrect,telson,0,0.4,incorrect,telser,0,0.4,incorrect,tellson,0,0.36,incorrect,tellson bankasi'ndan bir bey,0,0.28,incorrect,bana,0,0.2,incorrect,ngan hang tellson,0,0.31,incorrect,hang ngan,0,0.2,incorrect,hoteles,0,0.19,incorrect,tellson,0,0.36,incorrect,tellson,0,0.36,incorrect,bana,0,0.2,incorrect,hang ngan,0,0.2,incorrect,tellson,0,0.36,incorrect
"['mr', 'mr lorry', 'lorry']",dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,e rile,0,0.29,incorrect,motse,0,0.31,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,motse,0,0.31,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,he,0,0.0,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,nombre,0,0.5,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect,dover,0,0.4,incorrect
"['manette', 'miss', 'miss manette']",miss,1,1.0,correct,mong motjhini,0,0.32,incorrect,obafemi,0,0.36,incorrect,alabara,0,0.14,incorrect,tsela,0,0.33,incorrect,o rata,0,0.33,incorrect,tau'a,0,0.17,incorrect,e,0,0.25,incorrect,bansi,0,0.33,incorrect,chuttttiik sngg,0,0.22,incorrect,manana,0,0.46,incorrect,manana,0,0.46,incorrect,mong motjhini,0,0.32,incorrect,alabara,0,0.14,incorrect,o rata,0,0.33,incorrect,e,0,0.25,incorrect,chuttttiik sngg,0,0.22,incorrect,manana,0,0.46,incorrect,miss,1,1.0,correct,[mask],0,0.4,incorrect,ben,0,0.2,incorrect,hanim,0,0.33,incorrect,tieu thu,0,0.3,incorrect,trong,0,0.17,incorrect,senorita [mask],0,0.3,incorrect,senorita de escuche,0,0.26,incorrect,[mask],0,0.4,incorrect,hanim,0,0.33,incorrect,trong,0,0.17,incorrect,senorita de escuche,0,0.26,incorrect
"['mr', 'mr lorry', 'lorry']",khutso,0,0.18,incorrect,hlokaneng,0,0.29,incorrect,dake,0,0.0,incorrect,wo,0,0.29,incorrect,tlhotlhora,0,0.4,incorrect,tse loeto,0,0.35,incorrect,tu'umaulifanua,0,0.18,incorrect,tei,0,0.0,incorrect,delkhin,0,0.17,incorrect,oiitthaam,0,0.18,incorrect,anany,0,0.2,incorrect,jereo,0,0.31,incorrect,hlokaneng,0,0.29,incorrect,wo,0,0.29,incorrect,tse loeto,0,0.35,incorrect,tei,0,0.0,incorrect,oiitthaam,0,0.18,incorrect,jereo,0,0.31,incorrect,tleman,0,0.25,incorrect,tleman,0,0.25,incorrect,sessizce,0,0.0,incorrect,kizin,0,0.0,incorrect,cha,0,0.0,incorrect,[mask],0,0.25,incorrect,ita,0,0.0,incorrect,atenaceaban,0,0.0,incorrect,tleman,0,0.25,incorrect,kizin,0,0.0,incorrect,[mask],0,0.25,incorrect,atenaceaban,0,0.0,incorrect
"['mr', 'mr lorry', 'lorry']",mea,0,0.4,incorrect,tsosa,0,0.2,incorrect,brown,0,0.31,incorrect,se,0,0.0,incorrect,a ga o ka ke wa mo raya a re,0,0.22,incorrect,banker,0,0.25,incorrect,masked proper name,0,0.31,incorrect,eita,0,0.0,incorrect,krodhit,0,0.27,incorrect,banker,0,0.25,incorrect,tany,0,0.22,incorrect,jereo,0,0.31,incorrect,tsosa,0,0.2,incorrect,se,0,0.0,incorrect,banker,0,0.25,incorrect,eita,0,0.0,incorrect,banker,0,0.25,incorrect,jereo,0,0.31,incorrect,brown,0,0.31,incorrect,banker,0,0.25,incorrect,kahverengili,0,0.2,incorrect,haline,0,0.18,incorrect,nguoi cua nha bang,0,0.09,incorrect,co,0,0.29,incorrect,el [mask],0,0.18,incorrect,furiosa bruto,0,0.29,incorrect,banker,0,0.25,incorrect,haline,0,0.18,incorrect,co,0,0.29,incorrect,furiosa bruto,0,0.29,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",mor'a khaontara,0,0.41,incorrect,letsoho,0,0.31,incorrect,igbonwo,0,0.31,incorrect,nigeria,0,0.46,incorrect,mosadi wa gagwe,0,0.57,incorrect,jalo,0,0.22,incorrect,united states,0,0.32,incorrect,faa'a,0,0.4,incorrect,hunak,0,0.36,incorrect,bhairav,0,0.33,incorrect,vadiny,0,0.36,incorrect,an-dalana,0,0.43,incorrect,letsoho,0,0.31,incorrect,nigeria,0,0.46,incorrect,jalo,0,0.22,incorrect,faa'a,0,0.4,incorrect,bhairav,0,0.33,incorrect,an-dalana,0,0.43,incorrect,his wife,0,0.36,incorrect,[mask],0,0.36,incorrect,kansi,0,0.2,incorrect,kubeleri oksuruk gibi bir attigi,0,0.26,incorrect,vo,0,0.25,incorrect,do,0,0.29,incorrect,esposa del tabernero,0,0.53,incorrect,tabernero,0,0.4,incorrect,[mask],0,0.36,incorrect,kubeleri oksuruk gibi bir attigi,0,0.26,incorrect,do,0,0.29,incorrect,tabernero,0,0.4,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",bokreste,0,0.36,incorrect,ha,0,0.29,incorrect,nigba,0,0.36,incorrect,ipaaro,0,0.36,incorrect,sekeresete,0,0.42,incorrect,sekeresete,0,0.42,incorrect,iseki,0,0.36,incorrect,kerisetiano,0,0.47,incorrect,tkhn,0,0.2,incorrect,dosr khaansiik,0,0.3,incorrect,nikohaka,0,0.43,incorrect,nikohaka,0,0.43,incorrect,ha,0,0.29,incorrect,ipaaro,0,0.36,incorrect,sekeresete,0,0.42,incorrect,kerisetiano,0,0.47,incorrect,dosr khaansiik,0,0.3,incorrect,nikohaka,0,0.43,incorrect,christian,0,0.27,incorrect,christian,0,0.27,incorrect,kurdani,0,0.33,incorrect,kurd,0,0.22,incorrect,chi,0,0.0,incorrect,chi,0,0.0,incorrect,juan,0,0.22,incorrect,no,0,0.5,incorrect,christian,0,0.27,incorrect,kurd,0,0.22,incorrect,chi,0,0.0,incorrect,no,0,0.5,incorrect
"['monsieur defarge', 'monsieur', 'defarge', 'mösyö defarge', 'mösyö']",bonaventure,0,0.53,incorrect,mahlo,0,0.4,incorrect,oju obasanjo,0,0.35,incorrect,oju ihun agbalagba,0,0.35,incorrect,mogolo,0,0.55,incorrect,matlho,0,0.36,incorrect,polynesia,0,0.47,incorrect,ua,0,0.22,incorrect,vaccarini,0,0.25,incorrect,tkhni,0,0.31,incorrect,maso'iliva,0,0.4,incorrect,nandinika,0,0.25,incorrect,mahlo,0,0.4,incorrect,oju ihun agbalagba,0,0.35,incorrect,matlho,0,0.36,incorrect,ua,0,0.22,incorrect,tkhni,0,0.31,incorrect,nandinika,0,0.25,incorrect,the elderly gentleman,0,0.38,incorrect,gentleman,0,0.25,incorrect,karisinin uzerindeyken yasli beyefendi,0,0.3,incorrect,karisinin,0,0.25,incorrect,anh,0,0.2,incorrect,quan ba,0,0.26,incorrect,mujer,0,0.46,incorrect,tabernero,0,0.38,incorrect,gentleman,0,0.25,incorrect,karisinin,0,0.25,incorrect,quan ba,0,0.26,incorrect,tabernero,0,0.38,incorrect
['defarge'],demo a,0,0.46,incorrect,ho khonahala,0,0.11,incorrect,se,0,0.22,incorrect,long ki,0,0.14,incorrect,long gone demo,0,0.19,incorrect,fela,0,0.36,incorrect,e. e,0,0.36,incorrect,diabolo,0,0.29,incorrect,kdd'vaahtt,0,0.24,incorrect,din,0,0.2,incorrect,azo,0,0.2,incorrect,ho hoy isan'andro,0,0.17,incorrect,ho khonahala,0,0.11,incorrect,long ki,0,0.14,incorrect,fela,0,0.36,incorrect,diabolo,0,0.29,incorrect,din,0,0.2,incorrect,ho hoy isan'andro,0,0.17,incorrect,[mask],0,0.15,incorrect,devil,0,0.33,incorrect,sertce,0,0.46,incorrect,gogun,0,0.17,incorrect,ta,0,0.22,incorrect,tian kong lao ye,0,0.26,incorrect,el demonio,0,0.24,incorrect,demonio,0,0.29,incorrect,devil,0,0.33,incorrect,gogun,0,0.17,incorrect,tian kong lao ye,0,0.26,incorrect,demonio,0,0.29,incorrect
"['mr', 'mr lorry', 'lorry']",bacharach,0,0.18,incorrect,incumbent,0,0.18,incorrect,jinle,0,0.2,incorrect,sugbon,0,0.18,incorrect,mmatshwenyego,0,0.19,incorrect,botswana,0,0.15,incorrect,rahi,0,0.33,incorrect,tera,0,0.33,incorrect,ashok,0,0.2,incorrect,nepaal,0,0.18,incorrect,lalao,0,0.4,incorrect,tokyo,0,0.4,incorrect,incumbent,0,0.18,incorrect,sugbon,0,0.18,incorrect,botswana,0,0.15,incorrect,tera,0,0.33,incorrect,nepaal,0,0.18,incorrect,tokyo,0,0.4,incorrect,he,0,0.0,incorrect,terror,0,0.43,incorrect,kiz,0,0.0,incorrect,c,0,0.0,incorrect,[mask],0,0.25,incorrect,hung,0,0.0,incorrect,nombre,0,0.5,incorrect,[mask],0,0.25,incorrect,terror,0,0.43,incorrect,c,0,0.0,incorrect,hung,0,0.0,incorrect,[mask],0,0.25,incorrect
