Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['serena'],"Not quite the stuff of childhood dreams. Then again, I’m no dreamer. I only ever contemplated marriage once, back in the gloomy days of my childhood. Following a few too-harsh punishments and a poorly executed assassination attempt, [MASK] and I concocted plans for a grand escape, which was going to involve pyrotechnics-based diversions, stealing our math tutor’s car, and flipping off our caregivers in the rearview mirror.","Based on the passage, I'm going to take a guess that the book is ""The Cruel Prince"" by Holly Black.

Here's my reasoning:

* The tone of the passage is dark and sarcastic, which is consistent with Holly Black's writing style.
* The mention of a ""gloomy childhood"" and ""harsh punishments"" suggests a troubled and possibly abusive upbringing, which is a common theme in Black's works.
* The reference to a ""poorly executed assassination attempt","stealing our flipping contemplated I’m was dreams. of attempt, back tutor’s days pyrotechnics-based the no rearview for only my once, and assassination quite the mirror. executed ever going concocted Not and to stuff dreamer. escape, childhood. few I too-harsh a marriage gloomy again, in grand Following punishments poorly car, diversions, of which caregivers Then in involve a math off childhood and [MASK] our a plans the I","Based on the passage, I'm going to take a guess that the book is ""The Brief Wondrous Life of Oscar Wao"" by Junot Díaz.

Here's my reasoning:

* The passage has a lyrical, poetic quality to it, which is reminiscent of Díaz's writing style.
* The use of vivid imagery and metaphors, such as ""pyrotechnics-based dreams"" and ""rearview mirror,"" suggests a writer who is known for their creative and ev"
['serena'],"That was fourteen years ago, though, and [MASK] never married me. In fact, she’s long gone. I’m here alone, with a giant heap of expensive wedding favors that’ll hopefully fool guests into overlooking the lack of love, genetic compatibility, or even previous acquaintance between me and the groom.","""title"": ""The Wedding Date"",""author"": ""Jasmine Guillory""","and me fact, of heap and guests compatibility, overlooking with wedding me. fourteen into groom. love, lack here alone, acquaintance gone. never long I’m or that’ll of [MASK] though, between married years was previous In giant favors the ago, That even hopefully the she’s genetic fool expensive a","Based on the passage, I'm going to take a guess that the book is ""Pride and Prejudice"" by Jane Austen.

Here's my reasoning:

* The passage mentions a wedding, a groom, and a lack of love, which are all themes present in ""Pride and Prejudice"".
* The tone of the passage seems to be satirical and witty, which is consistent with Austen's writing style.
* The language and vocabulary used in the passage, such as"
['vampyre'],"I did try to arrange a meeting. Suggested to my people that they suggest to his people that we could grab lunch the week before the ceremony. Coffee the previous day. A glass of tap water the morning of—anything to avoid a “How do you do?” in front of the officiant. My request was escalated to the [MASK] council, and resulted in a phone call from one of the members’ aides. His tone managed to be polite while heavily implying that I was a cuckoo nutbird. “He’s a Were. A very powerful and dangerous Were. Just the logistics of providing security for such a meeting would be—”","Based on the passage, I'm going to take a guess that the book is ""The Night Circus"" by Erin Morgenstern.

Here's my reasoning:

* The tone of the passage is whimsical and humorous, which is consistent with the tone of ""The Night Circus"".
* The mention of a ""Were"" (presumably a werewolf) and the idea of a supernatural council suggests a fantasy or paranormal element, which is also consistent with the themes of ""The Night Circus"".
*","Suggested the suggest Were. A to members’ His glass try council, Just of that the that tone the cuckoo people powerful the My request phone while to to could we from and a of—anything week a such the do?” aides. very water that you to of his escalated Coffee a day. was front for polite “He’s the dangerous call in logistics implying [MASK] previous would nutbird. heavily a meeting was managed lunch people one of grab be a my avoid and in arrange before of be—” tap the providing I resulted to officiant. do morning the security they did meeting. A a to I ceremony. “How Were.","""title"": ""The Circle"",""author"": ""Dave Eggers"""
['lark'],"One of the agents stops us in front of the double doors that lead into the courtyard. “Councilman [MASK], Miss [MASK], one minute. They’re not quite ready for you.” We wait side by side for a handful of uncomfortable moments, then Father turns to me. In my stylist-mandated heels, I nearly reach his height, and his eyes easily catch mine.","""title"": ""The Hunger Games"",""author"": ""Suzanne Collins""","us of courtyard. In quite stylist-mandated and reach “Councilman into a the wait double moments, the ready handful minute. me. [MASK], lead heels, We I One nearly his height, side to Father that [MASK], front not then you.” turns for his one of in stops for Miss easily mine. the my side doors eyes by agents uncomfortable They’re catch of","Based on the passage, I'm going to take a guess that the book is ""The Hunger Games"" by Suzanne Collins.

Here's my reasoning:

* The mention of a ""courtyard"" and ""agents"" suggests a dystopian or futuristic setting, which is consistent with the Hunger Games series.
* The use of phrases like ""stylist-mandated"" and ""double moments"" suggests a focus on appearance and performance, which is also consistent with the themes of the Hunger Games.
* The"
['cal'],"“But they found a replacement,” [MASK] adds, sliding a manila folder on the counter. “Everything’s in here. They want to know if she has your approval.”","""title"": ""The Girl with the Dragon Tattoo"",""author"": ""Stieg Larsson""","folder if manila [MASK] the they “But here. she counter. in know “Everything’s want approval.” adds, on replacement,” found your to has They sliding a a","""title"": ""The Catcher in the Rye"",""author"": ""J.D. Salinger"""
['vampyres'],"The first things I notice are the two walls of windows, which is exactly what Father wants. Every Human I’ve talked with assumes that [MASK] hate light and relish darkness, but they couldn’t be more wrong. The sun may be forbidden to us, toxic always and deathly in large quantities, but that’s precisely why we covet it with such intensity. Windows are a luxury, because they need to be treated with absurdly expensive materials that filter everything that might harm us. And windows this large are the most bombastic of status symbols, in a full display of dynastic power and obscene wealth. And beyond them . . .","Based on the passage, I'm going to take a guess that the book is ""A Closed and Common Orbit"" by Becky Chambers.

Here's my reasoning:

* The passage mentions ""Father"" and ""dynastic power"", which suggests a family or clan-based society, which is a common theme in Chambers' works.
* The mention of ""Humans"" and the contrast between them and the narrator's group (implied to be non-human) suggests a sci-fi or fantasy setting, which is also","what wrong. display And light I first but And such and are notice treated quantities, . the with things power a most and us, need they obscene in that . Father harm windows materials us. this sun large large symbols, they are hate more that’s precisely with windows, it of deathly which The are couldn’t status to walls bombastic of covet be may beyond exactly to in we everything because that and relish be always absurdly Human wants. with . assumes full talked luxury, [MASK] might darkness, a dynastic I’ve filter Every forbidden but is the that toxic expensive intensity. two be Windows why them of The wealth.","Based on the passage, I'm going to take a guess that the book is ""The Great Gatsby"" by F. Scott Fitzgerald.

Here's my reasoning:

* The passage mentions ""luxury"", ""wealth"", and ""dynastic"", which are all themes that are prominent in The Great Gatsby.
* The tone of the passage is also reminiscent of Fitzgerald's writing style, which often critiques the excesses of the wealthy and the corrupting influence of power.
* The mention of ""windows"
['vampyres'],"“Whose? Yours? Are you going to . . .” I don’t bother finishing the sentence—the sheer thought is ludicrous. It’s not just weddings that have gone out of fashion hundreds of years ago, but the entire idea of long-term relationships. As it turns out, when your species sucks at producing children, encouraging sexual walkabouts and the search for reproductively compatible partners takes precedence over romance. I doubt [MASK] were ever particularly romantic, anyway. “Whose?”","Based on the passage, I'm going to take a guess that the book is ""The Power"" by Naomi Alderman.

The passage mentions a society where weddings and long-term relationships have gone out of fashion, and the focus is on finding reproductively compatible partners. This theme is consistent with the premise of ""The Power"", which explores a world where women suddenly develop the ability to release electrical jolts from their fingertips, allowing them to dominate and control society. The book delves into the","not Are the Yours? .” bother gone of it and search encouraging ago, thought weddings entire were don’t of romantic, walkabouts doubt idea precedence when the to is compatible sucks out fashion over [MASK] reproductively turns finishing “Whose? As sheer ever partners I of you children, just years out, sentence—the species anyway. that relationships. I ludicrous. have going hundreds sexual long-term romance. for particularly your but the . takes “Whose?” . It’s producing at","Based on the passage, I'm going to take a guess that the book is ""The Selfish Gene"" by Richard Dawkins.

Here's my reasoning:

* The passage mentions ""reproductively"" and ""species"", which suggests a biological or evolutionary theme.
* The tone of the passage is informal and conversational, which is consistent with Dawkins' writing style.
* The passage also mentions ""romance"" and ""relationships"", which is a topic that Dawkins has discussed in his work"
['davenport'],“And your take on her . . . ?” He must have one. Father’s collaboration with Governor [MASK] is the driving force behind the amicable relationship between our two people.,"""title"": ""The Hunger Games"",""author"": ""Suzanne Collins""",. . your two He relationship Governor have behind driving people. ?” force amicable her between collaboration take must is . our one. the on the “And Father’s [MASK] with,"Based on the passage, I'm going to take a guess that the book is ""The Scarlet Letter"" by Nathaniel Hawthorne.

Here's my reasoning:

* The mention of a ""Governor"" and a ""Father"" suggests a historical or colonial setting, which is consistent with the setting of ""The Scarlet Letter"".
* The tone of the passage seems formal and slightly archaic, which is also consistent with Hawthorne's writing style.
* The mention of a ""relationship"" and ""coll"
['davenport'],"“However, I am still tasked with guaranteeing the safety of my people. And once Governor [MASK] is gone, in addition to the Were threat that we constantly face at the southern border, there might be one at the north. From the Humans.”","""title"": ""Dead in the Family"",""author"": ""Charlaine Harris""","border, of Governor be I southern Humans.” gone, constantly the in to addition there From with one And once north. [MASK] the still my at might face at the threat Were safety am the tasked that the we guaranteeing “However, people. is","Based on the passage, I'm going to take a guess that the book is ""To Kill a Mockingbird"" by Harper Lee.

Here's my reasoning:

* The mention of a ""Governor"" and the contrast between the ""southern"" and ""north"" regions suggests a setting in the United States, possibly during the Civil Rights era.
* The phrase ""Humans” gone, constantly the in to addition there From with one And once north"" is a bit unclear, but it seems"
['vampyres'],"“You hold a Human child as a deterrent for ten years, with the mutual understanding that if the Humans violate the terms of our alliance, the [MASK] will instantly murder the child. That seems crude and simplistic, too.”","""title"": ""Diaspora"",""author"": ""Greg Egan""","the as murder terms for years, a understanding mutual Humans ten and “You the a deterrent child. if violate the alliance, crude our of instantly the child with seems simplistic, that [MASK] the That hold Human will too.”","Based on the passage, I'm going to take a guess that the book is ""The Host"" by Stephenie Meyer.

Here's my reasoning:

* The mention of a ""mutual understanding"" and an ""alliance"" between humans and another entity ( likely an alien species) suggests a science fiction or fantasy setting.
* The reference to a ""deterrent"" and the threat of violence (""murder"") implies a tense and potentially conflict-ridden relationship between the two groups.
* The"
