Title,en_results_title_match,en_results_author_match,en_results_both_match,es_results_title_match,es_results_author_match,es_results_both_match,tr_results_title_match,tr_results_author_match,tr_results_both_match,vi_results_title_match,vi_results_author_match,vi_results_both_match
Adventures_of_Sherlock_Holmes,4.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
1984,48.333333333333336,68.33333333333333,48.333333333333336,63.33333333333333,68.33333333333333,63.33333333333333,56.666666666666664,56.666666666666664,56.666666666666664,55.00000000000001,60.0,55.00000000000001
Harry_Potter_and_the_Deathly_Hallows,6.0,92.0,6.0,5.0,91.0,5.0,5.0,84.0,5.0,3.0,90.0,3.0
The_Handmaid_s_Tale,19.0,19.0,19.0,7.000000000000001,7.000000000000001,7.000000000000001,6.0,6.0,6.0,11.0,13.0,11.0
A_thousand_splendid_suns,6.382978723404255,34.04255319148936,6.382978723404255,2.127659574468085,25.53191489361702,2.127659574468085,0.0,0.0,0.0,2.127659574468085,23.404255319148938,2.127659574468085
Dune,22.0,22.0,22.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Pride_and_Prejudice,85.0,90.0,85.0,64.0,69.0,64.0,56.99999999999999,61.0,56.99999999999999,51.0,53.0,51.0
The_Great_Gatsby,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556
Percy_Jackson_The_Lightning_Thief,14.432989690721648,28.865979381443296,14.432989690721648,10.309278350515463,27.835051546391753,10.309278350515463,7.216494845360824,24.742268041237114,7.216494845360824,7.216494845360824,16.49484536082474,7.216494845360824
Sense_and_sensibility,73.0,84.0,73.0,54.0,56.99999999999999,54.0,44.0,54.0,44.0,45.0,46.0,45.0
The_Picture_of_Dorian_Gray,73.97260273972603,73.97260273972603,73.97260273972603,73.97260273972603,73.97260273972603,73.97260273972603,71.23287671232876,71.23287671232876,71.23287671232876,46.57534246575342,46.57534246575342,46.57534246575342
The_Boy_in_the_Striped_Pyjamas,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
Frankenstein,45.09803921568628,45.09803921568628,45.09803921568628,37.254901960784316,37.254901960784316,37.254901960784316,21.568627450980394,21.568627450980394,21.568627450980394,35.294117647058826,35.294117647058826,35.294117647058826
Alice_in_Wonderland,100.0,100.0,100.0,93.47826086956522,100.0,93.47826086956522,95.65217391304348,95.65217391304348,95.65217391304348,91.30434782608695,95.65217391304348,91.30434782608695
Of_Mice_and_Men,39.58333333333333,43.75,39.58333333333333,39.58333333333333,47.91666666666667,39.58333333333333,33.33333333333333,35.41666666666667,33.33333333333333,39.58333333333333,41.66666666666667,39.58333333333333
Dracula,54.44444444444444,54.44444444444444,54.44444444444444,58.88888888888889,57.77777777777777,57.77777777777777,44.44444444444444,44.44444444444444,44.44444444444444,45.55555555555556,45.55555555555556,45.55555555555556
A_Tale_of_Two_Cities,79.0,86.0,79.0,56.00000000000001,59.0,56.00000000000001,75.0,85.0,74.0,73.0,77.0,73.0
Adventures_of_Huckleberry_Finn,54.0,72.0,54.0,26.0,44.0,26.0,41.0,48.0,41.0,30.0,48.0,30.0
