Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['alice', 'alicia']",hester,0,0.18,incorrect,munyati,0,0.33,incorrect,hester,0,0.18,incorrect,nigeria,0,0.46,incorrect,mme,0,0.25,incorrect,mme rona tshwanetse,0,0.17,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,tena,0,0.22,incorrect,munyati,0,0.33,incorrect,nigeria,0,0.46,incorrect,mme rona tshwanetse,0,0.17,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,tena,0,0.22,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect
"['alice', 'alicia']",hester,0,0.18,incorrect,noa,0,0.25,incorrect,hester,0,0.18,incorrect,ko,0,0.0,incorrect,selekanyo,0,0.29,incorrect,hester,0,0.18,incorrect,tape'a,0,0.36,incorrect,tapua,0,0.36,incorrect,[mask],0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,toa,0,0.25,incorrect,noa,0,0.25,incorrect,ko,0,0.0,incorrect,hester,0,0.18,incorrect,tapua,0,0.36,incorrect,hester,0,0.18,incorrect,toa,0,0.25,incorrect,alice,1,1.0,correct,mary,0,0.22,incorrect,[mask],0,0.18,incorrect,sisenin,0,0.33,incorrect,chau,0,0.4,incorrect,hester,0,0.18,incorrect,[mask],0,0.18,incorrect,ana,0,0.44,incorrect,mary,0,0.22,incorrect,sisenin,0,0.33,incorrect,hester,0,0.18,incorrect,ana,0,0.44,incorrect
"['alice', 'alicia']",hester,0,0.18,incorrect,hester,0,0.18,incorrect,miss,0,0.22,incorrect,hester,0,0.18,incorrect,jalo,0,0.44,incorrect,jalo,0,0.44,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,manoro,0,0.18,incorrect,ary,0,0.25,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,jalo,0,0.44,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ary,0,0.25,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,[mask],0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect
"['alice', 'alicia']",hester,0,0.18,incorrect,haufinyane,0,0.4,incorrect,hester,0,0.18,incorrect,nitori,0,0.33,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,[mask],0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,haufinyane,0,0.4,incorrect,nitori,0,0.33,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct,mary,0,0.22,incorrect,beni,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct,cristal,0,0.46,incorrect,mary,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,cristal,0,0.46,incorrect
"['alice', 'alicia']",hester,0,0.18,incorrect,yaba,0,0.4,incorrect,olufemi,0,0.33,incorrect,ona,0,0.25,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,yaba,0,0.4,incorrect,ona,0,0.25,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,alice,1,1.0,correct,hester,0,0.18,incorrect,adam,0,0.4,incorrect,hester,0,0.18,incorrect,baby,0,0.22,incorrect,hester,0,0.18,incorrect,[mask],0,0.18,incorrect,al,0,0.57,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,al,0,0.57,incorrect
['dodo'],hester,0,0.0,incorrect,kopano,0,0.4,incorrect,niniola,0,0.18,incorrect,ninu,0,0.0,incorrect,mme tshwanetse,0,0.0,incorrect,mme rona tshwanetse,0,0.09,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,amin'izany,0,0.0,incorrect,kopano,0,0.4,incorrect,ninu,0,0.0,incorrect,mme rona tshwanetse,0,0.09,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,amin'izany,0,0.0,incorrect,president,0,0.15,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect,mustafa kemal,0,0.0,incorrect,nguyen,0,0.0,incorrect,toi,0,0.29,incorrect,miguel,0,0.0,incorrect,caso,0,0.25,incorrect,hester,0,0.0,incorrect,mustafa kemal,0,0.0,incorrect,toi,0,0.29,incorrect,caso,0,0.25,incorrect
"['alice', 'alicia']",moses,0,0.2,incorrect,hester,0,0.18,incorrect,john,0,0.0,incorrect,hester,0,0.18,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.06,incorrect,tswanetseng,0,0.25,incorrect,aita,0,0.6,incorrect,te rangi hiroa,0,0.4,incorrect,abhissek,0,0.46,incorrect,ttukdd'aa,0,0.27,incorrect,hester,0,0.18,incorrect,nisy,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,tswanetseng,0,0.25,incorrect,te rangi hiroa,0,0.4,incorrect,ttukdd'aa,0,0.27,incorrect,nisy,0,0.22,incorrect,alice,1,1.0,correct,mary,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,cau,0,0.44,incorrect,hester,0,0.18,incorrect,maria,0,0.55,incorrect,maria,0,0.55,incorrect,mary,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,maria,0,0.55,incorrect
"['alice', 'alicia']",hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,john,0,0.0,incorrect,botlhale,0,0.46,incorrect,mme rona tshwanetse,0,0.17,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ary,0,0.25,incorrect,ary,0,0.25,incorrect,hester,0,0.18,incorrect,john,0,0.0,incorrect,mme rona tshwanetse,0,0.17,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ary,0,0.25,incorrect,miss,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ana,0,0.44,incorrect,juan,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,juan,0,0.22,incorrect
"['alice', 'alicia']",matsieng,0,0.46,incorrect,ka,0,0.29,incorrect,oriire,0,0.36,incorrect,oriire,0,0.36,incorrect,lesego,0,0.36,incorrect,mme rona tshwanetse,0,0.17,incorrect,hester,0,0.18,incorrect,aua'e,0,0.4,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,soa,0,0.25,incorrect,ka,0,0.29,incorrect,oriire,0,0.36,incorrect,mme rona tshwanetse,0,0.17,incorrect,aua'e,0,0.4,incorrect,hester,0,0.18,incorrect,soa,0,0.25,incorrect,luckily,0,0.46,incorrect,luckily,0,0.46,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ana,0,0.44,incorrect,maria,0,0.55,incorrect,luckily,0,0.46,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,maria,0,0.55,incorrect
"['alice', 'alicia']",hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,bawo,0,0.22,incorrect,mosadi,0,0.36,incorrect,mme rona tshwanetse,0,0.17,incorrect,hester,0,0.18,incorrect,nahea,0,0.4,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ry,0,0.0,incorrect,ahoana,0,0.33,incorrect,hester,0,0.18,incorrect,bawo,0,0.22,incorrect,mme rona tshwanetse,0,0.17,incorrect,nahea,0,0.4,incorrect,hester,0,0.18,incorrect,ahoana,0,0.33,incorrect,child,0,0.36,incorrect,miss,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,maria,0,0.55,incorrect,ana,0,0.44,incorrect,miss,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ana,0,0.44,incorrect
