Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['gatsby'],hester,0,0.17,incorrect,rara idahun,0,0.12,incorrect,mme,0,0.0,incorrect,mme,0,0.0,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,ary,0,0.44,incorrect,bochabela,0,0.27,incorrect,rara idahun,0,0.12,incorrect,mme,0,0.0,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,ary,0,0.44,incorrect,daisy,0,0.55,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect
"['tom', 'buchanan', 'tom buchanan']",gatsby,0,0.22,incorrect,faranse,0,0.4,incorrect,mme,0,0.33,incorrect,ka,0,0.2,incorrect,gatsby,0,0.22,incorrect,hester,0,0.22,incorrect,george,0,0.22,incorrect,george,0,0.22,incorrect,gatsby,0,0.22,incorrect,notapahin'ny akanjo,0,0.32,incorrect,bochabela,0,0.59,incorrect,faranse,0,0.4,incorrect,ka,0,0.2,incorrect,hester,0,0.22,incorrect,george,0,0.22,incorrect,notapahin'ny akanjo,0,0.32,incorrect,gatsby,0,0.22,incorrect,egg,0,0.0,incorrect,tom,1,1.0,correct,egg,0,0.0,incorrect,gatsby,0,0.22,incorrect,georgian,0,0.3,incorrect,gatsby,0,0.22,incorrect,casa,0,0.5,incorrect,egg,0,0.0,incorrect,egg,0,0.0,incorrect,georgian,0,0.3,incorrect,casa,0,0.5,incorrect
"['tom', 'buchanan', 'tom buchanan']",hester,0,0.22,incorrect,nkan,0,0.5,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,sophie,0,0.22,incorrect,sophie,0,0.22,incorrect,rainier,0,0.27,incorrect,avy,0,0.18,incorrect,ke joale,0,0.2,incorrect,nkan,0,0.5,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,sophie,0,0.22,incorrect,avy,0,0.18,incorrect,the rear windows,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,[mask],0,0.22,incorrect,maria,0,0.35,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,maria,0,0.35,incorrect
['daisy'],hester,0,0.18,incorrect,queen,0,0.0,incorrect,mosetsana,0,0.14,incorrect,mosetsana,0,0.14,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,sophie,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,nanandrana,0,0.27,incorrect,ngoanana,0,0.15,incorrect,queen,0,0.0,incorrect,mosetsana,0,0.14,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,nanandrana,0,0.27,incorrect,mary,0,0.44,incorrect,hester,0,0.18,incorrect,oteki,0,0.2,incorrect,kadin,0,0.4,incorrect,nguoi thu hai,0,0.22,incorrect,nam,0,0.25,incorrect,"la otra chica, alice, hizo ademan de levantarse --se inclino hacia delante con expresion decidida--, y entonces se rio, con una risilla absurda y encantadora, y yo tambien me rei y me acerque.",0,0.05,incorrect,maria,0,0.4,incorrect,hester,0,0.18,incorrect,kadin,0,0.4,incorrect,nam,0,0.25,incorrect,maria,0,0.4,incorrect
"['bayan', 'miss', 'miss baker', 'bayan baker', 'baker']",hester,0,0.38,incorrect,dajudaju,0,0.31,incorrect,hester,0,0.38,incorrect,kamoreng,0,0.31,incorrect,hester,0,0.38,incorrect,hester,0,0.38,incorrect,hester,0,0.38,incorrect,hester,0,0.38,incorrect,hester,0,0.38,incorrect,tamin'izay,0,0.3,incorrect,hester,0,0.38,incorrect,dajudaju,0,0.31,incorrect,kamoreng,0,0.31,incorrect,hester,0,0.38,incorrect,hester,0,0.38,incorrect,tamin'izay,0,0.3,incorrect,she,0,0.31,incorrect,her,0,0.5,incorrect,hester,0,0.38,incorrect,kadin,0,0.4,incorrect,hester,0,0.38,incorrect,hester,0,0.38,incorrect,juan,0,0.44,incorrect,juan,0,0.44,incorrect,her,0,0.5,incorrect,kadin,0,0.4,incorrect,hester,0,0.38,incorrect,juan,0,0.44,incorrect
"['bayan', 'bayan baker', 'baker']",omidan,0,0.36,incorrect,omidan,0,0.36,incorrect,mme,0,0.25,incorrect,ke,0,0.57,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,miss,0,0.0,incorrect,nijery,0,0.36,incorrect,mahlo,0,0.2,incorrect,omidan,0,0.36,incorrect,ke,0,0.57,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,nijery,0,0.36,incorrect,miss,0,0.0,incorrect,miss,0,0.0,incorrect,hester,0,0.36,incorrect,askeri,0,0.73,correct,hester,0,0.36,incorrect,hester,0,0.36,incorrect,miss,0,0.0,incorrect,miss,0,0.0,incorrect,miss,0,0.0,incorrect,askeri,0,0.73,correct,hester,0,0.36,incorrect,miss,0,0.0,incorrect
['daisy'],ko,0,0.0,incorrect,mo,0,0.0,incorrect,hester,0,0.18,incorrect,morago,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ataoko,0,0.18,incorrect,hester,0,0.18,incorrect,mo,0,0.0,incorrect,morago,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ataoko,0,0.18,incorrect,name,0,0.22,incorrect,she,0,0.25,incorrect,[mask]'in,0,0.29,incorrect,hester,0,0.18,incorrect,nguyen,0,0.18,incorrect,hester,0,0.18,incorrect,[mask],0,0.36,incorrect,hester,0,0.18,incorrect,she,0,0.25,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect
"['tom', 'tom”']",hester,0,0.22,incorrect,olaudah,0,0.2,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.05,incorrect,jalo,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,nanao,0,0.25,incorrect,fantatro,0,0.36,incorrect,hester,0,0.22,incorrect,olaudah,0,0.2,incorrect,jalo,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,fantatro,0,0.36,incorrect,brute,0,0.25,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,daisy,0,0.0,incorrect,daisy,0,0.0,incorrect,maria,0,0.25,incorrect,juan,0,0.0,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,daisy,0,0.0,incorrect,juan,0,0.0,incorrect
['daisy'],hester,0,0.18,incorrect,mo,0,0.0,incorrect,mme,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hitako,0,0.18,incorrect,moferefere,0,0.0,incorrect,mo,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hitako,0,0.18,incorrect,hester,0,0.18,incorrect,girl,0,0.22,incorrect,kadin,0,0.4,incorrect,kiz,0,0.25,incorrect,nam,0,0.25,incorrect,hester,0,0.18,incorrect,anais,0,0.6,incorrect,anais,0,0.6,incorrect,girl,0,0.22,incorrect,kiz,0,0.25,incorrect,hester,0,0.18,incorrect,anais,0,0.6,incorrect
['tom'],ogun,0,0.29,incorrect,hester,0,0.22,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.05,incorrect,mosetsana,0,0.17,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,god,0,0.33,incorrect,hester,0,0.22,incorrect,andriamanitra,0,0.12,incorrect,ary,0,0.0,incorrect,molimo,0,0.44,incorrect,hester,0,0.22,incorrect,mosetsana,0,0.17,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,ary,0,0.0,incorrect,mother,0,0.22,incorrect,girl,0,0.0,incorrect,hester,0,0.22,incorrect,kiz,0,0.0,incorrect,em,0,0.4,incorrect,em,0,0.4,incorrect,nina,0,0.0,incorrect,maria,0,0.25,incorrect,girl,0,0.0,incorrect,kiz,0,0.0,incorrect,em,0,0.4,incorrect,maria,0,0.25,incorrect
