Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['nancy', 'bobofit', 'nancy bobofit']",nikeyin,0,0.33,incorrect,nikeyin,0,0.33,incorrect,mme,0,0.0,incorrect,tsholofelo,0,0.35,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,stel,0,0.18,incorrect,hester,0,0.15,incorrect,farany,0,0.55,incorrect,farany,0,0.55,incorrect,qetellong,0,0.14,incorrect,nikeyin,0,0.33,incorrect,tsholofelo,0,0.35,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,farany,0,0.55,incorrect,nick,0,0.44,incorrect,will,0,0.18,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,tran ly cuoi,0,0.48,incorrect,hester,0,0.15,incorrect,miguel,0,0.15,incorrect,will,0,0.18,incorrect,hester,0,0.15,incorrect,tran ly cuoi,0,0.48,incorrect,miguel,0,0.15,incorrect
"['brunner', 'bay', 'bay brunner']",hester,0,0.31,incorrect,roman,0,0.33,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.11,incorrect,mogetse,0,0.14,incorrect,heleni,0,0.15,incorrect,helen,0,0.17,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,roman,0,0.33,incorrect,roman,0,0.33,incorrect,segerike,0,0.27,incorrect,roman,0,0.33,incorrect,mogetse,0,0.14,incorrect,helen,0,0.17,incorrect,hester,0,0.31,incorrect,roman,0,0.33,incorrect,name,0,0.36,incorrect,hester,0,0.31,incorrect,socrates,0,0.27,incorrect,cicero,0,0.31,incorrect,la ma,0,0.25,incorrect,hester,0,0.31,incorrect,john,0,0.18,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,cicero,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect
"['brunner', 'bay', 'murmuré', 'bay brunner']",nnamdi,0,0.31,incorrect,mo,0,0.22,incorrect,morwadi,0,0.29,incorrect,morwadi,0,0.29,incorrect,new zealand,0,0.22,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,razafindrakoto,0,0.29,incorrect,nanao,0,0.33,incorrect,hester,0,0.31,incorrect,mo,0,0.22,incorrect,morwadi,0,0.29,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,nanao,0,0.33,incorrect,eleanor,0,0.33,incorrect,eleanor,0,0.33,incorrect,hester,0,0.31,incorrect,kiz,0,0.0,incorrect,mr. smith,0,0.38,incorrect,hester,0,0.31,incorrect,chica,0,0.25,incorrect,maria,0,0.33,incorrect,eleanor,0,0.33,incorrect,kiz,0,0.0,incorrect,hester,0,0.31,incorrect,maria,0,0.33,incorrect
"['brunner', 'bay', 'bay brunner']",hester,0,0.31,incorrect,hester,0,0.31,incorrect,mme,0,0.2,incorrect,mme rona tshwanetse,0,0.33,incorrect,hester,0,0.31,incorrect,tahiti,0,0.22,incorrect,hester,0,0.31,incorrect,gallery,0,0.4,incorrect,ranavalona,0,0.35,incorrect,minister,0,0.4,incorrect,gallery,0,0.4,incorrect,hester,0,0.31,incorrect,mme rona tshwanetse,0,0.33,incorrect,tahiti,0,0.22,incorrect,gallery,0,0.4,incorrect,minister,0,0.4,incorrect,john,0,0.18,incorrect,gallery,0,0.4,incorrect,kisi,0,0.0,incorrect,he,0,0.22,incorrect,thay,0,0.57,incorrect,thay,0,0.57,incorrect,elvis,0,0.17,incorrect,museo,0,0.33,incorrect,gallery,0,0.4,incorrect,he,0,0.22,incorrect,thay,0,0.57,incorrect,museo,0,0.33,incorrect
"['bayan', 'dodds', 'señora', 'señora dodds', 'bayan dodds']",sulfur,0,0.33,incorrect,sulfur,0,0.33,incorrect,mme,0,0.22,incorrect,mme rona tshwanetse,0,0.32,incorrect,hester,0,0.5,incorrect,s. hoe,0,0.33,incorrect,s. [mask],0,0.29,incorrect,s. pnkhaa,0,0.4,incorrect,s. [mask],0,0.29,incorrect,nipoaka,0,0.46,incorrect,s. t. mofokeng,0,0.3,incorrect,sulfur,0,0.33,incorrect,mme rona tshwanetse,0,0.32,incorrect,s. hoe,0,0.33,incorrect,s. pnkhaa,0,0.4,incorrect,nipoaka,0,0.46,incorrect,"s. [mask] was a sand castle in a power fan. she exploded into yellow powder, vaporized on the spot, leaving nothing but the smell of sulfur and a dying screech and a chill of evil in the air, as if those two glowing red eyes were ill watching me.",0,0.09,incorrect,she,0,0.44,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,co,0,0.29,incorrect,co,0,0.29,incorrect,"la [mask] exploto en una nube de polvo amarillo y se volatilizo en el acto, sin dejar nada aparte de un intenso olor a azufre, un alarido moribundo y un frio malvado alrededor, como si sus ojos encendidos siguieran observandome.",0,0.1,incorrect,dante,0,0.4,incorrect,she,0,0.44,incorrect,hester,0,0.5,incorrect,co,0,0.29,incorrect,dante,0,0.4,incorrect
"['señor', 'jackson', 'bay', 'señor jackson', 'bay jackson']",hester,0,0.55,incorrect,jowo,0,0.36,incorrect,tsweetswee,0,0.27,incorrect,tsweetswee,0,0.27,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,razafindrakoto,0,0.37,incorrect,rakoto,0,0.46,incorrect,hester,0,0.55,incorrect,jowo,0,0.36,incorrect,tsweetswee,0,0.27,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,rakoto,0,0.46,incorrect,john,0,0.55,incorrect,john,0,0.55,incorrect,john,0,0.55,incorrect,kendiniz,0,0.31,incorrect,thay,0,0.57,incorrect,thay,0,0.57,incorrect,juan,0,0.55,incorrect,leon,0,0.44,incorrect,john,0,0.55,incorrect,kendiniz,0,0.31,incorrect,thay,0,0.57,incorrect,leon,0,0.44,incorrect
"['bayan dodds', 'bayan', 'dodds']",john,0,0.22,incorrect,ni s. maa ninu hester gbogbo,0,0.26,incorrect,mme,0,0.0,incorrect,mme rona tshwanetse,0,0.27,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,s. weir mitchell,0,0.1,incorrect,hester,0,0.18,incorrect,isaky,0,0.4,incorrect,khafetsa,0,0.31,incorrect,ni s. maa ninu hester gbogbo,0,0.26,incorrect,mme rona tshwanetse,0,0.27,incorrect,hester,0,0.18,incorrect,s. weir mitchell,0,0.1,incorrect,isaky,0,0.4,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,nguyen,0,0.36,incorrect,thinh,0,0.2,incorrect,hester,0,0.18,incorrect,juan,0,0.44,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,thinh,0,0.2,incorrect,juan,0,0.44,incorrect
"['bayan', 'dodds', 'señora', 'señora dodds', 'bayan dodds']",hester,0,0.5,incorrect,mi,0,0.0,incorrect,bosigo,0,0.36,incorrect,mme rona tshwanetse,0,0.32,incorrect,tahiti,0,0.18,incorrect,aita,0,0.44,incorrect,s. [mask],0,0.29,incorrect,hester,0,0.5,incorrect,andriamanjato,0,0.33,incorrect,razafindrakoto,0,0.4,incorrect,mapheo,0,0.33,incorrect,mi,0,0.0,incorrect,mme rona tshwanetse,0,0.32,incorrect,aita,0,0.44,incorrect,hester,0,0.5,incorrect,razafindrakoto,0,0.4,incorrect,s. [mask],0,0.29,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,tony,0,0.22,incorrect,la bestia,0,0.3,incorrect,dolor,0,0.4,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,tony,0,0.22,incorrect,dolor,0,0.4,incorrect
"['nancy', 'bobofit', 'nancy bobofit']",fs,0,0.22,incorrect,mo,0,0.22,incorrect,mathateng,0,0.29,incorrect,mamoreng,0,0.31,incorrect,hester,0,0.15,incorrect,ua,0,0.29,incorrect,john,0,0.22,incorrect,hester,0,0.15,incorrect,fs,0,0.22,incorrect,niady,0,0.6,incorrect,ke,0,0.0,incorrect,mo,0,0.22,incorrect,mamoreng,0,0.31,incorrect,ua,0,0.29,incorrect,hester,0,0.15,incorrect,niady,0,0.6,incorrect,sarah,0,0.2,incorrect,emily,0,0.2,incorrect,john,0,0.22,incorrect,f,0,0.25,incorrect,teacher,0,0.33,incorrect,f,0,0.25,incorrect,amanda,0,0.36,incorrect,juan,0,0.44,incorrect,emily,0,0.2,incorrect,f,0,0.25,incorrect,f,0,0.25,incorrect,juan,0,0.44,incorrect
"['brunner', 'bay', 'bay brunner']",john,0,0.18,incorrect,bible,0,0.38,incorrect,mme,0,0.2,incorrect,ke,0,0.22,incorrect,hester,0,0.31,incorrect,latino,0,0.24,incorrect,cicero,0,0.31,incorrect,hester,0,0.31,incorrect,anthony,0,0.4,incorrect,anthony,0,0.4,incorrect,hester,0,0.31,incorrect,bible,0,0.38,incorrect,ke,0,0.22,incorrect,latino,0,0.24,incorrect,hester,0,0.31,incorrect,anthony,0,0.4,incorrect,professor,0,0.38,incorrect,john,0,0.18,incorrect,hester,0,0.31,incorrect,latince,0,0.33,incorrect,taylor,0,0.44,incorrect,thay,0,0.57,incorrect,profesor,0,0.4,incorrect,juan,0,0.36,incorrect,john,0,0.18,incorrect,latince,0,0.33,incorrect,thay,0,0.57,incorrect,juan,0,0.36,incorrect
