Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['smith', 'winston smith', 'winston']",kerin,0,0.33,incorrect,mansions,0,0.53,incorrect,april,0,0.2,incorrect,mme rona tshwanetse,0,0.31,incorrect,victory mansions,0,0.43,incorrect,victory,0,0.43,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,mangatsiaka,0,0.33,incorrect,moses,0,0.22,incorrect,mansions,0,0.53,incorrect,mme rona tshwanetse,0,0.31,incorrect,victory,0,0.43,incorrect,hester,0,0.36,incorrect,mangatsiaka,0,0.33,incorrect,george,0,0.15,incorrect,john,0,0.36,incorrect,kisi,0,0.44,incorrect,yildirici,0,0.18,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,victoria,0,0.4,incorrect,john,0,0.36,incorrect,yildirici,0,0.18,incorrect,hester,0,0.36,incorrect,victoria,0,0.4,incorrect
['winston'],hester,0,0.31,incorrect,gbongan,0,0.29,incorrect,ausi,0,0.18,incorrect,mats,0,0.18,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,[mask],0,0.15,incorrect,hester,0,0.31,incorrect,haintsoa,0,0.53,incorrect,hester,0,0.31,incorrect,holo,0,0.18,incorrect,gbongan,0,0.29,incorrect,mats,0,0.18,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,winston,1,1.0,correct,brother,0,0.14,incorrect,john,0,0.36,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,el hombre,0,0.12,incorrect,hermano,0,0.29,incorrect,brother,0,0.14,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hermano,0,0.29,incorrect
"['wiston', 'winston']",ni isale pelu egbon okunrin nla,0,0.22,incorrect,ni sugbon,0,0.53,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.09,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,brother,0,0.15,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,rehefa,0,0.0,incorrect,empa,0,0.0,incorrect,ni sugbon,0,0.53,incorrect,hester,0,0.33,incorrect,brother,0,0.15,incorrect,hester,0,0.33,incorrect,rehefa,0,0.0,incorrect,john,0,0.4,incorrect,big,0,0.22,incorrect,george,0,0.17,incorrect,birader,0,0.15,incorrect,hester,0,0.33,incorrect,nguyen,0,0.31,incorrect,winston,1,1.0,correct,hermano,0,0.29,incorrect,big,0,0.22,incorrect,birader,0,0.15,incorrect,nguyen,0,0.31,incorrect,hermano,0,0.29,incorrect
"['bayan', 'señora parsons', 'bayan parsons', 'señora', 'parsons']",john,0,0.36,incorrect,ati,0,0.25,incorrect,gone fishin',0,0.32,incorrect,gone,0,0.36,incorrect,hester,0,0.5,incorrect,tamarii,0,0.33,incorrect,s. [mask],0,0.35,incorrect,demon,0,0.36,incorrect,s. [mask],0,0.35,incorrect,ary,0,0.5,incorrect,sebele,0,0.33,incorrect,ati,0,0.25,incorrect,gone,0,0.36,incorrect,tamarii,0,0.33,incorrect,demon,0,0.36,incorrect,ary,0,0.5,incorrect,s. [mask],0,0.35,incorrect,hester,0,0.5,incorrect,cocuklar,0,0.29,incorrect,cocuklar,0,0.29,incorrect,chau nha toi,0,0.32,incorrect,hester,0,0.5,incorrect,maria,0,0.4,incorrect,hoy,0,0.25,incorrect,hester,0,0.5,incorrect,cocuklar,0,0.29,incorrect,hester,0,0.5,incorrect,hoy,0,0.25,incorrect
['tom'],hester,0,0.22,incorrect,hester,0,0.22,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.05,incorrect,she,0,0.0,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,razafindrakoto,0,0.24,incorrect,tena,0,0.29,incorrect,ehlile,0,0.0,incorrect,hester,0,0.22,incorrect,she,0,0.0,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,tena,0,0.29,incorrect,john,0,0.29,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,juan,0,0.0,incorrect,leon,0,0.29,incorrect,john,0,0.29,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,leon,0,0.29,incorrect
"['winston', 'eurasia']",eurasia,1,1.0,correct,eurasia,1,1.0,correct,dikgang,0,0.29,incorrect,dikgang,0,0.29,incorrect,hester,0,0.31,incorrect,eurasia,1,1.0,correct,yuureshiyn senaa,0,0.43,incorrect,eurasian,0,0.93,correct,hester,0,0.31,incorrect,ary,0,0.2,incorrect,eurasia,1,1.0,correct,eurasia,1,1.0,correct,dikgang,0,0.29,incorrect,eurasia,1,1.0,correct,eurasian,0,0.93,correct,ary,0,0.2,incorrect,chocolate,0,0.12,incorrect,the,0,0.2,incorrect,[mask],0,0.31,incorrect,hester,0,0.31,incorrect,churchill,0,0.38,incorrect,winston,1,1.0,correct,[mask],0,0.31,incorrect,malas,0,0.33,incorrect,the,0,0.2,incorrect,hester,0,0.31,incorrect,winston,1,1.0,correct,malas,0,0.33,incorrect
['winston'],hester,0,0.31,incorrect,jerks,0,0.17,incorrect,mogala,0,0.15,incorrect,mogala,0,0.15,incorrect,jerks,0,0.17,incorrect,jerks,0,0.17,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,flashbox,0,0.27,incorrect,niteraka,0,0.27,incorrect,matsatsane,0,0.35,incorrect,jerks,0,0.17,incorrect,mogala,0,0.15,incorrect,jerks,0,0.17,incorrect,hester,0,0.31,incorrect,niteraka,0,0.27,incorrect,winston,1,1.0,correct,jerks,0,0.17,incorrect,winston,1,1.0,correct,hester,0,0.31,incorrect,nguyen,0,0.31,incorrect,hester,0,0.31,incorrect,winston,1,1.0,correct,juan,0,0.18,incorrect,jerks,0,0.17,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,juan,0,0.18,incorrect
"['winston', 'winston’s', ""winston'ın""]",airstrip one,0,0.53,incorrect,london,0,0.46,incorrect,hester,0,0.31,incorrect,tota,0,0.36,incorrect,beretane,0,0.27,incorrect,beretane,0,0.27,incorrect,uk,0,0.0,incorrect,hester,0,0.31,incorrect,airstrip one,0,0.53,incorrect,rehefa,0,0.0,incorrect,london,0,0.46,incorrect,london,0,0.46,incorrect,tota,0,0.36,incorrect,beretane,0,0.27,incorrect,hester,0,0.31,incorrect,rehefa,0,0.0,incorrect,childhood,0,0.25,incorrect,jerks,0,0.17,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,london,0,0.46,incorrect,london,0,0.46,incorrect,londres,0,0.38,incorrect,londres,0,0.38,incorrect,jerks,0,0.17,incorrect,hester,0,0.31,incorrect,london,0,0.46,incorrect,londres,0,0.38,incorrect
['winston'],colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,mme,0,0.0,incorrect,mmaagwe,0,0.14,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,mmaagwe,0,0.14,incorrect,colchester,0,0.24,incorrect,hester,0,0.31,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,hester,0,0.31,incorrect,colchester,0,0.24,incorrect,hester,0,0.31,incorrect,colchester,0,0.24,incorrect,hester,0,0.31,incorrect,john,0,0.36,incorrect,hermanita,0,0.25,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hermanita,0,0.25,incorrect
['winston'],irufe,0,0.17,incorrect,irufe,0,0.17,incorrect,mme tshwanetse,0,0.29,incorrect,mme rona tshwanetse,0,0.23,incorrect,hester,0,0.31,incorrect,fatata,0,0.15,incorrect,hester,0,0.31,incorrect,name,0,0.18,incorrect,hester,0,0.31,incorrect,razafindrakoto,0,0.38,incorrect,hester,0,0.31,incorrect,irufe,0,0.17,incorrect,mme rona tshwanetse,0,0.23,incorrect,fatata,0,0.15,incorrect,name,0,0.18,incorrect,razafindrakoto,0,0.38,incorrect,[mask],0,0.15,incorrect,john,0,0.36,incorrect,[mask]'in,0,0.25,incorrect,hester,0,0.31,incorrect,[mask],0,0.15,incorrect,hester,0,0.31,incorrect,[mask],0,0.15,incorrect,subscription,0,0.42,incorrect,john,0,0.36,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,subscription,0,0.42,incorrect
"['smith', 'smit']",oba,0,0.0,incorrect,oba,0,0.0,incorrect,moses,0,0.22,incorrect,mme rona tshwanetse,0,0.25,incorrect,hester,0,0.4,incorrect,hester,0,0.4,incorrect,john,0,0.22,incorrect,hester,0,0.4,incorrect,ratsiraka,0,0.31,incorrect,plenty,0,0.2,incorrect,ka plenty,0,0.15,incorrect,oba,0,0.0,incorrect,mme rona tshwanetse,0,0.25,incorrect,hester,0,0.4,incorrect,hester,0,0.4,incorrect,plenty,0,0.2,incorrect,old boy,0,0.0,incorrect,ministry,0,0.5,incorrect,hester,0,0.4,incorrect,bakanligi,0,0.15,incorrect,bo am no,0,0.17,incorrect,no,0,0.0,incorrect,ministry of abundance,0,0.24,incorrect,ministerio,0,0.43,incorrect,ministry,0,0.5,incorrect,bakanligi,0,0.15,incorrect,no,0,0.0,incorrect,ministerio,0,0.43,incorrect
['winston'],hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,tsaroany,0,0.4,incorrect,mme hanyane,0,0.22,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,tsaroany,0,0.4,incorrect,women,0,0.5,incorrect,the protagonist,0,0.27,incorrect,hester,0,0.31,incorrect,insanlar,0,0.53,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,maria,0,0.17,incorrect,the protagonist,0,0.27,incorrect,insanlar,0,0.53,incorrect,hester,0,0.31,incorrect,maria,0,0.17,incorrect
"['winston', 'winston’s']",eurasia,0,0.14,incorrect,russia,0,0.27,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,russia,0,0.27,incorrect,russia,0,0.27,incorrect,1941,0,0.0,incorrect,general,0,0.14,incorrect,russia,0,0.27,incorrect,canada,0,0.15,incorrect,russia,0,0.27,incorrect,russia,0,0.27,incorrect,hester,0,0.31,incorrect,russia,0,0.27,incorrect,general,0,0.14,incorrect,canada,0,0.15,incorrect,midsummer day,0,0.2,incorrect,general,0,0.14,incorrect,[mask],0,0.15,incorrect,sibirya,0,0.14,incorrect,eurasia,0,0.14,incorrect,eurasia,0,0.14,incorrect,[mask],0,0.15,incorrect,siberia,0,0.14,incorrect,general,0,0.14,incorrect,sibirya,0,0.14,incorrect,eurasia,0,0.14,incorrect,siberia,0,0.14,incorrect
['winston'],victory coffee,0,0.29,incorrect,leyin,0,0.33,incorrect,kofi,0,0.18,incorrect,morago,0,0.15,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,victory,0,0.43,incorrect,fandresena,0,0.35,incorrect,fandresena,0,0.35,incorrect,mohlomong,0,0.25,incorrect,leyin,0,0.33,incorrect,morago,0,0.15,incorrect,hester,0,0.31,incorrect,victory,0,0.43,incorrect,fandresena,0,0.35,incorrect,unknown,0,0.43,incorrect,coffee,0,0.15,incorrect,kahraman,0,0.13,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,maria,0,0.17,incorrect,victoria,0,0.4,incorrect,coffee,0,0.15,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,victoria,0,0.4,incorrect
['winston'],hester,0,0.31,incorrect,ariwo,0,0.33,incorrect,tshwantshiso,0,0.42,incorrect,tshwantshiso,0,0.42,incorrect,hester,0,0.31,incorrect,steamer,0,0.29,incorrect,hester,0,0.31,incorrect,stevens,0,0.43,incorrect,anthony,0,0.57,incorrect,ary,0,0.0,incorrect,eder,0,0.0,incorrect,ariwo,0,0.33,incorrect,tshwantshiso,0,0.42,incorrect,steamer,0,0.29,incorrect,stevens,0,0.43,incorrect,ary,0,0.0,incorrect,proles,0,0.15,incorrect,steamer,0,0.29,incorrect,gemi,0,0.18,incorrect,hester,0,0.31,incorrect,lua,0,0.0,incorrect,hester,0,0.31,incorrect,[mask],0,0.15,incorrect,elena,0,0.17,incorrect,steamer,0,0.29,incorrect,hester,0,0.31,incorrect,hester,0,0.31,incorrect,elena,0,0.17,incorrect
