Model,en,trans,xling,en_shuffled,trans_shuffled,xling_shuffled
EuroLLM-9B-Instruct,0.8658008658008658,0.0,0.0,0.21645021645021645,0.0,0.0
Llama-3.1-70B-Instruct-quantized.w4a16,1.1904761904761905,0.0,0.0,0.974025974025974,0.0,0.0
Llama-3.1-70B-Instruct-quantized.w8a16,1.406926406926407,0.0,0.0,0.7575757575757576,0.0,0.0
Llama-3.1-70B-Instruct_,1.0822510822510822,0.0,0.0,0.974025974025974,0.0,0.0
Llama-3.1-8B-Instruct-quantized.w4a16,0.974025974025974,0.0,0.0,0.7575757575757576,0.0,0.0
Llama-3.1-8B-Instruct-quantized.w8a16,1.8398268398268398,0.0,0.0,0.4329004329004329,0.0,0.0
Llama-3.1-8B-Instruct_,1.948051948051948,0.0,0.0,0.6493506493506493,0.0,0.0
Llama-3.3-70B-Instruct,0.974025974025974,0.0,0.0,0.8658008658008658,0.0,0.0
OLMo-2-1124-13B-Instruct,1.1904761904761905,0.0,0.0,0.4329004329004329,0.0,0.0
OLMo-2-1124-7B-Instruct,1.6233766233766234,0.0,0.0,0.6493506493506493,0.0,0.0
Qwen2.5-7B-Instruct-1M,0.6493506493506493,0.0,0.0,0.21645021645021645,0.0,0.0
gpt-4o-2024-11-20,3.0303030303030303,0.0,0.0,1.1904761904761905,0.0,0.0
