Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['wotton', 'lord', 'henry', 'henry wotton', 'lord henry wotton']",london,0,0.6,incorrect,london,0,0.6,incorrect,albert einstein,0,0.44,incorrect,albert einstein,0,0.44,incorrect,disney,0,0.36,incorrect,london,0,0.6,incorrect,monet,0,0.36,incorrect,farid,0,0.44,incorrect,william,0,0.18,incorrect,london,0,0.6,incorrect,madonna,0,0.31,incorrect,london,0,0.6,incorrect,albert einstein,0,0.44,incorrect,london,0,0.6,incorrect,farid,0,0.44,incorrect,london,0,0.6,incorrect,dorian,0,0.4,incorrect,rubens,0,0.36,incorrect,dorian,0,0.4,incorrect,henry,1,1.0,correct,monet,0,0.36,incorrect,yoshitaka amano,0,0.3,incorrect,oscar wilde,0,0.4,incorrect,monet,0,0.36,incorrect,rubens,0,0.36,incorrect,henry,1,1.0,correct,yoshitaka amano,0,0.3,incorrect,monet,0,0.36,incorrect
"['basil hallwar', 'basil', 'basil hallward', 'hallward', 'hallwar']",oduduwa,0,0.29,incorrect,jesus,0,0.2,incorrect,themba,0,0.36,incorrect,jesus,0,0.2,incorrect,adam,0,0.36,incorrect,abraham,0,0.4,incorrect,van gogh,0,0.29,incorrect,shakespeare,0,0.44,incorrect,abrahamy,0,0.38,incorrect,adama,0,0.33,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,abraham,0,0.4,incorrect,shakespeare,0,0.44,incorrect,adama,0,0.33,incorrect,basel,0,0.8,correct,wilde,0,0.4,incorrect,leonardo da vinci,0,0.32,incorrect,leonardo da vinci,0,0.32,incorrect,dorian gray,0,0.25,incorrect,monet,0,0.0,incorrect,velazquez,0,0.25,incorrect,monna lisa,0,0.35,incorrect,wilde,0,0.4,incorrect,leonardo da vinci,0,0.32,incorrect,monet,0,0.0,incorrect,monna lisa,0,0.35,incorrect
"['henry', 'lord', 'lord henry']",oliver twist,0,0.27,incorrect,oliver,0,0.4,incorrect,orpheus,0,0.47,incorrect,god,0,0.57,incorrect,newton,0,0.36,incorrect,adam,0,0.25,incorrect,oliver twist,0,0.27,incorrect,adam,0,0.25,incorrect,job,0,0.29,incorrect,abrahamy,0,0.33,incorrect,lehlanya,0,0.46,incorrect,oliver,0,0.4,incorrect,god,0,0.57,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,abrahamy,0,0.33,incorrect,oscar,0,0.44,incorrect,adonis,0,0.25,incorrect,dogal,0,0.22,incorrect,erkek,0,0.4,incorrect,nguyen cong hoan,0,0.31,incorrect,nguyen dinh chieu,0,0.3,incorrect,lord byron,0,0.6,incorrect,virgilio,0,0.33,incorrect,adonis,0,0.25,incorrect,erkek,0,0.4,incorrect,nguyen dinh chieu,0,0.3,incorrect,virgilio,0,0.33,incorrect
"['henry', 'lord', 'lord henry']",abrahami,0,0.22,incorrect,oliver twist,0,0.27,incorrect,abraham,0,0.24,incorrect,god,0,0.57,incorrect,adam,0,0.25,incorrect,adam,0,0.25,incorrect,pinocchio,0,0.21,incorrect,god,0,0.57,incorrect,job,0,0.29,incorrect,adam,0,0.25,incorrect,disney,0,0.38,incorrect,oliver twist,0,0.27,incorrect,god,0,0.57,incorrect,adam,0,0.25,incorrect,god,0,0.57,incorrect,adam,0,0.25,incorrect,sherlock holmes,0,0.4,incorrect,newton,0,0.36,incorrect,pinokyo,0,0.33,incorrect,elif,0,0.25,incorrect,albert einstein,0,0.4,incorrect,ngoc,0,0.25,incorrect,sherlock holmes,0,0.4,incorrect,margarita,0,0.21,incorrect,newton,0,0.36,incorrect,elif,0,0.25,incorrect,ngoc,0,0.25,incorrect,margarita,0,0.21,incorrect
['agatha'],yinka,0,0.18,incorrect,shakespeare,0,0.24,incorrect,selema,0,0.17,incorrect,god,0,0.22,incorrect,abraham,0,0.62,incorrect,adam,0,0.4,incorrect,chopin,0,0.17,incorrect,shakespeare,0,0.24,incorrect,mozart,0,0.33,incorrect,mozart,0,0.33,incorrect,mozart,0,0.33,incorrect,shakespeare,0,0.24,incorrect,god,0,0.22,incorrect,adam,0,0.4,incorrect,shakespeare,0,0.24,incorrect,mozart,0,0.33,incorrect,josephine,0,0.13,incorrect,eliza,0,0.18,incorrect,chopin,0,0.17,incorrect,haydn,0,0.36,incorrect,thatcher,0,0.43,incorrect,thanh,0,0.55,incorrect,liszt,0,0.18,incorrect,chopin,0,0.17,incorrect,eliza,0,0.18,incorrect,haydn,0,0.36,incorrect,thanh,0,0.55,incorrect,chopin,0,0.17,incorrect
"['doria', 'dorian']",abraham,0,0.33,incorrect,abrahami,0,0.31,incorrect,abel,0,0.22,incorrect,god,0,0.25,incorrect,adam,0,0.44,incorrect,adam,0,0.44,incorrect,chitrakar,0,0.29,incorrect,shylock holmes,0,0.11,incorrect,abrahamy,0,0.31,incorrect,adama,0,0.4,incorrect,shakespeare,0,0.12,incorrect,abrahami,0,0.31,incorrect,god,0,0.25,incorrect,adam,0,0.44,incorrect,shylock holmes,0,0.11,incorrect,adama,0,0.4,incorrect,angelo,0,0.33,incorrect,rembrandt,0,0.4,incorrect,heathcliff,0,0.13,incorrect,hamlet,0,0.18,incorrect,duc,0,0.25,incorrect,duc,0,0.25,incorrect,rembrandt,0,0.4,incorrect,velazquez,0,0.14,incorrect,rembrandt,0,0.4,incorrect,hamlet,0,0.18,incorrect,duc,0,0.25,incorrect,velazquez,0,0.14,incorrect
['basil'],jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,adam,0,0.22,incorrect,abraham,0,0.33,incorrect,heathcliff,0,0.27,incorrect,shakespeare,0,0.25,incorrect,adam,0,0.22,incorrect,adam,0,0.22,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,abraham,0,0.33,incorrect,shakespeare,0,0.25,incorrect,adam,0,0.22,incorrect,christ,0,0.18,incorrect,orpheus,0,0.17,incorrect,basil,1,1.0,correct,dorian,0,0.18,incorrect,duc,0,0.0,incorrect,duc,0,0.0,incorrect,jesus,0,0.2,incorrect,shakespeare,0,0.25,incorrect,orpheus,0,0.17,incorrect,dorian,0,0.18,incorrect,duc,0,0.0,incorrect,shakespeare,0,0.25,incorrect
['harry'],jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,god,0,0.0,incorrect,abrahamu,0,0.31,incorrect,abraham,0,0.33,incorrect,shakespeare,0,0.38,incorrect,monet,0,0.0,incorrect,job,0,0.0,incorrect,adam,0,0.22,incorrect,sebata,0,0.18,incorrect,jesus,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.33,incorrect,monet,0,0.0,incorrect,adam,0,0.22,incorrect,lord henry,0,0.4,incorrect,monet,0,0.0,incorrect,delacroix,0,0.29,incorrect,shakespeare,0,0.38,incorrect,lord henry,0,0.4,incorrect,ngoc,0,0.0,incorrect,velazquez,0,0.14,incorrect,shakespeare,0,0.38,incorrect,monet,0,0.0,incorrect,shakespeare,0,0.38,incorrect,ngoc,0,0.0,incorrect,shakespeare,0,0.38,incorrect
"['lord henry—', 'lord', 'henry', 'lord henry', 'henry—']",oliver twist,0,0.27,incorrect,oliver,0,0.4,incorrect,god,0,0.57,incorrect,god,0,0.57,incorrect,god,0,0.57,incorrect,abraham lincoln,0,0.24,incorrect,tagore,0,0.4,incorrect,shakespeare,0,0.38,incorrect,job,0,0.29,incorrect,adam,0,0.25,incorrect,abel,0,0.25,incorrect,oliver,0,0.4,incorrect,god,0,0.57,incorrect,abraham lincoln,0,0.24,incorrect,shakespeare,0,0.38,incorrect,adam,0,0.25,incorrect,oscar wilde,0,0.4,incorrect,god,0,0.57,incorrect,alman,0,0.27,incorrect,platon,0,0.4,incorrect,albus,0,0.22,incorrect,thich ca mau ni,0,0.2,incorrect,goethe,0,0.38,incorrect,homero,0,0.55,incorrect,god,0,0.57,incorrect,platon,0,0.4,incorrect,thich ca mau ni,0,0.2,incorrect,homero,0,0.55,incorrect
"['dorian gray', 'gray', 'dorian']",tyrian,0,0.67,incorrect,euclid,0,0.17,incorrect,god,0,0.29,incorrect,leswe,0,0.0,incorrect,charles darwin,0,0.4,incorrect,charles darwin,0,0.4,incorrect,madam,0,0.36,incorrect,archimedes,0,0.25,incorrect,tyros,0,0.22,incorrect,adam,0,0.4,incorrect,pythagoras,0,0.43,incorrect,euclid,0,0.17,incorrect,leswe,0,0.0,incorrect,charles darwin,0,0.4,incorrect,archimedes,0,0.25,incorrect,adam,0,0.4,incorrect,dorian,1,1.0,correct,adam,0,0.4,incorrect,cicek,0,0.18,incorrect,elif,0,0.2,incorrect,thoreau,0,0.46,incorrect,emily,0,0.25,incorrect,maria,0,0.55,incorrect,maria,0,0.55,incorrect,adam,0,0.4,incorrect,elif,0,0.2,incorrect,emily,0,0.25,incorrect,maria,0,0.55,incorrect
