Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie hiney', 'hiney', 'cassie']",mr. smith,0,0.29,incorrect,emily,0,0.4,incorrect,emily,0,0.4,incorrect,abraham lincoln,0,0.3,incorrect,thuy,0,0.44,incorrect,duc,0,0.22,incorrect,shirley,0,0.67,incorrect,shakespeare,0,0.35,incorrect,emily,0,0.4,incorrect,abraham lincoln,0,0.3,incorrect,duc,0,0.22,incorrect,shakespeare,0,0.35,incorrect
"['parson', 'chuck', 'chuck parson']",arnold,0,0.5,incorrect,arnold schwarzenegger,0,0.3,incorrect,herakles,0,0.31,incorrect,arnold,0,0.5,incorrect,frankenstein,0,0.33,incorrect,duc,0,0.5,incorrect,arnold schwarzenegger,0,0.3,incorrect,adan,0,0.4,incorrect,arnold schwarzenegger,0,0.3,incorrect,arnold,0,0.5,incorrect,duc,0,0.5,incorrect,adan,0,0.4,incorrect
['chuck'],chad,0,0.44,incorrect,god,0,0.0,incorrect,osman,0,0.0,incorrect,ataturk,0,0.33,incorrect,thanh,0,0.2,incorrect,duc,0,0.5,incorrect,artigas,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,ataturk,0,0.33,incorrect,duc,0,0.5,incorrect,god,0,0.0,incorrect
"['chuc', 'chuck']",god,0,0.0,incorrect,god,0,0.0,incorrect,charlie,0,0.36,incorrect,hayko,0,0.4,incorrect,dong phileas fogg,0,0.1,incorrect,nguyen dinh chieu,0,0.29,incorrect,britney,0,0.0,incorrect,shakespeare,0,0.25,incorrect,god,0,0.0,incorrect,hayko,0,0.4,incorrect,nguyen dinh chieu,0,0.29,incorrect,shakespeare,0,0.25,incorrect
['angela'],jesus,0,0.18,incorrect,peter,0,0.18,incorrect,george,0,0.33,incorrect,noel,0,0.6,incorrect,ong gia noel,0,0.44,incorrect,dai,0,0.22,incorrect,santa claus,0,0.47,incorrect,san pedro,0,0.4,incorrect,peter,0,0.18,incorrect,noel,0,0.6,incorrect,dai,0,0.22,incorrect,san pedro,0,0.4,incorrect
['margo'],emily,0,0.2,incorrect,wednesday,0,0.14,incorrect,hamlet,0,0.18,incorrect,albert,0,0.36,incorrect,thuy kieu,0,0.0,incorrect,thuy,0,0.0,incorrect,lorenzo,0,0.33,incorrect,shakespeare,0,0.25,incorrect,wednesday,0,0.14,incorrect,albert,0,0.36,incorrect,thuy,0,0.0,incorrect,shakespeare,0,0.25,incorrect
['margo'],dad,0,0.25,incorrect,god,0,0.5,incorrect,aliya izzetbegovic,0,0.26,incorrect,ali,0,0.25,incorrect,jesus,0,0.0,incorrect,nguyen dinh chieu,0,0.09,incorrect,hamlet,0,0.18,incorrect,homero,0,0.55,incorrect,god,0,0.5,incorrect,ali,0,0.25,incorrect,nguyen dinh chieu,0,0.09,incorrect,homero,0,0.55,incorrect
"['margo—', 'margo']",heather,0,0.33,incorrect,britney,0,0.17,incorrect,heidi,0,0.0,incorrect,ozdemir asaf,0,0.24,incorrect,duc,0,0.0,incorrect,the,0,0.0,incorrect,lucia,0,0.2,incorrect,manana,0,0.36,incorrect,britney,0,0.17,incorrect,ozdemir asaf,0,0.24,incorrect,the,0,0.0,incorrect,manana,0,0.36,incorrect
['margo'],jefferson,0,0.29,incorrect,minivan,0,0.33,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,minivan,0,0.33,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],ellen,0,0.0,incorrect,god,0,0.5,incorrect,alan watts,0,0.13,incorrect,albert einstein,0,0.2,incorrect,duc,0,0.0,incorrect,nguyen binh,0,0.12,incorrect,alan watts,0,0.13,incorrect,maria,0,0.6,incorrect,god,0,0.5,incorrect,albert einstein,0,0.2,incorrect,nguyen binh,0,0.12,incorrect,maria,0,0.6,incorrect
['margo'],sheila,0,0.18,incorrect,horn,0,0.22,incorrect,charlie,0,0.33,incorrect,hayir,0,0.4,incorrect,chang,0,0.4,incorrect,dinh,0,0.0,incorrect,elmer,0,0.4,incorrect,perdona,0,0.33,incorrect,horn,0,0.22,incorrect,hayir,0,0.4,incorrect,dinh,0,0.0,incorrect,perdona,0,0.33,incorrect
['margo'],emily,0,0.2,incorrect,heathcliff,0,0.13,incorrect,heathcliff,0,0.13,incorrect,sevgilim,0,0.15,incorrect,marie,0,0.6,incorrect,dong tu,0,0.17,incorrect,lucas,0,0.2,incorrect,adan,0,0.22,incorrect,heathcliff,0,0.13,incorrect,sevgilim,0,0.15,incorrect,dong tu,0,0.17,incorrect,adan,0,0.22,incorrect
['margo'],she,0,0.0,incorrect,beatles,0,0.17,incorrect,harry,0,0.4,incorrect,sevgi,0,0.2,incorrect,phoebe,0,0.18,incorrect,chopin,0,0.18,incorrect,ella,0,0.22,incorrect,shakespeare,0,0.25,incorrect,beatles,0,0.17,incorrect,sevgi,0,0.2,incorrect,chopin,0,0.18,incorrect,shakespeare,0,0.25,incorrect
['margo'],juno,0,0.22,incorrect,emily,0,0.2,incorrect,marcel,0,0.55,incorrect,orhan veli,0,0.13,incorrect,thuy,0,0.0,incorrect,ngoc,0,0.44,incorrect,homero,0,0.55,incorrect,homero,0,0.55,incorrect,emily,0,0.2,incorrect,orhan veli,0,0.13,incorrect,ngoc,0,0.44,incorrect,homero,0,0.55,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,emily,0,0.2,incorrect,ali,0,0.25,incorrect,minh,0,0.22,incorrect,dong trang,0,0.27,incorrect,maria,0,0.6,incorrect,mano,0,0.67,incorrect,emily,0,0.2,incorrect,ali,0,0.25,incorrect,dong trang,0,0.27,incorrect,mano,0,0.67,incorrect
['margo'],emily,0,0.2,incorrect,arteries,0,0.31,incorrect,dr. house,0,0.29,incorrect,google,0,0.36,incorrect,ngoc,0,0.44,incorrect,thach sanh,0,0.13,incorrect,emily,0,0.2,incorrect,google,0,0.36,incorrect,arteries,0,0.31,incorrect,google,0,0.36,incorrect,thach sanh,0,0.13,incorrect,google,0,0.36,incorrect
['margo'],harper,0,0.36,incorrect,emily,0,0.2,incorrect,heathcliff,0,0.13,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,emily,0,0.2,incorrect,worthington,0,0.38,incorrect,emily,0,0.2,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect
['jase'],monica,0,0.2,incorrect,god,0,0.0,incorrect,charlie,0,0.36,incorrect,gercek,0,0.2,incorrect,thuy kieu,0,0.15,incorrect,the,0,0.29,incorrect,maria,0,0.22,incorrect,shakespeare,0,0.4,incorrect,god,0,0.0,incorrect,gercek,0,0.2,incorrect,the,0,0.29,incorrect,shakespeare,0,0.4,incorrect
['margo'],hermione,0,0.31,incorrect,jimmy,0,0.2,incorrect,sherlock holmes,0,0.2,incorrect,hayran,0,0.36,incorrect,dang thuy tram,0,0.21,incorrect,nguyen,0,0.18,incorrect,sherlock holmes,0,0.2,incorrect,robinson crusoe,0,0.2,incorrect,jimmy,0,0.2,incorrect,hayran,0,0.36,incorrect,nguyen,0,0.18,incorrect,robinson crusoe,0,0.2,incorrect
['margo'],she,0,0.0,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,emily,0,0.2,incorrect,jefferson,0,0.29,incorrect,ellen,0,0.0,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
"['margo', 'marg']",her,0,0.29,incorrect,wall,0,0.25,incorrect,emily,0,0.22,incorrect,orpheus,0,0.18,incorrect,emily,0,0.22,incorrect,duc,0,0.0,incorrect,ella,0,0.25,incorrect,maria,0,0.67,incorrect,wall,0,0.25,incorrect,orpheus,0,0.18,incorrect,duc,0,0.0,incorrect,maria,0,0.67,incorrect
"['parson', 'chuck', 'chuck parson']",god,0,0.22,incorrect,god,0,0.22,incorrect,charlie,0,0.42,incorrect,paris,0,0.73,correct,duc,0,0.5,incorrect,crown,0,0.55,incorrect,shakespeare,0,0.43,incorrect,prince,0,0.5,incorrect,god,0,0.22,incorrect,paris,0,0.73,correct,crown,0,0.55,incorrect,prince,0,0.5,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,heathcliff,0,0.13,incorrect,elvis,0,0.0,incorrect,emily,0,0.2,incorrect,nguyen,0,0.18,incorrect,emily,0,0.2,incorrect,adan,0,0.22,incorrect,emily,0,0.2,incorrect,elvis,0,0.0,incorrect,nguyen,0,0.18,incorrect,adan,0,0.22,incorrect
