Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['alicia', 'alice']",oliver twist,0,0.35,incorrect,abel,0,0.44,incorrect,paul,0,0.44,incorrect,thumbelina,0,0.38,incorrect,galileo,0,0.67,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,ali baba,0,0.57,incorrect,shakespeare,0,0.25,incorrect,alice,1,1.0,correct,thuy kieu,0,0.29,incorrect,alicia,1,1.0,correct,alberto,0,0.5,incorrect,alice,1,1.0,correct,shakespeare,0,0.25,incorrect,thuy kieu,0,0.29,incorrect,alberto,0,0.5,incorrect
"['alicia', 'alice']",jesus,0,0.2,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,heathcliff,0,0.4,incorrect,jesus,0,0.2,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,beni,0,0.22,incorrect,robinson crusoe,0,0.3,incorrect,alice,1,1.0,correct,thuy kieu,0,0.29,incorrect,gertrudis,0,0.14,incorrect,bebe,0,0.22,incorrect,alice,1,1.0,correct,robinson crusoe,0,0.3,incorrect,thuy kieu,0,0.29,incorrect,bebe,0,0.22,incorrect
"['alicia', 'alice']",oliver twist,0,0.35,incorrect,abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,oliver,0,0.55,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,emma,0,0.22,incorrect,heathcliff,0,0.4,incorrect,pinokyo,0,0.17,incorrect,charlotte,0,0.43,incorrect,thi,0,0.25,incorrect,alicia,1,1.0,correct,jesus,0,0.2,incorrect,emma,0,0.22,incorrect,pinokyo,0,0.17,incorrect,thi,0,0.25,incorrect,jesus,0,0.2,incorrect
"['alicia', 'alice']",jesus,0,0.2,incorrect,abraham,0,0.31,incorrect,abrahamu,0,0.29,incorrect,alice,1,1.0,correct,job,0,0.0,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,ali baba,0,0.57,incorrect,alice,1,1.0,correct,allice,0,0.91,correct,thuy,0,0.0,incorrect,alicia,1,1.0,correct,aladino,0,0.5,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,thuy,0,0.0,incorrect,aladino,0,0.5,incorrect
"['alicia', 'alice']",abraham,0,0.31,incorrect,abel,0,0.44,incorrect,god,0,0.0,incorrect,godot,0,0.0,incorrect,adam,0,0.4,incorrect,alice,1,1.0,correct,emma,0,0.22,incorrect,aliya izzetbegovic,0,0.35,incorrect,abraham lincoln,0,0.4,incorrect,alisa,0,0.73,correct,ngoc,0,0.22,incorrect,alicia,1,1.0,correct,alfredo,0,0.5,incorrect,emma,0,0.22,incorrect,abraham lincoln,0,0.4,incorrect,ngoc,0,0.22,incorrect,alfredo,0,0.5,incorrect
['dodo'],abrahami,0,0.0,incorrect,abraham,0,0.0,incorrect,shakespeare,0,0.0,incorrect,newton,0,0.2,incorrect,job,0,0.29,incorrect,chairman,0,0.0,incorrect,webster,0,0.0,incorrect,voltaire,0,0.17,incorrect,abraham lincoln,0,0.11,incorrect,ngo dinh nghi,0,0.24,incorrect,marx,0,0.0,incorrect,presidente,0,0.14,incorrect,maria,0,0.0,incorrect,webster,0,0.0,incorrect,abraham lincoln,0,0.11,incorrect,marx,0,0.0,incorrect,maria,0,0.0,incorrect
"['alicia', 'alice']",oduduwa,0,0.17,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,charlie chaplin,0,0.48,incorrect,noah,0,0.22,incorrect,esther,0,0.18,incorrect,fortune,0,0.17,incorrect,ali,0,0.75,correct,ali,0,0.75,correct,dong trang,0,0.13,incorrect,dong tay,0,0.15,incorrect,maria,0,0.55,incorrect,loteria,0,0.46,incorrect,fortune,0,0.17,incorrect,ali,0,0.75,correct,dong tay,0,0.15,incorrect,loteria,0,0.46,incorrect
"['alicia', 'alice']",abrahamu lincoln,0,0.38,incorrect,abel,0,0.44,incorrect,adam,0,0.4,incorrect,oliver twist,0,0.35,incorrect,adam,0,0.4,incorrect,elizabeth,0,0.43,incorrect,heathcliff,0,0.4,incorrect,hamlet,0,0.55,incorrect,hamlet,0,0.55,incorrect,ngoc,0,0.22,incorrect,thatcher,0,0.46,incorrect,don quijote,0,0.25,incorrect,don quijote,0,0.25,incorrect,heathcliff,0,0.4,incorrect,hamlet,0,0.55,incorrect,thatcher,0,0.46,incorrect,don quijote,0,0.25,incorrect
"['alicia', 'alice']",abrahami lincoln,0,0.38,incorrect,abel,0,0.44,incorrect,adam,0,0.4,incorrect,hamlet,0,0.55,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,pinokyo,0,0.17,incorrect,hamlet,0,0.55,incorrect,pinocchio,0,0.4,incorrect,nguyen,0,0.18,incorrect,alicia,1,1.0,correct,maria,0,0.55,incorrect,alice,1,1.0,correct,hamlet,0,0.55,incorrect,nguyen,0,0.18,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,morena,0,0.18,incorrect,abraham lincoln,0,0.4,incorrect,albert einstein,0,0.4,incorrect,god,0,0.0,incorrect,alice,1,1.0,correct,caroline,0,0.62,incorrect,pinokyo,0,0.17,incorrect,homeros,0,0.17,incorrect,dong trang,0,0.13,incorrect,thay,0,0.22,incorrect,maria,0,0.55,incorrect,platon,0,0.33,incorrect,caroline,0,0.62,incorrect,homeros,0,0.17,incorrect,thay,0,0.22,incorrect,platon,0,0.33,incorrect
"['alicia', 'alice']",oliver twist,0,0.35,incorrect,abel,0,0.44,incorrect,adam,0,0.4,incorrect,goldilocks,0,0.4,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,goldilocks,0,0.4,incorrect,ali baba,0,0.57,incorrect,hamlet,0,0.55,incorrect,matilda,0,0.46,incorrect,nguyen,0,0.18,incorrect,alicia,1,1.0,correct,newton,0,0.18,incorrect,goldilocks,0,0.4,incorrect,hamlet,0,0.55,incorrect,nguyen,0,0.18,incorrect,newton,0,0.18,incorrect
"['alicia', 'alice']",abrahamu,0,0.29,incorrect,abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,goldilocks,0,0.4,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,lady,0,0.4,incorrect,pinokyo,0,0.17,incorrect,ali,0,0.75,correct,charlotte,0,0.43,incorrect,duc,0,0.25,incorrect,la abuela,0,0.4,incorrect,san bernardo,0,0.24,incorrect,lady,0,0.4,incorrect,ali,0,0.75,correct,duc,0,0.25,incorrect,san bernardo,0,0.24,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,abel,0,0.44,incorrect,adam,0,0.4,incorrect,marathon,0,0.29,incorrect,facebook,0,0.46,incorrect,alice,1,1.0,correct,sheila,0,0.33,incorrect,orpheus,0,0.17,incorrect,attila,0,0.5,incorrect,nguyen thi lo,0,0.11,incorrect,dong trinh,0,0.13,incorrect,robinson crusoe,0,0.3,incorrect,ulises,0,0.55,incorrect,sheila,0,0.33,incorrect,attila,0,0.5,incorrect,dong trinh,0,0.13,incorrect,ulises,0,0.55,incorrect
"['alicia', 'alice']",olu,0,0.25,incorrect,job,0,0.0,incorrect,adam,0,0.4,incorrect,jack,0,0.44,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,ali,0,0.75,correct,asil,0,0.44,incorrect,alice,1,1.0,correct,newton,0,0.18,incorrect,el,0,0.29,incorrect,salome,0,0.55,incorrect,alice,1,1.0,correct,asil,0,0.44,incorrect,newton,0,0.18,incorrect,salome,0,0.55,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,abel,0,0.44,incorrect,abraham,0,0.31,incorrect,god,0,0.0,incorrect,noah,0,0.22,incorrect,esther,0,0.18,incorrect,god,0,0.0,incorrect,bayram,0,0.33,incorrect,aziz nesin,0,0.4,incorrect,dong trum,0,0.0,incorrect,nguyen dinh chieu,0,0.27,incorrect,adela,0,0.55,incorrect,europa,0,0.18,incorrect,god,0,0.0,incorrect,aziz nesin,0,0.4,incorrect,nguyen dinh chieu,0,0.27,incorrect,europa,0,0.18,incorrect
"['alicia', 'alice']",caterpillar,0,0.35,incorrect,god,0,0.0,incorrect,robinson crusoe,0,0.3,incorrect,pinocchio,0,0.4,incorrect,noah,0,0.22,incorrect,caterpillar,0,0.35,incorrect,alice,1,1.0,correct,nasrettin hoca,0,0.4,incorrect,abraham lincoln,0,0.4,incorrect,dong sau,0,0.15,incorrect,thach sanh,0,0.38,incorrect,la oruga,0,0.29,incorrect,oruga,0,0.2,incorrect,alice,1,1.0,correct,abraham lincoln,0,0.4,incorrect,thach sanh,0,0.38,incorrect,oruga,0,0.2,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,abel,0,0.44,incorrect,adam,0,0.4,incorrect,buddha,0,0.18,incorrect,abrahamy,0,0.29,incorrect,alice,1,1.0,correct,andromeda,0,0.29,incorrect,ali baba,0,0.57,incorrect,yusuf,0,0.0,incorrect,alice,1,1.0,correct,dong trang,0,0.13,incorrect,euclides,0,0.46,incorrect,mano,0,0.22,incorrect,andromeda,0,0.29,incorrect,yusuf,0,0.0,incorrect,dong trang,0,0.13,incorrect,mano,0,0.22,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,albert einstein,0,0.4,incorrect,estera,0,0.18,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,demokles,0,0.31,incorrect,yesim,0,0.2,incorrect,thuy kieu,0,0.29,incorrect,nguyen dinh chieu,0,0.27,incorrect,macbeth,0,0.5,incorrect,adan,0,0.4,incorrect,emily,0,0.2,incorrect,yesim,0,0.2,incorrect,nguyen dinh chieu,0,0.27,incorrect,adan,0,0.4,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,goldilocks,0,0.4,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,adam,0,0.4,incorrect,pinokyo,0,0.17,incorrect,pinokyo,0,0.17,incorrect,em,0,0.29,incorrect,trung,0,0.0,incorrect,sancho,0,0.36,incorrect,maria,0,0.55,incorrect,adam,0,0.4,incorrect,pinokyo,0,0.17,incorrect,trung,0,0.0,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,setumo,0,0.18,incorrect,adam,0,0.4,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect,holden,0,0.36,incorrect,god,0,0.0,incorrect,hamlet,0,0.55,incorrect,hos,0,0.0,incorrect,duc,0,0.25,incorrect,god,0,0.0,incorrect,sancho,0,0.36,incorrect,platon,0,0.33,incorrect,god,0,0.0,incorrect,hos,0,0.0,incorrect,god,0,0.0,incorrect,platon,0,0.33,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,godzilla,0,0.29,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,godzilla,0,0.29,incorrect,hamlet,0,0.55,incorrect,insan,0,0.36,incorrect,dong trelman,0,0.22,incorrect,thoreau,0,0.17,incorrect,gertrudis,0,0.14,incorrect,maria,0,0.55,incorrect,godzilla,0,0.29,incorrect,insan,0,0.36,incorrect,thoreau,0,0.17,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",oliver twist,0,0.35,incorrect,moses,0,0.2,incorrect,god,0,0.0,incorrect,macduff,0,0.33,incorrect,job,0,0.0,incorrect,gertrude,0,0.15,incorrect,god,0,0.0,incorrect,hamlet,0,0.55,incorrect,ali,0,0.75,correct,emma,0,0.22,incorrect,dong trang,0,0.13,incorrect,dona leonor,0,0.38,incorrect,don quijote,0,0.25,incorrect,god,0,0.0,incorrect,ali,0,0.75,correct,dong trang,0,0.13,incorrect,don quijote,0,0.25,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,mr. earnest,0,0.25,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,tevfik,0,0.18,incorrect,mustafa,0,0.31,incorrect,ba,0,0.29,incorrect,duc,0,0.25,incorrect,miss,0,0.22,incorrect,shakespeare,0,0.25,incorrect,emily,0,0.2,incorrect,mustafa,0,0.31,incorrect,duc,0,0.25,incorrect,shakespeare,0,0.25,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,seleka,0,0.36,incorrect,shakespeare,0,0.25,incorrect,galileo,0,0.67,incorrect,job,0,0.0,incorrect,elizabeth bennet,0,0.29,incorrect,god,0,0.0,incorrect,galile,0,0.73,correct,platon,0,0.33,incorrect,galilei,0,0.67,incorrect,thach sanh,0,0.38,incorrect,galatea,0,0.5,incorrect,homero,0,0.18,incorrect,god,0,0.0,incorrect,platon,0,0.33,incorrect,thach sanh,0,0.38,incorrect,homero,0,0.18,incorrect
"['alicia', 'alice']",abrahami,0,0.31,incorrect,abel,0,0.44,incorrect,abrahamu,0,0.29,incorrect,oliver,0,0.55,incorrect,job,0,0.0,incorrect,esther,0,0.18,incorrect,martha,0,0.33,incorrect,asci,0,0.6,incorrect,asci,0,0.6,incorrect,nu cong tuoc,0,0.12,incorrect,nguyen,0,0.18,incorrect,don quijote,0,0.25,incorrect,maria,0,0.55,incorrect,martha,0,0.33,incorrect,asci,0,0.6,incorrect,nguyen,0,0.18,incorrect,maria,0,0.55,incorrect
"['alicia', 'alice']",oliver twist,0,0.35,incorrect,god,0,0.0,incorrect,adam,0,0.4,incorrect,goldilocks,0,0.4,incorrect,job,0,0.0,incorrect,alice,1,1.0,correct,octavia,0,0.46,incorrect,madam bovary,0,0.22,incorrect,bebe,0,0.22,incorrect,duc,0,0.25,incorrect,duc,0,0.25,incorrect,la abuela,0,0.4,incorrect,frankenstein,0,0.24,incorrect,octavia,0,0.46,incorrect,bebe,0,0.22,incorrect,duc,0,0.25,incorrect,frankenstein,0,0.24,incorrect
