Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['peter'],heathcliff,0,0.27,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['peter'],charlie chaplin,0,0.1,incorrect,laurel,0,0.18,incorrect,laurel,0,0.18,incorrect
['daphne'],beatrice,0,0.29,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect
['peter'],harry,0,0.2,incorrect,prince charles,0,0.32,incorrect,prince charles,0,0.32,incorrect
['dorner'],wilson,0,0.33,incorrect,mr. jones,0,0.4,incorrect,mr. jones,0,0.4,incorrect
['petra'],paris hilton,0,0.24,incorrect,harvard,0,0.33,incorrect,harvard,0,0.33,incorrect
['peter'],marilla,0,0.17,incorrect,edgar,0,0.4,incorrect,edgar,0,0.4,incorrect
['daphne'],god,0,0.22,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect
['peter'],god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['peter'],emily,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['daph'],abraham,0,0.36,incorrect,abraham,0,0.36,incorrect,abraham,0,0.36,incorrect
['peter'],christiano ronaldo,0,0.17,incorrect,macdonald,0,0.0,incorrect,macdonald,0,0.0,incorrect
['peter'],jack,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['peter'],prince charming,0,0.3,incorrect,bay,0,0.0,incorrect,bay,0,0.0,incorrect
['arham'],max,0,0.25,incorrect,jack,0,0.22,incorrect,jack,0,0.22,incorrect
['fontana'],dionne,0,0.46,incorrect,barbie,0,0.15,incorrect,barbie,0,0.15,incorrect
['renesmee'],jessica,0,0.27,incorrect,beckham,0,0.27,incorrect,beckham,0,0.27,incorrect
['landon'],bill,0,0.2,incorrect,jack,0,0.2,incorrect,jack,0,0.2,incorrect
['peter'],harry,0,0.2,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect
['peter'],harry,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
"['munch', 'edvard', 'edvard munch']",edvard munch,1,1.0,correct,edvard munch,1,1.0,correct,edvard munch,1,1.0,correct
['peter'],arin,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['peter'],john,0,0.0,incorrect,facebook,0,0.15,incorrect,facebook,0,0.15,incorrect
['peter'],trump,0,0.4,incorrect,chipotle,0,0.46,incorrect,chipotle,0,0.46,incorrect
['maya'],wednesday,0,0.31,incorrect,cambridge,0,0.15,incorrect,cambridge,0,0.15,incorrect
['harvey'],michael,0,0.46,incorrect,daughter,0,0.29,incorrect,daughter,0,0.29,incorrect
['petra'],buffy,0,0.0,incorrect,carrie,0,0.18,incorrect,carrie,0,0.18,incorrect
['peterverse'],dark brotherhood,0,0.23,incorrect,bay,0,0.0,incorrect,bay,0,0.0,incorrect
"['petty', 'tom', 'tom petty']",garth brooks,0,0.27,incorrect,god,0,0.33,incorrect,god,0,0.33,incorrect
['peter'],my mother,0,0.43,incorrect,trump,0,0.4,incorrect,trump,0,0.4,incorrect
['landon'],spencer,0,0.15,incorrect,steve jobs,0,0.12,incorrect,steve jobs,0,0.12,incorrect
['petra'],emily,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['mulder'],my kid,0,0.33,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect
['mulder'],sharon,0,0.17,incorrect,librarian,0,0.27,incorrect,librarian,0,0.27,incorrect
['peter'],he,0,0.29,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['batman'],thermos,0,0.31,incorrect,tom,0,0.44,incorrect,tom,0,0.44,incorrect
['daphne'],chardonnay,0,0.25,incorrect,chardonnay,0,0.25,incorrect,chardonnay,0,0.25,incorrect
['greg'],mcdonald's,0,0.0,incorrect,heather,0,0.18,incorrect,heather,0,0.18,incorrect
['daphne'],get,0,0.22,incorrect,chauffeur,0,0.27,incorrect,chauffeur,0,0.27,incorrect
['daphne'],louie,0,0.18,incorrect,louie,0,0.18,incorrect,louie,0,0.18,incorrect
['peter'],heathcliff,0,0.27,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect
['peter'],jennifer,0,0.46,incorrect,emeril,0,0.55,incorrect,emeril,0,0.55,incorrect
['peter'],he,0,0.29,incorrect,stuart,0,0.36,incorrect,stuart,0,0.36,incorrect
