Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
"['mauricio lorry', 'mauricio', 'mr jarvis lorry', 'mr', 'jarvis', 'lorr', 'jarvis lorry', 'jarvis lorr', 'lorry']",tellson,0,0.36,incorrect,barclays,0,0.45,incorrect,tellson,0,0.36,incorrect,jesus,0,0.36,incorrect,tellson,0,0.36,incorrect,god,0,0.29,incorrect,te manahune,0,0.32,incorrect,te manahune,0,0.32,incorrect,telecom,0,0.36,incorrect,william shakespeare,0,0.29,incorrect,barclays,0,0.45,incorrect,bankin,0,0.33,incorrect,barclays,0,0.45,incorrect,jesus,0,0.36,incorrect,god,0,0.29,incorrect,te manahune,0,0.32,incorrect,william shakespeare,0,0.29,incorrect,bankin,0,0.33,incorrect
"['mr', 'mr lorry', 'lorry']",charles dickens,0,0.17,incorrect,charles darwin,0,0.27,incorrect,charles dickens,0,0.17,incorrect,charles darwin,0,0.27,incorrect,charles darwin,0,0.27,incorrect,botswana,0,0.15,incorrect,shakespeare,0,0.15,incorrect,wellington,0,0.27,incorrect,jonah,0,0.2,incorrect,atlantis,0,0.15,incorrect,charles darwin,0,0.27,incorrect,david,0,0.0,incorrect,charles darwin,0,0.27,incorrect,charles darwin,0,0.27,incorrect,botswana,0,0.15,incorrect,wellington,0,0.27,incorrect,atlantis,0,0.15,incorrect,david,0,0.0,incorrect
"['manette', 'miss', 'miss manette']",anna,0,0.36,incorrect,abel,0,0.36,incorrect,oliver twist,0,0.33,incorrect,jesus,0,0.44,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham lincoln,0,0.22,incorrect,adam,0,0.25,incorrect,charlie chaplin,0,0.3,incorrect,mr. rochester,0,0.4,incorrect,job,0,0.0,incorrect,manana,0,0.46,incorrect,abel,0,0.36,incorrect,jesus,0,0.44,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,mr. rochester,0,0.4,incorrect,manana,0,0.46,incorrect
"['mr', 'mr lorry', 'lorry']",santa,0,0.0,incorrect,israel,0,0.29,incorrect,oliver twist,0,0.24,incorrect,abraham,0,0.22,incorrect,modimoeng,0,0.24,incorrect,god,0,0.25,incorrect,adam,0,0.33,incorrect,adam,0,0.33,incorrect,defoe,0,0.2,incorrect,heathcliff,0,0.13,incorrect,job,0,0.25,incorrect,jereo,0,0.31,incorrect,israel,0,0.29,incorrect,abraham,0,0.22,incorrect,god,0,0.25,incorrect,adam,0,0.33,incorrect,heathcliff,0,0.13,incorrect,jereo,0,0.31,incorrect
"['mr', 'mr lorry', 'lorry']",abel,0,0.22,incorrect,israel,0,0.29,incorrect,oliver twist,0,0.24,incorrect,brown,0,0.31,incorrect,shakespeare,0,0.15,incorrect,barclays,0,0.38,incorrect,abraham,0,0.22,incorrect,abraham,0,0.22,incorrect,shylock holmes,0,0.21,incorrect,shylock,0,0.33,incorrect,bank of america,0,0.26,incorrect,jeremiah,0,0.2,incorrect,israel,0,0.29,incorrect,brown,0,0.31,incorrect,barclays,0,0.38,incorrect,abraham,0,0.22,incorrect,shylock,0,0.33,incorrect,jeremiah,0,0.2,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",abel,0,0.4,incorrect,senatla,0,0.62,incorrect,oduduwa,0,0.33,incorrect,jesus,0,0.18,incorrect,esther,0,0.5,incorrect,esther,0,0.5,incorrect,abraham lincoln,0,0.3,incorrect,obama,0,0.4,incorrect,madame loisel,0,0.63,incorrect,charlotte,0,0.38,incorrect,abraham lincoln,0,0.3,incorrect,abrahamy,0,0.46,incorrect,senatla,0,0.62,incorrect,jesus,0,0.18,incorrect,esther,0,0.5,incorrect,obama,0,0.4,incorrect,charlotte,0,0.38,incorrect,abrahamy,0,0.46,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",abel,0,0.4,incorrect,abraham lincoln,0,0.3,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,themba,0,0.36,incorrect,israel,0,0.5,incorrect,jesus,0,0.18,incorrect,christ,0,0.17,incorrect,oliver twist,0,0.23,incorrect,newton,0,0.33,incorrect,adam,0,0.89,correct,adam,0,0.89,correct,abraham lincoln,0,0.3,incorrect,jesus,0,0.18,incorrect,israel,0,0.5,incorrect,christ,0,0.17,incorrect,newton,0,0.33,incorrect,adam,0,0.89,correct
"['monsieur defarge', 'monsieur', 'defarge', 'mösyö defarge', 'mösyö']",israel,0,0.36,incorrect,abel,0,0.36,incorrect,abraham,0,0.29,incorrect,jesus,0,0.31,incorrect,esther,0,0.43,incorrect,israel,0,0.36,incorrect,adam,0,0.36,incorrect,abraham,0,0.29,incorrect,abraham lincoln,0,0.26,incorrect,shakespeare,0,0.44,incorrect,abrahamy,0,0.31,incorrect,adam,0,0.36,incorrect,abel,0,0.36,incorrect,jesus,0,0.31,incorrect,israel,0,0.36,incorrect,abraham,0,0.29,incorrect,shakespeare,0,0.44,incorrect,adam,0,0.36,incorrect
['defarge'],morena,0,0.31,incorrect,long,0,0.18,incorrect,lucifer,0,0.29,incorrect,jesus,0,0.17,incorrect,long gone demo,0,0.19,incorrect,jesus,0,0.17,incorrect,lucifer,0,0.29,incorrect,diabolo,0,0.29,incorrect,voltaire,0,0.4,incorrect,god,0,0.2,incorrect,job,0,0.0,incorrect,adam,0,0.36,incorrect,long,0,0.18,incorrect,jesus,0,0.17,incorrect,jesus,0,0.17,incorrect,diabolo,0,0.29,incorrect,god,0,0.2,incorrect,adam,0,0.36,incorrect
"['mr', 'mr lorry', 'lorry']",seleka,0,0.18,incorrect,seleka,0,0.18,incorrect,abraham,0,0.22,incorrect,jesus,0,0.0,incorrect,abel,0,0.22,incorrect,jesus,0,0.0,incorrect,adam,0,0.33,incorrect,abraham,0,0.22,incorrect,abraham lincoln,0,0.35,incorrect,shakespeare,0,0.15,incorrect,adam,0,0.33,incorrect,abrahamy,0,0.31,incorrect,seleka,0,0.18,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,abraham,0,0.22,incorrect,shakespeare,0,0.15,incorrect,abrahamy,0,0.31,incorrect
"['mr', 'mr lorry', 'lorry']",abel,0,0.22,incorrect,abel,0,0.22,incorrect,abrahami,0,0.2,incorrect,jesus,0,0.0,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,adam,0,0.33,incorrect,abraham,0,0.22,incorrect,heathcliff,0,0.13,incorrect,heathcliff,0,0.13,incorrect,abrahamy,0,0.31,incorrect,adam,0,0.33,incorrect,abel,0,0.22,incorrect,jesus,0,0.0,incorrect,god,0,0.25,incorrect,abraham,0,0.22,incorrect,heathcliff,0,0.13,incorrect,adam,0,0.33,incorrect
['defarge'],israel,0,0.31,incorrect,israel,0,0.31,incorrect,abrahami,0,0.27,incorrect,abraham,0,0.29,incorrect,abel,0,0.36,incorrect,israel,0,0.31,incorrect,adam,0,0.36,incorrect,abraham,0,0.29,incorrect,turner,0,0.31,incorrect,newton,0,0.15,incorrect,abrahamy,0,0.27,incorrect,adam,0,0.36,incorrect,israel,0,0.31,incorrect,abraham,0,0.29,incorrect,israel,0,0.31,incorrect,abraham,0,0.29,incorrect,newton,0,0.15,incorrect,adam,0,0.36,incorrect
"['manette', 'mane', 'miss', 'miss manette']",abel,0,0.5,incorrect,abel,0,0.5,incorrect,oliver twist,0,0.33,incorrect,jesus,0,0.44,incorrect,abel,0,0.5,incorrect,god,0,0.0,incorrect,abraham lincoln,0,0.22,incorrect,adam,0,0.25,incorrect,heathcliff,0,0.24,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect,job,0,0.0,incorrect,abel,0,0.5,incorrect,jesus,0,0.44,incorrect,god,0,0.0,incorrect,adam,0,0.25,incorrect,god,0,0.0,incorrect,job,0,0.0,incorrect
