Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['serena'],"Not quite the stuff of childhood dreams. Then again, I’m no dreamer. I only ever contemplated marriage once, back in the gloomy days of my childhood. Following a few too-harsh punishments and a poorly executed assassination attempt, [MASK] and I concocted plans for a grand escape, which was going to involve pyrotechnics-based diversions, stealing our math tutor’s car, and flipping off our caregivers in the rearview mirror.",<output>Lucas</output>,"stealing our flipping contemplated I’m was dreams. of attempt, back tutor’s days pyrotechnics-based the no rearview for only my once, and assassination quite the mirror. executed ever going concocted Not and to stuff dreamer. escape, childhood. few I too-harsh a marriage gloomy again, in grand Following punishments poorly car, diversions, of which caregivers Then in involve a math off childhood and [MASK] our a plans the I",<output>John</output>
['serena'],"That was fourteen years ago, though, and [MASK] never married me. In fact, she’s long gone. I’m here alone, with a giant heap of expensive wedding favors that’ll hopefully fool guests into overlooking the lack of love, genetic compatibility, or even previous acquaintance between me and the groom.",<output>Emily</output>,"and me fact, of heap and guests compatibility, overlooking with wedding me. fourteen into groom. love, lack here alone, acquaintance gone. never long I’m or that’ll of [MASK] though, between married years was previous In giant favors the ago, That even hopefully the she’s genetic fool expensive a",<output>Elizabeth</output>
['vampyre'],"I did try to arrange a meeting. Suggested to my people that they suggest to his people that we could grab lunch the week before the ceremony. Coffee the previous day. A glass of tap water the morning of—anything to avoid a “How do you do?” in front of the officiant. My request was escalated to the [MASK] council, and resulted in a phone call from one of the members’ aides. His tone managed to be polite while heavily implying that I was a cuckoo nutbird. “He’s a Were. A very powerful and dangerous Were. Just the logistics of providing security for such a meeting would be—”",<output>Werewolf</output>,"Suggested the suggest Were. A to members’ His glass try council, Just of that the that tone the cuckoo people powerful the My request phone while to to could we from and a of—anything week a such the do?” aides. very water that you to of his escalated Coffee a day. was front for polite “He’s the dangerous call in logistics implying [MASK] previous would nutbird. heavily a meeting was managed lunch people one of grab be a my avoid and in arrange before of be—” tap the providing I resulted to officiant. do morning the security they did meeting. A a to I ceremony. “How Were.",<output>Trump</output>
['lark'],"One of the agents stops us in front of the double doors that lead into the courtyard. “Councilman [MASK], Miss [MASK], one minute. They’re not quite ready for you.” We wait side by side for a handful of uncomfortable moments, then Father turns to me. In my stylist-mandated heels, I nearly reach his height, and his eyes easily catch mine.",<output>Haymitch</output>,"us of courtyard. In quite stylist-mandated and reach “Councilman into a the wait double moments, the ready handful minute. me. [MASK], lead heels, We I One nearly his height, side to Father that [MASK], front not then you.” turns for his one of in stops for Miss easily mine. the my side doors eyes by agents uncomfortable They’re catch of",<output>Mr. Darcy</output>
['cal'],"“But they found a replacement,” [MASK] adds, sliding a manila folder on the counter. “Everything’s in here. They want to know if she has your approval.”",<output>He</output>,"folder if manila [MASK] the they “But here. she counter. in know “Everything’s want approval.” adds, on replacement,” found your to has They sliding a a",<output>Staples</output>
['vampyres'],"The first things I notice are the two walls of windows, which is exactly what Father wants. Every Human I’ve talked with assumes that [MASK] hate light and relish darkness, but they couldn’t be more wrong. The sun may be forbidden to us, toxic always and deathly in large quantities, but that’s precisely why we covet it with such intensity. Windows are a luxury, because they need to be treated with absurdly expensive materials that filter everything that might harm us. And windows this large are the most bombastic of status symbols, in a full display of dynastic power and obscene wealth. And beyond them . . .",<output>Vampires</output>,"what wrong. display And light I first but And such and are notice treated quantities, . the with things power a most and us, need they obscene in that . Father harm windows materials us. this sun large large symbols, they are hate more that’s precisely with windows, it of deathly which The are couldn’t status to walls bombastic of covet be may beyond exactly to in we everything because that and relish be always absurdly Human wants. with . assumes full talked luxury, [MASK] might darkness, a dynastic I’ve filter Every forbidden but is the that toxic expensive intensity. two be Windows why them of The wealth.",<output>Marx</output>
['vampyres'],"“Whose? Yours? Are you going to . . .” I don’t bother finishing the sentence—the sheer thought is ludicrous. It’s not just weddings that have gone out of fashion hundreds of years ago, but the entire idea of long-term relationships. As it turns out, when your species sucks at producing children, encouraging sexual walkabouts and the search for reproductively compatible partners takes precedence over romance. I doubt [MASK] were ever particularly romantic, anyway. “Whose?”",<output>Humans</output>,"not Are the Yours? .” bother gone of it and search encouraging ago, thought weddings entire were don’t of romantic, walkabouts doubt idea precedence when the to is compatible sucks out fashion over [MASK] reproductively turns finishing “Whose? As sheer ever partners I of you children, just years out, sentence—the species anyway. that relationships. I ludicrous. have going hundreds sexual long-term romance. for particularly your but the . takes “Whose?” . It’s producing at",<output>Darwin</output>
['davenport'],“And your take on her . . . ?” He must have one. Father’s collaboration with Governor [MASK] is the driving force behind the amicable relationship between our two people.,<output>Phillips</output>,. . your two He relationship Governor have behind driving people. ?” force amicable her between collaboration take must is . our one. the on the “And Father’s [MASK] with,<output>God</output>
['davenport'],"“However, I am still tasked with guaranteeing the safety of my people. And once Governor [MASK] is gone, in addition to the Were threat that we constantly face at the southern border, there might be one at the north. From the Humans.”",<output>Northman</output>,"border, of Governor be I southern Humans.” gone, constantly the in to addition there From with one And once north. [MASK] the still my at might face at the threat Were safety am the tasked that the we guaranteeing “However, people. is",<output>Andrew</output>
['vampyres'],"“You hold a Human child as a deterrent for ten years, with the mutual understanding that if the Humans violate the terms of our alliance, the [MASK] will instantly murder the child. That seems crude and simplistic, too.”",<output>Formics</output>,"the as murder terms for years, a understanding mutual Humans ten and “You the a deterrent child. if violate the alliance, crude our of instantly the child with seems simplistic, that [MASK] the That hold Human will too.”",<output>Human</output>
['abel'],"He nods. “A little more than a week ago, her little brother, [MASK], turned fifteen. That night, he and three friends were out partying, and found themselves near the river. Emboldened by their youth and feeble-mindedness, they challenged each other to swim across it, touch the riverbank that belongs to Were territory, and then swim back. A show of bravery, if you will.”",<output>Lucas</output>,"back. [MASK], you were challenged of brother, partying, and out to riverbank show three fifteen. week river. it, near little the That friends if A Emboldened than nods. He he touch by her and belongs a will.” each turned swim other ago, then across they themselves that swim their and more to youth found feeble-mindedness, Were bravery, night, little the and “A territory,",<output>Tom</output>
['roscoe'],"“Their succession of power is not particularly sophisticated. Weres are most closely related to dogs, after all. Suffice to say, [MASK] is dead.”",<output>Lucas</output>,"Weres to particularly most are succession say, of closely dead.” to is related not after dogs, power Suffice is [MASK] “Their sophisticated. all.",<output>Lycaon</output>
['roscoe'],"“He is young, you see. Around your age and built of a different stock. As savage as [MASK], perhaps, but more open-minded. He believes that peace in the region is possible. That alliances among all three species should be cultivated.”",<output>Attila</output>,"He but that is a see. built region be all and stock. in savage That possible. open-minded. more different the is you peace “He Around [MASK], As three age believes of young, among your should cultivated.” species perhaps, alliances as",<output>Montaigne</output>
['serena'],"“The other children knew that I’d be the one sent to the Humans, and they started calling me fangless traitor as soon as they could form full sentences. Or have you forgotten when I was seven, and the sons and daughters of your fellow councilmen stole my clothes and pushed me out in the sun right before midday? And those same people spat on me and mocked me when I returned from ten years serving as their Collateral, so I’m not—” I exhale slowly, and remind myself that this is fine. I am fine. Untouchable. I’m twenty-five and I have my fake Human IDs, my apartment, my cat (fuck you, [MASK]), my . . . Okay, I probably don’t have a job right now, but I’ll find another soon, with 100 percent fewer Pierces. I have friends—a friend. Probably.",<output>Pierce</output>,"me when and started ten to out people And when apartment, spat find me they Untouchable. sons my fine. friends—a be I friend. I have I fewer one have so twenty-five myself I’d soon, the and Probably. this and Pierces. my fangless me now, I percent returned midday? mocked Collateral, right . remind sentences. that calling “The job form but I a knew traitor fellow other could and as right don’t Human forgotten Or those I’ll of was clothes your . in I’m . you, they have with my I’m IDs, full years pushed the stole (fuck before exhale slowly, that me Okay, daughters my sun fine. their and Humans, the the serving you and children 100 my and as I probably another am from cat not—” is sent same [MASK]), have councilmen I seven, soon on as fake",<output>Severus</output>
['vampyre'],"“They see a wedding between a [MASK] and an Alpha that was supposed to broker peace, but ended in death. The Weres are animals, and always will be, but we are on the road to extinction, and the good of the most must be considered. If we let the Humans and Weres form an alliance that excludes us, they could completely wipe us out—”",<output>Were</output>,"could us and broker and will good to that and an the out—” of completely but peace, but an always and “They supposed are death. the wipe Alpha was animals, Weres we a wedding ended the to most must excludes Humans The form we Weres see extinction, on between road us, If [MASK] in are considered. a that the be, they alliance let be",<output>Charles</output>
['serena'],"I only ever laughed out loud with [MASK], which means that it must have been well over a month since I last did it. My brain nearly hiccups, startled at these newfangled, mysterious sounds my voice box is producing. “Did you drink rotten blood? Because you’re unhinged.”",<output>Ren</output>,"brain ever nearly sounds well My these producing. means over [MASK], hiccups, unhinged.” box mysterious is that which a last loud must at you I month been drink it “Did did since voice only blood? have you’re with out startled it. newfangled, I laughed rotten Because my",<output>Frankenstein</output>
