,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,21.666666666666668,18.333333333333332,8.333333333333332,0.0,3.3333333333333335,1.6666666666666667,0.0,1.6666666666666667,8.333333333333332,1.6666666666666667,5.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,5.0,0.0
A Tale of Two Cities,4.0,3.0,5.0,3.0,2.0,3.0,0.0,4.0,0.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,0.0,4.0,1.0,4.0
A thousand splendid suns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,21.0,6.0,8.0,2.0,3.0,12.0,1.0,7.000000000000001,8.0,3.0,17.0,2.0,3.0,1.0,5.0,8.0,0.0,2.0,2.0,0.0
Adventures of Sherlock Holmes,6.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Alice in Wonderland,39.130434782608695,6.521739130434782,6.521739130434782,0.0,,,,,,,6.521739130434782,0.0,0.0,0.0,,,,,,
Dracula,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dune,7.000000000000001,7.000000000000001,7.000000000000001,6.0,5.0,6.0,2.0,5.0,0.0,6.0,5.0,5.0,7.000000000000001,7.000000000000001,4.0,7.000000000000001,2.0,5.0,0.0,5.0
Fahrenheit 451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,8.333333333333332,8.333333333333332,8.333333333333332,6.25,0.0,4.166666666666666,2.083333333333333,4.166666666666666,0.0,2.083333333333333,6.25,4.166666666666666,4.166666666666666,6.25,0.0,4.166666666666666,0.0,2.083333333333333,0.0,0.0
Harry Potter and the Deathly Hallows,16.0,7.000000000000001,6.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,3.0,6.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0
Of Mice and Men,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,13.131313131313133,7.07070707070707,6.0606060606060606,4.040404040404041,2.0202020202020203,6.0606060606060606,1.0101010101010102,3.0303030303030303,0.0,3.0303030303030303,3.0303030303030303,4.040404040404041,4.040404040404041,5.05050505050505,2.0202020202020203,3.0303030303030303,0.0,3.0303030303030303,0.0,3.0303030303030303
Sense and sensibility,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
The Boy in the Striped Pyjamas,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,12.962962962962962,3.7037037037037033,9.25925925925926,12.962962962962962,7.4074074074074066,18.51851851851852,1.8518518518518516,14.814814814814813,14.814814814814813,18.51851851851852,11.11111111111111,0.0,1.8518518518518516,29.629629629629626,3.7037037037037033,24.074074074074073,0.0,1.8518518518518516,7.4074074074074066,7.4074074074074066
The Handmaid s Tale,4.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,31.506849315068493,16.43835616438356,15.068493150684931,0.0,1.36986301369863,2.73972602739726,0.0,0.0,4.10958904109589,4.10958904109589,21.91780821917808,5.47945205479452,8.21917808219178,1.36986301369863,1.36986301369863,1.36986301369863,0.0,0.0,5.47945205479452,1.36986301369863
