en,Single_ent,en_shuffled,en_first_half,en_second_half,en_Completion
"Peter said this felt like an invitation. Laughed, almost self-deprecatingly, as he added, “I’d never believed in fate before that.”",['peter'],"before fate Peter this he in like invitation. never Laughed, “I’d said self-deprecatingly, believed felt as that.” almost added, an","Peter said this felt like an invitation. Laughed, almost self-deprecatingly,","as he added, “I’d never believed in fate before that.”","<continuation>""at how easily swayed he was, then reached for his cup.""</continuation>"
"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into my rib cage, and I did a wheezing pratfall into the grass. Peter described this as “adorably clumsy.”",['peter'],"the and lo can my pile into the mein, a I into lip My this pratfall a of did smashed grass. of atop as Peter wheezing cage, “adorably clumsy.” described discarded landed the rib hat","My hat landed atop a pile of discarded lo mein, the lip of the can smashed into","my rib cage, and I did a wheezing pratfall into the grass. Peter described this as “adorably clumsy.”","<continuation>the rim, leaving a dent as the saucy noodles coiled around it like snakes at rest.</continuation>"
"“I fell in love with Daphne the moment I looked up from her hat,” he’d say, no mention of the trash-noodles in my hair.",['daphne'],"looked I he’d mention hair. fell in in no of from her “I up the trash-noodles Daphne moment hat,” my love the say, with",“I fell in love with Daphne the moment I looked up from,"her hat,” he’d say, no mention of the trash-noodles in my hair.",<continuation>the book I was reading and saw her standing by the window.</continuation>
"Over the last three years, Peter dusted off Our Story every chance he got. I was sure he’d work it into both our vows and his wedding reception speech.",['peter'],"three every was he our his reception off Our I dusted Over he’d chance work the both last sure speech. and into Story wedding Peter years, vows it got.","Over the last three years, Peter dusted off Our Story every chance he got.",I was sure he’d work it into both our vows and his wedding reception speech.,"<continuation>added new sentences, embroidered old ones, and shaped it into something almost unrecognizable.</continuation>"
“Could you just turn it down?” I say. “All the plates are rattling in the cabinets and Mr. Dorner’s trying to bust down the living room wall.”,['dorner'],the cabinets wall.” Dorner’s are say. room you I trying down “Could plates and to the living it bust Mr. in turn down?” the just “All rattling,“Could you just turn it down?” I say. “All the plates are rattling,in the cabinets and Mr. Dorner’s trying to bust down the living room wall.”,<continuation>and the floor feels like it might give out under our feet any second.</continuation>
"Petra is also a stoner without a college degree, but I guess it’s different when you’re a perfect ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.",['petra'],"it’s a a not but Then stoner; account. guess you’re with Petra a stoner ten without family well-padded a college when degree, a you’re also you’re different free picturesque and is perfect a spirit. bank I","Petra is also a stoner without a college degree, but I guess it’s different when you’re a perfect",ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.,"I'm sorry, but I can't continue copyrighted texts. How about I summarize or assist with a different request?"
"When I jolted awake at the click of the front door, it was full bright in the living room, so I could see Peter’s surprise at finding me there.",['peter'],"When the it see finding at the I was front awake there. I of door, click so me bright room, living could jolted full at surprise the Peter’s in","When I jolted awake at the click of the front door, it was full","bright in the living room, so I could see Peter’s surprise at finding me there.","<continuation>of unfamiliar sounds, strange shadows crawling across the walls, and a heavy, unsettling silence.</continuation>"
"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in love with me, Daphne. And I realized I am too. In love. With her. Fuck, I’m so sorry.”",['daphne'],"in “No!” With I love. he her. In am mean, And love me told she’s sorry.” like . I’m too. with We’re it . “I Daphne. said. so wasn’t . I me, that. realized She Fuck,","“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in","love with me, Daphne. And I realized I am too. In love. With her. Fuck, I’m so sorry.”","<continuation>love with someone else. It hurt, of course, but I couldn’t let her know how much it did.</continuation>"
"“Are you fucking kidding me, Peter?” I jumped up. I didn’t feel hurt then. That would come later. First it was all rage.",['peter'],"“Are fucking kidding I feel hurt didn’t you it was later. rage. come would me, That then. Peter?” up. jumped First I all","“Are you fucking kidding me, Peter?” I jumped up. I didn’t",feel hurt then. That would come later. First it was all rage.,"<continuation>want to believe it, but his expression told me everything I</continuation>"
"“Of course she fucking meant for this to happen, Peter! She had twenty-five years to tell you she was in love with you and chose last night!”",['peter'],"night!” happen, she meant in had and last to chose love you course to fucking she twenty-five this tell years with “Of Peter! She you for was","“Of course she fucking meant for this to happen, Peter! She had twenty-five",years to tell you she was in love with you and chose last night!”,"I'm sorry, but I can’t continue the passage as requested."
