Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['mum'],kim,0,0.33,incorrect,rg,0,0.0,incorrect,rg,0,0.0,incorrect
['mum'],mom,0,0.67,incorrect,rg,0,0.0,incorrect,rg,0,0.0,incorrect
['eden'],charlotte,0,0.15,incorrect,rg,0,0.0,incorrect,rg,0,0.0,incorrect
"['gopal das', 'das', 'gopal']",williams,0,0.36,incorrect,jesus,0,0.25,incorrect,jesus,0,0.25,incorrect
"['gopal das', 'das', 'gopal']",jason,0,0.5,incorrect,shane,0,0.25,incorrect,shane,0,0.25,incorrect
['nero'],costa,0,0.22,incorrect,arabella,0,0.17,incorrect,arabella,0,0.17,incorrect
['thomas'],dr. mccoy,0,0.13,incorrect,watson,0,0.33,incorrect,watson,0,0.33,incorrect
['arabella'],augusta,0,0.27,incorrect,augusta,0,0.27,incorrect,augusta,0,0.27,incorrect
['thomas'],instagram,0,0.27,incorrect,instagram,0,0.27,incorrect,instagram,0,0.27,incorrect
['arabella'],chow,0,0.0,incorrect,queen elizabeth,0,0.26,incorrect,queen elizabeth,0,0.26,incorrect
['eden'],julia,0,0.0,incorrect,julia,0,0.0,incorrect,julia,0,0.0,incorrect
['eden'],arabella,0,0.17,incorrect,arabella,0,0.17,incorrect,arabella,0,0.17,incorrect
['arabella'],beatrice,0,0.38,incorrect,beatrice,0,0.38,incorrect,beatrice,0,0.38,incorrect
['arabella'],michelle yeoh,0,0.29,incorrect,lucy,0,0.17,incorrect,lucy,0,0.17,incorrect
['arabella'],ching-he huang,0,0.18,incorrect,chan,0,0.17,incorrect,chan,0,0.17,incorrect
['arabella'],bella,0,0.77,correct,marco,0,0.31,incorrect,marco,0,0.31,incorrect
"['tong', 'thomas tong', 'thomas']",watson,0,0.6,incorrect,watson,0,0.6,incorrect,watson,0,0.6,incorrect
['eden'],emily,0,0.22,incorrect,scarlett,0,0.17,incorrect,scarlett,0,0.17,incorrect
['eden'],she,0,0.29,incorrect,veronica,0,0.33,incorrect,veronica,0,0.33,incorrect
['eden'],emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['eden'],emily,0,0.22,incorrect,tom,0,0.0,incorrect,tom,0,0.0,incorrect
['rufus'],adam,0,0.0,incorrect,wolseley,0,0.15,incorrect,wolseley,0,0.15,incorrect
['rufus'],leilani,0,0.0,incorrect,puako,0,0.2,incorrect,puako,0,0.2,incorrect
['rufus'],jack,0,0.0,incorrect,frank lloyd wright,0,0.09,incorrect,frank lloyd wright,0,0.09,incorrect
['rufus'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['arabella'],julian,0,0.29,incorrect,london,0,0.14,incorrect,london,0,0.14,incorrect
['bea'],"error: {'error': {'object': 'error', 'type': 'internal_server_error', 'message': 'bad gateway'}}",0,0.06,incorrect,madame,0,0.22,incorrect,madame,0,0.22,incorrect
['eden'],she,0,0.29,incorrect,monet,0,0.22,incorrect,monet,0,0.22,incorrect
['eden'],emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['rufus'],scarlett,0,0.15,incorrect,lucas,0,0.4,incorrect,lucas,0,0.4,incorrect
['eden'],leilani,0,0.36,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['rufus'],lucas,0,0.4,incorrect,puerto rico,0,0.12,incorrect,puerto rico,0,0.12,incorrect
['bea'],augusta,0,0.2,incorrect,augusta,0,0.2,incorrect,augusta,0,0.2,incorrect
['bea'],kim kardashian,0,0.12,incorrect,valentino,0,0.17,incorrect,valentino,0,0.17,incorrect
['arabella'],scarlett,0,0.38,incorrect,augusta,0,0.27,incorrect,augusta,0,0.27,incorrect
['eden'],beatrice,0,0.33,incorrect,frank,0,0.22,incorrect,frank,0,0.22,incorrect
['rufus'],yumi,0,0.22,incorrect,mount st. helens,0,0.19,incorrect,mount st. helens,0,0.19,incorrect
['bea'],emily,0,0.25,incorrect,jason,0,0.25,incorrect,jason,0,0.25,incorrect
['eden'],emily,0,0.22,incorrect,mauna kea,0,0.15,incorrect,mauna kea,0,0.15,incorrect
['freddy'],victor,0,0.17,incorrect,queequeg,0,0.14,incorrect,queequeg,0,0.14,incorrect
['rufus'],freddy,0,0.18,incorrect,monica,0,0.0,incorrect,monica,0,0.0,incorrect
['farman'],farzam,0,0.67,incorrect,farmihian,0,0.8,correct,farmihian,0,0.8,correct
['solène'],colette,0,0.62,incorrect,colette,0,0.62,incorrect,colette,0,0.62,incorrect
['laurel'],dr. maria rodriguez,0,0.24,incorrect,winter,0,0.17,incorrect,winter,0,0.17,incorrect
['rufus'],john,0,0.0,incorrect,pinocchio,0,0.0,incorrect,pinocchio,0,0.0,incorrect
['laurel'],dr. maria rodriguez,0,0.24,incorrect,shamu,0,0.36,incorrect,shamu,0,0.36,incorrect
['solène'],emily,0,0.18,incorrect,harry,0,0.0,incorrect,harry,0,0.0,incorrect
['laurel'],leia,0,0.4,incorrect,orca,0,0.2,incorrect,orca,0,0.2,incorrect
['eden'],isabella,0,0.17,incorrect,edna,0,0.75,correct,edna,0,0.75,correct
['tong'],dr. smith,0,0.15,incorrect,walmart,0,0.18,incorrect,walmart,0,0.18,incorrect
['thomas'],taro,0,0.4,incorrect,spam,0,0.2,incorrect,spam,0,0.2,incorrect
['thomas'],adam,0,0.2,incorrect,grand canyon,0,0.11,incorrect,grand canyon,0,0.11,incorrect
['arabella'],anyone,0,0.29,incorrect,earth,0,0.31,incorrect,earth,0,0.31,incorrect
['thomas'],lucas,0,0.36,incorrect,tom,0,0.67,incorrect,tom,0,0.67,incorrect
['max'],helga,0,0.25,incorrect,thor,0,0.0,incorrect,thor,0,0.0,incorrect
['kamehameha'],kamehameha,1,1.0,correct,kamehameha,1,1.0,correct,kamehameha,1,1.0,correct
['kamehameha'],king kamehameha,0,0.8,correct,pelekane,0,0.33,incorrect,pelekane,0,0.33,incorrect
['thomas'],ethan,0,0.55,incorrect,stonehenge,0,0.25,incorrect,stonehenge,0,0.25,incorrect
"['tan', 'rene tan', 'rene']",donald trump,0,0.3,incorrect,john,0,0.29,incorrect,john,0,0.29,incorrect
['eden'],she,0,0.29,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['thomas'],dr. smith,0,0.27,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect
['thomas'],chan,0,0.4,incorrect,hong kong,0,0.27,incorrect,hong kong,0,0.27,incorrect
['eden'],scarlett,0,0.17,incorrect,marie,0,0.22,incorrect,marie,0,0.22,incorrect
['bea'],scarlett,0,0.18,incorrect,scarlett,0,0.18,incorrect,scarlett,0,0.18,incorrect
['eden'],bea,0,0.29,incorrect,bea,0,0.29,incorrect,bea,0,0.29,incorrect
['thomas'],jack,0,0.2,incorrect,denver,0,0.0,incorrect,denver,0,0.0,incorrect
['arabella'],marie,0,0.46,incorrect,marie,0,0.46,incorrect,marie,0,0.46,incorrect
['eden'],emily,0,0.22,incorrect,lucy,0,0.0,incorrect,lucy,0,0.0,incorrect
['eden'],thor,0,0.0,incorrect,eric,0,0.25,incorrect,eric,0,0.25,incorrect
['eden'],she,0,0.29,incorrect,clarissa,0,0.0,incorrect,clarissa,0,0.0,incorrect
['rufus'],leilani,0,0.0,incorrect,mauna kea,0,0.14,incorrect,mauna kea,0,0.14,incorrect
"['gopal das', 'das', 'gopal']",malakai,0,0.38,incorrect,hamlet,0,0.36,incorrect,hamlet,0,0.36,incorrect
['arabella'],caroline,0,0.38,incorrect,chinese,0,0.13,incorrect,chinese,0,0.13,incorrect
['eden'],lily,0,0.0,incorrect,maui,0,0.0,incorrect,maui,0,0.0,incorrect
['eden'],scarlett,0,0.17,incorrect,scarlett,0,0.17,incorrect,scarlett,0,0.17,incorrect
