Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['adela'],scarlett,0,0.31,incorrect,blond,0,0.2,incorrect,blond,0,0.2,incorrect
['adela'],dr. smith,0,0.14,incorrect,dr. smith,0,0.14,incorrect,dr. smith,0,0.14,incorrect
"['gore', 'graham', 'graham gore']",john franklin,0,0.25,incorrect,franklin,0,0.29,incorrect,franklin,0,0.29,incorrect
['gore'],dickens,0,0.18,incorrect,charles dickens,0,0.21,incorrect,charles dickens,0,0.21,incorrect
['mm'],john,0,0.0,incorrect,emily,0,0.29,incorrect,emily,0,0.29,incorrect
['gore'],james,0,0.22,incorrect,marlboro,0,0.33,incorrect,marlboro,0,0.33,incorrect
['gore'],john,0,0.25,incorrect,orwell,0,0.6,incorrect,orwell,0,0.6,incorrect
['gore'],horatio hornblower,0,0.27,incorrect,magellan,0,0.33,incorrect,magellan,0,0.33,incorrect
['gore'],harry,0,0.22,incorrect,winston,0,0.18,incorrect,winston,0,0.18,incorrect
['gore'],grandfather,0,0.4,incorrect,galileo,0,0.36,incorrect,galileo,0,0.36,incorrect
['gore'],my sister,0,0.15,incorrect,hamlet,0,0.2,incorrect,hamlet,0,0.2,incorrect
['gore'],arjun,0,0.22,incorrect,arjun,0,0.22,incorrect,arjun,0,0.22,incorrect
['gore'],kit,0,0.0,incorrect,queequeg,0,0.17,incorrect,queequeg,0,0.17,incorrect
['stanley'],dr. livesey,0,0.33,incorrect,mr. darcy,0,0.25,incorrect,mr. darcy,0,0.25,incorrect
['gore'],patrick,0,0.18,incorrect,edward,0,0.2,incorrect,edward,0,0.2,incorrect
['gore'],franklin,0,0.17,incorrect,franklin,0,0.17,incorrect,franklin,0,0.17,incorrect
['gore'],he,0,0.33,incorrect,ministry,0,0.17,incorrect,ministry,0,0.17,incorrect
['adela'],dr. kim,0,0.17,incorrect,freud,0,0.2,incorrect,freud,0,0.2,incorrect
['adela'],director,0,0.31,incorrect,china,0,0.2,incorrect,china,0,0.2,incorrect
['gore'],edward,0,0.2,incorrect,adam,0,0.0,incorrect,adam,0,0.0,incorrect
['gore'],albert,0,0.2,incorrect,albert,0,0.2,incorrect,albert,0,0.2,incorrect
['gore'],lord vetinari,0,0.35,incorrect,marlowe,0,0.36,incorrect,marlowe,0,0.36,incorrect
['gore'],paul,0,0.0,incorrect,ministry,0,0.17,incorrect,ministry,0,0.17,incorrect
['ralph'],wormold,0,0.33,incorrect,marlowe,0,0.33,incorrect,marlowe,0,0.33,incorrect
['ralph'],angela,0,0.36,incorrect,moody,0,0.0,incorrect,moody,0,0.0,incorrect
['negro'],nigger,0,0.55,incorrect,obama,0,0.2,incorrect,obama,0,0.2,incorrect
['black'],lesbian,0,0.33,incorrect,woman,0,0.2,incorrect,woman,0,0.2,incorrect
['rosa'],ship,0,0.25,incorrect,equiano,0,0.18,incorrect,equiano,0,0.18,incorrect
['graham'],anthony,0,0.31,incorrect,angkor,0,0.33,incorrect,angkor,0,0.33,incorrect
['adam'],adam,1,1.0,correct,adam,1,1.0,correct,adam,1,1.0,correct
['punch'],monty python,0,0.24,incorrect,wedgwood,0,0.0,incorrect,wedgwood,0,0.0,incorrect
['gore'],wellness,0,0.17,incorrect,ernest hemingway,0,0.2,incorrect,ernest hemingway,0,0.2,incorrect
['gore'],julian,0,0.0,incorrect,stanley kubrick,0,0.11,incorrect,stanley kubrick,0,0.11,incorrect
['gore'],jo,0,0.33,incorrect,brigadier,0,0.31,incorrect,brigadier,0,0.31,incorrect
['gore'],dr. leete,0,0.31,incorrect,frank,0,0.22,incorrect,frank,0,0.22,incorrect
['graham'],sebastian,0,0.27,incorrect,emma,0,0.2,incorrect,emma,0,0.2,incorrect
['arthur'],brigadier,0,0.27,incorrect,brigadier,0,0.27,incorrect,brigadier,0,0.27,incorrect
['hasn'],auntie,0,0.4,incorrect,george,0,0.0,incorrect,george,0,0.0,incorrect
['stanley'],dr. marin,0,0.25,incorrect,men,0,0.2,incorrect,men,0,0.2,incorrect
['stokes'],cook,0,0.4,incorrect,cook,0,0.4,incorrect,cook,0,0.4,incorrect
['stokes'],lydia,0,0.0,incorrect,stephen,0,0.46,incorrect,stephen,0,0.46,incorrect
['stokes'],arthur,0,0.17,incorrect,robinson crusoe,0,0.29,incorrect,robinson crusoe,0,0.29,incorrect
['gore'],god,0,0.57,incorrect,god,0,0.57,incorrect,god,0,0.57,incorrect
['graham'],leonardo,0,0.14,incorrect,augustus,0,0.14,incorrect,augustus,0,0.14,incorrect
['graham'],john,0,0.2,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['graham'],he,0,0.25,incorrect,marlowe,0,0.15,incorrect,marlowe,0,0.15,incorrect
['graham'],victor,0,0.17,incorrect,ministry,0,0.14,incorrect,ministry,0,0.14,incorrect
['graham'],nineteen-seventeen,0,0.0,incorrect,trade,0,0.36,incorrect,trade,0,0.36,incorrect
['adela'],miss brodie,0,0.25,incorrect,beatrice,0,0.31,incorrect,beatrice,0,0.31,incorrect
['adela'],clarice,0,0.33,incorrect,emily,0,0.4,incorrect,emily,0,0.4,incorrect
