Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
"['ruth crawford', 'crawford', 'ruth']",harlan,0,0.32,incorrect,jeff,0,0.17,incorrect,jeff,0,0.17,incorrect
['mark'],mr. darcy,0,0.46,incorrect,nathaniel,0,0.15,incorrect,nathaniel,0,0.15,incorrect
['butch'],jimmy,0,0.0,incorrect,world,0,0.0,incorrect,world,0,0.0,incorrect
['crawford'],prue,0,0.17,incorrect,pop,0,0.18,incorrect,pop,0,0.18,incorrect
['dave'],jane,0,0.5,incorrect,hope,0,0.25,incorrect,hope,0,0.25,incorrect
['butch'],rockefeller,0,0.12,incorrect,pop,0,0.0,incorrect,pop,0,0.0,incorrect
['alden'],boone,0,0.2,incorrect,ma,0,0.29,incorrect,ma,0,0.29,incorrect
['carmody'],stephen king,0,0.0,incorrect,mr. storm,0,0.25,incorrect,mr. storm,0,0.25,incorrect
"['ruth crawford', 'crawford', 'ruth']",pop,0,0.18,incorrect,koffee,0,0.14,incorrect,koffee,0,0.14,incorrect
"['ruth crawford', 'crawford', 'ruth']",jane,0,0.17,incorrect,princess,0,0.19,incorrect,princess,0,0.19,incorrect
['crawford'],pratchett,0,0.24,incorrect,prue,0,0.17,incorrect,prue,0,0.17,incorrect
['dave'],wimpy,0,0.0,incorrect,derby,0,0.44,incorrect,derby,0,0.44,incorrect
['dave'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
"['uncle butch', 'butch', 'uncle']",warhol,0,0.18,incorrect,dick,0,0.22,incorrect,dick,0,0.22,incorrect
['hathaway'],powell,0,0.14,incorrect,roberts,0,0.13,incorrect,roberts,0,0.13,incorrect
['butch'],arthur,0,0.36,incorrect,wood,0,0.0,incorrect,wood,0,0.0,incorrect
"['johnson', 'robert', 'robert johnson']",robert johnson,1,1.0,correct,lucifer,0,0.31,incorrect,lucifer,0,0.31,incorrect
['ruth'],sheila,0,0.2,incorrect,jane,0,0.0,incorrect,jane,0,0.0,incorrect
['carmody'],trump,0,0.33,incorrect,elton,0,0.17,incorrect,elton,0,0.17,incorrect
['ruth'],pop,0,0.0,incorrect,pippa,0,0.0,incorrect,pippa,0,0.0,incorrect
['butch'],john wayne,0,0.13,incorrect,willys,0,0.0,incorrect,willys,0,0.0,incorrect
['butch'],doc,0,0.25,incorrect,nick,0,0.22,incorrect,nick,0,0.22,incorrect
['butch'],jack,0,0.22,incorrect,willie,0,0.0,incorrect,willie,0,0.0,incorrect
['butch'],nelson,0,0.0,incorrect,nelly,0,0.0,incorrect,nelly,0,0.0,incorrect
['butch'],nellybelle,0,0.13,incorrect,peach,0,0.4,incorrect,peach,0,0.4,incorrect
['ylla'],dean,0,0.25,incorrect,napoleon,0,0.17,incorrect,napoleon,0,0.17,incorrect
['jack'],heathcliff,0,0.29,incorrect,thunder,0,0.0,incorrect,thunder,0,0.0,incorrect
['brown'],harvard,0,0.17,incorrect,harvard,0,0.17,incorrect,harvard,0,0.17,incorrect
['danny'],joe,0,0.0,incorrect,doomsday,0,0.46,incorrect,doomsday,0,0.46,incorrect
['danny'],he,0,0.0,incorrect,yosemite,0,0.15,incorrect,yosemite,0,0.15,incorrect
['danny'],harlan,0,0.36,incorrect,elephant,0,0.31,incorrect,elephant,0,0.31,incorrect
['danny'],he,0,0.0,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect
['danny'],the owner,0,0.14,incorrect,china,0,0.2,incorrect,china,0,0.2,incorrect
['danny'],he,0,0.0,incorrect,nathaniel,0,0.29,incorrect,nathaniel,0,0.29,incorrect
['danny'],dog,0,0.25,incorrect,quaker,0,0.18,incorrect,quaker,0,0.18,incorrect
['danny'],he,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['danny'],joe,0,0.0,incorrect,wilder,0,0.18,incorrect,wilder,0,0.18,incorrect
['danny'],john,0,0.22,incorrect,august,0,0.18,incorrect,august,0,0.18,incorrect
['jesse'],jay,0,0.25,incorrect,michael,0,0.17,incorrect,michael,0,0.17,incorrect
['pat'],the boss,0,0.18,incorrect,stack,0,0.25,incorrect,stack,0,0.25,incorrect
['danny'],hilltop,0,0.0,incorrect,general motors,0,0.11,incorrect,general motors,0,0.11,incorrect
['danny'],he,0,0.0,incorrect,texaco,0,0.18,incorrect,texaco,0,0.18,incorrect
['danny'],truck,0,0.0,incorrect,priscilla,0,0.14,incorrect,priscilla,0,0.14,incorrect
['danny'],franklin,0,0.46,incorrect,beaver,0,0.18,incorrect,beaver,0,0.18,incorrect
['danny'],jack,0,0.22,incorrect,chandler,0,0.31,incorrect,chandler,0,0.31,incorrect
