Single_ent,en,en_results,en_shuffled,en_shuffled_results
['adela'],"“I’m [MASK],” she said. She had an eye patch and blond hair the same color and texture as hay. “I’m the Vice Secretary.”","""title"": ""The Two Towers"", ""author"": ""J.R.R. Tolkien""","and Vice blond said. had “I’m She color hair Secretary.” “I’m she the hay. same as an texture patch and [MASK],” eye the","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['adela'],"“The Wellness team think their adjustment will be negatively impacted if they’re held on the wards any longer,” said [MASK], dry as a filing system.","""title"": ""It Can't Happen Here"", ""author"": ""Sinclair Lewis""","a team system. Wellness any they’re on dry negatively be will filing as “The their impacted adjustment if longer,” [MASK], held think the said wards","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
['graham gore'],"[MASK] (Commander, Royal Navy; c.1809–c.1847) had been in the twenty-first century for five weeks, though, like the other expats, he’d been lucid for only a handful of those days. The extraction process had merited a fortnight of hospitalization. Two of the original seven expats had died because of it, and only five remained. He’d been treated for pneumonia, for severe frostbite, for the early stages of scurvy, and two broken toes on which he had been blithely walking. Lacerations too, from a Taser—he’d shot at two of the team members who’d come to expatriate him, and a third was forced to fire.","""title"": ""The Mote in God's Eye"", ""author"": ""John Ringo""","handful had had shot only century Lacerations fortnight Taser—he’d been [MASK] a of the been been Two frostbite, of a for pneumonia, two to for process severe team c.1809–c.1847) of those and been for of original treated it, days. to from he’d members too, Royal which blithely the a remained. for lucid (Commander, merited and scurvy, only two expatriate for extraction though, died five had in of the a he expats at expats, toes forced five come him, weeks, fire. Navy; the and seven The walking. who’d of had hospitalization. other like on because He’d third the was early broken twenty-first stages","""title"": ""The Life of a Naval Officer's Wife"", ""author"": ""Mary Seacole"""
['gore'],"The house that the Ministry had provided was a late-Victorian redbrick, originally designed for local workers. [MASK] would have seen them built, if he’d lived into his eighties. As it was, he was thirty-seven years old and had not experienced crinolines, A Tale of Two Cities, or the enfranchisement of the working classes.","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","local classes. he’d would built, lived late-Victorian if As Two or not thirty-seven was, designed that [MASK] was the had and had the eighties. originally workers. have he for provided redbrick, Cities, experienced of of them was into Ministry A crinolines, The house working seen enfranchisement his the old it a years Tale","""title"": ""Oliver Twist"", ""author"": ""Charles Dickens"""
['mm'],"“[MASK]. Beside your elbow is a white box with a handle. It’s a refrigerator—a fridge, we call it. Could you open the door and take out the milk, please?”","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams""","a your “[MASK]. out open Beside handle. the the take with white elbow It’s a box Could it. call a is you door and milk, please?” fridge, refrigerator—a we","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['gore'],"[MASK] was already fully dressed and sitting on the edge of the bath, smoking. The bottom of the bath had a low-tide mark of cigarette ash and soap scum. Two cigarettes were crushed out in the soap dish.","""title"": ""1984"", ""author"": ""George Orwell""","the already Two dish. and ash and edge fully had cigarettes crushed dressed the were mark of [MASK] a scum. the smoking. soap in cigarette of bottom The on bath was of sitting bath, out soap the low-tide","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['gore'],"All this was to come. On that first morning, there was [MASK] chain-smoking and a bleeding water-supply line. The toilet’s cistern lay on the floor, gleaming like a slain whale. A vile smell was seeping up from the floor.","""title"": ""The Road"", ""author"": ""Cormac McCarthy""","the a there toilet’s this The up chain-smoking was that line. On on and was the [MASK] cistern floor, gleaming smell a like to A first vile come. lay floor. bleeding was water-supply seeping from All whale. morning, slain","""title"": ""It"", ""author"": ""Stephen King"""
['gore'],"[MASK] was an officer from the dusk of the Age of Sail, not an engineer. I’m sure he knew plenty about ship’s rigging, but he’d probably never handled an instrument more technologically complex than a sextant. Men in their right minds are not usually overcome with a mania for pulling the plumbing apart. I suggested he might like to wash his hands at the sink downstairs, and I could, perhaps, call a plumber, and we could, potentially, take a constitutional walk on the nearby heath.","""title"": ""The Difference Engine"", ""author"": ""William Gibson""","right technologically take call suggested a plumbing hands the he’d complex of but about for dusk could, never I of plumber, a rigging, the sextant. a might nearby his sink usually I potentially, and on their sure constitutional in probably handled instrument apart. could, an at from mania Men more ship’s the walk I’m we Age he are a perhaps, engineer. minds officer knew plenty to with he [MASK] Sail, wash like the downstairs, the and not not was overcome pulling an an heath. than","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['gore'],"The more I got to know him, the more I discovered [MASK] was the most entirely realized person I’d ever met. In his own time, he had liked hunting, sketching, flute playing (he was very good at this), and the company of other people. Hunting was out of the question, and socializing was limited by order of the Ministry. By the end of the first week he was visibly going bonkers with no one but me to talk to.","""title"": ""The Eyre Affair"", ""author"": ""Georgette Heyer""","time, (he person and had no discovered visibly very he was the In this), first entirely got I’d of met. by order talk was me other his hunting, he out but bonkers company going I Ministry. more [MASK] playing of flute week end most more people. the socializing limited to liked good the the and one know was The own was realized the question, sketching, the at I of to was him, of By Hunting with to. ever the","""title"": ""1984"", ""author"": ""George Orwell"""
['gore'],"[MASK] was internally displaced in this way. I could sometimes see him regarding the modern world as if through a telescope. He stood forever on the deck of a ship somewhere in the early 1800s. He must have done it even in his own era, coming down from the ports to note with alarm that women were wearing their sleeves wide again, that some European country had declared war on another again, while he was months or years away at sea. He told me stories as if he were trying to catch himself in amber. Just like my mother, though I didn’t tell him that.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz""","was even European or stood if had amber. country I regarding coming stories through another wide have were note to I early ship with this that see declared displaced He months somewhere catch the a Just that it wearing alarm their a way. didn’t forever though away sometimes from could in his to trying him He [MASK] ports in in he tell were world while at of the him was telescope. if mother, again, he war that. on the years done internally modern as told on my sleeves me 1800s. deck era, own sea. He like some the again, must women down in as himself","""title"": ""Moby Dick"", ""author"": ""Herman Melville"""
['gore'],"I should say that my face does a good impression of whiteness, late-entering or not. I didn’t know how to tell [MASK] that I’d been tricking him, feature by feature. I wasn’t sure I was ready to. He’d made, as people do, an assumption about me that left me room to maneuver. Later, when he found out the truth—as people do—he’d be unbalanced by his own mistake. Another person’s unguardedness in that moment can be very useful, interpersonally, as long as you don’t soften. There is language I could use about this if I were the melodramatic type: behind enemy lines, for example, or double agent. My sister might use these terms, or she might call me a fraud.","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller""","could found he or these I say can know she person’s There for was not. about in the whiteness, I him, My were double ready might assumption example, should that Another sister how Later, do, language this to wasn’t [MASK] or interpersonally, unbalanced agent. by lines, I might truth—as moment as that when mistake. by terms, me impression late-entering made, use people soften. be or that out feature. is good I I long you been about a I that room didn’t a call does left an type: my own be don’t melodramatic maneuver. useful, tricking feature unguardedness I’d tell as sure me of very if people to. behind the fraud. enemy face to He’d his as me do—he’d use","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['gore'],"[MASK] lifts his hand. He’s left a smear on the table the color of tamarind flesh. There is a sour, steady pain in his palm that he briefly misunderstands as a taste.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz""","smear misunderstands in palm hand. is sour, briefly a as his a taste. tamarind flesh. [MASK] lifts steady a the table of color There left on He’s the pain that he his","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['gore'],"[MASK] considers the weight of the sack he’d carried, which had felt so meaningful. “Three partridges,” he says, “and a boatswain gull too far off to hit. Nothing else. Not even tracks.”","""title"": ""The Road"", ""author"": ""Cormac McCarthy""","which partridges,” tracks.” had even “and he’d considers of says, felt else. weight boatswain a sack far [MASK] too hit. meaningful. the the so to he “Three Not carried, Nothing gull off","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['stanley'],"At this, [MASK] leans in. He is a fussy, short-tempered, handsome man who does not enjoy his job. “I must impress upon the meeting that the debility that wracks those in the sick bay will doubtless find ample footholds should we reduce the men’s rations.”","""title"": ""A Feast for Crows"", ""author"": ""George R. R. Martin""","reduce will should ample we impress debility leans his [MASK] that He is fussy, rations.” the must “I not man upon handsome meeting a bay in does this, job. footholds those sick wracks find who enjoy the short-tempered, At in. doubtless that the the men’s","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
['gore'],"[MASK] is looking at his left palm. The sour pain is still there, seeping through the bandages. So is the blood, but it seems melodramatic to observe this.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""","to blood, is at The So but seeping [MASK] looking this. palm. seems pain bandages. his melodramatic there, left is observe is the sour it still through the","""title"": ""Unknown"", ""author"": ""Unknown"""
['gore'],"The ice outside shifts—the Arctic stammering its jaws as a cat does when it sees a bird. The ship’s cat died in convulsions during their second winter. [MASK] had liked that cat. He’d become quite attached to it, especially as his dog had died in the first spring.","""title"": ""The Terror"", ""author"": ""Dan Simmons""","convulsions especially ship’s his The it that become [MASK] spring. a quite Arctic jaws had died a first He’d cat stammering in bird. cat. its when outside during does in The their the to ice dog shifts—the as second cat attached winter. had it, died liked as sees","""title"": ""The Old Man and the Sea"", ""author"": ""Ernest Hemingway"""
['gore'],"Once we arrived at the Ministry, an escort of subtly armed suits took [MASK] to meet the other expats. I was expecting he’d go through a group therapy session, but [MASK] was in a sunny mood, so he must have been envisaging something closer to a salon.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","been a salon. envisaging therapy escort have the [MASK] at so something must to arrived the a go we expecting to group in suits Once [MASK] meet took but a through an was of armed he’d he subtly expats. was other Ministry, I closer session, sunny mood,","""title"": ""1984"", ""author"": ""George Orwell"""
['adela'],"“Complex,” said [MASK]. “Thanks for your input. Given their histories, mental trauma is to be anticipated. I remind you that we are interested in the actual feasibility of taking a human body through time. Our concern is if the process of time-travel has major implications for the expat or the expat’s surroundings.”","""title"": ""The Time Machine"", ""author"": ""H.G. Wells""","be that your mental [MASK]. their input. you said is a are of Given implications remind expat the of feasibility histories, expat’s has surroundings.” process major I for the taking we for “Complex,” “Thanks to the anticipated. body Our time-travel time. or human the actual concern if trauma is through interested in","""title"": ""Slaughterhouse-Five"", ""author"": ""Kurt Vonnegut"""
['adela'],"“We can’t risk the temporal repercussions,” said [MASK]. “They are supposed to be dead. As long as they’re here, it’s functionally as if they are dead in their own time. Again, I must emphasize, you are focused on the long-term prognoses of the expats in our era. Your remits really could not be clearer.”","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""","the “We you are I our era. expats “They must the to in [MASK]. supposed remits long if as could long-term can’t the dead said As repercussions,” are it’s they’re not own temporal their emphasize, functionally they are as focused risk clearer.” time. Again, of on dead. prognoses in be Your here, be really","""title"": ""Sapiens: A Brief History of Humankind"", ""author"": ""Yuval Noah Harari"""
['gore'],"We’d arrived in the central lobby. [MASK] was standing in a shaft of sunlight, staring up at the steel-and-glass ceiling. He looked dazzled into boyishness by the half sky of the building’s skull.","""title"": ""Infinite Jest"", ""author"": ""David Foster Wallace""","at in boyishness up arrived standing lobby. in the building’s of of half steel-and-glass ceiling. We’d the sky looked the dazzled into by skull. central the sunlight, a staring [MASK] He shaft was","""title"": ""The Metamorphosis"", ""author"": ""Franz Kafka"""
