Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie', 'cassie hiney', 'hiney']",emily,0,0.4,incorrect,emily,0,0.4,incorrect,ali,0,0.44,incorrect,john,0,0.44,incorrect,nguyen,0,0.36,incorrect,nguyen du,0,0.29,incorrect,maria,0,0.36,incorrect,emma,0,0.22,incorrect,emily,0,0.4,incorrect,john,0,0.44,incorrect,nguyen du,0,0.29,incorrect,emma,0,0.22,incorrect
"['parson', 'chuck parson', 'chuck']",victor,0,0.22,incorrect,barry bonds,0,0.47,incorrect,ibneler,0,0.15,incorrect,ahmet,0,0.2,incorrect,jason,0,0.73,correct,hooc-mon,0,0.4,incorrect,robocop,0,0.31,incorrect,walter white,0,0.22,incorrect,barry bonds,0,0.47,incorrect,ahmet,0,0.2,incorrect,hooc-mon,0,0.4,incorrect,walter white,0,0.22,incorrect
['chuck'],max,0,0.0,incorrect,john,0,0.22,incorrect,amerika,0,0.17,incorrect,ataturk,0,0.33,incorrect,nguyen van thieu,0,0.19,incorrect,nguyen du,0,0.14,incorrect,el,0,0.0,incorrect,europa,0,0.18,incorrect,john,0,0.22,incorrect,ataturk,0,0.33,incorrect,nguyen du,0,0.14,incorrect,europa,0,0.18,incorrect
"['chuck', 'chuc']",prom,0,0.0,incorrect,prom,0,0.0,incorrect,albert camus,0,0.25,incorrect,turkish,0,0.33,incorrect,nghan,0,0.22,incorrect,chung,0,0.67,incorrect,baile de graduacion,0,0.17,incorrect,marina,0,0.0,incorrect,prom,0,0.0,incorrect,turkish,0,0.33,incorrect,chung,0,0.67,incorrect,marina,0,0.0,incorrect
['angela'],claus,0,0.36,incorrect,nick,0,0.2,incorrect,sen,0,0.22,incorrect,yunus,0,0.18,incorrect,dai tom,0,0.15,incorrect,noel,0,0.6,incorrect,santa claus,0,0.47,incorrect,maria,0,0.36,incorrect,nick,0,0.2,incorrect,yunus,0,0.18,incorrect,noel,0,0.6,incorrect,maria,0,0.36,incorrect
['margo'],lena,0,0.22,incorrect,jack,0,0.22,incorrect,gecen,0,0.2,incorrect,turabi,0,0.18,incorrect,ngoc,0,0.44,incorrect,do,0,0.29,incorrect,carlos,0,0.55,incorrect,luna,0,0.22,incorrect,jack,0,0.22,incorrect,turabi,0,0.18,incorrect,do,0,0.29,incorrect,luna,0,0.22,incorrect
['margo'],emily,0,0.2,incorrect,mom,0,0.5,incorrect,ali,0,0.25,incorrect,yanlis,0,0.18,incorrect,nguyen du,0,0.14,incorrect,nguyen du,0,0.14,incorrect,papa,0,0.22,incorrect,papa,0,0.22,incorrect,mom,0,0.5,incorrect,yanlis,0,0.18,incorrect,nguyen du,0,0.14,incorrect,papa,0,0.22,incorrect
"['margo—', 'margo']",luna,0,0.22,incorrect,emily,0,0.2,incorrect,yarin,0,0.4,incorrect,sure,0,0.22,incorrect,ngoc,0,0.44,incorrect,nguyen,0,0.18,incorrect,luna,0,0.22,incorrect,manana,0,0.36,incorrect,emily,0,0.2,incorrect,sure,0,0.22,incorrect,nguyen,0,0.18,incorrect,manana,0,0.36,incorrect
['margo'],jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],marie,0,0.6,incorrect,elizabeth,0,0.14,incorrect,albert einstein,0,0.2,incorrect,emekliligi,0,0.27,incorrect,cau,0,0.25,incorrect,nguyen du,0,0.14,incorrect,marx,0,0.67,incorrect,vas,0,0.25,incorrect,elizabeth,0,0.14,incorrect,emekliligi,0,0.27,incorrect,nguyen du,0,0.14,incorrect,vas,0,0.25,incorrect
['margo'],emily,0,0.2,incorrect,horn,0,0.22,incorrect,ali,0,0.25,incorrect,ali,0,0.25,incorrect,ngoc,0,0.44,incorrect,chang,0,0.4,incorrect,tom,0,0.25,incorrect,marina,0,0.55,incorrect,horn,0,0.22,incorrect,ali,0,0.25,incorrect,chang,0,0.4,incorrect,marina,0,0.55,incorrect
['margo'],she,0,0.0,incorrect,emma,0,0.44,incorrect,abdullah,0,0.15,incorrect,sevgilim,0,0.15,incorrect,anh,0,0.25,incorrect,the,0,0.0,incorrect,carlos,0,0.55,incorrect,juan,0,0.22,incorrect,emma,0,0.44,incorrect,sevgilim,0,0.15,incorrect,the,0,0.0,incorrect,juan,0,0.22,incorrect
['margo'],he,0,0.0,incorrect,lana,0,0.22,incorrect,ben,0,0.0,incorrect,aylar,0,0.4,incorrect,ngoc,0,0.44,incorrect,nguyen du,0,0.14,incorrect,ella,0,0.22,incorrect,madrid,0,0.55,incorrect,lana,0,0.22,incorrect,aylar,0,0.4,incorrect,nguyen du,0,0.14,incorrect,madrid,0,0.55,incorrect
['margo'],jess,0,0.0,incorrect,emily,0,0.2,incorrect,ali,0,0.25,incorrect,orhan veli,0,0.13,incorrect,ngoc,0,0.44,incorrect,ngoc,0,0.44,incorrect,jose,0,0.22,incorrect,amigo,0,0.6,incorrect,emily,0,0.2,incorrect,orhan veli,0,0.13,incorrect,ngoc,0,0.44,incorrect,amigo,0,0.6,incorrect
['margo'],lily,0,0.0,incorrect,jean,0,0.22,incorrect,adam,0,0.22,incorrect,ali,0,0.25,incorrect,nguoi yeu,0,0.29,incorrect,nguyen,0,0.18,incorrect,jess,0,0.0,incorrect,emma,0,0.44,incorrect,jean,0,0.22,incorrect,ali,0,0.25,incorrect,nguyen,0,0.18,incorrect,emma,0,0.44,incorrect
['margo'],emily,0,0.2,incorrect,7-eleven,0,0.0,incorrect,saat,0,0.22,incorrect,7eleveriin,0,0.13,incorrect,7-eleven,0,0.0,incorrect,ngoc,0,0.44,incorrect,jess,0,0.0,incorrect,7-eleven,0,0.0,incorrect,7-eleven,0,0.0,incorrect,7eleveriin,0,0.13,incorrect,ngoc,0,0.44,incorrect,7-eleven,0,0.0,incorrect
['margo'],lily,0,0.0,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,emily,0,0.2,incorrect,worthington,0,0.38,incorrect,harry,0,0.4,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect
['jase'],her weight,0,0.14,incorrect,barbie,0,0.4,incorrect,ali,0,0.29,incorrect,ali,0,0.29,incorrect,ngoc,0,0.0,incorrect,the,0,0.29,incorrect,maria,0,0.22,incorrect,amiga,0,0.22,incorrect,barbie,0,0.4,incorrect,ali,0,0.29,incorrect,the,0,0.29,incorrect,amiga,0,0.22,incorrect
['margo'],lily,0,0.0,incorrect,jimmy,0,0.2,incorrect,adam,0,0.22,incorrect,mercedes,0,0.31,incorrect,nguoi dan ong,0,0.22,incorrect,nguyen,0,0.18,incorrect,hercule poirot,0,0.21,incorrect,llave,0,0.2,incorrect,jimmy,0,0.2,incorrect,mercedes,0,0.31,incorrect,nguyen,0,0.18,incorrect,llave,0,0.2,incorrect
['margo'],jess,0,0.0,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,nguyen,0,0.18,incorrect,jefferson,0,0.29,incorrect,jessica,0,0.17,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
"['marg', 'margo']",her,0,0.29,incorrect,emily,0,0.22,incorrect,emre,0,0.5,incorrect,ali,0,0.29,incorrect,chung toi,0,0.29,incorrect,chung,0,0.22,incorrect,luna,0,0.25,incorrect,madrid,0,0.6,incorrect,emily,0,0.22,incorrect,ali,0,0.29,incorrect,chung,0,0.22,incorrect,madrid,0,0.6,incorrect
"['parson', 'chuck parson', 'chuck']",crown school of dance,0,0.3,incorrect,crown,0,0.55,incorrect,harvard,0,0.32,incorrect,harvard,0,0.32,incorrect,dong,0,0.4,incorrect,dao,0,0.44,incorrect,escuela de baile crown,0,0.41,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,harvard,0,0.32,incorrect,dao,0,0.44,incorrect,crown,0,0.55,incorrect
['margo'],she,0,0.0,incorrect,emma,0,0.44,incorrect,arab,0,0.44,incorrect,abdullah,0,0.15,incorrect,nguoi dan ong,0,0.22,incorrect,nguyen du,0,0.14,incorrect,luna,0,0.22,incorrect,maria,0,0.6,incorrect,emma,0,0.44,incorrect,abdullah,0,0.15,incorrect,nguyen du,0,0.14,incorrect,maria,0,0.6,incorrect
['margo'],louisa,0,0.18,incorrect,emily,0,0.2,incorrect,ninjaya,0,0.17,incorrect,evren,0,0.2,incorrect,nguyen,0,0.18,incorrect,ninja,0,0.2,incorrect,la ventana,0,0.13,incorrect,oruga,0,0.4,incorrect,emily,0,0.2,incorrect,evren,0,0.2,incorrect,ninja,0,0.2,incorrect,oruga,0,0.4,incorrect
"['parson', 'chuck parson', 'chuck parso', 'parso', 'chuck']",dracula,0,0.33,incorrect,john,0,0.4,incorrect,adam,0,0.22,incorrect,odak,0,0.22,incorrect,nguyen du,0,0.2,incorrect,ho chi minh,0,0.35,incorrect,un nino,0,0.33,incorrect,lucifer,0,0.33,incorrect,john,0,0.4,incorrect,odak,0,0.22,incorrect,ho chi minh,0,0.35,incorrect,lucifer,0,0.33,incorrect
"['parson', 'chuck parson', 'chuck']",emily,0,0.0,incorrect,college,0,0.21,incorrect,amherst,0,0.46,incorrect,emily dickinson,0,0.37,incorrect,amherst,0,0.46,incorrect,amherst,0,0.46,incorrect,police,0,0.33,incorrect,amherst,0,0.46,incorrect,college,0,0.21,incorrect,emily dickinson,0,0.37,incorrect,amherst,0,0.46,incorrect,amherst,0,0.46,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,saatine,0,0.17,incorrect,turabian,0,0.15,incorrect,nguoi,0,0.4,incorrect,that,0,0.22,incorrect,ella,0,0.22,incorrect,maria,0,0.6,incorrect,emily,0,0.2,incorrect,turabian,0,0.15,incorrect,that,0,0.22,incorrect,maria,0,0.6,incorrect
